geo,time,st_int_rcpt_xp_zs
chl,2007,2.86658
chl,2008,3.30254
chl,2009,3.72432
chl,2010,2.88205
chl,2011,2.88607
chl,2012,3.49598
chl,2013,3.56746
chl,2014,3.7343
chl,2015,4.76834
chl,2016,5.32998
chl,2017,5.23454
chl,2018,4.62027
chl,2019,4.20266
chl,2020,1.29569
chn,1997,8.98437
chn,1998,9.35811
chn,1999,10.01174
chn,2000,9.11285
chn,2001,9.11244
chn,2002,8.78016
chn,2003,4.19462
chn,2004,4.58931
civ,2005,1.09068
civ,2006,1.11544
civ,2007,1.19702
civ,2008,1.12636
civ,2009,1.32371
civ,2010,1.68973
civ,2011,1.36068
civ,2012,1.31604
civ,2013,1.47058
civ,2014,1.404
civ,2015,1.71181
civ,2016,4.04344
civ,2017,3.95929
civ,2018,4.21112
civ,2019,3.99182
civ,2020,1.50623
cmr,1995,3.67594
cmr,1996,6.04566
cmr,1997,4.76962
cmr,1998,4.73561
cmr,1999,4.22295
cmr,2000,4.93759
cmr,2001,6.44204
cmr,2002,4.13529
cmr,2003,8.48467
cmr,2004,5.54415
cmr,2005,5.40497
cmr,2006,4.74381
cmr,2007,4.00986
cmr,2008,2.27059
cmr,2009,5.0801
cmr,2010,3.04637
cmr,2011,5.62437
cmr,2012,5.10502
cmr,2013,7.56112
cmr,2014,7.31215
cmr,2015,7.06687
cmr,2016,8.13081
cmr,2017,8.30712
cmr,2018,8.66995
cmr,2019,8.80892
cmr,2020,7.13534
cod,2005,0.11653
cod,2006,0.0988
cod,2007,0.0107
cod,2008,0.00909
cod,2009,0.478
cod,2010,0.12068
cod,2011,0.11164
cod,2012,0.0764
cod,2013,0.07053
cod,2014,0.35929
cod,2015,0.00096
cod,2016,0.03579
cod,2017,0.05147
cod,2018,0.37621
cog,1995,1.06761
cog,1996,0.63076
cog,1999,0.79127
cog,2000,0.47179
cog,2001,1.02768
cog,2002,1.04336
cog,2003,1.05981
cog,2004,0.63639
cog,2007,0.53573
cog,2008,0.44707
cog,2009,1.36121
cog,2010,0.43326
cog,2011,0.40837
cog,2012,0.66167
cog,2013,0.55137
cog,2014,0.59841
cog,2015,0.92351
cog,2016,0.93334
col,1995,7.22924
col,1996,10.36478
col,1997,9.25338
col,1998,9.07449
col,1999,8.83045
col,2000,8.30662
col,2001,9.84526
col,2002,8.67625
col,2003,7.57254
col,2004,7.81879
col,2005,7.66679
col,2006,8.21157
col,2007,7.44711
col,2008,6.74995
col,2009,7.82729
col,2010,7.42325
col,2011,5.92858
col,2012,6.37584
col,2013,7.02818
col,2014,7.55199
col,2015,11.23461
col,2016,13.16613
col,2017,11.96027
col,2018,12.38738
col,2019,13.21798
col,2020,5.13549
com,1995,48.00849
com,2003,25.93479
com,2004,37.51008
com,2005,42.71283
com,2006,45.53149
com,2007,42.46988
com,2008,50.24877
com,2009,41.40285
com,2010,40.22019
com,2011,42.29582
com,2012,43.89024
com,2014,50.17947
com,2015,53.19636
com,2016,46.71587
com,2017,47.27122
com,2018,49.33429
com,2019,51.12171
com,2020,26.90768
cpv,1995,34.73797
cpv,1996,36.4907
cpv,1997,37.16221
cpv,1998,39.80433
cpv,1999,45.11708
cpv,2000,45.48868
cpv,2001,48.07516
cpv,2002,53.59421
cpv,2003,54.92315
cpv,2004,53.57155
cpv,2005,50.01568
cpv,2006,59.30335
cpv,2007,66.289
cpv,2008,60.83666
cpv,2009,62.04751
cpv,2010,61.46656
cpv,2011,55.98522
cpv,2012,58.60952
cpv,2013,57.41295
cpv,2014,50.67652
cpv,2015,57.57703
cpv,2016,55.49186
cpv,2017,56.69472
cpv,2018,53.96351
cpv,2019,56.49032
cpv,2020,40.85626
cri,1995,20.65512
cri,1996,19.60466
cri,1997,19.93739
cri,1998,19.76138
cri,1999,20.19549
cri,2000,25.12653
cri,2001,22.74388
cri,2002,21.86513
cri,2003,22.27048
cri,2004,22.21175
cri,2005,22.90658
cri,2006,20.87057
cri,2007,22.32143
cri,2008,23.19683
cri,2009,20.56349
cri,2010,19.38628
cri,2011,18.78779
cri,2012,18.32639
cri,2013,20.04995
cri,2014,18.94131
cri,2015,19.87636
