geo,time,sl_tlf_basc_ma_zs
irl,2003,55.81
irl,2004,56.27
irl,2005,56.94
irl,2006,56.7
irl,2007,59.1
irl,2008,56.7
irl,2009,52.12
irl,2010,49.91
irl,2011,48.2
irl,2012,47.07
irl,2013,46.39
irl,2014,44.58
irl,2015,44.36
irl,2016,44.03
irl,2017,41.36
irl,2018,40.24
irl,2019,39.65
irl,2020,37.54
irn,2005,82.7
irn,2006,82.67
irn,2007,82.16
irn,2008,80.16
irn,2009,80.86
irn,2010,80.12
irn,2011,78.95
irn,2012,78.51
irn,2013,79.29
irn,2014,78.18
irn,2015,77.92
irn,2016,76.76
irn,2018,76.55
irn,2019,76.29
irn,2020,73.89
irq,2007,84.61
irq,2012,66.63
isl,1999,80.72
isl,2000,84.06
isl,2001,85.14
isl,2002,80.89
isl,2003,84.88
isl,2004,83.4
isl,2005,81.96
isl,2006,83.62
isl,2007,84.03
isl,2008,83.02
isl,2009,79.02
isl,2010,79.1
isl,2011,77.38
isl,2012,76.36
isl,2013,77.76
isl,2014,79.54
isl,2015,80.34
isl,2016,81.17
isl,2017,78.15
isl,2018,78.06
isl,2019,76.05
isl,2020,74.46
isr,2009,39.73
isr,2010,40.34
isr,2011,39.05
isr,2012,46.57
isr,2013,46.47
isr,2014,44.8
isr,2015,44.07
isr,2016,42.51
isr,2017,42.15
isr,2018,38.43
isr,2019,36.86
isr,2020,32.17
ita,1992,63.84
ita,1993,62.68
ita,1994,60.72
ita,1995,59.41
ita,1996,58.69
ita,1997,58.2
ita,1998,56.65
ita,1999,56.04
ita,2000,54.77
ita,2001,54.74
ita,2002,54.92
ita,2003,54.38
ita,2004,53.93
ita,2005,52.46
ita,2006,51.57
ita,2007,50.72
ita,2008,50.25
ita,2009,48.89
ita,2010,48.02
ita,2011,47.49
ita,2012,47.81
ita,2013,47.01
ita,2014,46.54
ita,2015,46.25
ita,2016,46.62
ita,2017,46.82
ita,2018,46.55
ita,2019,46.02
ita,2020,44.45
jam,2008,73.43
jam,2009,71.72
jam,2010,69.21
jam,2011,68.04
jam,2012,67.69
jam,2013,67.73
jam,2014,68.69
jam,2016,68.04
jam,2017,68.63
jam,2018,68.33
jam,2019,69.57
jam,2020,69.83
jor,2017,66.71
jor,2018,65.69
jor,2019,64.91
jor,2020,65.03
ken,1999,72.3
ken,2006,64.98
ken,2016,80.58
ken,2019,68.83
kgz,2011,42.51
kgz,2012,42.29
kgz,2013,42.52
kgz,2014,42.74
kgz,2015,44.67
kgz,2016,44.73
kgz,2017,45.04
kgz,2018,41.18
khm,2000,80.65
khm,2001,86.14
khm,2007,85.49
khm,2008,83.83
khm,2009,85.05
khm,2010,86.68
khm,2011,88.63
khm,2012,86.18
khm,2013,85.54
khm,2014,84.44
khm,2015,83.4
khm,2016,86.52
khm,2017,85.32
khm,2019,79.62
kir,2015,52.69
kir,2019,32.69
kor,2000,75.67
kor,2001,73.71
kor,2002,73.12
kor,2003,70.38
kor,2004,70.1
kor,2005,68.1
kor,2006,67.03
kor,2007,66.59
kor,2008,65.4
kor,2009,64.12
kor,2010,63.32
kor,2011,62.62
kor,2012,61.91
kor,2013,61.34
kor,2014,61.06
kor,2015,59.88
kor,2016,59.2
kor,2017,58.29
kor,2018,57.76
kor,2019,56.78
kor,2020,56.04
kos,2012,30.99
kos,2013,35.88
kos,2014,37.36
kos,2015,32.9
kos,2016,34.41
kos,2017,36.97
kos,2018,26.33
kos,2019,30.24
kos,2020,28.12
kwt,2016,90.22
lao,2010,95.9
lao,2017,44.42
lbn,2019,76.99
lbr,2010,56.09
lbr,2014,89.86
lbr,2016,91.75
lbr,2017,28.34
lca,2017,87.68
lca,2018,87.77
lca,2019,83.88
lka,2010,76.92
lka,2011,76.36
lka,2012,77.42
lka,2013,78.03
lka,2014,77.9
lka,2015,77.5
lka,2016,77.06
lka,2017,76.55
lka,2018,75.75
lka,2019,75.67
lso,2019,54.43
ltu,1998,36.67
ltu,1999,34.48
ltu,2000,32.93
ltu,2001,29.88
ltu,2002,29.62
ltu,2003,32.7
ltu,2004,29.48
ltu,2005,26.79
ltu,2006,25.02
ltu,2007,26.2
ltu,2008,21.93
ltu,2009,21.53
ltu,2010,20.12
ltu,2011,20.38
ltu,2012,20.52
ltu,2013,22.39
ltu,2014,24.02
ltu,2015,24.12
ltu,2016,23.48
ltu,2017,25.07
ltu,2018,26.22
ltu,2019,26.54
ltu,2020,28.14
lux,1992,67.64
lux,1993,61.26
lux,1994,63.98
lux,1995,63.11
lux,1996,61.05
lux,1997,59.27
lux,1999,51.77
lux,2000,57.68
lux,2001,54.32
lux,2002,53.75
lux,2003,51.82
lux,2004,49.59
lux,2005,48.97
lux,2006,45.52
lux,2007,48.07
lux,2008,49.34
lux,2009,48.59
lux,2010,45.23
lux,2011,47.64
lux,2012,47.44
lux,2013,47.11
lux,2014,45.53
lux,2015,50.79
lux,2016,47.15
lux,2017,43.33
lux,2018,44.98
lux,2019,45.49
lux,2020,45.03
lva,1998,42.51
lva,1999,39.49
lva,2000,36.68
lva,2001,42.51
lva,2002,44.88
lva,2003,43.21
lva,2004,42.63
lva,2005,43.21
lva,2006,47.42
lva,2007,47.88
lva,2008,47.03
lva,2009,44.46
lva,2010,42.35
lva,2011,43.2
lva,2012,44.16
lva,2013,44.43
lva,2014,46.32
lva,2015,48.36
lva,2016,46.67
lva,2017,46.54
lva,2018,45.3
lva,2019,46.38
lva,2020,47.81
mac,2009,74.74
mac,2010,73.62
mac,2011,74.17
mac,2012,74
mac,2013,73.11
mac,2015,73.4
mac,2016,69.97
mar,2011,80.43
mar,2012,80.06
mco,2016,31.26
mda,2010,35.55
mda,2011,35.36
mda,2012,33.68
mda,2013,35.58
mda,2014,38.04
mda,2015,41.29
mda,2016,41.9
mda,2017,41.55
mda,2018,43.17
mda,2019,38.95
mda,2020,37.48
mdg,2012,96.07
mdg,2015,92.33
mdv,2009,74.07
mdv,2014,85.25
mdv,2016,77
mdv,2019,72.91
mex,2002,80.81
mex,2003,80.69
mex,2004,80.92
mex,2005,79.77
mex,2006,80.14
mex,2007,79.7
mex,2008,79.51
mex,2009,78.66
mex,2010,78.43
mex,2011,78.2
mex,2012,78.23
mex,2013,77.89
mex,2014,77.59
mex,2015,77.55
mex,2016,76.74
mex,2017,76.85
mex,2018,76.62
mex,2019,76.48
mex,2020,70.22
mhl,2019,49.84
mkd,2006,56.34
mkd,2007,55.42
mkd,2008,56.49
mkd,2009,57.2
mkd,2010,57.83
mkd,2011,57.37
mkd,2012,54.84
mkd,2013,55.01
mkd,2014,56.6
mkd,2015,54.16
mkd,2016,52.73
mkd,2017,52.33
mkd,2018,52.26
mkd,2019,49.8
mkd,2020,50.58
mli,2013,83.53
mli,2014,54.52
mli,2015,63.8
mli,2016,58.66
mli,2017,66.74
mli,2018,62.07
mlt,2000,68.17
mlt,2001,71.01
mlt,2002,70.67
mlt,2003,70.02
mlt,2004,68.86
mlt,2005,66.47
mlt,2006,66.11
mlt,2007,64.45
mlt,2008,64.81
mlt,2009,64.26
mlt,2010,63.5
mlt,2011,62.6
mlt,2012,60.48
mlt,2013,60.4
mlt,2014,60.47
mlt,2015,61.31
mlt,2016,60.35
mlt,2017,59.59
mlt,2018,60.37
mlt,2019,60.58
mlt,2020,58.62
mmr,2015,80.83
mmr,2017,82.62
mmr,2018,81.72
mmr,2019,80.76
mne,2011,26.86
mne,2012,23.31
mne,2013,24.91
mne,2014,27.59
mne,2015,27.44
mne,2016,33.69
mne,2017,35.92
mne,2018,35.01
mne,2019,35.96
mne,2020,29
mng,2008,60.38
mng,2009,59.12
mng,2010,60.98
mng,2011,60.3
mng,2012,64.29
mng,2013,59.06
mng,2014,55.92
mng,2015,55.24
mng,2016,54.52
mng,2017,55.53
mng,2018,56.52
mng,2019,54.53
mng,2020,55.42
moz,2015,75.02
mrt,2012,51.69
mrt,2017,53.05
mus,2001,81.82
mus,2002,81.99
mus,2003,83.84
mus,2004,81.53
mus,2005,81.87
mus,2006,80.36
mus,2007,79.41
mus,2008,78.88
mus,2009,78.83
mus,2010,78.14
mus,2012,76.79
mus,2013,76.37
mus,2014,76.2
mus,2015,76.11
mus,2016,73.72
mus,2017,74.56
mus,2018,72.64
mus,2019,70.5
mus,2020,81.08
mwi,2005,86.47
mwi,2011,77.16
mwi,2013,79.83
mwi,2017,54.33
mwi,2020,55.73
mys,2011,86.42
mys,2012,86.84
mys,2013,87.16
mys,2014,86.47
mys,2015,86.55
mys,2016,86.41
mys,2017,85.28
mys,2018,85.37
mys,2019,84.03
mys,2020,81.93
nam,2010,59.96
nam,2012,62.12
nam,2013,65.68
nam,2014,64.97
nam,2016,62.23
nam,2018,54.16
ncl,2014,59.26
ner,2011,87.06
ner,2014,81.7
ner,2017,39.77
nga,2016,59.56
nga,2019,51.45
nic,2001,72.49
nic,2005,77.89
nic,2012,86.98
nic,2014,80.18
nld,1996,64.57
nld,1997,65.94
nld,1998,62.41
nld,1999,62.93
nld,2000,62.49
nld,2001,62.35
nld,2002,64.42
nld,2003,63.42
nld,2004,64.02
nld,2005,61.21
nld,2006,61.59
nld,2007,61.85
nld,2008,63.07
nld,2009,62.45
nld,2010,60.36
nld,2011,58.96
nld,2012,59.47
nld,2013,58.54
nld,2014,57.4
nld,2015,57.23
nld,2016,56.06
nld,2017,55.09
nld,2018,54.93
nld,2019,54.96
nld,2020,52.66
nld_curacao,2018,35.1
nor,1996,56.59
nor,1997,58.23
nor,1998,59.41
nor,1999,57.92
nor,2000,58.38
nor,2001,56.67
nor,2002,58.5
nor,2003,56.53
nor,2004,52.64
nor,2005,51.36
nor,2006,60.85
nor,2007,61.71
nor,2008,62.07
nor,2009,61.25
nor,2010,60.53
nor,2011,60.03
nor,2012,59.4
nor,2013,58.05
nor,2014,53.31
nor,2015,54.6
nor,2016,55.61
nor,2017,54.68
nor,2018,54.05
nor,2019,54.57
nor,2020,55.19
npl,2008,91.42
npl,2017,57.06
nru,2013,85.83
nzl,2014,20.69
nzl,2015,19.52
nzl,2016,19.39
nzl,2017,20.68
nzl,2018,21.11
nzl,2019,66.5
nzl,2020,66.76
omn,2018,82.27
pak,2006,76.44
pak,2007,76.16
pak,2008,75.09
pak,2009,75.26
pak,2010,75.77
pak,2011,75.78
pak,2013,76.37
pak,2014,75.56
pak,2015,75.85
pak,2018,77.2
pak,2019,76.92
pan,1997,77.15
pan,2003,78.78
pan,2008,79.84
pan,2010,76.72
pan,2011,74.51
pan,2012,75.5
pan,2013,75.58
pan,2014,75.04
pan,2015,72.41
pan,2016,72.65
pan,2017,71.62
pan,2018,72.96
pan,2019,73.13
pan,2020,66.73
pan,2021,67.44
per,2002,91.84
per,2003,85.67
per,2004,83.89
per,2005,81.86
per,2006,84.22
per,2007,85.18
