geo,time,se_prm_prsl_fe_zs
eth,2008,41.36816
eth,2009,37.52888
eth,2010,41.63076
eth,2011,39.61484
eth,2014,39.28728
fin,1986,97.69076
fin,1987,96.64781
fin,1988,96.64998
fin,1989,99.2778
fin,1990,98.65688
fin,1991,99.87178
fin,1992,99.73316
fin,1993,99.82237
fin,1994,99.29593
fin,1995,99.44819
fin,1997,98.73413
fin,1998,99.49224
fin,1999,99.32477
fin,2000,100
fin,2001,99.59793
fin,2002,99.89518
fin,2003,99.84774
fin,2004,99.99794
fin,2005,100
fin,2006,99.45608
fin,2007,99.79673
fin,2008,99.27762
fin,2009,99.9115
fin,2010,99.36717
fin,2011,99.98361
fin,2012,99.55743
fin,2013,99.77017
fin,2014,99.96052
fin,2015,99.89626
fin,2016,99.98124
fin,2017,99.64581
fin,2018,99.4461
fji,1979,90.28722
fji,1980,92.09782
fji,1983,92.21232
fji,1984,90.78642
fji,1985,92.00713
fji,1991,80.38329
fji,1994,89.3035
fji,1995,78.52775
fji,1996,89.27585
fji,1997,90.37427
fji,1998,89.37884
fji,1999,82.00786
fji,2000,90.85397
fji,2001,89.05136
fji,2003,91.60041
fji,2008,88.33998
fji,2011,98.12054
fji,2012,96.31164
fji,2015,92.53428
fra,1971,89.06148
gab,1971,44.4668
gab,1972,46.74075
gab,1983,53.0975
gab,1986,59.24054
gab,1987,42.17169
gab,1988,61.89431
gab,1995,53.80871
gbr,2016,99.49752
gbr,2017,99.73227
gbr,2018,99.70011
geo,1999,99.75404
geo,2000,100
geo,2001,94.12692
geo,2002,90.09595
geo,2003,89.73198
geo,2004,88.70637
geo,2007,96.10393
geo,2008,94.38432
geo,2009,98.59729
geo,2011,89.04979
geo,2012,99.83147
geo,2013,98.71323
geo,2015,99.13977
geo,2016,98.86241
geo,2017,99.028
geo,2018,98.72271
geo,2019,98.55813
gha,1971,65.447
gha,1973,67.80805
gha,1974,66.81491
gha,1975,84.21676
gha,1976,70.16806
gha,1977,65.46083
gha,1978,72.44687
gha,1991,75.60593
gha,2000,57.97174
gha,2001,84.57269
gha,2002,64.74313
gha,2008,68.69506
gha,2013,82.28939
gha,2016,83.20966
gha,2017,82.3753
gin,1983,29.71108
gin,1984,36.6187
gin,1985,37.26214
gin,1986,30.59819
gin,1987,31.71441
gin,1988,34.94383
gin,1989,36.77515
gin,1990,58.13471
gin,1991,40.27682
gin,1992,60.92566
gin,1993,67.51429
gin,2003,69.15809
