geo,time,it_net_secr
omn,2011,81
omn,2012,212
omn,2013,281
omn,2014,401
omn,2015,497
omn,2016,573
omn,2017,662
omn,2018,757
omn,2019,908
omn,2020,1190
pak,2010,106
pak,2011,146
pak,2012,240
pak,2013,328
pak,2014,479
pak,2015,680
pak,2016,6448
pak,2017,23923
pak,2018,23161
pak,2019,13549
pak,2020,16293
pan,2010,488
pan,2011,617
pan,2012,877
pan,2013,990
pan,2014,1283
pan,2015,1217
pan,2016,2060
pan,2017,8835
pan,2018,8945
pan,2019,8039
pan,2020,6371
per,2010,301
per,2011,433
per,2012,731
per,2013,872
per,2014,1130
per,2015,1412
per,2016,2243
per,2017,6873
per,2018,8232
per,2019,12505
per,2020,15020
phl,2010,474
phl,2011,674
phl,2012,1146
phl,2013,1233
phl,2014,1619
phl,2015,2139
phl,2016,4202
phl,2017,9239
phl,2018,9903
phl,2019,12035
phl,2020,12444
plw,2010,0
plw,2011,0
plw,2012,1
plw,2013,3
plw,2014,2
plw,2015,3
plw,2016,3
plw,2017,4
plw,2018,15
plw,2019,13
plw,2020,17
png,2010,11
png,2011,18
png,2012,47
png,2013,60
png,2014,88
png,2015,109
png,2016,123
png,2017,262
png,2018,429
png,2019,498
pol,2010,5897
pol,2011,8655
pol,2012,15198
pol,2013,19695
pol,2014,25891
pol,2015,36309
pol,2016,94640
pol,2017,248163
pol,2018,616219
pol,2019,782319
pol,2020,954351
pri,2010,354
pri,2011,496
pri,2012,609
pri,2013,665
pri,2014,730
pri,2015,1106
pri,2016,1430
pri,2017,941
pri,2018,1229
pri,2019,1347
pri,2020,1460
prk,2010,0
prk,2011,0
prk,2012,0
prk,2013,0
prk,2016,0
prk,2017,1
prk,2020,2
prt,2010,1717
prt,2011,2256
prt,2012,3767
prt,2013,4420
prt,2014,5570
prt,2015,9336
prt,2016,32838
prt,2017,128391
prt,2018,164308
prt,2019,196988
prt,2020,228378
pry,2010,38
pry,2011,54
pry,2012,96
pry,2013,154
pry,2014,219
pry,2015,271
pry,2016,418
pry,2017,1283
pry,2018,1728
pry,2019,2454
pry,2020,3391
pse,2010,14
pse,2011,20
pse,2012,46
pse,2013,60
pse,2014,88
pse,2015,139
pse,2016,472
pse,2017,2440
pse,2018,2143
pse,2019,2613
pse,2020,2573
pyf,2010,17
pyf,2011,21
pyf,2012,35
pyf,2013,42
pyf,2014,49
pyf,2015,58
pyf,2016,72
pyf,2017,165
pyf,2018,206
pyf,2019,302
pyf,2020,345
qat,2010,115
qat,2011,193
qat,2012,380
qat,2013,486
qat,2014,691
qat,2015,923
qat,2016,963
qat,2017,1093
qat,2018,1103
qat,2019,1235
qat,2020,1247
rou,2010,790
rou,2011,1227
rou,2012,2635
rou,2013,3515
rou,2014,4912
rou,2015,7158
rou,2016,67411
rou,2017,240048
rou,2018,310378
rou,2019,371250
rou,2020,411782
rus,2010,2442
rus,2011,4126
rus,2012,8245
rus,2013,11442
rus,2014,17310
rus,2015,46313
rus,2016,168007
rus,2017,511677
rus,2018,749930
rus,2019,1348308
rus,2020,1923034
rwa,2010,9
rwa,2011,8
rwa,2012,27
rwa,2013,44
rwa,2014,63
rwa,2015,84
rwa,2016,149
rwa,2017,219
rwa,2018,449
rwa,2019,900
rwa,2020,1061
sau,2010,359
sau,2011,577
sau,2012,1176
sau,2013,1556
sau,2014,2189
sau,2015,2836
sau,2016,3442
sau,2017,5521
sau,2018,5445
sau,2019,6256
sau,2020,7977
sdn,2010,8
sdn,2011,12
sdn,2012,16
sdn,2013,14
sdn,2014,22
sdn,2015,29
sdn,2016,52
sdn,2017,79
sdn,2018,193
sdn,2019,184
sdn,2020,282
sen,2010,13
sen,2011,13
sen,2012,28
sen,2013,30
sen,2014,43
sen,2015,92
sen,2016,106
sen,2017,136
sen,2018,272
sen,2019,316
sen,2020,441
sgp,2010,2699
sgp,2011,4810
sgp,2012,10088
sgp,2013,13765
sgp,2014,13915
sgp,2015,19844
sgp,2016,106879
sgp,2017,329385
sgp,2018,477674
sgp,2019,698581
sgp,2020,729931
slb,2010,1
slb,2011,4
slb,2012,7
slb,2013,9
slb,2014,8
slb,2015,13
slb,2016,23
slb,2017,39
slb,2018,28
slb,2019,38
slb,2020,43
sle,2010,3
sle,2011,4
sle,2012,9
sle,2013,7
sle,2014,5
sle,2015,7
sle,2016,11
sle,2017,14
sle,2019,41
sle,2020,52
slv,2010,84
slv,2011,99
slv,2012,139
slv,2013,175
slv,2014,216
slv,2015,286
slv,2016,331
slv,2017,393
slv,2018,582
slv,2019,608
slv,2020,876
smr,2010,30
smr,2011,37
smr,2012,50
smr,2013,69
smr,2014,94
smr,2015,112
smr,2016,156
smr,2017,635
smr,2018,2002
smr,2019,2531
smr,2020,3277
som,2010,0
som,2011,0
som,2012,3
som,2013,2
som,2014,4
som,2015,7
som,2016,11
som,2017,378
som,2018,65
som,2019,132
som,2020,71
srb,2010,54
srb,2011,188
srb,2012,382
srb,2013,484
srb,2014,664
srb,2015,1001
srb,2016,3894
srb,2017,40739
srb,2018,48178
srb,2019,56061
srb,2020,64584
ssd,2015,0
ssd,2016,1
ssd,2017,2
ssd,2018,15
ssd,2019,38
ssd,2020,46
stp,2010,0
stp,2011,1
stp,2012,1
stp,2013,2
stp,2014,2
stp,2015,3
stp,2016,3
stp,2017,8
stp,2018,12
stp,2019,13
stp,2020,7
sur,2010,6
sur,2011,10
sur,2012,15
sur,2013,19
sur,2014,37
sur,2015,60
sur,2016,79
sur,2017,115
sur,2018,168
sur,2019,306
sur,2020,4164
svk,2010,738
svk,2011,1074
svk,2012,1934
svk,2013,2673
svk,2014,3564
svk,2015,5795
svk,2016,17600
svk,2017,37877
svk,2018,70772
svk,2019,109581
svk,2020,141484
svn,2010,684
svn,2011,1025
svn,2012,1990
svn,2013,2504
svn,2014,3213
svn,2015,4517
svn,2016,11628
svn,2017,40489
svn,2018,68476
svn,2019,88819
svn,2020,103255
swe,2010,11265
swe,2011,16174
swe,2012,22775
swe,2013,25830
swe,2014,30531
swe,2015,41234
swe,2016,61582
swe,2017,136977
swe,2018,189345
swe,2019,264047
swe,2020,338969
swz,2010,5
swz,2011,7
swz,2012,9
swz,2013,11
swz,2014,21
swz,2015,29
swz,2016,29
swz,2017,46
swz,2018,61
swz,2019,107
swz,2020,128
sxm,2010,0
sxm,2011,0
sxm,2012,0
sxm,2013,12
sxm,2014,20
sxm,2015,24
sxm,2016,28
sxm,2017,30
sxm,2018,32
sxm,2019,33
sxm,2020,41
syc,2010,6
syc,2011,14
syc,2012,20
syc,2013,32
syc,2014,36
syc,2015,94
syc,2016,2930
syc,2017,14874
syc,2018,25570
syc,2019,9413
syc,2020,6017
syr,2010,6
syr,2011,7
syr,2012,28
syr,2013,26
syr,2014,24
syr,2015,44
syr,2016,110
syr,2017,227
syr,2018,323
syr,2019,386
syr,2020,686
tca,2010,3
tca,2011,8
tca,2012,10
tca,2013,28
tca,2014,31
tca,2015,30
tca,2016,33
tca,2017,28
tca,2018,28
tca,2019,29
tca,2020,30
tcd,2010,1
tcd,2011,2
tcd,2012,1
tcd,2013,2
tcd,2014,2
tcd,2015,5
tcd,2016,5
tcd,2017,9
tcd,2018,7
tcd,2019,11
tcd,2020,21
tgo,2010,1
tgo,2011,2
tgo,2012,3
tgo,2013,6
tgo,2014,18
tgo,2015,22
tgo,2016,26
tgo,2017,35
tgo,2018,61
tgo,2019,159
tgo,2020,219
tha,2010,753
tha,2011,1022
tha,2012,2095
tha,2013,2649
tha,2014,3555
tha,2015,4768
tha,2016,10103
tha,2017,40023
tha,2018,66225
tha,2019,97741
tha,2020,133183
tjk,2010,2
tjk,2011,6
tjk,2012,9
tjk,2013,15
tjk,2014,14
tjk,2015,43
tjk,2016,51
tjk,2017,178
tjk,2018,249
tjk,2019,663
tjk,2020,880
tkm,2010,1
tkm,2011,1
tkm,2012,3
tkm,2013,2
tkm,2014,4
tkm,2015,12
tkm,2016,11
tkm,2017,26
tkm,2018,35
tkm,2019,119
tkm,2020,286
tls,2010,2
tls,2011,2
tls,2012,1
tls,2013,3
tls,2014,7
tls,2015,11
tls,2016,14
tls,2017,15
tls,2018,37
tls,2019,49
tls,2020,119
ton,2010,1
ton,2011,1
ton,2012,3
ton,2013,3
ton,2014,4
ton,2015,11
ton,2016,14
ton,2017,21
ton,2018,18
ton,2019,24
ton,2020,59
tto,2010,59
tto,2011,82
tto,2012,142
tto,2013,181
tto,2014,236
tto,2015,369
tto,2016,412
tto,2017,402
tto,2018,391
tto,2019,436
tto,2020,476
tun,2010,66
tun,2011,82
tun,2012,117
tun,2013,170
tun,2014,225
tun,2015,214
tun,2016,1045
tun,2017,2450
tun,2018,3657
tun,2019,3169
tun,2020,3882
tur,2010,6245
tur,2011,8689
tur,2012,16733
tur,2013,20046
tur,2014,23067
tur,2015,28548
tur,2016,103855
tur,2017,271843
tur,2018,356867
tur,2019,453706
tur,2020,570108
tuv,2018,1
tuv,2019,1
tuv,2020,3
tza,2010,22
tza,2011,27
tza,2012,46
tza,2013,80
tza,2014,116
tza,2015,169
tza,2016,300
tza,2017,1241
tza,2018,1537
tza,2019,2268
tza,2020,2281
uga,2010,9
uga,2011,22
uga,2012,58
uga,2013,66
uga,2014,81
uga,2015,114
uga,2016,156
uga,2017,840
uga,2018,864
uga,2019,973
uga,2020,1573
ukr,2010,567
ukr,2011,958
ukr,2012,1866
ukr,2013,2458
ukr,2014,3382
ukr,2015,6403
ukr,2016,85755
ukr,2017,177005
ukr,2018,268976
ukr,2019,349187
ukr,2020,395092
ury,2010,120
ury,2011,197
ury,2012,285
ury,2013,386
ury,2014,537
ury,2015,635
ury,2016,1061
ury,2017,3793
ury,2018,5432
ury,2019,6262
ury,2020,6677
usa,2010,767662
usa,2011,930471
usa,2012,1205823
usa,2013,1360046
usa,2014,1633177
usa,2015,2039539
usa,2016,3694357
usa,2017,9863566
usa,2018,21517004
usa,2019,40706354
usa,2020,46678110
uzb,2010,2
uzb,2011,8
uzb,2012,27
uzb,2013,41
uzb,2014,73
uzb,2015,177
uzb,2016,2221
uzb,2017,6548
uzb,2018,9193
uzb,2019,15196
uzb,2020,16044
vct,2010,2
vct,2011,6
vct,2012,10
vct,2013,7
vct,2014,10
vct,2015,13
vct,2016,21
vct,2017,18
vct,2018,10
vct,2019,10
vct,2020,14
ven,2010,201
ven,2011,189
ven,2012,355
ven,2013,443
ven,2014,493
ven,2015,645
ven,2016,4421
ven,2017,8626
ven,2018,7956
ven,2019,6191
ven,2020,5531
vgb,2010,17
vgb,2011,22
vgb,2012,76
vgb,2013,260
vgb,2014,442
vgb,2015,1111
vgb,2016,634
vgb,2017,10516
vgb,2018,9856
vgb,2019,4118
vgb,2020,22408
vir,2010,30
vir,2011,52
vir,2012,68
vir,2013,73
vir,2014,67
vir,2015,57
vir,2016,90
vir,2017,113
vir,2018,92
vir,2019,126
vir,2020,69
vnm,2010,202
vnm,2011,327
vnm,2012,812
vnm,2013,1286
vnm,2014,1864
vnm,2015,3033
vnm,2016,26098
vnm,2017,127584
vnm,2018,169056
vnm,2019,250511
vnm,2020,302313
vut,2010,10
vut,2011,15
vut,2012,24
vut,2013,35
vut,2014,30
vut,2015,34
vut,2016,46
vut,2017,51
vut,2018,58
vut,2019,105
vut,2020,112
wsm,2010,5
wsm,2011,7
wsm,2012,12
wsm,2013,14
wsm,2014,15
wsm,2015,25
wsm,2016,29
wsm,2017,58
wsm,2018,105
wsm,2019,93
wsm,2020,102
yem,2010,5
yem,2011,7
yem,2012,13
yem,2013,24
yem,2014,36
yem,2015,37
yem,2016,39
yem,2017,94
yem,2018,107
yem,2019,129
yem,2020,169
zaf,2010,2667
zaf,2011,4281
zaf,2012,7539
zaf,2013,9298
zaf,2014,12102
zaf,2015,15107
zaf,2016,51575
zaf,2017,537554
zaf,2018,695336
zaf,2019,840493
zaf,2020,855339
zmb,2010,5
zmb,2011,13
zmb,2012,28
zmb,2013,45
zmb,2014,63
zmb,2015,90
zmb,2016,145
zmb,2017,714
zmb,2018,715
zmb,2019,648
zmb,2020,745
zwe,2010,6
zwe,2011,12
zwe,2012,47
zwe,2013,64
zwe,2014,108
zwe,2015,162
zwe,2016,194
zwe,2017,435
zwe,2018,673
zwe,2019,991
zwe,2020,1107
