geo,time,nv_fsm_totl_cn
hnd,2002,4801100000
hnd,2003,5175800000
hnd,2004,5892100000
hnd,2005,6912100000
hnd,2006,8812100000
hnd,2007,11301300000
hnd,2008,13292400000
hnd,2009,14242700000
hnd,2010,15020500000
hnd,2011,17744500000
hnd,2012,19594700000
hnd,2013,21190500000
hnd,2014,23549200000
hnd,2015,25938800000
hnd,2016,27647900000
hnd,2017,28805700000
hnd,2018,29411700000
hnd,2019,31035800000
hnd,2020,30224900000
hti,1988,141613000
hti,1989,140125000
hti,1990,174070000
hti,1991,183293000
hti,1992,194244000
hti,1993,258113000
hti,1994,258113000
hti,1995,309331000
hti,1996,407652000
hti,1997,524949000
hti,1998,617823000
hti,1999,614806000
irn,1960,2819020247.51787
irn,1961,3179805636.69322
irn,1962,3683686846.89797
irn,1963,4662166507.83701
irn,1964,5276993156.49507
irn,1965,6383311468.15298
irn,1966,7611714512.19936
irn,1967,9089495488.11103
irn,1968,11914705660.9252
irn,1969,15602452697.5219
irn,1970,19659761455.9864
irn,1971,23711124079.5749
irn,1972,35384103577.0656
irn,1973,48656654982.0127
irn,1974,95044177885.34351
irn,1975,126103702615.36099
irn,1976,152628507462.80499
irn,1977,191272416950.90201
irn,1978,241254111109.96799
irn,1979,192633347608.96701
irn,1980,236927807008.53
irn,1981,191711637357.26999
irn,1982,160968026510.59601
irn,1983,101098971785.125
irn,1984,127380437615.787
irn,1985,105810221920.99699
irn,1986,99486685075.90579
irn,1987,86435904770.5959
irn,1988,105843383638.354
irn,1989,89614645121.03198
irn,1990,235253412045.73401
irn,1991,627646544600
irn,1992,700540301400
irn,1993,1112600009900
irn,1994,1764908853500
irn,1995,1601823448400
irn,1996,2726187704300
irn,1997,4077536606400
irn,1998,4950480057400
irn,1999,6110650069200
irn,2000,8947769440200
irn,2001,11170949745300
irn,2002,19952261294000
irn,2003,30282638040300
irn,2004,43306264909400
irn,2005,52779385750000
irn,2006,65334127140300
irn,2007,82588173814800
irn,2008,88452172360500
irn,2009,95970201621700
irn,2010,138373837897800
irn,2011,162385376666300
irn,2012,189338402563000
irn,2013,187917558128900
irn,2014,177868032646700
irn,2015,212144532057000
irn,2016,262315366770800
irn,2017,319928520015000
irn,2018,386072212425800
irn,2019,483858255978600
irn,2020,672981394366142
irq,1970,27200000
irq,1971,30200000
irq,1972,29400000
irq,1973,43400000
irq,1974,121700000
irq,1975,130800000
irq,1976,138700000
irq,1977,150300000
irq,1978,208400000
irq,1979,485600000
irq,1980,147500000
irq,1981,134500000
irq,1982,217800000
irq,1983,433800000
irq,1984,720900000
irq,1985,571100000
irq,1986,767000000
irq,1987,983300000
irq,1988,1123400000
irq,1989,1412600000
irq,1990,1550500000
irq,1991,1871800000
irq,1992,2795000000
irq,1993,4702900000
irq,1994,11555200000
irq,1995,33598800000
irq,1996,64659000000
irq,1997,76646800000
irq,1998,77958600000
irq,1999,119163700000
irq,2000,145539500000
irq,2001,179798200000
irq,2002,219736900000
irq,2003,308687600000
irq,2004,263879900000
irq,2005,377489700000
irq,2006,479205800000
irq,2007,505416800000
irq,2008,1417522800000
irq,2009,989009600000
irq,2010,1040173700000
irq,2011,1290727400000
irq,2012,1501577800000
irq,2013,1158345800000
irq,2014,930132700000
irq,2015,1522041500000
irq,2016,1850227700000
irq,2017,2970613700000
irq,2018,3165015000000
irq,2019,3599775000000
irq,2020,2474818100000
jam,1993,5510000000
jam,1994,9632000000
jam,1995,10413000000
jam,1996,12925000000
jam,1997,11480000000
jam,1998,11869000000
jam,1999,15277000000
jam,2000,15748000000
jam,2001,16548000000
jam,2002,18756000000
jam,2003,25179000000
jam,2004,26360000000
jam,2005,29433000000
jam,2006,31377000000
jam,2007,35874000000
jam,2008,41586000000
jam,2009,48126000000
jam,2010,45029000000
jam,2011,45766000000
jam,2012,47957000000
jam,2013,50420000000
jam,2014,50736000000
jam,2015,56958000000
jam,2016,66181000000
jam,2017,78158000000
jam,2018,91122000000
jam,2019,102234000000
jam,2020,104395000000
jor,1976,7600000
jor,1977,9200000
jor,1978,12400000
jor,1979,10500000
jor,1980,11300000
jor,1981,13700000
jor,1982,18400000
jor,1983,31900000
jor,1984,34900000
jor,1985,36300000
jor,1986,38800000
jor,1987,39300000
jor,1988,49500000
jor,1989,55300000
jor,1990,39900000
jor,1991,53700000
jor,1992,41804800
jor,1993,66732000
jor,1994,73896600
jor,1995,74976300
jor,1996,77324100
jor,1997,81000000
jor,1998,107450700
jor,1999,93487100
jor,2000,111384500
jor,2001,122987700
jor,2002,199839400
jor,2003,205343300
jor,2004,219732600
jor,2005,312420300
jor,2006,376683500
jor,2007,503308100
jor,2008,418726200
jor,2009,474464200
jor,2010,497035800
jor,2011,522832000
jor,2012,601602200
jor,2013,677608600
jor,2014,707550600
jor,2015,734728600
jor,2016,775726000
jor,2017,811587000
jor,2018,843700000
jor,2019,881393200
jor,2020,915155900
kaz,1992,1000000
kaz,1993,1933300000
kaz,1994,5455600000
kaz,1995,6696100000
kaz,1996,10696000000
kaz,1997,8041400000
kaz,1998,10370400000
kaz,1999,18660600000
kaz,2000,23660000000
kaz,2001,37339500000
kaz,2002,55702800000
kaz,2003,71332100000
kaz,2004,110000300000
kaz,2005,165700700000
kaz,2006,306033900000
kaz,2007,613954800000
kaz,2008,751369600000
kaz,2009,539681800000
kaz,2010,466859400000
ken,2006,30692000000
ken,2007,35248000000
ken,2008,45749000000
ken,2009,70956000000
ken,2010,85916000000
ken,2011,108379000000
ken,2012,133340000000
ken,2013,148895000000
ken,2014,180962000000
ken,2015,216100000000
ken,2016,260609000000
ken,2017,241384000000
ken,2018,215414000000
ken,2019,226631000000
ken,2020,214117000000
kgz,1992,6300000
kgz,1993,123300000
kgz,1994,276500000
kgz,1995,286100000
kgz,1996,133200000
kgz,1997,273300000
kgz,1998,269800000
kgz,1999,76000000
kgz,2000,215300000
kgz,2001,516500000
kgz,2002,641400000
kgz,2003,763500000
kgz,2004,1245700000
kgz,2005,1735200000
kgz,2006,2380700000
kgz,2007,3695500000
kgz,2008,5373800000
kgz,2009,6647000000
kgz,2010,7271200000
kgz,2011,8344600000
kgz,2012,9546900000
kgz,2013,10740700000
kgz,2014,12731600000
kgz,2015,13225800000
kgz,2016,12656400000
kgz,2017,14983500000
kgz,2018,17486800000
kgz,2019,20454000000
kgz,2020,20330900000
khm,1993,14944623700
khm,1994,17217420800
khm,1995,72964470000
khm,1996,63192041600
khm,1997,123062853900
khm,1998,124475349900
khm,1999,114304976000
khm,2000,154779795300
khm,2001,139078106800
khm,2002,151070356000
khm,2003,167178767700
khm,2004,206161867900
khm,2005,252930336500
khm,2006,290496263600
khm,2007,386175094200
khm,2008,420930852700
khm,2009,471947672000
khm,2010,529147729900
khm,2011,568516215200
khm,2012,661258984100
khm,2013,728663853600
khm,2014,848510090800
khm,2015,926735076500
khm,2016,1037469232900
khm,2017,1149243366900
khm,2018,1273059744200
khm,2019,1390924242200
khm,2020,1415446000000
kir,2006,5623900
kir,2007,5794400
kir,2008,6504000
kir,2009,7525085
kir,2010,6745600
