geo,time,sl_emp_vuln_zs
cod,2016,78.28
cod,2017,77.82
cod,2018,77.03
cod,2019,77.31
cog,1991,82.69
cog,1992,82.73
cog,1993,82.79
cog,1994,82.4
cog,1995,82.37
cog,1996,81.72
cog,1997,81.49
cog,1998,82.27
cog,1999,80.77
cog,2000,78.74
cog,2001,79.48
cog,2002,79.49
cog,2003,79.6
cog,2004,78.61
cog,2005,77.06
cog,2006,76.11
cog,2007,77.17
cog,2008,75.84
cog,2009,77.03
cog,2010,74.55
cog,2011,74.22
cog,2012,74.24
cog,2013,74.8
cog,2014,74.83
cog,2015,76.26
cog,2016,77.22
cog,2017,77.44
cog,2018,77.57
cog,2019,77.3
col,1991,47.64
col,1992,47.58
col,1993,47.43
col,1994,47.24
col,1995,47.06
col,1996,47.14
col,1997,47.1
col,1998,47.26
col,1999,47.95
col,2000,47.66
col,2001,47.68
col,2002,46.07
col,2003,46.11
col,2004,46.56
col,2005,46.47
col,2006,46.18
col,2007,45.9
col,2008,46.1
col,2009,48.1
col,2010,48.27
col,2011,48.48
col,2012,48.17
col,2013,47.66
col,2014,47.21
col,2015,46.87
col,2016,47.28
col,2017,47.03
col,2018,47.23
col,2019,45.91
com,1991,62.95
com,1992,62.81
com,1993,62.91
com,1994,63.31
com,1995,63.51
com,1996,63.86
com,1997,64.02
com,1998,64.31
com,1999,64.58
com,2000,64.37
com,2001,64.57
com,2002,64.76
com,2003,64.96
com,2004,65.1
com,2005,64.6
com,2006,64.04
com,2007,63.21
com,2008,62.57
com,2009,61.83
com,2010,61.05
com,2011,60.19
com,2012,59.39
com,2013,58.4
com,2014,57.61
com,2015,57.69
com,2016,57.63
com,2017,57.53
com,2018,57.6
com,2019,57.58
cpv,1991,53.29
cpv,1992,52.8
cpv,1993,52.56
cpv,1994,51.67
cpv,1995,50.73
cpv,1996,49.51
cpv,1997,48.43
cpv,1998,47.06
cpv,1999,45.83
cpv,2000,43.96
cpv,2001,43.5
cpv,2002,42.94
cpv,2003,42.09
cpv,2004,41.2
cpv,2005,40.67
cpv,2006,40.12
cpv,2007,39.12
cpv,2008,37.94
cpv,2009,37.58
cpv,2010,37.38
cpv,2011,37.17
cpv,2012,37.22
cpv,2013,37.14
cpv,2014,37.03
cpv,2015,36.58
cpv,2016,32.03
cpv,2017,28.95
cpv,2018,27.5
cpv,2019,27.49
cri,1991,25.46
cri,1992,23.25
cri,1993,23.18
cri,1994,21.44
cri,1995,22.5
cri,1996,21.74
cri,1997,22.72
cri,1998,21.17
cri,1999,20.94
cri,2000,23.53
cri,2001,23.23
cri,2002,23.8
cri,2003,21.95
