geo,time,en_atm_co2e_pc
irq,2015,4.55945
irq,2016,4.70765
irq,2017,4.6412
irq,2018,4.8952
isl,1990,7.65228
isl,1991,7.40893
isl,1992,7.46963
isl,1993,7.50782
isl,1994,7.85652
isl,1995,7.47753
isl,1996,8.4413
isl,1997,7.92983
isl,1998,7.84537
isl,1999,7.64292
isl,2000,7.93016
isl,2001,7.5798
isl,2002,7.79068
isl,2003,7.70238
isl,2004,7.94319
isl,2005,7.71735
isl,2006,7.66997
isl,2007,7.63883
isl,2008,6.868
isl,2009,6.62482
isl,2010,6.16273
isl,2011,5.9245
isl,2012,5.79952
isl,2013,6.27
isl,2014,6.26172
isl,2015,6.22705
isl,2016,6.17102
isl,2017,6.31916
isl,2018,6.23722
isr,1990,7.25322
isr,1991,6.97515
isr,1992,7.195
isr,1993,7.69816
isr,1994,8.03112
isr,1995,8.43463
isr,1996,8.56114
isr,1997,8.73372
isr,1998,8.62502
isr,1999,8.6498
isr,2000,9.06344
isr,2001,8.99984
isr,2002,9.2968
isr,2003,9.40102
isr,2004,9.27596
isr,2005,8.80074
isr,2006,9.12004
isr,2007,9.27424
isr,2008,9.12599
isr,2009,8.77952
isr,2010,9.24891
isr,2011,8.9907
isr,2012,9.61507
isr,2013,8.31317
isr,2014,7.87638
isr,2015,7.89251
isr,2016,7.63632
isr,2017,7.57922
isr,2018,6.9764
ita,1990,7.14502
ita,1991,7.11911
ita,1992,7.08258
ita,1993,6.98429
ita,1994,6.90124
ita,1995,7.32562
ita,1996,7.24847
ita,1997,7.30387
ita,1998,7.49243
ita,1999,7.60784
ita,2000,7.66217
ita,2001,7.6626
ita,2002,7.77213
ita,2003,8.06446
ita,2004,8.18943
ita,2005,8.17378
ita,2006,8.02577
ita,2007,7.86077
ita,2008,7.56425
ita,2009,6.71897
ita,2010,6.83684
ita,2011,6.68059
ita,2012,6.32771
ita,2013,5.75174
ita,2014,5.38731
ita,2015,5.56326
ita,2016,5.49817
ita,2017,5.43786
ita,2018,5.37637
jam,1990,3.0869
jam,1991,3.03362
jam,1992,3.3116
jam,1993,3.34865
jam,1994,3.33992
jam,1995,3.42581
jam,1996,3.53314
jam,1997,3.56049
jam,1998,3.72575
jam,1999,3.79082
jam,2000,3.78951
jam,2001,3.76864
jam,2002,3.80639
jam,2003,3.90856
jam,2004,3.87887
jam,2005,3.85401
jam,2006,4.37843
jam,2007,4.34213
jam,2008,3.45811
jam,2009,2.81847
jam,2010,2.66148
jam,2011,2.68938
jam,2012,2.50165
jam,2013,2.65155
jam,2014,2.57379
jam,2015,2.5216
jam,2016,2.66667
jam,2017,2.46161
jam,2018,2.89963
jor,1990,2.78472
jor,1991,2.60072
jor,1992,2.99673
jor,1993,2.90368
jor,1994,2.94534
jor,1995,2.96371
jor,1996,2.93058
jor,1997,2.96378
jor,1998,2.95511
jor,1999,2.90753
jor,2000,3.17619
jor,2001,3.11462
jor,2002,3.17254
jor,2003,3.18548
jor,2004,3.32961
jor,2005,3.44628
jor,2006,3.36641
jor,2007,3.37155
jor,2008,3.05195
jor,2009,2.99713
jor,2010,2.78178
jor,2011,2.70917
jor,2012,2.98147
jor,2013,2.79376
jor,2014,2.86921
jor,2015,2.73672
jor,2016,2.60197
jor,2017,2.66712
jor,2018,2.4786
jpn,1990,8.84822
jpn,1991,8.9192
jpn,1992,8.98107
jpn,1993,8.88944
jpn,1994,9.29029
jpn,1995,9.34703
jpn,1996,9.43272
jpn,1997,9.31317
jpn,1998,8.94976
jpn,1999,9.20699
jpn,2000,9.3261
jpn,2001,9.20668
jpn,2002,9.47052
jpn,2003,9.51925
jpn,2004,9.47934
jpn,2005,9.49982
jpn,2006,9.30952
jpn,2007,9.58086
jpn,2008,9.05507
jpn,2009,8.60005
jpn,2010,9.02694
jpn,2011,9.48245
jpn,2012,9.81141
jpn,2013,9.89368
jpn,2014,9.58405
jpn,2015,9.29283
jpn,2016,9.22394
jpn,2017,9.08564
jpn,2018,8.74226
kaz,1990,14.53205
kaz,1991,15.04585
kaz,1992,15.55134
kaz,1993,13.32973
kaz,1994,12.14312
kaz,1995,10.90524
kaz,1996,9.6224
kaz,1997,8.26964
kaz,1998,8.6467
kaz,1999,7.92116
kaz,2000,7.70511
kaz,2001,7.52911
kaz,2002,8.1742
kaz,2003,9.14212
kaz,2004,10.00601
kaz,2005,10.72686
kaz,2006,11.77221
kaz,2007,12.2131
kaz,2008,14.70564
kaz,2009,12.69013
kaz,2010,13.69757
kaz,2011,14.62747
kaz,2012,14.38118
kaz,2013,15.04736
kaz,2014,11.87104
kaz,2015,11.77919
kaz,2016,12.5334
kaz,2017,12.50487
kaz,2018,12.06197
ken,1990,0.2588
ken,1991,0.2402
ken,1992,0.23494
ken,1993,0.22421
ken,1994,0.21781
ken,1995,0.2294
ken,1996,0.2438
ken,1997,0.22573
ken,1998,0.23669
ken,1999,0.24085
ken,2000,0.25747
ken,2001,0.23167
ken,2002,0.21984
ken,2003,0.1883
ken,2004,0.2085
ken,2005,0.22744
ken,2006,0.24702
ken,2007,0.24208
ken,2008,0.24905
ken,2009,0.2863
ken,2010,0.30073
ken,2011,0.30177
ken,2012,0.27355
ken,2013,0.30975
ken,2014,0.32184
ken,2015,0.35695
ken,2016,0.38266
ken,2017,0.37614
ken,2018,0.35803
kgz,1990,5.18309
kgz,1991,4.57478
kgz,1992,3.05621
kgz,1993,2.23836
kgz,1994,1.45069
kgz,1995,1.00868
kgz,1996,1.24665
kgz,1997,1.21157
kgz,1998,1.26442
kgz,1999,0.98959
kgz,2000,0.95337
kgz,2001,0.80281
kgz,2002,0.99585
kgz,2003,1.1084
kgz,2004,1.08919
kgz,2005,1.02661
kgz,2006,1.01947
kgz,2007,1.22808
kgz,2008,1.412
kgz,2009,1.25574
kgz,2010,1.16559
kgz,2011,1.38179
kgz,2012,1.79412
kgz,2013,1.63997
kgz,2014,1.66395
kgz,2015,1.72405
kgz,2016,1.59553
kgz,2017,1.50689
kgz,2018,1.73974
khm,1990,0.14038
khm,1991,0.13995
khm,1992,0.14028
khm,1993,0.13841
khm,1994,0.14247
khm,1995,0.1417
