geo,time,er_fsh_aqua_mt
bra,1986,10990
bra,1987,13140
bra,1988,15559
bra,1989,18170
bra,1990,20490
bra,1991,23390
bra,1992,29820
bra,1993,30390
bra,1994,30915
bra,1995,46202
bra,1996,77690
bra,1997,87676
bra,1998,103915
bra,1999,140657
bra,2000,172450
bra,2001,205568
bra,2002,247678
bra,2003,273268
bra,2004,269699
bra,2005,257784
bra,2006,271697
bra,2007,289048
bra,2008,331553
bra,2009,365127
bra,2010,411777
bra,2011,436084
bra,2012,480880
bra,2013,477752
bra,2014,564230
bra,2015,575230
bra,2016,590730
bra,2017,595730
bra,2018,605730
brb,2006,2
brb,2007,2
brb,2008,2
brb,2009,2
brb,2010,2
brb,2011,10.5
brb,2012,10.5
brb,2013,14.5
brb,2014,20.5
brb,2015,20.5
brb,2016,25.5
brb,2017,25.5
brb,2018,25.5
brn,1986,0
brn,1987,2
brn,1988,2
brn,1989,2
brn,1990,6
brn,1991,1
brn,1992,17
brn,1993,36
brn,1994,72
brn,1995,103
brn,1996,119
brn,1997,157
brn,1998,172
brn,1999,194
brn,2000,113
brn,2001,99
brn,2002,157
brn,2003,160
brn,2004,709
brn,2005,454
brn,2006,475
brn,2007,622
brn,2008,473
brn,2009,433
brn,2010,499.98001
brn,2011,530
brn,2012,550
brn,2013,560.84998
brn,2014,711.07001
brn,2015,983.14001
brn,2016,947.63
brn,2017,1632
brn,2018,1116.48706
btn,1988,15
btn,1989,12
btn,1990,31
btn,1991,35
btn,1992,35
btn,1993,30
btn,1994,30
btn,1995,30
btn,1996,30
btn,1997,30
btn,1998,30
btn,1999,30
btn,2000,30
btn,2001,30
btn,2002,30
btn,2003,30
btn,2004,40
btn,2005,40
btn,2006,40
btn,2007,40
btn,2008,46
btn,2009,46
btn,2010,46
btn,2011,75
btn,2012,78.34
btn,2013,69.8
btn,2014,139
btn,2015,149
btn,2016,185
btn,2017,222
btn,2018,223.62
bwa,2015,20
bwa,2016,15
bwa,2017,15
bwa,2018,15
caf,1970,0
caf,1971,0
caf,1972,0
caf,1973,0
caf,1974,0
caf,1975,5
caf,1976,15
caf,1977,30
caf,1978,47
caf,1979,64
caf,1980,80
caf,1981,94
caf,1982,111
caf,1983,128
caf,1984,309
caf,1985,288
caf,1986,193
caf,1987,88
caf,1988,79
caf,1989,82
caf,1990,105
caf,1991,105
caf,1992,338
caf,1993,301
caf,1994,255
caf,1995,210
caf,1996,150
caf,1997,80
caf,1998,80
caf,1999,117
caf,2000,120
caf,2001,125
caf,2002,125
caf,2003,125
caf,2004,125
caf,2005,125
caf,2006,140
caf,2007,140
caf,2008,140
caf,2009,140
caf,2010,170
caf,2011,170
caf,2012,182
caf,2013,180
caf,2014,180
caf,2015,180
caf,2016,190
caf,2017,190
caf,2018,190
can,1960,2975
can,1961,2990
can,1962,3100
can,1963,3215
can,1964,3230
can,1965,3242
can,1966,3258
can,1967,3275
can,1968,3394
can,1969,3405
can,1970,3591
can,1971,3893
can,1972,4561
can,1973,5333
can,1974,4583
can,1975,4129
can,1976,3943
can,1977,3897
can,1978,4038
can,1979,3458
can,1980,3566
can,1981,4074
can,1982,3421
can,1983,4289
can,1984,7720
can,1985,8798
can,1986,12678
can,1987,16890
can,1988,23622
can,1989,32451
can,1990,41216
can,1991,48068
can,1992,45386
can,1993,52442
can,1994,55430
can,1995,65207
can,1996,72376
can,1997,81676
can,1998,91046
can,1999,112916
can,2000,127665
can,2001,153046
can,2002,172046
can,2003,167798
can,2004,145018
can,2005,154587
can,2006,171629
can,2007,152486
can,2008,155549
can,2009,155928
can,2010,162341
can,2011,169706
can,2012,184910
can,2013,168015
can,2014,139732
can,2015,187374
can,2016,200765
can,2017,191616
can,2018,191323
chanisl,1984,0
chanisl,1985,0
chanisl,1986,15
chanisl,1987,25
chanisl,1988,13
chanisl,1989,13
chanisl,1990,67
chanisl,1991,67
chanisl,1992,50
chanisl,1993,81
chanisl,1994,103
chanisl,1995,114
chanisl,1996,191
chanisl,1997,130
chanisl,1998,196
chanisl,1999,249
chanisl,2000,390
chanisl,2001,487
chanisl,2002,580
chanisl,2003,684
chanisl,2004,775
chanisl,2005,650
chanisl,2006,660
chanisl,2007,791
chanisl,2008,972
chanisl,2009,1024.6
chanisl,2010,1130.2
chanisl,2011,1091.1
chanisl,2012,882.243
chanisl,2013,972.13
chanisl,2014,1316.75
chanisl,2015,1768.2
chanisl,2016,1498.65
che,1972,5
che,1973,10
che,1974,15
che,1975,25
che,1976,40
che,1977,60
che,1978,90
che,1979,130
che,1980,170
che,1981,200
che,1982,220
che,1983,250
che,1984,272
che,1985,270
che,1986,271
che,1987,252
che,1988,254
che,1989,1180
che,1990,1070
che,1991,1230
che,1992,1230
che,1993,1135
che,1994,1235
che,1995,1161
che,1996,1161
che,1997,1150
che,1998,1150
che,1999,1135
che,2000,1100
che,2001,1135
che,2002,1135
che,2003,1100
che,2004,1205
che,2005,1214
che,2006,1214
che,2007,1216
che,2008,1216
che,2009,1249
che,2010,1261
che,2011,1466
che,2012,1471
che,2013,1593
che,2014,1593
che,2015,1593
che,2016,1733
che,2017,1733
che,2018,1743
chl,1960,80
chl,1961,80
chl,1962,90
chl,1963,100
chl,1964,110
chl,1965,120
chl,1966,230
chl,1967,144
chl,1968,183
chl,1969,201
chl,1970,183
chl,1971,212
chl,1972,258
chl,1973,370
chl,1974,443
chl,1975,543
chl,1976,736
chl,1977,818
chl,1978,1093
chl,1979,1514
chl,1980,2088
chl,1981,2789
chl,1982,5316
chl,1983,1972
chl,1984,8611
chl,1985,7497
chl,1986,9941
chl,1987,13936
chl,1988,32349
chl,1989,51510
chl,1990,70464
chl,1991,105258
chl,1992,116281
chl,1993,135090
chl,1994,183747
chl,1995,206266
chl,1996,323115
chl,1997,375113
chl,1998,361430
chl,1999,305494
chl,2000,425058
chl,2001,631634
chl,2002,617303
chl,2003,607338
chl,2004,696157
chl,2005,739368
chl,2006,832329
chl,2007,806166
chl,2008,870845
chl,2009,881084
chl,2010,713241
chl,2011,969539
chl,2012,1075547
chl,2013,1045718
chl,2014,1227359
chl,2015,1057742
chl,2016,1050117
chl,2017,1219747.125
chl,2018,1287232.5
chn,1960,958506
chn,1961,777762
chn,1962,741121
chn,1963,856931
chn,1964,1017083
chn,1965,1159540
chn,1966,1320775
chn,1967,1315911
chn,1968,1306208
chn,1969,1513849
chn,1970,1480670
chn,1971,1790968
chn,1972,1987611
chn,1973,1823366
chn,1974,1975622
chn,1975,2157727
chn,1976,2106125
chn,1977,2788044
chn,1978,2987334
chn,1979,2901626
chn,1980,3105342
chn,1981,3033775
chn,1982,3258008
chn,1983,3657489
chn,1984,4271240
chn,1985,5026016
chn,1986,5606227
chn,1987,6325967
chn,1988,7376299
chn,1989,8101298
chn,1990,8392965
chn,1991,9695110
chn,1992,12185159
chn,1993,15221669
chn,1994,18213586
chn,1995,21152498
chn,1996,23465788
chn,1997,23747400
chn,1998,25671892
chn,1999,28000956
chn,2000,29749708
chn,2001,31102502
chn,2002,33160272
chn,2003,34891716
chn,2004,37172412
chn,2005,38943268
chn,2006,40911092
chn,2007,42530160
chn,2008,44072888
chn,2009,46062876
chn,2010,47789756
chn,2011,49147608
chn,2012,52082584
chn,2013,55029056
chn,2014,57320504
chn,2015,59368940
chn,2016,62318376
chn,2017,64358480
