geo,time,dt_dod_dimf_cd
chn,1989,907536555.3
chn,1990,469216030.6
chn,1991,0
chn,1999,325010365.9
chn,2000,308529088
chn,2001,297593664
chn,2002,321934336
chn,2003,351877696
chn,2004,367752768
chn,2005,338451136
chn,2006,356241920
chn,2007,374203200
chn,2008,364735936
chn,2009,10957633395.1
chn,2010,10764299164.7
chn,2011,10731028342.6
chn,2012,10742561295.7
chn,2013,10764089474.6
chn,2014,10126666125.8
chn,2015,9685796677.3
chn,2016,9396432681.2
chn,2017,9954225477.5
chn,2018,9721171324.7
chn,2019,9665491725.9
chn,2020,10066998408.5
civ,1970,0
civ,1971,0
civ,1972,0
civ,1973,0
civ,1974,13676548
civ,1975,13076719
civ,1976,27140348.8
civ,1977,16289261.1
civ,1978,31023338.3
civ,1979,28392413.5
civ,1980,64562529.6
civ,1981,430648955.3
civ,1982,535456740.9
civ,1983,670402858.2
civ,1984,636785646.3
civ,1985,665129330
civ,1986,658897981.6
civ,1987,604082451.9
civ,1988,508502350.4
civ,1989,369614070.8
civ,1990,431253771.2
civ,1991,371504141.6
civ,1992,267382500
civ,1993,218578715.8
civ,1994,328102737
civ,1995,426768309.3
civ,1996,502672001.1
civ,1997,449947876.3
civ,1998,643954087.5
civ,1999,671455204.8
civ,2000,598611576.2
civ,2001,511536865.7
civ,2002,542288056.7
civ,2003,481229898.6
civ,2004,370136638.4
civ,2005,252467682.1
civ,2006,206970838.8
civ,2007,233244900
civ,2008,246606468.7
civ,2009,839175295.4
civ,2010,861428341
civ,2011,1090425757
civ,2012,1265163582.2
civ,2013,1417941380.2
civ,2014,1492154720.8
civ,2015,1508308147.7
civ,2016,1494849865.1
civ,2017,1737919425.3
civ,2018,1814028914.6
civ,2019,1914817944.1
civ,2020,3047380511.8
cmr,1970,0
cmr,1971,0
cmr,1972,0
cmr,1973,0
cmr,1974,5656728
cmr,1975,14200591
cmr,1976,39374418.7
cmr,1977,41166521.9
cmr,1978,61578974.9
cmr,1979,65763748.3
cmr,1980,58755769.5
cmr,1981,43912087.8
cmr,1982,38330774.4
cmr,1983,35176473.1
cmr,1984,30088526.2
cmr,1985,27403382.2
cmr,1986,22181508.8
cmr,1987,16056393.9
cmr,1988,100434973.8
cmr,1989,113242481.4
cmr,1990,121078324.6
cmr,1991,120562366.7
cmr,1992,62781125
cmr,1993,16294541.7
cmr,1994,43664112.1
cmr,1995,51150121.3
cmr,1996,72056177
cmr,1997,92982211.7
cmr,1998,156201219.8
cmr,1999,229367825.8
cmr,2000,267051729.9
cmr,2001,274498234.1
cmr,2002,340237010
cmr,2003,383479225.6
cmr,2004,371406379.3
cmr,2005,306983756
cmr,2006,44774855.4
cmr,2007,55407673.6
cmr,2008,62169301.9
cmr,2009,452571505.1
cmr,2010,444586426.5
cmr,2011,441991737.5
cmr,2012,440023056.2
cmr,2013,437231965.9
cmr,2014,406346345.6
cmr,2015,357776235
cmr,2016,318199294.5
cmr,2017,602413053
cmr,2018,714177033.9
cmr,2019,760370154.8
cmr,2020,1268973016.6
cod,1970,0
cod,1971,0
cod,1972,30649311
cod,1973,34056672
cod,1974,34564812
cod,1975,85753775
cod,1976,209872971.2
cod,1977,267638269
cod,1978,321929831.3
cod,1979,357740721.4
cod,1980,373398926.2
cod,1981,474236102.8
cod,1982,543755674.4
cod,1983,621775015.7
cod,1984,674773452.8
cod,1985,807483000.3
cod,1986,855827028.8
cod,1987,966472055.6
cod,1988,785908985.5
cod,1989,628416856.3
cod,1990,521081946.2
cod,1991,472479629.7
cod,1992,454170750
cod,1993,453695093.4
cod,1994,477766554.2
cod,1995,485145744.9
cod,1996,433202714.2
cod,1997,406479090.4
cod,1998,423415751.4
cod,1999,530252755
cod,2000,503350614.5
cod,2001,485509987.5
cod,2002,688337211.7
cod,2003,831661745.7
cod,2004,952113158.8
cod,2005,914412643.5
cod,2006,962479014.4
cod,2007,944635524
cod,2008,787245859.4
cod,2009,1600700624.2
cod,2010,1109863980.1
cod,2011,1258403794.4
cod,2012,1259756238.2
cod,2013,1262280799.8
cod,2014,1187531873.7
cod,2015,1097782692.5
cod,2016,989239968.6
cod,2017,953621644.6
cod,2018,839163299.8
cod,2019,1129700742.7
cod,2020,1510562208.8
cog,1970,0
cog,1971,0
cog,1972,0
cog,1973,0
cog,1974,0
cog,1975,0
cog,1976,0
cog,1977,11346606.1
cog,1978,21727931.6
cog,1979,28424029.4
cog,1980,22253067.7
cog,1981,14786947.8
cog,1982,13937794.9
cog,1983,12847123.5
cog,1984,10972470.7
cog,1985,9949488.4
cog,1986,19600156.8
cog,1987,19237029.6
cog,1988,15330214.4
cog,1989,11506784.9
cog,1990,10827865.2
cog,1991,5721720.2
cog,1992,5500000
cog,1993,4807459.8
cog,1994,20437899.4
cog,1995,18581125.1
cog,1996,37956393
cog,1997,33507273.5
cog,1998,34160216.6
cog,1999,42348795.2
cog,2000,53979561.3
cog,2001,50928983.3
cog,2002,46394979.5
cog,2003,42546293.1
cog,2004,44144309.3
cog,2005,40331140.8
cog,2006,50095015.6
cog,2007,52620744.8
cog,2008,53151637.1
cog,2009,167577675.4
cog,2010,149648797.7
cog,2011,154753144.9
cog,2012,152389692.4
cog,2013,147853322.5
cog,2014,134017362.5
cog,2015,122821458.3
cog,2016,115577578.7
cog,2017,120028881.4
cog,2018,114865475.6
cog,2019,157171955.8
cog,2020,162308174.3
col,1970,54850000
col,1971,56727825
col,1972,0
col,1973,0
col,1974,0
col,1975,0
col,1976,0
col,1977,0
col,1978,0
col,1979,0
col,1980,0
col,1981,0
col,1982,0
col,1983,0
col,1984,0
col,1985,0
col,1986,0
col,1987,0
col,1988,0
col,1989,0
col,1990,0
col,1991,0
col,1992,0
col,1993,0
col,1994,0
col,1995,0
col,1996,0
col,1997,0
col,1998,0
col,1999,156838089.3
col,2000,148884828.6
col,2001,143607793.8
col,2002,155353709.9
col,2003,169803277.9
col,2004,177464005.7
col,2005,163324112.2
col,2006,171909292.4
col,2007,180576747.7
col,2008,176008193.2
col,2009,1157462066.7
col,2010,1137040044
col,2011,1133525625.1
col,2012,1134743858.5
col,2013,1137017894.3
col,2014,1069686072.9
col,2015,1023116757.5
col,2016,992551057.7
col,2017,1051471059.5
col,2018,1026853403.6
col,2019,1020971932.8
col,2020,6464390082.4
com,1970,0
com,1971,0
com,1972,0
com,1973,0
com,1974,0
com,1975,0
com,1976,0
com,1977,0
com,1978,0
com,1979,0
com,1980,0
com,1991,1287387
com,1992,1237500
com,1993,1236204
com,1994,3284662.4
com,1995,3344602.5
com,1996,3235410.1
com,1997,2792947.4
com,1998,2661176.8
com,1999,3144969.3
com,2000,2399178.5
com,2001,1748614.2
com,2002,1524565.7
com,2003,1265154.9
com,2004,1112576.4
com,2005,1025358.3
com,2006,1079256.6
com,2007,1135251.7
com,2008,6244870.7
com,2009,23446658.6
com,2010,25430797.2
com,2011,27744145.2
com,2012,27999889.8
com,2013,32853101.8
com,2014,30907357.6
com,2015,29202886.2
com,2016,26566684.3
com,2017,26051687.5
com,2018,22316641.5
com,2019,30741595.5
com,2020,41921894.3
cpv,1999,850956.2
cpv,2000,807804.2
cpv,2001,779172.6
cpv,2002,4187321.6
cpv,2003,8232273.8
cpv,2004,10513877.7
cpv,2005,13235040.2
cpv,2006,13930744
cpv,2007,14438744.3
cpv,2008,13315634.2
cpv,2009,25411751.7
cpv,2010,22685687.6
cpv,2011,19962623
cpv,2012,17517320.8
cpv,2013,15648985.7
cpv,2014,13644845.8
cpv,2015,12705763.7
cpv,2016,12326177.9
cpv,2017,13057886.8
cpv,2018,12752167.9
cpv,2019,12679127.8
cpv,2020,47340184.2
cri,1970,0
cri,1971,0
cri,1972,0
cri,1973,0
cri,1974,23067696
cri,1975,35074172
cri,1976,37527109
cri,1977,35603150.1
cri,1978,31683852.8
cri,1979,57712227.3
cri,1980,56900000
cri,1981,102600000
cri,1982,92900000
cri,1983,191890000
cri,1984,155830000
cri,1985,188530000
cri,1986,172410000
cri,1987,132315580.9
cri,1988,71366508.1
cri,1989,35400842.1
cri,1990,11293075.1
cri,1991,83007856.1
cri,1992,81510000
cri,1993,81424633.9
cri,1994,66364778.9
cri,1995,24259517
cri,1996,718980
cri,1997,0
cri,1998,0
cri,1999,32564172
cri,2000,30912842.7
cri,2001,29817176
cri,2002,32255971.5
cri,2003,35256124.2
cri,2004,36846715.3
cri,2005,33910860
cri,2006,35693394.4
cri,2007,37493011.5
cri,2008,36544446
cri,2009,245397926.2
cri,2010,241068175.6
cri,2011,240323070.3
cri,2012,240581352.6
cri,2013,241063479.6
cri,2014,226788694.7
cri,2015,216915336
cri,2016,210434972
cri,2017,222926852.2
cri,2018,217707558.3
cri,2019,216460602.6
cri,2020,757487595.7
dji,1996,4134135.1
dji,1997,5363268.6
dji,1998,8867773.1
dji,1999,14352336.5
dji,2000,14945680.6
dji,2001,16965854.9
