geo,time,ip_tmk_nrct
swe,2020,3983
sxm,2011,2210
sxm,2012,1950
sxm,2013,2084
sxm,2014,1948
syc,2016,511
syc,2017,479
syc,2018,690
syc,2019,540
syc,2020,468
syr,2017,9244
syr,2018,6615
syr,2019,4408
syr,2020,5573
tha,2004,10554
tha,2005,12148
tha,2006,12776
tha,2007,13415
tha,2008,13472
tha,2009,11353
tha,2010,12875
tha,2011,15493
tha,2012,17455
tha,2013,18216
tha,2014,18144
tha,2015,18997
tha,2016,20411
tha,2017,21915
tha,2018,45446
tha,2019,34023
tha,2020,30322
tjk,2004,4629
tjk,2006,5442
tjk,2008,5679
tjk,2009,4269
tjk,2010,4102
tjk,2011,6119
tjk,2012,6137
tjk,2013,6462
tjk,2015,5468
tjk,2016,5045
tjk,2019,5879
tjk,2020,5279
ton,2016,440
ton,2017,375
ton,2018,544
tto,2012,2003
tto,2013,1932
tto,2014,2044
tto,2015,2419
tto,2016,1978
tto,2017,1964
tto,2018,1886
tto,2019,1678
tto,2020,1647
tur,2007,30430
tur,2008,31584
tur,2009,24734
tur,2011,29965
tur,2012,32002
tur,2013,33034
tur,2014,32945
tur,2015,32411
tur,2016,33254
tur,2017,32261
tur,2018,33373
tur,2019,33695
tur,2020,32228
tza,2004,382
tza,2005,310
tza,2006,461
tza,2007,509
tza,2018,2024
tza,2019,2237
tza,2020,1691
uga,2004,641
uga,2005,645
uga,2006,779
uga,2007,778
uga,2008,931
uga,2009,760
uga,2013,1354
uga,2014,1590
uga,2015,1769
uga,2016,1826
uga,2017,1532
uga,2018,1698
uga,2019,1617
uga,2020,1507
ukr,2004,22554
ukr,2005,25626
ukr,2006,29843
ukr,2008,34245
ukr,2009,26049
ukr,2010,27641
ukr,2011,30439
ukr,2012,31694
ukr,2013,32592
ukr,2014,26076
ukr,2015,22404
ukr,2016,23638
ukr,2017,24506
ukr,2018,25307
ukr,2019,25112
ukr,2020,24169
ury,2008,11025
ury,2010,5317
ury,2011,6571
ury,2012,5806
ury,2013,6341
ury,2014,6056
ury,2015,5808
ury,2016,5480
ury,2017,5606
ury,2018,5687
ury,2019,5279
ury,2020,5238
usa,2004,62342
usa,2005,68219
usa,2006,77187
usa,2007,88880
usa,2008,88419
usa,2009,76447
usa,2010,82317
usa,2011,91313
usa,2012,96816
usa,2013,101577
usa,2014,110513
usa,2015,128969
usa,2016,156760
usa,2017,185678
usa,2018,194236
usa,2019,212447
usa,2020,320926
uzb,2004,6048
uzb,2005,6151
uzb,2006,7305
uzb,2007,9079
uzb,2008,8122
uzb,2009,6070
uzb,2010,6075
uzb,2011,7004
uzb,2012,7043
uzb,2013,7506
uzb,2014,6601
uzb,2015,6179
uzb,2016,5762
uzb,2017,6506
uzb,2018,7032
uzb,2019,7684
uzb,2020,6996
vct,2013,485
vct,2017,360
vct,2018,382
vct,2019,396
vct,2020,284
ven,2004,6977
ven,2005,9400
ven,2006,9314
ven,2007,9699
ven,2008,8943
ven,2009,7977
ven,2010,8010
ven,2011,9328
ven,2012,10590
ven,2013,9688
ven,2014,7480
ven,2015,6601
ven,2016,5160
ven,2017,4025
vnm,2010,18998
vnm,2011,19116
vnm,2012,20509
vnm,2013,21482
vnm,2014,22312
vnm,2015,22518
vnm,2016,26965
vnm,2017,29468
vnm,2018,33451
vnm,2019,37865
vnm,2020,31805
wsm,2004,122
wsm,2006,184
wsm,2007,130
wsm,2012,205
wsm,2014,265
wsm,2015,437
wsm,2016,187
wsm,2017,218
wsm,2018,337
wsm,2019,1120
wsm,2020,1602
yem,2004,1261
yem,2005,1278
yem,2006,1737
yem,2007,1934
yem,2008,1746
yem,2010,2085
yem,2011,1042
yem,2013,1921
yem,2014,2575
yem,2015,1969
yem,2016,1842
yem,2017,1772
yem,2018,1755
yem,2019,1359
yem,2020,1530
zaf,2004,8844
zaf,2005,10850
zaf,2006,11778
zaf,2007,17921
zaf,2008,13875
zaf,2009,10487
zaf,2010,12509
zaf,2011,13962
zaf,2012,14105
zaf,2013,15199
zaf,2014,14943
zaf,2015,15326
zaf,2016,15112
zaf,2017,15337
zaf,2018,15820
zaf,2019,15788
zaf,2020,14219
zmb,2004,3155
zmb,2005,2790
zmb,2006,3391
zmb,2007,3436
zmb,2008,3042
zmb,2009,2230
zmb,2010,3726
zmb,2011,2728
zmb,2012,3386
zmb,2013,3607
zmb,2014,3407
zmb,2015,3195
zmb,2016,3361
zmb,2017,3417
zmb,2018,3485
zmb,2019,3758
zmb,2020,3287
zwe,2012,1451
zwe,2013,1251
zwe,2014,1682
zwe,2015,2399
zwe,2016,3086
