geo,time,dt_nfl_wfpg_cd
lka,2013,4578383.92258
lka,2014,523679.97169
lka,2015,826735.97336
lka,2016,278923.00487
lka,2018,38207.41922
lka,2019,367559.99923
lso,1969,980000.01907
lso,1970,2170000.07629
lso,1971,2960000.03815
lso,1972,1720000.02861
lso,1973,3690000.05722
lso,1974,4039999.96185
lso,1975,6530000.20981
lso,1976,5050000.19073
lso,1977,4539999.96185
lso,1978,6730000.01907
lso,1979,6409999.84741
lso,1980,9399999.61853
lso,1981,14260000.22888
lso,1982,3440000.05722
lso,1983,10640000.34332
lso,1984,8319999.69482
lso,1985,10189999.58038
lso,1986,8090000.15259
lso,1987,10630000.11444
lso,1988,3950000.04768
lso,1989,9100000.38147
lso,1990,8380000.11444
lso,1991,10439999.58038
lso,1992,12210000.03815
lso,1993,7099999.90463
lso,1994,5869999.88556
lso,1995,7309999.94278
lso,1996,3799999.95232
lso,1997,3180000.06676
lso,1998,2019999.98093
lso,1999,1379999.99523
lso,2000,1240000.00954
lso,2001,1000000
lso,2002,3480000.01907
lso,2003,2420000.07629
lso,2004,6260000.22888
lso,2005,4920000.07629
lso,2006,2529999.97139
lso,2007,1250000
lso,2008,1570000.05245
lso,2009,1750000
lso,2010,1480000.01907
lso,2011,2089999.91417
lso,2012,999225.97408
lso,2013,-46669.15908
lso,2014,2499.99994
lso,2015,231840.99793
lso,2016,557188.98773
lso,2017,1234940.05203
lso,2018,678699.91064
lso,2019,3940030.09796
mar,1969,810000.00238
mar,1970,1110000.01431
mar,1971,3210000.03815
mar,1972,-59999.99866
mar,1973,920000.01669
mar,1974,2660000.08583
mar,1975,740000.00954
mar,1976,730000.01907
mar,1977,2950000.04768
mar,1978,4760000.22888
mar,1979,4289999.96185
mar,1981,15619999.88556
mar,1982,14239999.77112
mar,1983,13189999.58038
mar,1984,16079999.92371
mar,1985,17870000.83923
mar,1986,21920000.07629
mar,1987,11390000.34332
mar,1988,21790000.91553
mar,1989,28790000.91553
mar,1990,25760000.22888
mar,1991,16989999.77112
mar,1992,23100000.38147
mar,1993,23149999.61853
mar,1994,8939999.58038
mar,1995,2000000
mar,1996,479999.98927
mar,1997,4329999.92371
mar,1998,409999.99642
mar,1999,2619999.88556
mar,2000,2190000.05722
mar,2001,2059999.94278
mar,2002,1340000.03338
mar,2003,379999.99523
mar,2004,150000.00596
mar,2005,19999.99955
mda,1995,2279999.97139
mdg,1969,29999.99933
mdg,1970,280000.00119
mdg,1971,509999.99046
mdg,1972,569999.99285
mdg,1973,750000
mdg,1974,620000.00477
mdg,1975,620000.00477
mdg,1976,1679999.94755
mdg,1977,2089999.91417
mdg,1978,189999.99762
mdg,1979,790000.02146
mdg,1980,769999.98093
mdg,1981,3029999.97139
mdg,1982,79999.99821
mdg,1983,779999.97139
mdg,1984,409999.99642
mdg,1985,1269999.98093
mdg,1986,2240000.00954
mdg,1987,6519999.98093
mdg,1988,1740000.00954
mdg,1989,4079999.92371
mdg,1990,779999.97139
mdg,1991,8010000.22888
mdg,1992,11939999.58038
mdg,1993,2880000.11444
mdg,1994,1409999.96662
mdg,1995,4849999.90463
