geo,time,ic_bus_nreg
nam,2009,875
nam,2010,747
nam,2011,829
nam,2012,1050
nam,2013,1044
nam,2014,1112
nam,2015,1226
nam,2016,1409
nam,2017,1140
nam,2018,2850
nam,2019,1155
nam,2020,852
ner,2016,762
ner,2017,759
ner,2018,931
nga,2006,34531
nga,2007,46240
nga,2008,64017
nga,2009,65089
nga,2010,65074
nga,2011,72396
nga,2012,81144
nga,2013,74391
nga,2014,71941
nga,2015,70441
nga,2016,75380
nga,2017,78540
nga,2018,86309
nga,2019,90748
nga,2020,97988
nld,2016,31509
nld,2017,31981
nld,2018,33084
nld,2019,33284
nld,2020,34777
nor,2006,34813
nor,2007,20375
nor,2008,17372
nor,2009,12842
nor,2010,13946
nor,2011,16249
nor,2012,25614
nor,2013,26295
nor,2014,25885
nor,2015,26706
nor,2016,27918
nor,2017,29890
nor,2018,29959
nor,2019,30263
nor,2020,33128
npl,2006,5596
npl,2007,7178
npl,2008,8510
npl,2009,9893
npl,2010,9750
npl,2011,10000
npl,2012,10456
npl,2013,9359
npl,2014,11971
npl,2015,12446
npl,2016,17222
npl,2017,19268
npl,2018,24088
npl,2019,18085
npl,2020,25859
nzl,2006,67842
nzl,2007,70351
nzl,2008,53401
nzl,2009,48316
nzl,2010,45168
nzl,2011,42172
nzl,2012,43860
nzl,2013,45419
nzl,2014,48904
nzl,2015,52337
nzl,2016,58130
nzl,2017,57917
nzl,2018,56380
nzl,2019,53098
nzl,2020,58375
omn,2006,2516
omn,2007,3815
omn,2008,4345
omn,2009,3646
omn,2010,3811
omn,2011,5116
omn,2012,5091
omn,2013,4481
omn,2014,3538
omn,2015,6716
omn,2016,7666
omn,2017,5807
omn,2018,5425
omn,2019,6503
omn,2020,5804
pak,2006,4117
pak,2007,3356
pak,2008,3458
pak,2009,2414
pak,2010,2868
pak,2011,3367
pak,2012,3928
pak,2013,3937
pak,2014,4680
pak,2015,5385
pak,2016,6716
pak,2017,9624
pak,2018,12991
pak,2019,15958
pak,2020,19791
pan,2013,30203
pan,2014,29488
pan,2015,26387
pan,2016,22953
pan,2017,18068
pan,2018,15416
pan,2019,16177
pan,2020,11833
per,2006,37735
per,2007,47561
per,2008,55674
per,2009,55879
per,2010,60247
per,2011,71295
per,2012,75210
per,2013,74742
per,2014,74488
per,2015,79531
per,2016,75835
per,2017,79513
per,2018,79798
per,2019,88782
per,2020,83351
phl,2006,13325
phl,2007,12285
phl,2008,13470
phl,2009,11435
phl,2010,11714
phl,2011,17495
phl,2012,18515
phl,2013,20231
phl,2014,21066
phl,2015,21453
phl,2016,22412
phl,2017,24379
phl,2018,20092
phl,2019,21835
phl,2020,15161
pol,2006,13110
pol,2007,13781
pol,2008,12678
pol,2009,14434
pol,2010,18120
pol,2011,19320
pol,2012,24753
pol,2013,29891
pol,2014,30155
pol,2015,40224
pol,2016,43523
pol,2017,38903
pol,2018,36879
pol,2019,40248
pol,2020,41143
pri,2015,4811
pri,2016,5564
pri,2017,5793
pri,2018,8477
pri,2019,10352
pri,2020,11218
prt,2006,31849
prt,2007,34720
prt,2008,31324
prt,2009,28381
prt,2010,28501
prt,2011,31896
prt,2012,27803
prt,2013,32081
prt,2014,31860
