geo,time,it_mlt_main
bhs,2002,126556
bhs,2003,131856
bhs,2004,139936
bhs,2005,133074
bhs,2006,131564
bhs,2007,132854
bhs,2008,132756
bhs,2009,128964
bhs,2010,129314
bhs,2011,132995
bhs,2012,135000
bhs,2013,136000
bhs,2014,125658
bhs,2015,120925
bhs,2016,121088
bhs,2017,113852
bhs,2018,113455
bhs,2019,91129
bhs,2020,91000
bih,1992,600000
bih,1993,600000
bih,1994,250000
bih,1995,237843
bih,1996,272250
bih,1997,302889
bih,1998,333182
bih,1999,367921
bih,2000,780000
bih,2001,847026
bih,2002,902836
bih,2003,938019
bih,2004,951526
bih,2005,968857
bih,2006,989000
bih,2007,1064452
bih,2008,1031355
bih,2009,998644
bih,2010,998615
bih,2011,955937
bih,2012,886313
bih,2013,846484
bih,2014,847694
bih,2015,772684
bih,2016,744991
bih,2017,759344
bih,2018,792535
bih,2019,728322
bih,2020,706135
blr,1960,75000
blr,1961,75000
blr,1962,75000
blr,1963,75000
blr,1964,75000
blr,1965,114900
blr,1966,114900
blr,1967,114900
blr,1968,114900
blr,1969,114900
blr,1970,257600
blr,1971,257600
blr,1972,257600
blr,1973,257600
blr,1974,257600
blr,1975,490200
blr,1976,541000
blr,1977,584300
blr,1978,631400
blr,1979,675900
blr,1980,722900
blr,1981,756700
blr,1982,803200
blr,1983,860300
blr,1984,972100
blr,1985,1002900
blr,1986,1114874
blr,1987,1227516
blr,1988,1347501
blr,1989,1464128
blr,1990,1574158
blr,1991,1673460
blr,1992,1744496
blr,1993,1814359
blr,1994,1890000
blr,1995,1968435
blr,1996,2127972
blr,1997,2312599
blr,1998,2489851
blr,1999,2638468
blr,2000,2751905
blr,2001,2862376
blr,2002,2967163
blr,2003,3071342
blr,2004,3175886
blr,2005,3284272
blr,2006,3367950
blr,2007,3671850
blr,2008,3718094
blr,2009,3983178
blr,2010,4138600
blr,2011,4207978
blr,2012,4407040
blr,2013,4468600
blr,2014,4514315
blr,2015,4540676
blr,2016,4515382
blr,2017,4499821
blr,2018,4488796
blr,2019,4452779
blr,2020,4406560
blz,1960,1018
blz,1961,1018
blz,1962,1018
blz,1963,1018
blz,1964,1018
blz,1965,2800
blz,1966,2800
blz,1967,2800
blz,1968,2800
blz,1969,2800
blz,1970,3000
blz,1971,3000
blz,1972,3000
blz,1973,3000
blz,1974,3000
blz,1975,3300
blz,1976,3345
blz,1977,3518
blz,1978,3588
blz,1979,3851
blz,1980,3870
blz,1981,3898
blz,1982,5229
blz,1983,6039
blz,1984,6079
blz,1985,7000
blz,1986,8000
blz,1987,10000
blz,1988,12250
blz,1989,15254
blz,1990,17320
blz,1991,21276
blz,1992,24840
blz,1993,28624
blz,1994,28192
blz,1995,28947
blz,1996,29600
blz,1997,30667
blz,1998,32487
blz,1999,36116
blz,2000,35754
blz,2001,35237
blz,2002,31300
blz,2003,33278
blz,2004,33716
blz,2005,33770
blz,2006,34325
blz,2007,33905
blz,2008,31124
blz,2009,31168
blz,2010,30288
blz,2011,28844
blz,2012,25415
blz,2013,24051
blz,2014,22700
blz,2015,23603
blz,2016,22400
blz,2017,21084
blz,2018,20869
blz,2019,18500
blz,2020,19000
bmu,1960,9300
bmu,1961,9300
bmu,1962,9300
bmu,1963,9300
bmu,1964,9300
bmu,1965,12542
bmu,1966,12542
bmu,1967,12542
bmu,1968,12542
bmu,1969,12542
bmu,1970,16034
bmu,1971,16034
bmu,1972,16034
bmu,1973,16034
bmu,1974,16034
bmu,1975,17500
bmu,1976,17900
bmu,1977,19383
bmu,1978,20500
bmu,1979,21500
bmu,1980,22371
bmu,1981,23499
bmu,1982,26453
bmu,1983,27480
bmu,1984,28720
bmu,1985,29823
bmu,1986,31356
bmu,1987,32818
bmu,1988,34588
bmu,1989,36298
bmu,1990,37319
bmu,1991,38989
bmu,1992,39786
bmu,1993,42068
bmu,1994,44215
bmu,1995,46402
bmu,1996,48524
bmu,1997,51853
bmu,1998,53730
bmu,1999,54933
bmu,2000,56073
bmu,2001,56151
bmu,2002,56000
bmu,2003,54000
bmu,2004,53850
bmu,2005,52471
bmu,2006,57654
bmu,2007,57600
bmu,2008,57600
bmu,2009,57700
bmu,2010,57800
bmu,2012,69000
bmu,2013,72000
bmu,2014,29234
bmu,2015,12000
bmu,2016,20351
bmu,2017,21883
bmu,2019,25000
bmu,2020,25000
bol,1980,135100
bol,1981,142000
bol,1982,148100
bol,1983,150000
bol,1984,157719
bol,1985,158746
bol,1986,159774
bol,1987,164248
bol,1988,165296
bol,1989,169932
bol,1990,182686
bol,1991,204059
bol,1992,208034
bol,1993,231739
bol,1994,242823
bol,1995,246881
bol,1996,348595
bol,1997,384530
bol,1998,452381
bol,1999,502568
bol,2000,510755
bol,2001,524391
bol,2002,590638
bol,2003,610261
bol,2004,625428
bol,2005,646291
bol,2006,666553
bol,2007,678198
bol,2008,788972
bol,2009,804217
bol,2010,851203
bol,2011,878483
bol,2012,880371
bol,2013,874381
bol,2014,876111
bol,2015,881235
bol,2016,867346
bol,2017,851110
bol,2018,711961
bol,2019,652272
bol,2020,598082
bra,1960,650000
bra,1961,650000
bra,1962,650000
bra,1963,650000
bra,1964,650000
bra,1965,850000
bra,1966,850000
bra,1967,850000
bra,1968,850000
bra,1969,850000
bra,1970,1250000
bra,1971,1250000
bra,1972,1250000
bra,1973,1250000
bra,1974,1250000
bra,1975,2201242
bra,1976,2510000
bra,1977,3060000
bra,1978,3720000
bra,1979,4290073
bra,1980,4950000
bra,1981,5330000
bra,1982,5822397
bra,1983,6300000
bra,1984,6700000
bra,1985,7201516
bra,1986,7451000
bra,1987,7810000
bra,1988,8270000
bra,1989,8790000
bra,1990,9409000
bra,1991,10075924
bra,1992,10841000
bra,1993,11303000
bra,1994,12269000
bra,1995,13263000
bra,1996,15105886
bra,1997,17038823
bra,1998,19986556
bra,1999,24985000
bra,2000,30926272
bra,2001,37430779
bra,2002,38810685
bra,2003,39205000
bra,2004,39578903
bra,2005,39852600
bra,2006,38800200
bra,2007,39399622
bra,2008,41235247
bra,2009,41496998
bra,2010,42141418
bra,2011,43025835
bra,2012,44305294
bra,2013,45038117
bra,2014,44128188
bra,2015,43677141
bra,2016,42003948
bra,2017,40375700
bra,2018,38311924
bra,2019,33712877
bra,2020,30653813
brb,1960,6933
brb,1961,6933
brb,1962,6933
brb,1963,6933
brb,1964,6933
brb,1965,10801
brb,1966,10801
brb,1967,10801
brb,1968,10801
brb,1969,10801
brb,1970,18682
brb,1971,18682
brb,1972,18682
brb,1973,18682
brb,1974,18682
brb,1975,27046
brb,1976,28962
brb,1977,31313
brb,1978,32539
brb,1979,33765
brb,1980,34539
brb,1981,34962
brb,1982,38190
brb,1983,41917
brb,1984,46050
brb,1985,48488
brb,1986,51692
brb,1987,55040
brb,1988,59487
brb,1989,66113
brb,1990,72141
brb,1991,77977
brb,1992,80095
brb,1993,82507
brb,1994,85376
brb,1995,90132
brb,1996,96547
brb,1997,108457
brb,1998,113031
brb,1999,115000
brb,2000,123832
brb,2001,128956
brb,2002,133000
brb,2003,134000
brb,2004,135732
brb,2005,134878
brb,2006,134261
brb,2007,134261
brb,2008,135000
brb,2009,135700
brb,2010,137486
brb,2011,140668
brb,2012,143358
brb,2013,148735
brb,2014,135775
brb,2015,149532
brb,2016,139715
brb,2017,120471
brb,2018,128043
brb,2019,128043
brb,2020,128000
brn,1977,7200
brn,1978,8200
brn,1979,9500
brn,1980,11100
brn,1981,14006
brn,1982,15000
brn,1983,17000
brn,1984,19000
