geo,time,sh_xpd_ghed_ch_zs
che,2012,33.74251
che,2013,32.78795
che,2014,32.09706
che,2015,31.81683
che,2016,30.99546
che,2017,31.55607
che,2018,31.22077
che,2019,32.10949
chl,2000,35.79472
chl,2001,36.36409
chl,2002,37.54185
chl,2003,38.24769
chl,2004,39.46642
chl,2005,39.34249
chl,2006,41.34891
chl,2007,42.25885
chl,2008,43.52521
chl,2009,46.86125
chl,2010,47.1045
chl,2011,47.15742
chl,2012,47.93561
chl,2013,47.64935
chl,2014,47.73589
chl,2015,48.01673
chl,2016,49.65286
chl,2017,50.39948
chl,2018,50.82175
chl,2019,50.91718
chn,2000,21.97529
chn,2001,22.91764
chn,2002,25.38584
chn,2003,28.37374
chn,2004,30.24401
chn,2005,32.75774
chn,2006,35.1399
chn,2007,39.02609
chn,2008,44.5224
chn,2009,49.39832
chn,2010,51.90623
chn,2011,53.72209
chn,2012,55.73525
chn,2013,57.05029
chn,2014,58.41549
chn,2015,60.18101
chn,2016,58.10143
chn,2017,56.67335
chn,2018,56.41642
chn,2019,55.97904
civ,2000,9.57921
civ,2001,8.47143
civ,2002,9.20236
civ,2003,9.40727
civ,2004,10.22675
civ,2005,10.5683
civ,2006,11.71043
civ,2007,12.92248
civ,2008,13.20676
civ,2009,14.95025
civ,2010,13.30677
civ,2011,13.18705
civ,2012,16.85138
civ,2013,19.57718
civ,2014,20.84158
civ,2015,24.98393
civ,2016,25.68556
civ,2017,28.72467
civ,2018,29.06596
civ,2019,29.081
cmr,2000,15.6902
cmr,2001,20.09416
cmr,2002,22.16151
cmr,2003,22.00798
cmr,2004,18.94437
cmr,2005,17.30471
cmr,2006,17.3625
cmr,2007,15.35292
cmr,2008,15.05684
cmr,2009,12.81125
cmr,2010,11.36357
cmr,2011,14.8734
cmr,2012,16.28309
cmr,2013,13.22959
cmr,2014,15.52238
cmr,2015,10.10759
cmr,2016,10.16362
cmr,2017,4.16938
cmr,2018,6.07325
cmr,2019,3.3547
cod,2000,4.00192
cod,2001,3.92997
cod,2002,3.92853
cod,2003,6.01216
cod,2004,4.21227
cod,2005,5.12783
cod,2006,5.15119
cod,2007,5.6106
cod,2008,5.84642
cod,2009,6.85447
cod,2010,10.30626
cod,2011,10.85278
cod,2012,16.13482
cod,2013,13.97492
cod,2014,13.84381
cod,2015,16.67855
cod,2016,12.62531
cod,2017,9.94901
cod,2018,15.07838
cod,2019,15.81804
cog,2000,34.19883
cog,2001,44.16408
cog,2002,25.38571
cog,2003,26.12216
cog,2004,22.64743
