geo,time,eg_elc_rnwx_kh
chn,1987,0
chn,1988,0
chn,1989,0
chn,1990,68000000
chn,1991,75000000
chn,1992,131000000
chn,1993,143000000
chn,1994,505000000
chn,1995,3085000000
chn,1996,1640000000
chn,1997,2939000000
chn,1998,2864000000
chn,1999,3031000000
chn,2000,3174000000
chn,2001,3334000000
chn,2002,3467000000
chn,2003,3640000000
chn,2004,3936000000
chn,2005,7434000000
chn,2006,11096000000
chn,2007,15647000000
chn,2008,29803000000
chn,2009,48011000000
chn,2010,70255000000
chn,2011,100573000000
chn,2012,132470000000
chn,2013,193807000000
chn,2014,229840000000
chn,2015,283851000000
civ,1971,0
civ,1972,0
civ,1973,0
civ,1974,0
civ,1975,0
civ,1976,0
civ,1977,0
civ,1978,0
civ,1979,0
civ,1980,0
civ,1981,0
civ,1982,0
civ,1983,0
civ,1984,0
civ,1985,0
civ,1986,0
civ,1987,0
civ,1988,0
civ,1989,0
civ,1990,0
civ,1991,0
civ,1992,0
civ,1993,0
civ,1994,0
civ,1995,0
civ,1996,0
civ,1997,0
civ,1998,0
civ,1999,0
civ,2000,0
civ,2001,0
civ,2002,0
civ,2003,0
civ,2004,107000000
civ,2005,110000000
civ,2006,112000000
civ,2007,115000000
civ,2008,118000000
civ,2009,72000000
civ,2010,69000000
civ,2011,64000000
civ,2012,66000000
civ,2013,68000000
civ,2014,70000000
civ,2015,105000000
cmr,1971,0
cmr,1972,0
cmr,1973,0
cmr,1974,0
cmr,1975,0
cmr,1976,0
cmr,1977,0
cmr,1978,0
cmr,1979,0
cmr,1980,0
cmr,1981,0
cmr,1982,0
cmr,1983,0
cmr,1984,0
cmr,1985,0
cmr,1986,0
cmr,1987,0
cmr,1988,0
cmr,1989,0
cmr,1990,0
cmr,1991,0
cmr,1992,0
cmr,1993,0
cmr,1994,0
cmr,1995,0
cmr,1996,0
cmr,1997,0
cmr,1998,0
cmr,1999,0
cmr,2000,0
cmr,2001,0
cmr,2002,0
cmr,2003,0
cmr,2004,0
cmr,2005,0
cmr,2006,643000000
cmr,2007,76000000
cmr,2008,77000000
cmr,2009,71000000
cmr,2010,59000000
cmr,2011,61000000
cmr,2012,64000000
cmr,2013,68000000
cmr,2014,72000000
cmr,2015,76000000
cod,1971,0
cod,1972,0
cod,1973,0
cod,1974,0
cod,1975,0
cod,1976,0
cod,1977,0
cod,1978,0
cod,1979,0
cod,1980,0
cod,1981,0
cod,1982,0
cod,1983,0
cod,1984,0
cod,1985,0
cod,1986,0
cod,1987,0
cod,1988,0
cod,1989,0
cod,1990,0
cod,1991,0
cod,1992,0
cod,1993,0
cod,1994,0
cod,1995,0
cod,1996,0
cod,1997,0
cod,1998,0
cod,1999,0
cod,2000,0
cod,2001,0
cod,2002,0
