geo,time,dt_nfl_whol_cd
mkd,2011,370000.00477
mkd,2012,47913.46937
mkd,2013,117442.2726
mkd,2014,289820.9393
mkd,2015,454932.74927
mkd,2016,835954.66614
mkd,2017,777690.41061
mkd,2018,541004.18091
mkd,2019,627339.3631
mli,2011,1129999.99523
mli,2012,1331096.41075
mli,2013,1655198.93169
mli,2014,1307863.11626
mli,2015,1664939.16512
mli,2016,1315177.67906
mli,2017,1584039.68811
mli,2018,3098266.36314
mli,2019,2355745.07713
mmr,2011,3380000.11444
mmr,2012,1762350.32082
mmr,2013,3486157.17888
mmr,2014,3328246.35506
mmr,2015,3533417.70172
mmr,2016,4324925.42267
mmr,2017,2620742.55943
mmr,2018,3629695.65392
mmr,2019,5082923.88916
mne,2014,133659.82473
mne,2015,243858.17349
mne,2016,150273.99361
mne,2017,296475.9171
mne,2018,269176.00632
mne,2019,171124.66693
mng,2011,1279999.97139
mng,2012,1289062.38079
mng,2013,1251484.03645
mng,2014,1319479.82311
mng,2015,1434005.14126
mng,2016,1148729.68197
mng,2017,1474896.43097
mng,2018,1053885.22148
mng,2019,1990318.89439
moz,2011,1690000.05722
moz,2012,1792615.77129
moz,2013,1605732.79858
moz,2014,1892694.47327
moz,2015,1705706.59637
moz,2016,1741474.27082
moz,2017,1012926.10168
moz,2018,1840310.57358
moz,2019,1065288.30528
mrt,2011,939999.99762
mrt,2012,1159986.13834
mrt,2013,1195010.06603
mrt,2014,1218349.21837
mrt,2015,1477928.40004
mrt,2016,1314541.10146
mrt,2017,807361.36436
mrt,2018,1380027.41337
mrt,2019,794529.73604
mus,2011,569999.99285
mus,2012,411821.39516
mus,2013,887793.48135
mus,2014,551404.77419
mus,2015,760352.0751
mus,2016,408096.6413
mus,2017,887531.57854
mus,2018,719550.25196
mus,2019,673078.59659
mwi,2011,899999.97616
mwi,2012,991271.01898
mwi,2013,1207656.62193
mwi,2014,732508.48055
mwi,2015,1864071.48838
mwi,2016,990499.91369
mwi,2017,924494.20691
mwi,2018,926290.6909
mwi,2019,656872.45131
mys,2011,779999.97139
mys,2012,572104.81167
mys,2013,649475.15726
mys,2014,631941.79535
mys,2015,724606.99081
mys,2016,504387.97474
mys,2017,742078.66192
mys,2018,455261.6775
mys,2019,857489.70509
nam,2011,1029999.97139
nam,2012,1247915.74478
nam,2013,874787.27102
nam,2014,1060109.2577
nam,2015,1953714.25152
nam,2016,1229609.84707
nam,2017,1301880.83649
nam,2018,1322753.78704
nam,2019,1014010.78701
ner,2011,1350000.02384
ner,2012,1137319.20719
ner,2013,1751621.60397
ner,2014,1707889.55688
ner,2015,2451141.35742
ner,2016,1301138.40103
ner,2017,1605719.56635
ner,2018,1678320.52708
ner,2019,1460501.79005
nga,2011,3619999.88556
nga,2012,3002861.26137
nga,2013,7790812.96921
nga,2014,2429997.92099
nga,2015,5774095.05844
nga,2016,2668943.64357
nga,2017,4512045.86029
nga,2018,3487666.36848
nga,2019,3769139.52827
nic,2017,1463555.09758
nic,2018,497420.19176
nic,2019,224739.47704
npl,2011,3230000.01907
npl,2012,3066632.50923
npl,2013,3458216.66718
npl,2014,4381365.77606
npl,2015,4240870.95261
npl,2016,3266065.83595
npl,2017,2559394.35959
npl,2018,3388025.99907
npl,2019,3763460.39772
nru,2011,50000.00075
nru,2013,95159.97767
nru,2014,26024.30992
nru,2015,80569.32688
nru,2016,13597.69981
nru,2017,72047.95629
nru,2018,12264.84962
nru,2019,62949.18805
pak,2011,1659999.96662
pak,2012,709502.57778
pak,2013,1108105.06344
pak,2014,1462886.8103
pak,2015,2648673.05756
pak,2016,2144169.56902
pak,2017,2128327.13127
pak,2018,3229487.18071
pak,2019,3466371.05942
pan,2017,425112.15806
pan,2018,171463.20641
pan,2019,525805.95016
per,2017,1008265.61451
per,2018,607242.04779
per,2019,865953.56464
phl,2011,1230000.01907
phl,2012,961598.03867
phl,2013,1400011.06262
phl,2014,959543.22815
phl,2015,2081538.91563
phl,2016,1427192.21115
phl,2017,1394721.74644
phl,2018,801509.79757
phl,2019,2716247.79701
plw,2011,29999.99933
plw,2012,48999.99872
plw,2013,58966.94958
plw,2014,35637.93004
plw,2015,88072.56818
plw,2016,31175.09931
plw,2017,86431.36173
plw,2018,31059.00064
plw,2019,71204.64742
png,2011,2269999.98093
png,2012,2172424.55482
png,2013,1376223.80257
png,2014,1509922.74284
png,2015,1898655.17616
png,2016,1794720.29209
png,2017,2069102.04887
png,2018,1928313.49373
png,2019,6281801.22375
prk,2011,2490000.00954
prk,2012,1380943.29834
prk,2013,2960026.26419
prk,2014,1848560.09483
prk,2015,1844574.92828
prk,2016,3702724.45679
prk,2017,1901610.37445
prk,2018,1617405.89142
prk,2019,2271990.29922
pry,2017,659571.58804
pry,2018,199304.86381
pry,2019,826014.63795
pse,2011,560000.00238
pse,2012,361380.33867
pse,2013,407098.77014
pse,2014,520247.39981
pse,2015,1053780.43652
pse,2016,827655.61342
pse,2017,1119970.9177
pse,2018,1383713.48381
pse,2019,1838472.24712
rwa,2011,1120000.00477
rwa,2012,1391931.53381
rwa,2013,1581479.66862
rwa,2014,1906885.38551
rwa,2015,2258759.4986
rwa,2016,1698700.66643
rwa,2017,1149724.36428
rwa,2018,1790242.31434
rwa,2019,1132114.52961
sdn,2011,3319999.93324
sdn,2012,868250.13161
sdn,2013,1814280.03311
sdn,2014,1140906.57234
sdn,2015,1549887.29954
sdn,2016,1936728.35827
sdn,2017,1859487.41436
sdn,2018,2646569.25201
sdn,2019,2995280.26581
sen,2011,1389999.98569
sen,2012,1165471.79222
sen,2013,1272435.3075
sen,2014,1469238.75809
sen,2015,1413777.94743
sen,2016,1271559.95369
sen,2017,1306041.95595
sen,2018,1169709.44405
sen,2019,915826.20144
slb,2011,980000.01907
slb,2012,1021105.7663
slb,2013,951486.17029
slb,2014,783241.03355
slb,2015,1420836.68709
slb,2016,990501.16539
slb,2017,1253687.38174
slb,2018,756537.55665
slb,2019,1434455.03712
sle,2011,1190000.05722
sle,2012,804192.30461
sle,2013,1443676.23329
sle,2014,1067586.77959
sle,2015,2189452.40974
sle,2016,1504151.58272
sle,2017,1210602.28348
sle,2018,1110922.09816
sle,2019,1322888.0167
slv,2017,699038.68437
slv,2018,255915.13515
slv,2019,236813.96246
som,2011,1220000.02861
som,2012,584761.91759
som,2013,1472297.07241
som,2014,782491.86277
som,2015,624130.0106
som,2016,509699.10622
som,2017,3685039.04343
som,2018,3887083.76884
som,2019,5259479.99954
srb,2014,297195.31536
srb,2015,413699.71633
srb,2016,1385148.16761
srb,2017,513883.35228
srb,2018,1276160.35938
srb,2019,811063.58767
ssd,2012,478339.97011
ssd,2013,753226.22061
ssd,2014,1121614.8138
ssd,2015,2704449.41521
ssd,2016,1571279.52576
ssd,2017,4192425.72784
ssd,2018,4766987.8006
ssd,2019,5006237.9837
stp,2011,670000.01669
stp,2012,771128.71408
stp,2013,913586.97414
stp,2014,899568.97497
stp,2015,1037722.46838
stp,2016,788863.48009
stp,2017,768892.70544
stp,2018,777545.57133
stp,2019,763076.36499
sur,2017,519958.37688
sur,2018,237072.27409
sur,2019,288634.50885
swz,2011,899999.97616
swz,2012,980193.67456
swz,2013,1056224.46537
swz,2014,852594.73324
swz,2015,1330021.02375
swz,2016,946367.74063
swz,2017,878531.27718
swz,2018,1080946.56467
swz,2019,858234.1671
syc,2011,550000.01192
syc,2012,474492.37108
syc,2013,576784.31273
syc,2014,497025.04277
syc,2015,653298.02036
syc,2016,671393.8117
syc,2017,498884.67789
syr,2011,1009999.99046
syr,2012,635948.47918
syr,2013,422564.68534
syr,2014,399641.33501
syr,2015,573427.25992
syr,2016,281815.67788
syr,2017,2128472.5666
syr,2018,2351861.71532
syr,2019,2009743.21365
tcd,2011,1570000.05245
tcd,2012,1037912.96482
tcd,2013,1609328.866
tcd,2014,786113.6198
tcd,2015,1844261.64627
tcd,2016,1540912.74738
tcd,2017,1731251.83582
tcd,2018,2163922.07146
tcd,2019,1824032.54509
tgo,2011,819999.99285
tgo,2012,1189742.92278
tgo,2013,846445.56046
tgo,2014,983831.88248
tgo,2015,1331379.05598
tgo,2016,893709.54037
tgo,2017,1214256.28662
tgo,2018,977922.26076
tgo,2019,874585.27088
tha,2011,2990000.00954
tha,2012,2181656.36063
tha,2013,2615779.16145
tha,2014,2451121.33026
tha,2015,2930136.91902
tha,2016,3105753.6602
tha,2017,1544084.31053
tha,2018,3307882.54738
tha,2019,2411894.55986
tjk,2011,529999.97139
tjk,2012,110434.71098
tjk,2013,105207.88282
tjk,2014,494320.66083
tjk,2015,486550.89736
tjk,2016,1066879.7493
tjk,2017,617302.89459
tjk,2018,1105114.10236
tjk,2019,719609.32016
tkm,2011,319999.99285
tkm,2012,99801.66703
tkm,2013,226847.18668
tkm,2014,207533.31482
tkm,2015,355648.01097
tkm,2016,807042.95635
tkm,2017,288441.86664
tkm,2018,778203.78542
tkm,2019,233954.92136
tls,2011,1190000.05722
tls,2012,1311672.3299
tls,2013,839284.42001
tls,2014,1127267.59911
tls,2015,2341367.95998
tls,2016,1427991.98627
tls,2017,1157731.05621
tls,2018,1218259.69219
tls,2019,2121704.5784
ton,2011,610000.01431
ton,2012,605556.72646
ton,2013,662999.39156
ton,2014,559454.26226
ton,2015,813561.91635
ton,2016,691154.06275
ton,2017,447243.39247
ton,2018,270078.33123
ton,2019,505140.66219
tun,2011,949999.98808
tun,2012,508147.23969
tun,2013,639941.99038
tun,2014,512666.16583
tun,2015,1354365.34882
tun,2016,589455.60455
tun,2017,535342.3357
tun,2018,699770.5698
tun,2019,1083588.00411
tur,2011,980000.01907
tur,2012,60304.51134
tur,2013,171429.81291
tur,2014,444047.89805
tur,2015,1013017.05837
tur,2016,1030136.82365
tur,2017,825829.32711
tur,2018,1294283.39005
tur,2019,981585.86025
tuv,2011,109999.9994
tuv,2012,24923.54065
tuv,2013,89954.82326
tuv,2014,37848.84885
tuv,2015,95005.22912
tuv,2016,61419.49818
tuv,2017,60675.30066
tuv,2018,25436.69939
tuv,2019,72240.41969
tza,2011,1350000.02384
tza,2012,1430137.99191
tza,2013,1585589.52808
tza,2014,1413093.6861
tza,2015,2251975.05951
tza,2016,1597747.44511
tza,2017,2675444.12613
tza,2018,2800621.74797
tza,2019,1604637.62283
uga,2011,1289999.96185
uga,2012,2006588.93585
uga,2013,1375765.44285
uga,2014,1436913.84792
uga,2015,2319881.20079
uga,2016,1726434.94606
uga,2017,1516763.56792
uga,2018,2059521.91353
uga,2019,1372714.16187
ukr,2011,540000.02146
ukr,2012,30562.16054
ukr,2013,162956.75933
ukr,2014,464562.44588
ukr,2015,748738.5869
ukr,2016,1422918.79654
ukr,2017,1384686.35082
ukr,2018,1888286.35216
ukr,2019,1507095.45612
ury,2017,380911.08203
uzb,2011,589999.97377
uzb,2012,32061.56939
uzb,2013,219654.96242
uzb,2014,460932.70183
uzb,2015,557885.4084
uzb,2016,782355.54695
uzb,2017,1071284.17492
uzb,2018,1121682.7631
uzb,2019,647962.92782
vct,2017,19491.87554
vct,2018,22390.9691
vct,2019,48066.83585
ven,2017,1115592.83733
ven,2018,961564.12363
ven,2019,799213.1114
vnm,2011,3650000.09537
vnm,2012,1929064.86988
vnm,2013,3896158.69522
vnm,2014,1817125.43964
vnm,2015,4571768.28384
vnm,2016,1926102.51904
vnm,2017,3734024.04785
vnm,2018,1959312.08134
vnm,2019,4611040.59219
vut,2011,1100000.02384
vut,2012,866487.26463
vut,2013,1007732.15294
vut,2014,908725.14248
vut,2015,1055246.59157
vut,2016,868985.59332
vut,2017,1252077.81792
vut,2018,775434.196
vut,2019,977988.06429
wsm,2011,730000.01907
wsm,2012,734710.99138
wsm,2013,992285.37083
wsm,2014,1288299.67976
wsm,2015,1267879.7245
wsm,2016,1222799.53957
wsm,2017,1012034.29699
wsm,2018,740529.77562
wsm,2019,1358294.01016
yem,2011,1850000.02384
yem,2012,1745492.10072
yem,2013,1880188.2267
yem,2014,1489089.36977
yem,2015,3453515.76805
yem,2016,1218709.94568
yem,2017,1974568.72463
yem,2018,2812761.54518
yem,2019,1841950.17815
zaf,2011,1240000.00954
zaf,2012,1762145.99609
zaf,2013,2376221.17996
zaf,2014,1621256.94752
zaf,2015,2575116.39595
zaf,2016,1638058.54321
zaf,2017,1918355.22652
zaf,2018,1823966.14552
zaf,2019,1812950.49191
zmb,2011,1500000
zmb,2012,1392369.27032
zmb,2013,1468418.83659
zmb,2014,1975955.84393
zmb,2015,1892559.64756
zmb,2016,1439335.58464
zmb,2017,1810472.24998
zmb,2018,1626235.48508
zmb,2019,959927.97613
zwe,2011,1320000.05245
zwe,2012,2074006.79588
zwe,2013,2033231.49681
zwe,2014,2387839.55574
zwe,2015,2664951.56288
zwe,2016,2532748.46077
zwe,2017,1389413.11836
zwe,2018,2529464.72168
zwe,2019,1623377.08473
