geo,time,sl_uem_intm_ma_zs
nzl,2002,4.62
nzl,2004,2.45
nzl,2005,2.39
nzl,2006,3.11
nzl,2007,2.95
nzl,2008,3.74
nzl,2009,5.88
nzl,2010,5.61
nzl,2011,6.27
nzl,2012,6.65
nzl,2013,5.3
nzl,2014,4.63
nzl,2015,4.84
nzl,2016,4.77
nzl,2017,4.47
nzl,2018,4.1
nzl,2019,4.03
nzl,2020,4.23
omn,1996,10.46
omn,2008,6.94
omn,2016,1.99
pak,2002,8.52
pak,2004,8.56
pak,2006,1.16
pak,2007,0.88
pak,2008,0.91
pak,2009,1.04
pak,2010,1.05
pak,2011,1.61
pak,2013,4.96
pak,2014,3.21
pak,2015,4.49
pak,2018,5.2
pak,2019,5.67
pan,1997,5.35
pan,2003,13.86
pan,2004,12.22
pan,2005,11.29
pan,2006,9.19
pan,2007,6.25
pan,2008,5.81
pan,2010,5.89
pan,2011,4.46
pan,2012,3.52
pan,2013,4.11
pan,2014,4.39
pan,2015,4.86
pan,2016,5.38
pan,2017,5.76
pan,2018,5.48
pan,2019,5.83
pan,2020,17.49
pan,2021,12.17
per,2002,7.28
per,2003,6.76
per,2004,6.08
per,2005,6.09
per,2006,4.68
per,2007,4.57
per,2008,4.61
per,2009,4.75
per,2010,4.2
per,2011,3.94
per,2012,3.42
per,2013,4.19
per,2014,4.26
per,2015,3.91
per,2016,4.36
per,2017,4.27
per,2018,4.11
per,2019,3.72
per,2020,9.59
phl,2004,12.94
phl,2006,9.57
phl,2007,8.81
phl,2008,8.62
phl,2014,11.41
phl,2015,10.83
phl,2016,9.8
plw,2000,2.6
plw,2014,1.95
png,2010,5.15
pol,1994,13.85
pol,1995,12.81
pol,1996,11.57
pol,1998,8.24
pol,1999,11.36
pol,2000,14.57
pol,2001,17.51
pol,2002,19.9
pol,2003,19.62
pol,2004,19.1
pol,2005,17.12
pol,2006,13.28
pol,2007,9.25
pol,2008,6.43
pol,2009,7.93
pol,2010,9.66
pol,2011,9.25
pol,2012,9.67
pol,2013,10.14
pol,2014,9
pol,2015,7.71
pol,2016,6.44
pol,2017,5.2
pol,2018,3.97
pol,2019,3.09
pol,2020,3.17
prt,1998,4.54
prt,1999,4.78
prt,2000,2.9
prt,2001,3.46
prt,2002,4.58
prt,2003,5.34
prt,2004,5.58
prt,2005,6.67
prt,2006,7.62
prt,2007,6.89
prt,2008,6.29
prt,2009,8.01
prt,2010,9.32
prt,2011,12.23
prt,2012,16.37
prt,2013,15.55
prt,2014,13.69
prt,2015,12.39
prt,2016,11.09
prt,2017,9.3
prt,2018,7.84
prt,2019,6.2
prt,2020,7.45
pry,1998,3.68
pry,1999,6.64
pry,2001,8.92
pry,2002,10.84
pry,2003,8.2
pry,2004,8.44
pry,2005,4.19
pry,2006,5.87
pry,2007,4.8
pry,2008,4.13
pry,2009,6.85
pry,2010,5.65
pry,2011,5.07
pry,2012,4.92
pry,2013,5.12
pry,2014,5.1
pry,2015,5.54
pry,2016,5.84
pry,2017,5.06
pse,2000,8.61
pse,2001,19.26
pse,2002,23.87
pse,2003,20.54
pse,2004,20.19
pse,2005,18.28
pse,2006,16.46
pse,2007,16.06
pse,2008,20.41
pse,2009,17.36
pse,2010,18.4
pse,2011,15.01
pse,2012,16.2
pse,2013,16.05
pse,2014,17.25
pse,2015,17.86
pse,2016,18.97
pse,2017,20.69
pse,2018,21.1
pse,2019,21.73
pse,2020,22.31
qat,2013,0.14
qat,2014,0.11
qat,2015,0.11
qat,2016,0.09
qat,2017,0.09
qat,2019,0.05
qat,2020,0.12
rou,1995,9.68
rou,1996,7.61
rou,1998,7.28
rou,1999,8.57
rou,2000,9.37
rou,2001,8.33
rou,2002,9.6
rou,2003,8.05
rou,2004,9.12
rou,2005,8.32
rou,2006,8.44
rou,2007,7.34
rou,2008,6.32
rou,2009,7.55
rou,2010,8.17
rou,2011,7.87
rou,2012,7.35
rou,2013,7.94
rou,2014,7.24
rou,2015,7.78
rou,2016,6.8
rou,2017,5.52
rou,2018,4.55
rou,2019,4.11
rou,2020,5.15
rus,1998,15.76
rus,2002,5.93
rus,2003,6.71
rus,2004,9.26
rus,2006,8.61
rus,2007,7.86
rus,2008,7.92
rus,2009,10.74
rus,2010,7.08
rus,2011,5.95
rus,2012,5.02
rus,2013,5.11
rus,2014,4.8
rus,2015,5.29
rus,2016,5.24
rus,2017,4.73
rus,2018,4.27
rus,2019,4.08
rus,2020,5
rwa,2014,8.65
rwa,2017,23.33
rwa,2018,20.78
rwa,2019,21.08
rwa,2020,19.5
sau,2009,6.12
sau,2014,4.85
sau,2016,4.07
sau,2017,4.83
sau,2018,4.56
sau,2019,3.5
sau,2020,3.92
sdn,2011,14.93
sen,2015,10.21
sen,2016,8.23
sen,2017,10.35
sen,2018,11.32
sen,2019,5.1
sgp,1994,1.92
sgp,1995,3.02
sgp,1996,2.83
sgp,1997,3
sgp,1998,3.87
sgp,2001,5.05
sgp,2002,7.42
sgp,2003,8.11
sgp,2006,3.97
sgp,2007,3.64
sgp,2008,3.54
sgp,2009,4.28
sgp,2010,3.11
sgp,2011,2.89
sgp,2012,2.95
sgp,2013,2.9
sgp,2015,3.91
sgp,2017,4.5
sgp,2020,5.48
slb,2013,1.44
sle,2014,10.87
sle,2018,5.23
slv,1996,8.9
slv,2010,7.17
slv,2011,7.75
slv,2012,7.04
slv,2013,5.86
slv,2014,6.75
slv,2015,5.74
slv,2016,7.05
slv,2017,6.71
slv,2018,5.61
slv,2019,5.24
slv,2020,6.86
smr,2009,3.26
smr,2010,2.89
smr,2016,4.76
som,2019,14.25
srb,2008,13.11
srb,2009,15.96
srb,2010,19.04
srb,2011,22.55
srb,2012,24.7
srb,2013,21.09
srb,2014,20.05
srb,2015,17.94
srb,2016,15.4
srb,2017,13.91
srb,2018,12.76
srb,2019,10.27
srb,2020,8.97
svk,1994,21.53
svk,1995,19.92
svk,1997,18.04
svk,1998,10.45
svk,1999,15
svk,2000,18.38
svk,2001,19.14
svk,2002,17.59
svk,2003,15.72
svk,2004,15.88
svk,2005,13.5
svk,2006,10.67
svk,2007,8.15
svk,2008,6.91
svk,2009,10.71
svk,2010,13.56
svk,2011,13.18
svk,2012,12.73
svk,2013,13.56
svk,2014,12.03
svk,2015,9.46
svk,2016,8.15
svk,2017,7.23
svk,2018,5.17
svk,2019,4.31
svk,2020,5.79
svn,1998,6.95
svn,1999,7.06
svn,2000,6.61
svn,2001,4.96
svn,2002,5.57
svn,2003,5.24
svn,2004,5.22
svn,2005,5.87
svn,2006,4.81
svn,2007,3.65
svn,2008,3.82
svn,2009,5.99
svn,2010,7.23
svn,2011,8.05
svn,2012,8.42
svn,2013,9.66
svn,2014,9.4
svn,2015,8.42
svn,2016,7.29
svn,2017,5.56
svn,2018,4.93
svn,2019,3.92
svn,2020,4.28
swe,1998,10.52
swe,1999,8.62
swe,2000,5.88
swe,2001,4.68
swe,2002,5.09
swe,2003,5.7
swe,2004,6.88
swe,2005,6.87
swe,2006,5.97
swe,2007,4.82
swe,2008,4.88
swe,2009,8.06
swe,2010,7.83
swe,2011,6.67
swe,2012,6.88
swe,2013,6.99
swe,2014,7.03
swe,2015,6.2
swe,2016,5.69
swe,2017,5.15
swe,2018,4.37
swe,2019,4.82
swe,2020,5.93
swz,2016,36.82
syc,2014,3.88
syc,2015,4.06
syc,2016,5.06
syc,2017,4.69
syc,2018,5.79
syc,2019,4.89
syc,2020,6.16
tcd,2018,3.13
tgo,2006,4.09
tgo,2011,1.71
tgo,2015,1.86
tgo,2017,11.89
tha,2010,0.91
tha,2011,0.99
tha,2012,0.84
tha,2013,0.44
tha,2014,0.79
tha,2015,0.9
tha,2016,0.9
tha,2017,1.16
tha,2018,1.13
tha,2019,0.98
tha,2020,1.37
tjk,2003,5.4
tjk,2007,3.75
tjk,2009,9.2
tls,2010,5.91
tls,2013,14.08
tls,2016,3.42
ton,2018,2.19
tto,2010,3.51
tto,2011,2.89
tto,2012,2.51
tto,2013,2.13
tto,2014,2.08
tto,2015,1.93
tto,2016,3.1
tun,2005,12.21
tun,2006,11.65
tun,2007,13.12
tun,2008,13.21
tun,2009,13.2
tun,2010,12.77
tun,2011,19.49
tun,2012,19.09
tun,2013,15.47
tun,2015,15.6
tun,2016,15.81
tun,2017,15.49
tur,2000,8.93
tur,2001,11.37
tur,2002,12.05
tur,2003,10.69
tur,2004,12.59
tur,2005,11.05
tur,2006,9.01
tur,2007,9.1
tur,2008,9.4
tur,2009,12.54
tur,2010,10.52
tur,2011,8.08
tur,2012,7.4
tur,2013,7.47
tur,2014,8.63
tur,2015,8.55
tur,2016,9.53
tur,2017,9.49
tur,2018,9.16
tur,2019,12.33
tur,2020,12.57
tuv,2016,6.42
tza,2001,4
tza,2006,6.18
tza,2011,3.23
tza,2013,6.13
tza,2014,3.24
uga,2012,7.04
uga,2017,13.65
ukr,2011,9.57
ukr,2012,9.08
ukr,2013,8.62
ukr,2014,11.39
ukr,2015,10.84
ukr,2016,11.95
ukr,2017,34.09
ukr,2018,10.66
ukr,2019,8.99
ukr,2020,10.83
ury,1998,5.75
ury,1999,7.46
ury,2000,8.85
ury,2001,10.07
ury,2002,11.53
ury,2003,11.49
ury,2004,8.79
ury,2005,7.87
ury,2006,7.82
ury,2007,6.85
ury,2008,5.91
ury,2009,5.16
ury,2010,4.32
ury,2011,3.77
ury,2012,3.15
ury,2013,3.29
ury,2014,3.17
ury,2015,4.44
ury,2016,4.37
ury,2017,5.1
ury,2018,4.51
ury,2019,5.44
usa,1994,7.32
usa,1995,6.62
usa,1996,6.52
usa,1997,5.98
usa,1998,5.42
usa,1999,4.87
usa,2000,4.73
usa,2001,5.77
usa,2002,7.11
usa,2003,7.58
usa,2004,6.92
usa,2005,6.38
usa,2006,5.82
usa,2007,6.04
usa,2008,7.85
usa,2009,13.06
usa,2010,13.39
usa,2011,12.11
usa,2012,10.65
usa,2013,10.06
usa,2014,8.22
usa,2015,7.16
usa,2016,6.52
usa,2017,5.79
usa,2018,5.16
usa,2019,4.85
usa,2020,9.97
usa,2021,7.09
uzb,2020,9.27
ven,2012,6.12
ven,2016,5.36
ven,2017,5.1
vnm,2010,1.95
vnm,2011,1.67
vnm,2012,1.79
vnm,2013,2.1
vnm,2014,1.98
vnm,2015,2.71
vnm,2016,2.77
vnm,2017,3
vnm,2018,1.91
vnm,2019,2.52
vnm,2020,2.27
vut,2006,7.05
vut,2010,2.2
vut,2019,4.55
wsm,2012,8.5
wsm,2017,12.15
yem,2010,15.42
yem,2014,15.23
zaf,2000,26.17
zaf,2001,27.42
zaf,2002,27.89
zaf,2003,27.4
zaf,2004,25.09
zaf,2005,23.6
zaf,2006,22.36
zaf,2007,21.66
zaf,2008,18.87
zaf,2009,21.59
zaf,2010,22.33
zaf,2011,22.38
zaf,2013,22.59
zaf,2014,22.86
zaf,2015,22.75
zaf,2016,24.09
zaf,2017,24.98
zaf,2018,25.57
zaf,2019,26.83
zaf,2020,27.29
zmb,2017,11.59
zmb,2018,12.89
zmb,2019,12.01
zwe,2011,9.98
zwe,2014,8.23
zwe,2019,16.85
