geo,time,bn_klt_ptxl_cd
bwa,2003,502760658.62752
bwa,2004,440925450.32276
bwa,2005,1068064915.48932
bwa,2006,725186266.21958
bwa,2007,326432107.32847
bwa,2008,-534418589.32183
bwa,2009,330081514.80812
bwa,2010,327120159.8322
bwa,2011,257309137.53016
bwa,2012,160107465.75268
bwa,2013,1307704839.4337
bwa,2014,598786309.40518
bwa,2015,1092904008.32791
bwa,2016,166064083.51987
bwa,2017,740904499.71216
bwa,2018,-627989607.31834
bwa,2019,927055118.84865
bwa,2020,983147275.47094
caf,1977,0
caf,1978,0
caf,1979,0
caf,1980,0
caf,1981,0
caf,1982,0
caf,1983,0
caf,1984,0
caf,1985,0
caf,1986,0
caf,1987,0
caf,1988,0
caf,1989,0
caf,1990,0
caf,1991,0
caf,1992,0
can,1960,-285022388.15828
can,1961,-253498479.08679
can,1962,-276067762.6629
can,1963,-476962764.99769
can,1964,-755261373.38883
can,1965,-376590589.17576
can,1966,-291069794.24903
can,1967,-395240973.90818
can,1968,-909274618.02298
can,1969,-1898641920.84012
can,1970,-753730457.26574
can,1971,-376676222.00867
can,1972,-1455802583.2886
can,1973,-812752195.628
can,1974,-2019457819.42474
can,1975,-4777724152.39574
can,1976,-9901951663.51384
can,1977,-5590782165.7275
can,1978,-4581655868.06976
can,1979,-3489679465.08945
can,1980,-5234402908.96663
can,1981,-10400222327.7305
can,1982,-9136332708.1559
can,1983,-5245118190.02567
can,1984,-6079012448.98892
can,1985,-8181315593.99627
can,1986,-17694135756.3248
can,1987,-10747545406.8756
can,1988,-15012694205.9106
can,1989,-15048599929.9427
can,1990,-13724822208.3833
can,1991,-17347788710.5492
can,1992,-10705972193.9144
can,1993,-27568506523.6422
can,1994,-10334899915.4167
can,1995,-13033737671.5147
can,1996,-1018744580.39173
can,1997,-2576130103.2526
can,1998,-1709437133.10973
can,1999,11695683060.6357
can,2000,32052339606.1915
can,2001,-712485686.0047
can,2002,5437539188.0079
can,2003,-76200113.51808
can,2004,-23632851976.0626
can,2005,33769361230.7641
can,2006,41907817960.8162
can,2007,70519342120.5641
can,2008,-47819527939.929
can,2009,-92637063277.45068
can,2010,-110142063605.869
can,2011,-104265503229.2
can,2012,-68097064857.06969
can,2013,-34483049123.1263
can,2014,-33792951516.9984
can,2015,-37884016917.9498
can,2016,-102982524308.76199
can,2017,-75109610881.8289
can,2018,3092046327.92832
can,2019,-1553064964.9316
can,2020,-66308924255.0871
can,2021,-41177863571.1517
che,1977,4760508005.18975
che,1978,6209644722.33735
che,1979,7113022301.65559
che,1980,7068055800.46313
che,1981,8487753971.05709
che,1982,12479590208.9321
che,1983,3987344035.21522
che,1984,2875706656.11871
che,1985,1104135931.22043
che,1986,-1401398990.26279
che,1987,1732842301.73854
che,1988,7415430875.41857
che,1989,3211638675.36715
che,1990,1296468485.11389
che,1991,11272032031.7993
che,1992,6145560611.14267
che,1993,17619590105.6882
che,1994,18201459757.95
che,1995,3923992380.35099
che,1996,9836489996.03563
che,1997,10705482106.7138
che,1998,4635079538.43047
che,1999,41125842698.3491
che,2000,17703976369.0289
che,2001,47737941011.0643
che,2002,22212847297.5854
che,2003,38580674668.6304
che,2004,41856884488.8771
che,2005,44936010295.3201
che,2006,45846544159.6818
che,2007,37446227495.2297
che,2008,32847102397.3324
che,2009,24840432229.5298
che,2010,-35391397570.8052
che,2011,19921515196.1734
che,2012,-18697917249.5328
che,2013,17515938150.2996
che,2014,7438279685.17686
che,2015,56256006750.4848
che,2016,5230868765.85044
che,2017,26659762624.1551
che,2018,11078618274.5849
che,2019,5629256916.15297
che,2020,33123182815.2066
chl,1975,6000000
chl,1976,6000000
chl,1977,7000000
chl,1978,0
chl,1979,-50000000
chl,1980,43000000
chl,1981,21000000
chl,1982,17000000
chl,1983,3000000
chl,1984,0
chl,1985,0
chl,1986,77600000
chl,1987,8200000
chl,1988,8000000
chl,1989,-83000000
chl,1990,-360800000
chl,1991,-188600000
chl,1992,-458200000
chl,1993,-729850000
chl,1994,-908100000
chl,1995,-34000000
chl,1996,-1134143397.85362
chl,1997,-1625098954.79401
chl,1998,2468635170.46041
chl,1999,3217411394.03819
chl,2000,-638785089.14402
chl,2001,-139271040.64031
chl,2002,2317291329.01807
chl,2003,2645298464.5573
chl,2004,3308467973.89692
chl,2005,2832954594.25711
chl,2006,9238473077.25599
chl,2007,16532381311.4977
chl,2008,7619480997.24463
chl,2009,12399495553.8056
chl,2010,6420718298.25392
chl,2011,-11483736237.315
chl,2012,4279794108.48694
chl,2013,-4723542201.45454
chl,2014,-3841537106.29796
chl,2015,-1211266421.33476
chl,2016,-1130216476.7616
chl,2017,5014682973.46956
chl,2018,-2536369628.15842
chl,2019,-9516513129.98957
chl,2020,-12304238759.9061
chn,1982,-21000000
chn,1983,621000000
chn,1984,1638000000
chn,1985,-3027000000
chn,1986,-1568000000
chn,1987,-1051000000
chn,1988,-876000000
chn,1989,180000000
chn,1990,241000000
chn,1991,-235000000
chn,1992,57000000
chn,1993,-3049000000
chn,1994,-3543000000
chn,1995,-789400000
chn,1996,-1744000000
chn,1997,-6943000000
chn,1998,3732000000
chn,1999,11234000000
chn,2000,3990732000
chn,2001,19405000000
chn,2002,10342485051.8252
chn,2003,-11437115819.9986
chn,2004,-19743601592.0469
chn,2005,4709837172.2624
chn,2006,68416515086.0359
chn,2007,-16442973699.6943
chn,2008,-34852395243.9119
chn,2009,-27087363798.0013
chn,2010,-24038442273.013
chn,2011,-19639146481.0331
chn,2012,-47779274570.0752
chn,2013,-52891117744.1311
chn,2014,-82429447386.75009
chn,2015,66470061883.31
chn,2016,52270616754.1906
chn,2017,-29497793098.2633
chn,2018,-106873525546.722
chn,2019,-57947645385.638
chn,2020,-87329078769.8956
civ,2005,1802998.74225
civ,2006,-21127940.82665
civ,2007,-102807008.33838
civ,2008,-48172586.3623
civ,2009,30525669.49232
civ,2010,-464845590.17063
civ,2011,-105214099.93368
civ,2012,-142293561.99935
civ,2013,-174547004.76911
civ,2014,-937341058.52256
civ,2015,-971210349.79401
civ,2016,-589356430.52059
civ,2017,-1349450377.62183
civ,2018,-1600038142.21162
civ,2019,295624062.13498
civ,2020,-486304753.42747
cmr,1977,0
cmr,1978,0
cmr,1979,0
cmr,1980,0
cmr,1981,0
cmr,1982,0
cmr,1983,0
cmr,1984,0
cmr,1985,0
cmr,1986,-11030710.01907
cmr,1987,0
cmr,1988,10911597.9034
cmr,1989,971761.55134
cmr,1990,-55644360.45449
cmr,1991,2233195.92796
cmr,1992,46544698.26819
cmr,1993,106334671.95123
