geo,time,gc_nld_totl_cn
brb,2007,-711215651.19
brb,2008,-412536053
brb,2009,-526462278
brb,2010,-707792642
brb,2011,-399962406
brb,2012,-853464762
brb,2013,-1046934435
brb,2014,-777127658
brb,2015,-822098640
brb,2016,-471261741
btn,1984,36800000
btn,1985,-128100000
btn,1986,58100000
btn,1988,150300000
btn,1989,81800000
btn,1990,-306100000
btn,1991,-2900000
btn,1992,-145600000
btn,1993,483700000
btn,1994,231500000
btn,1995,-5000000
btn,1996,338700000
btn,1997,25700000
btn,1998,360904000
btn,1999,-364500000
btn,2000,-474700000
btn,2001,-2029787000
btn,2002,-953727000
btn,2003,-2850129000
btn,2004,642738000
btn,2005,-356384000
btn,2006,537882000
btn,2007,1217739000
btn,2008,-758668000
btn,2009,306389000
btn,2010,1414169471
btn,2011,-1328272435
btn,2012,-1670229233
btn,2013,-5353424868
btn,2014,5210907447
btn,2015,-1158520486.74
btn,2016,-1828542501.52
btn,2017,-6655041462.82
btn,2018,-4121707483.24
bwa,1990,1345920000
bwa,1991,1347700000
bwa,1992,1384400000
bwa,1993,1405000000
bwa,1994,407300000
bwa,1995,654900000
bwa,1996,1573100000
bwa,2006,7388810000
bwa,2007,3502810000
bwa,2008,-4892480000
bwa,2009,-8906950000
bwa,2010,-6551760000
bwa,2011,-427500000
bwa,2012,1269816943.18
bwa,2013,6801609425.85003
bwa,2014,5249330000
bwa,2015,-4580020000
bwa,2016,574360000
bwa,2017,-1896933000
bwa,2018,-9262660799.6
bwa,2019,-7585793771.63
caf,2004,-3173215488
caf,2008,-8603605073.39911
caf,2009,-57417896255.04289
caf,2010,-88741648963.94998
caf,2011,-68592121534.9879
caf,2012,7332801370
caf,2014,21600305261.693
caf,2015,-10881489421.682
caf,2016,7170644394
caf,2017,18980368604.714
caf,2018,4313653355.58389
can,1990,-31451000000
can,1991,-35284000000
can,1992,-35956000000
can,1993,-41106000000
can,1994,-37209000000
can,1995,-33092000000
can,1996,-20402000000
can,1997,3605000000
can,1998,6304000000
can,1999,9727000000
can,2000,24250000000
can,2001,18779000000
can,2002,17608000000
can,2003,13877000000
can,2004,19927000000
can,2005,10563000000
can,2006,22928000000
can,2007,28189000000
can,2008,12886000000
can,2009,-18922000000
can,2010,-37009000000
can,2011,-16163000000
can,2012,-9444000000
can,2013,-1369000000
can,2014,18929000000
can,2015,19879000000
can,2016,8360000000
can,2017,9410000000
can,2018,20315000000
can,2019,17656000000
che,1972,1887000000
che,1973,1856000000
che,1974,2139000000
che,1975,129000000
che,1976,-339000000
che,1977,-948000000
che,1978,178000000
che,1979,-795000000
che,1980,71000000
che,1981,1409000000
che,1982,715000000
che,1983,473000000
che,1984,813000000
che,1990,2234701508.08
che,1991,-1523450162.46
che,1992,-5058041816.96
che,1993,-8484757084.92001
che,1994,-7224502108.79999
che,1995,-4680322009.42999
che,1996,-5734182024.19002
che,1997,-7034787215.81
che,1998,-4110600161.69
che,1999,-8123376195.81
che,2000,106280797.95
che,2001,600236228.95
che,2002,-8442190408.28
che,2003,-3823762926.42
che,2004,-4673953844.52
che,2005,-2428916142.27
che,2006,1965050928.93001
che,2007,3705599300.10999
che,2008,7465517299.20999
che,2009,969229959.89002
che,2010,1488061676.34999
che,2011,3154818831.06
che,2012,3319838640.40999
che,2013,2975165977.62999
che,2014,2156690491.73001
che,2015,3809015841.94
che,2016,1116469371.24001
che,2017,6074180217.73001
che,2018,6118995076.34999
che,2019,6726293488.27
chl,1972,-30000000
chl,1973,-70000000
chl,1974,-430000000
chl,1975,300000000
chl,1976,2290000000
chl,1977,-590000000
chl,1978,2380000000
chl,1979,41880000000
chl,1980,65880000000
chl,1981,44410000000
chl,1982,-48420000000
chl,1983,-65040000000
chl,1984,-69720000000
chl,1985,-54000000000
chl,1986,-48340000000
chl,1987,25760000000
chl,1988,-36630000000
chl,1989,39270000000
chl,1990,32860000000
chl,1991,158690000000
chl,1992,339060000000
chl,1993,329960000000
chl,1994,340820000000
chl,1995,610610000000
chl,1996,643550000000
chl,1997,663630000000
chl,1998,151130000000
chl,1999,-497650000000
chl,2000,-267080000000
chl,2001,-232750000000
chl,2002,-574820000000
chl,2003,-230470000000
chl,2004,1244460000000
chl,2005,3021000000000
chl,2006,5985000000000
chl,2007,7551070278199.59863
chl,2008,4234023000000
chl,2009,-4078083130028.7002
chl,2010,-470727711323.69897
chl,2011,1567767397874.19995
chl,2012,703685192484.69897
chl,2013,-831240000000
chl,2014,-2309281375872.7002
chl,2015,-3403545119980.81982
chl,2016,-4613837527968.90039
chl,2017,-4587140203000
chl,2018,-3269379879395.64941
chl,2019,-5562726891556.96973
civ,2003,-195000000000
civ,2004,-112900000000
civ,2005,-119400000000
civ,2006,-33560000000
civ,2007,1300000000
civ,2008,34710000000
civ,2009,187001000000
civ,2010,-79924000000
civ,2011,-413129000000
civ,2012,-384710000000
civ,2013,-349325000000
civ,2014,-325023841687.29999
civ,2015,-657335310741.43994
civ,2016,-931011898242.12988
civ,2017,-1062047767160.06006
civ,2018,-1075989551378.27002
civ,2019,-921593554298.77283
cmr,1990,-187280000000
cmr,1991,-151780000000
cmr,1992,-59770000000
cmr,1993,-52780000000
cmr,1994,-97730000000
cmr,1995,11270000000
cmr,1998,84710000000
cmr,1999,7660000000
cmr,2012,-236747600000
cmr,2013,-480416000000
cmr,2014,-506300000000
cmr,2015,-445600000000
cmr,2016,-1035800000000
cmr,2017,-687500000000
cmr,2018,-472597492350.17999
cod,1972,-0.00027
cod,1973,-0.00046
cod,1974,-0.0009
cod,1975,-0.00072
cod,1976,-0.00211
cod,1977,-0.00149
cod,1978,-0.00198
cod,1979,-0.00182
cod,1980,-0.0011
cod,1981,-0.00719
cod,1982,-0.01154
cod,1988,-0.4411
cod,1989,-0.00361
cog,2001,-15700000000
cog,2002,-113000000000
cog,2003,110786500000
cog,2004,-62698027154
cog,2005,323493903905
cog,2006,739227000000
cog,2007,475632000000
cog,2008,1448674000000
cog,2009,338433000000
cog,2010,2368789000000
cog,2011,1183909984955
cog,2012,445864546378
cog,2013,620178958947
cog,2014,-366070821741
cog,2015,-639257731375
cog,2016,-354547286332
cog,2017,-361966567093
cog,2018,407292417324
col,1998,-4754919631626.7002
col,1999,-9265278109504.94727
col,2000,-6510953365804.40039
col,2003,-13752523923621.69922
col,2008,-27280372000000
col,2009,-35520662000000
col,2010,-24809779000000
col,2011,-6628227000000
col,2012,18432869980000
col,2013,-39522874000000
col,2014,-31788735200647
col,2015,-11325124094989
col,2016,-26283697865174
col,2017,-20234199411854.39844
col,2018,-22835808923884.30078
col,2019,-29459871113132.69531
cri,1973,-230000000
cri,1974,30000000
cri,1975,-190000000
cri,1976,-500000000
cri,1977,-690000000
cri,1978,-1250000000
cri,1979,-2280000000
cri,1980,-2990000000
cri,1981,-1800000000
cri,1982,-910000000
cri,1983,-2380000000
cri,1984,-820000000
cri,1985,-2130000000
cri,1986,-10570000000
cri,1987,-7320000000
cri,1988,2010000000
cri,1989,-6550000000
