geo,time,ic_reg_cost_pc_fe_zs
dza,2004,14.6
dza,2005,12.4
dza,2006,13.4
dza,2007,13.2
dza,2008,10.8
dza,2009,12.1
dza,2010,12.9
dza,2011,12.1
dza,2012,12.1
dza,2013,12.4
dza,2014,11
dza,2015,10.9
dza,2016,11.1
dza,2017,12.5
dza,2018,11.8
dza,2019,11.3
ecu,2003,51.6
ecu,2004,47.4
ecu,2005,38.1
ecu,2006,31.8
ecu,2007,29.2
ecu,2008,35.3
ecu,2009,35.1
ecu,2010,32.6
ecu,2011,28.8
ecu,2012,29.9
ecu,2013,25.3
ecu,2014,24
ecu,2015,22
ecu,2016,32.4
ecu,2017,34
ecu,2018,33.3
ecu,2019,33
egy,2003,92.7
egy,2004,89.3
egy,2005,131.7
egy,2006,94.7
egy,2007,53.8
egy,2008,44.9
egy,2009,41.7
egy,2010,30.9
egy,2011,29.5
egy,2012,28.6
egy,2013,26.9
egy,2014,26
egy,2015,23.2
egy,2016,22.6
egy,2017,22.2
egy,2018,42.6
egy,2019,20.3
eri,2004,155.6
eri,2005,130.4
eri,2006,115.9
eri,2007,125.8
eri,2008,102.2
eri,2009,76.5
eri,2010,69.2
eri,2011,62.6
eri,2012,52.3
eri,2013,50.5
eri,2014,41.5
eri,2015,38.1
eri,2016,37.6
eri,2017,27
eri,2018,23.7
eri,2019,21.3
esp,2003,16.8
esp,2004,17
esp,2005,16.5
esp,2006,16.2
esp,2007,15.1
esp,2008,14.9
esp,2009,15
esp,2010,15.1
esp,2011,4.7
esp,2012,5
esp,2013,5
esp,2014,4.5
esp,2015,4.4
esp,2016,4.3
esp,2017,4.1
esp,2018,4
esp,2019,3.9
est,2003,8
est,2004,7.5
est,2005,6.2
est,2006,5.1
est,2007,2
est,2008,1.7
est,2009,1.7
est,2010,1.9
est,2011,1.8
est,2012,1.6
est,2013,1.5
est,2014,1.4
est,2015,1.3
est,2016,1.2
est,2017,1.2
est,2018,1.1
est,2019,1
eth,2003,487.4
eth,2004,80.7
eth,2005,67.6
eth,2006,47.8
eth,2007,43
eth,2008,31.1
eth,2009,268.4
eth,2010,200.4
eth,2011,189.1
eth,2012,141.9
eth,2013,105
eth,2014,93.7
eth,2015,79.1
eth,2016,69.3
eth,2017,57.8
eth,2018,52.7
eth,2019,45.4
fin,2003,1.1
fin,2004,1.2
fin,2005,1.2
fin,2006,1.1
fin,2007,1
fin,2008,1
fin,2009,0.9
fin,2010,1
fin,2011,1
fin,2012,0.9
fin,2013,0.9
fin,2014,0.9
fin,2015,0.9
fin,2016,0.9
fin,2017,0.8
fin,2018,0.8
