geo,time,gb_xpd_rsdv_gd_zs
mdg,2016,0.01264
mdg,2017,0.01275
mex,1996,0.25067
mex,1997,0.2762
mex,1998,0.30196
mex,1999,0.3441
mex,2000,0.30613
mex,2001,0.32418
mex,2002,0.3543
mex,2003,0.39314
mex,2004,0.38816
mex,2005,0.39844
mex,2006,0.36922
mex,2007,0.39833
mex,2008,0.44387
mex,2009,0.47954
mex,2010,0.49485
mex,2011,0.47129
mex,2012,0.42096
mex,2013,0.42503
mex,2014,0.43549
mex,2015,0.42986
mex,2016,0.38798
mex,2017,0.32843
mex,2018,0.31291
mkd,1997,0.35911
mkd,1998,0.40842
mkd,1999,0.32809
mkd,2000,0.41888
mkd,2001,0.2931
mkd,2002,0.24461
mkd,2003,0.21064
mkd,2004,0.23237
mkd,2005,0.22825
mkd,2006,0.19373
mkd,2007,0.17093
mkd,2008,0.22358
mkd,2009,0.19679
mkd,2010,0.21634
mkd,2011,0.22276
mkd,2012,0.32676
mkd,2013,0.43894
mkd,2014,0.51646
mkd,2015,0.44412
mkd,2016,0.43585
mkd,2017,0.35439
mkd,2018,0.36523
mli,2007,0.21855
mli,2010,0.5836
