geo,time,gc_xpn_intp_rv_zs
civ,2012,10.01419
civ,2013,8.02864
civ,2014,4.80666
civ,2015,8.3216
civ,2016,9.84588
civ,2017,9.7018
civ,2018,10.49691
civ,2019,11.5577
cmr,1990,7.96353
cmr,1991,8.48874
cmr,1992,7.94499
cmr,1993,12.91561
cmr,1994,27.81729
cmr,1995,22.96194
cmr,1998,19.50575
cmr,1999,19.15938
cmr,2012,2.05048
cmr,2013,2.1613
cmr,2014,2.32238
cmr,2015,2.36157
cmr,2016,4.88644
cmr,2017,5.53382
cmr,2018,4.97558
cod,1972,3.19767
cod,1973,4.77273
cod,1974,5.61224
cod,1975,7.12831
cod,1976,14.65969
cod,1977,12.89157
cod,1978,13.2967
cod,1979,10.58632
cod,1980,8.08602
cod,1981,15.20745
cod,1982,16.99847
cod,1988,10.50748
cod,1989,9.79293
cog,2001,24.1155
cog,2002,27.67315
cog,2003,19.2013
cog,2004,3.89146
cog,2005,6.63375
cog,2006,10.90515
cog,2007,6.91438
cog,2008,6.84278
cog,2009,3.52331
cog,2010,1.54807
cog,2011,0.37061
cog,2012,0.43634
cog,2013,0.57332
cog,2014,0.52969
cog,2015,1.87441
cog,2016,2.60217
cog,2017,8.19757
cog,2018,8.57362
col,1998,16.70301
col,1999,19.03308
col,2000,20.62431
col,2003,20.61266
col,2008,13.9029
col,2009,14.85517
col,2010,12.57464
col,2011,10.8801
col,2012,9.50068
col,2013,8.34164
col,2014,8.27732
col,2015,8.86642
col,2016,11.27337
col,2017,11.19826
col,2018,10.97376
col,2019,11.21927
cpv,2005,6.31604
cpv,2006,5.41396
cpv,2007,4.83998
cpv,2008,4.0732
cpv,2009,4.17589
cpv,2010,4.70585
cpv,2011,5.20545
cpv,2012,6.25847
cpv,2013,7.39294
cpv,2014,8.40787
cpv,2015,8.16638
cpv,2016,7.49719
cpv,2017,7.95564
cri,1973,8.64198
cri,1974,6.93878
cri,1975,6.60066
cri,1976,6.30137
cri,1977,7.28929
cri,1978,7.82609
cri,1979,9.81013
cri,1980,12.19512
cri,1981,8.93032
cri,1982,9.39518
cri,1983,8.75133
cri,1984,9.67565
cri,1985,8.94904
cri,1986,10.68548
cri,1987,9.23231
cri,1988,9.80392
cri,1989,10.30175
cri,1990,13.42999
cri,1991,17.04406
cri,1992,14.69674
cri,1993,12.05873
cri,1994,16.20528
cri,1995,21.35938
cri,1996,22.64754
cri,1997,18.52691
cri,1998,15.69484
cri,1999,18.18735
cri,2000,17.08721
cri,2001,17.77508
cri,2002,19.01201
cri,2003,18.89958
cri,2004,18.34288
cri,2005,18.02515
cri,2006,15.93167
cri,2007,12.55415
cri,2008,8.63705
cri,2009,8.79655
cri,2010,9.03663
cri,2011,9.04442
cri,2012,8.59105
cri,2013,10.56919
cri,2014,10.81925
cri,2015,11.03938
cri,2016,11.02633
cri,2017,11.01729
cri,2018,13.46778
cri,2019,16.06485
cyp,1972,4.25979
cyp,1973,4.46029
cyp,1974,3.99215
cyp,1975,4.44478
cyp,1976,5.24778
cyp,1977,6.16567
cyp,1978,6.71609
cyp,1979,8.193
cyp,1980,8.46052
cyp,1981,10.31887
cyp,1982,11.72132
cyp,1983,14.53267
cyp,1984,15.24399
cyp,1985,14.93357
cyp,1986,14.71623
cyp,1987,15.73417
cyp,1988,15.58347
cyp,1989,15.47258
cyp,1990,16.06489
cyp,1991,17.87484
cyp,1992,16.39275
cyp,1993,16.41601
cyp,1994,16.21506
cyp,1995,6.18074
cyp,1996,7.49207
cyp,1997,7.89496
cyp,1998,9.61222
cyp,1999,9.53102
cyp,2000,9.88078
cyp,2001,9.56211
cyp,2002,9.00418
cyp,2003,9.1583
cyp,2004,8.46418
cyp,2005,8.23757
cyp,2006,7.70982
cyp,2007,6.77978
cyp,2008,6.55259
cyp,2009,6.0261
cyp,2010,4.97604
cyp,2011,5.60225
cyp,2012,9.06375
cyp,2013,8.81264
cyp,2014,8.27695
cyp,2015,8.06466
cyp,2016,7.10445
cyp,2017,6.5258
cyp,2018,6.11926
cyp,2019,5.63924
cze,1993,4.60908
cze,1994,3.53205
cze,1995,2.83669
cze,1996,3.2038
cze,1997,3.04403
cze,1998,3.13229
cze,1999,2.58068
cze,2000,2.22403
cze,2001,2.79854
cze,2002,3.71349
cze,2003,2.93347
cze,2004,3.14427
cze,2005,3.22274
cze,2006,3.07412
cze,2007,3.08891
cze,2008,3.01902
cze,2009,3.80531
cze,2010,4.04586
cze,2011,4.00482
cze,2012,4.19793
cze,2013,3.93828
cze,2014,3.89274
cze,2015,3.15834
cze,2016,2.73986
cze,2017,2.22413
cze,2018,2.18475
cze,2019,2.08353
deu,1972,1.4648
deu,1973,1.46124
deu,1974,1.80135
deu,1975,2.06967
deu,1976,2.422
deu,1977,2.73028
deu,1978,2.82633
deu,1979,3.06657
deu,1980,3.31697
deu,1981,4.03517
deu,1982,4.68955
deu,1983,5.48456
deu,1984,5.36433
deu,1985,5.36098
deu,1986,5.35097
deu,1987,5.33863
deu,1988,5.40403
deu,1989,4.9589
deu,1990,4.97063
deu,1991,5.59366
deu,1992,6.77508
deu,1993,6.75461
deu,1994,7.03544
deu,1995,7.7095
deu,1996,7.68784
deu,1997,7.56604
deu,1998,7.59599
deu,1999,7.00597
deu,2000,7.03749
deu,2001,6.73538
deu,2002,6.61672
deu,2003,6.08721
deu,2004,6.09719
deu,2005,5.94824
deu,2006,5.8007
deu,2007,5.84288
deu,2008,5.83805
deu,2009,5.56632
deu,2010,5.16337
deu,2011,5.39931
deu,2012,4.82087
deu,2013,3.56564
deu,2014,3.1552
deu,2015,2.72929
deu,2016,2.27902
deu,2017,1.92451
deu,2018,1.73329
deu,2019,1.47336
dnk,1972,1.25075
dnk,1973,1.3711
dnk,1974,1.39593
dnk,1975,1.65071
dnk,1976,2.05723
dnk,1977,3.40011
dnk,1978,3.70866
dnk,1979,6.5633
dnk,1980,7.4369
dnk,1981,10.52031
dnk,1982,12.94771
dnk,1983,15.16921
dnk,1984,18.59733
dnk,1985,19.05742
dnk,1986,16.3557
dnk,1987,15.81554
dnk,1988,15.13534
dnk,1989,14.78105
dnk,1990,15.49381
dnk,1991,15.40125
dnk,1992,13.4423
dnk,1993,14.521
dnk,1994,14.01533
dnk,1995,14.41919
dnk,1996,13.77303
dnk,1997,12.55732
dnk,1998,11.23022
dnk,1999,10.24284
dnk,2000,9.31327
dnk,2001,8.64639
dnk,2002,8.05435
dnk,2003,7.20749
dnk,2004,6.19695
dnk,2005,4.79174
dnk,2006,4.22677
dnk,2007,3.52688
dnk,2008,3.07015
dnk,2009,4.34556
dnk,2010,4.38297
dnk,2011,4.45517
dnk,2012,4.0748
dnk,2013,3.8551
dnk,2014,3.22708
dnk,2015,3.73882
dnk,2016,3.27952
dnk,2017,1.88288
dnk,2018,1.96732
dnk,2019,1.7223
dom,1972,0.71798
dom,1973,1.1399
dom,1974,1.30234
dom,1975,0.89142
dom,1976,1.53971
dom,1977,1.2513
dom,1978,1.82568
dom,1979,7.86993
dom,1980,6.85062
dom,1981,7.56021
dom,1982,8.47789
dom,1983,9.85501
dom,1984,6.26535
dom,1985,3.07934
dom,1986,0.93141
dom,1987,0.74651
dom,1988,0.5026
dom,1989,5.58922
dom,1990,3.84468
dom,1991,6.71526
dom,1992,3.50867
dom,1993,7.78661
dom,1994,5.78608
dom,1995,5.77564
dom,1996,3.7836
dom,1997,3.04732
dom,1998,3.18955
dom,1999,3.87741
dom,2000,4.49229
dom,2001,4.83487
dom,2002,6.56779
dom,2003,9.34967
dom,2004,11.66525
dom,2005,7.62787
dom,2006,8.3741
dom,2007,6.83027
dom,2008,9.68793
dom,2009,12.88441
dom,2010,12.51086
dom,2011,14.09738
dom,2012,16.16923
dom,2013,14.86329
dom,2014,15.806
dom,2015,14.14994
dom,2016,17.91973
dom,2017,18.86131
dom,2018,16.99788
dom,2019,17.74471
egy,1975,3.71365
egy,1976,4.12541
egy,1977,5.11966
egy,1978,7.83483
egy,1979,10.58904
egy,1981,5.90397
egy,1982,5.66038
egy,1983,8.39089
egy,1984,9.43854
egy,1985,9.60362
egy,1986,10.29972
egy,1987,11.36829
egy,1988,12.47752
egy,1989,13.82227
egy,1990,15.99524
egy,1991,16.38476
egy,1992,18.02482
egy,1993,23.43224
egy,1994,24.70438
egy,1995,20.4571
egy,1996,23.67885
egy,1997,21.90893
egy,2002,21.12937
egy,2003,21.7613
egy,2004,22.19775
egy,2005,22.42324
egy,2006,19.7872
egy,2007,18.65618
egy,2008,16.4593
egy,2009,15.16407
egy,2010,20.50239
egy,2011,25.28465
egy,2012,26.77282
egy,2013,33.5279
egy,2014,30.68523
egy,2015,33.25445
esp,1972,2.39906
esp,1973,2.69914
esp,1974,2.13983
esp,1975,1.85009
esp,1976,1.68982
esp,1977,1.7737
esp,1978,1.92192
esp,1979,2.07614
esp,1980,1.01249
esp,1981,1.00614
esp,1982,1.65709
esp,1983,4.51997
esp,1984,6.92743
esp,1985,10.92457
esp,1986,11.44077
esp,1987,9.79266
esp,1988,9.73859
esp,1989,9.00202
esp,1990,9.65318
esp,1991,10.634
esp,1992,11.02335
esp,1993,13.50816
esp,1994,14.67318
esp,2017,7.8359
esp,2018,7.39751
esp,2019,6.83573
est,1991,0.21617
est,1995,1.15117
est,1996,1.54426
est,1997,0.81214
est,1998,0.99417
est,1999,0.7409
est,2000,0.51635
est,2001,0.42261
est,2002,0.50591
est,2003,0.45572
est,2004,0.45126
est,2005,0.36709
est,2006,0.27883
est,2007,0.2106
est,2008,0.24377
est,2009,0.22926
est,2010,0.20984
est,2011,0.22247
est,2012,0.30927
est,2013,0.31324
est,2014,0.39157
est,2015,0.33588
est,2016,0.29979
est,2017,0.22423
est,2018,0.16978
est,2019,0.14088
eth,1990,7.21003
eth,1991,9.65753
eth,1992,13.32437
eth,1993,15.52895
eth,1994,20.63841
eth,1995,12.98987
eth,1996,12.25969
eth,1997,10.42096
eth,1998,9.82252
eth,1999,10.32728
eth,2001,9.76926
eth,2002,10.09104
eth,2003,8.74948
eth,2004,6.86472
eth,2005,6.525
eth,2006,17.79064
eth,2007,14.38398
eth,2008,4.28963
eth,2009,2.89807
eth,2010,2.61286
eth,2011,2.58757
eth,2012,2.88935
eth,2013,2.82907
eth,2014,3.01073
eth,2015,3.68542
eth,2016,4.1261
eth,2017,4.59661
eth,2018,4.96156
eth,2019,5.1653
fin,1972,1.78389
fin,1973,1.53255
fin,1974,1.09765
fin,1975,0.90443
fin,1976,0.78292
fin,1977,1.10861
fin,1978,1.50679
fin,1979,2.11628
fin,1980,2.26491
fin,1981,2.50416
fin,1982,3.06259
fin,1983,3.88818
fin,1984,4.25048
fin,1985,4.52282
fin,1986,4.02228
fin,1987,4.08389
fin,1988,3.77132
fin,1989,3.1607
fin,1990,2.8813
fin,1991,3.65493
fin,1992,5.15994
fin,1993,10.85185
fin,1994,12.74145
fin,1995,8.73328
fin,1996,9.54089
fin,1997,9.8397
fin,1998,8.35516
fin,1999,7.30489
fin,2000,6.43745
fin,2001,6.36502
fin,2002,5.10724
fin,2003,4.69184
fin,2004,4.34134
fin,2005,3.96788
fin,2006,3.5588
fin,2007,3.28915
fin,2008,3.2014
fin,2009,3.40502
fin,2010,3.57566
fin,2011,3.47712
fin,2012,3.56049
fin,2013,3.2059
fin,2014,3.15419
fin,2015,2.95943
fin,2016,2.73938
fin,2017,2.54984
fin,2018,2.27215
fin,2019,2.08343
fji,1990,12.70916
fji,1991,13.45785
fji,1992,11.59703
fji,1993,11.07146
fji,1994,10.56671
fji,1995,12.3586
fji,1996,11.4035
fji,2004,10.12057
fji,2005,10.47137
fji,2006,10.30366
fji,2010,14.68519
fji,2011,14.8726
fji,2012,14.29853
fji,2013,13.10414
fji,2014,11.03462
fji,2015,10.81629
fji,2016,9.80815
fji,2017,9.17421
fji,2018,9.94189
fji,2019,11.25111
fra,1972,1.37807
fra,1973,1.15312
fra,1974,1.28962
fra,1975,2.16886
fra,1976,1.84772
fra,1977,2.01717
fra,1978,2.19365
fra,1979,2.30336
fra,1980,2.09019
fra,1981,3.20727
fra,1982,3.26203
fra,1983,4.28674
fra,1984,4.38644
fra,1985,4.7186
fra,1986,4.79794
fra,1987,4.51969
fra,1988,4.40873
fra,1989,4.69684
fra,1990,5.21827
fra,1991,5.42248
fra,1992,6.14305
fra,1993,6.79445
fra,1994,7.15628
fra,1995,7.03835
fra,1996,7.10563
fra,1997,7.12467
fra,1998,6.99302
fra,1999,6.46766
fra,2000,6.37247
fra,2001,6.33442
