geo,time,tx_mnf_tech_zs_un
col,2018,39.13272
col,2019,40.15776
cpv,1990,0.09659
cpv,1991,0.09659
cpv,1992,0.09659
cpv,1993,0.09659
cpv,1994,0.09659
cpv,1995,0.09659
cpv,1996,0.09659
cpv,1997,0.09659
cpv,1998,26.77118
cpv,1999,9.55686
cpv,2000,4.83012
cpv,2001,3.26196
cpv,2002,4.27281
cpv,2003,1.84963
cpv,2004,0.73526
cpv,2005,0.75339
cpv,2006,0.79511
cpv,2007,0
cpv,2008,0
cpv,2009,0.01881
cpv,2010,0
cpv,2011,1.09712
cpv,2012,0.79849
cpv,2013,0.19583
cpv,2014,0.15416
cpv,2015,0.12557
cpv,2016,0.1698
cpv,2017,0
cpv,2018,0.02486
cpv,2019,0.99431
cri,1990,28.05085
cri,1991,28.05085
cri,1992,28.05085
cri,1993,28.05085
cri,1994,28.05085
cri,1995,28.2446
cri,1996,29.47441
cri,1997,36.05979
cri,1998,54.82264
cri,1999,71.09812
cri,2000,66.58527
cri,2001,59.02111
cri,2002,59.64611
cri,2003,66.69592
cri,2004,62.36164
cri,2005,60.23948
cri,2006,69.13525
cri,2007,66.87483
cri,2008,60.6752
cri,2009,61.75229
cri,2010,58.94445
cri,2011,58.76788
cri,2012,59.58046
cri,2013,62.47033
cri,2014,61.03194
cri,2015,50.63708
cri,2016,49.91445
cri,2017,48.46141
cri,2018,51.03123
cri,2019,54.2093
cub,1990,6.30053
cub,1991,6.30053
cub,1992,6.30053
cub,1993,6.30053
cub,1994,6.30053
cub,1995,6.30053
cub,1996,6.30053
cub,1997,6.30053
cub,1998,6.30053
cub,1999,6.30053
cub,2000,6.90393
cub,2001,6.73497
cub,2002,10.03614
cub,2003,9.94704
cub,2004,14.10371
cub,2005,21.77266
cub,2006,63.42528
cub,2007,63.42528
cub,2008,63.42528
cub,2009,63.42528
cub,2010,63.42528
cub,2011,63.42528
cub,2012,63.42528
cub,2013,63.42528
cub,2014,63.42528
cub,2015,63.42528
cub,2016,63.42528
cub,2017,63.42528
cub,2018,63.42528
cub,2019,63.42528
cyp,1990,14.41865
cyp,1991,15.53899
cyp,1992,17.50836
cyp,1993,20.05411
cyp,1994,22.33181
cyp,1995,24.74102
cyp,1996,25.5912
cyp,1997,28.09891
cyp,1998,28.7903
cyp,1999,32.89523
cyp,2000,32.32806
cyp,2001,39.01804
cyp,2002,41.21874
cyp,2003,40.28948
cyp,2004,47.62658
cyp,2005,46.4439
cyp,2006,53.13954
cyp,2007,57.51375
cyp,2008,63.21138
cyp,2009,61.49887
cyp,2010,60.43079
cyp,2011,55.08291
cyp,2012,50.92178
cyp,2013,53.06208
cyp,2014,52.73248
cyp,2015,43.98587
cyp,2016,38.82611
cyp,2017,32.74157
cyp,2018,28.15742
cyp,2019,36.04856
cze,1990,43.37626
cze,1991,43.37626
cze,1992,43.37626
cze,1993,43.37626
cze,1994,41.96606
cze,1995,45.50615
cze,1996,47.85101
cze,1997,52.74081
cze,1998,56.11226
cze,1999,56.61017
cze,2000,57.49591
cze,2001,59.6701
cze,2002,61.26151
cze,2003,62.43416
cze,2004,63.85851
cze,2005,64.10745
cze,2006,66.09454
cze,2007,67.13144
cze,2008,66.96935
cze,2009,67.61718
cze,2010,67.94388
cze,2011,67.88024
cze,2012,67.61785
cze,2013,67.31774
cze,2014,68.29759
cze,2015,68.95851
cze,2016,69.1076
cze,2017,69.87395
cze,2018,70.95438
cze,2019,71.8645
deu,1990,68.89349
deu,1991,68.89349
deu,1992,69.47432
deu,1993,68.75553
deu,1994,69.08149
deu,1995,69.4711
deu,1996,70.31854
deu,1997,70.87599
deu,1998,71.73161
deu,1999,72.56534
deu,2000,72.97262
deu,2001,73.36143
deu,2002,72.96436
deu,2003,73.18123
deu,2004,73.15624
deu,2005,72.5248
deu,2006,71.94098
deu,2007,71.74726
deu,2008,71.16917
deu,2009,71.14749
deu,2010,72.10768
deu,2011,71.9462
deu,2012,72.43976
deu,2013,72.54332
deu,2014,72.81192
deu,2015,74.04814
deu,2016,74.34298
deu,2017,74.23093
deu,2018,73.91103
deu,2019,73.89536
dnk,1990,49.94246
dnk,1991,48.59134
dnk,1992,49.99172
dnk,1993,48.3205
dnk,1994,49.34177
dnk,1995,49.77476
dnk,1996,50.72726
