geo,time,cm_mkt_ldom_no
lux,2006,36
lux,2007,34
lux,2008,33
lux,2009,30
lux,2010,29
lux,2011,27
lux,2012,25
lux,2013,24
lux,2014,25
lux,2015,27
lux,2016,28
lux,2017,28
lux,2018,27
lux,2019,28
lux,2020,29
lva,1995,17
lva,1996,34
lva,1997,50
lva,1998,67
lva,1999,66
lva,2000,63
lva,2001,63
lva,2002,62
lva,2003,56
mar,1993,60
mar,1994,56
mar,1995,44
mar,1996,47
mar,1997,49
mar,1998,53
mar,1999,54
mar,2000,53
mar,2001,55
mar,2002,55
mar,2003,52
mar,2004,53
mar,2005,54
mar,2006,63
mar,2007,73
mar,2008,77
mar,2009,76
mar,2010,73
mar,2011,75
mar,2012,76
mar,2013,75
mar,2014,74
mar,2015,74
mar,2016,74
mar,2017,73
mar,2018,75
mar,2019,74
mar,2020,75
mex,1975,369
mex,1976,410
mex,1978,349
mex,1979,337
mex,1980,271
mex,1981,240
mex,1982,215
mex,1983,174
mex,1984,178
mex,1985,188
mex,1986,235
mex,1987,260
mex,1988,309
mex,1989,354
mex,1990,390
mex,1991,207
mex,1992,199
mex,1993,190
mex,1994,206
mex,1995,185
mex,1996,193
mex,1997,194
mex,1998,194
mex,1999,186
mex,2000,175
mex,2001,167
mex,2002,163
mex,2003,158
mex,2004,151
mex,2005,150
mex,2006,132
mex,2007,125
mex,2008,125
mex,2009,125
mex,2010,130
mex,2011,128
mex,2012,131
mex,2013,138
mex,2014,141
mex,2015,136
mex,2016,137
mex,2017,141
mex,2018,140
mex,2019,139
mex,2020,140
mlt,1993,2
mlt,1994,4
mlt,1995,5
mlt,1996,5
mlt,1997,6
mlt,1998,7
mlt,1999,7
mlt,2000,10
mlt,2001,12
mlt,2002,13
mlt,2003,14
mlt,2004,13
mlt,2005,14
mlt,2006,15
mlt,2007,16
mlt,2008,19
mlt,2009,20
mlt,2010,21
mlt,2011,21
mlt,2012,22
mlt,2013,23
mlt,2014,24
mlt,2015,23
mlt,2016,23
mlt,2017,23
mlt,2018,25
mlt,2019,27
mlt,2020,27
mne,2007,331
mne,2008,420
mne,2010,361
mne,2011,146
mne,2012,112
mus,1993,23
mus,1994,26
mus,1995,28
mus,1996,30
mus,1997,30
mus,1998,30
mus,1999,31
mus,2000,31
mus,2001,31
mus,2002,30
mus,2003,28
mus,2004,29
mus,2005,30
mus,2006,62
mus,2007,67
mus,2008,65
mus,2009,64
mus,2010,62
mus,2011,63
mus,2012,60
mus,2013,63
mus,2014,66
mus,2015,71
mus,2016,75
mus,2017,74
mus,2018,99
mus,2019,95
mus,2020,93
mys,1980,181
mys,1981,187
mys,1982,194
mys,1983,204
mys,1984,218
mys,1985,222
mys,1986,226
mys,1987,232
mys,1988,238
mys,1989,249
mys,1990,268
mys,1991,318
mys,1992,363
mys,1993,407
mys,1994,475
mys,1995,523
mys,1996,615
mys,1997,700
mys,1998,728
mys,1999,749
mys,2000,787
mys,2001,804
mys,2002,857
mys,2003,897
mys,2004,955
mys,2005,1015
mys,2006,1021
mys,2007,983
mys,2008,972
mys,2009,952
mys,2010,948
mys,2011,932
mys,2012,911
mys,2013,900
mys,2014,895
mys,2015,892
mys,2016,893
mys,2017,894
mys,2018,902
mys,2019,919
mys,2020,927
nam,1993,4
nam,1994,8
nam,1995,10
nam,1996,12
nam,1997,13
nam,1998,15
nam,1999,14
nam,2000,12
nam,2001,13
nam,2002,12
nam,2003,11
nam,2004,9
nam,2005,9
nam,2006,9
nam,2007,7
nam,2008,7
nam,2009,7
nam,2010,7
nam,2011,6
nam,2012,7
nam,2013,8
nam,2014,8
nam,2015,8
nam,2016,8
nam,2017,10
nam,2018,10
nam,2019,11
nam,2020,13
nga,1993,174
nga,1994,177
nga,1995,181
nga,1996,183
nga,1997,182
nga,1998,186
nga,1999,194
nga,2004,206
nga,2005,215
nga,2006,201
nga,2007,211
nga,2008,212
nga,2009,214
nga,2010,215
nga,2011,196
nga,2012,189
nga,2013,188
nga,2014,188
nga,2015,183
nga,2016,169
nga,2017,166
nga,2018,164
nga,2019,180
nga,2020,177
nld,1975,242
nld,1976,234
nld,1977,231
nld,1978,229
nld,1979,219
nld,1980,214
nld,1981,202
nld,1982,216
nld,1983,215
nld,1984,263
nld,1985,232
nld,1986,267
nld,1987,226
nld,1988,232
nld,1989,251
nld,1990,260
nld,1991,204
nld,1992,187
nld,1993,239
nld,1994,234
nld,1995,184
nld,1996,185
nld,1997,198
nld,1998,214
nld,1999,387
nld,2000,392
nld,2001,329
nld,2002,294
nld,2003,268
nld,2004,256
nld,2005,237
nld,2006,224
nld,2007,221
nld,2008,211
nld,2009,164
nld,2010,150
nld,2011,144
nld,2012,135
nld,2013,99
nld,2014,98
nld,2015,100
nld,2016,103
nld,2017,102
nld,2018,103
nor,1980,117
nor,1981,109
nor,1982,112
nor,1983,113
nor,1984,140
nor,1985,156
nor,1986,149
nor,1987,139
nor,1988,128
nor,1989,122
nor,1990,112
nor,1991,103
nor,1992,115
nor,1993,120
nor,1994,132
nor,1995,151
nor,1996,158
nor,1997,196
nor,1998,214
nor,1999,195
nor,2000,191
nor,2001,188
nor,2002,180
nor,2003,160
nor,2004,166
nor,2005,191
nor,2006,195
nor,2007,208
nor,2008,209
nor,2009,190
nor,2010,195
nor,2011,194
nor,2012,184
nor,2013,173
nor,2014,173
nor,2015,171
nor,2016,171
nor,2017,180
nor,2018,186
nzl,1984,237
nzl,1985,317
nzl,1986,339
nzl,1987,289
nzl,1988,235
nzl,1989,247
nzl,1990,171
nzl,1991,139
nzl,1992,123
nzl,1993,132
nzl,1994,144
nzl,1995,135
nzl,1996,132
nzl,1997,120
nzl,1998,122
nzl,1999,113
nzl,2000,131
nzl,2001,145
nzl,2002,149
nzl,2003,166
nzl,2004,158
nzl,2005,153
nzl,2006,151
nzl,2007,152
nzl,2008,147
nzl,2009,143
nzl,2010,137
nzl,2011,144
nzl,2012,141
nzl,2013,143
nzl,2014,154
nzl,2015,171
nzl,2016,173
nzl,2017,164
nzl,2018,131
nzl,2019,123
nzl,2020,122
omn,1993,90
omn,1994,100
omn,1995,114
omn,1996,133
omn,1997,154
omn,1998,131
omn,1999,134
omn,2000,208
omn,2001,208
omn,2004,225
omn,2005,235
omn,2006,215
omn,2007,120
omn,2008,122
omn,2009,120
omn,2010,114
omn,2011,114
omn,2012,115
omn,2013,116
omn,2014,117
omn,2015,116
omn,2016,113
omn,2017,112
omn,2018,110
omn,2019,111
omn,2020,111
pak,1993,653
pak,1994,724
pak,1995,727
pak,1996,743
pak,1997,742
pak,1998,773
pak,1999,765
pak,2000,723
pak,2001,709
pak,2004,639
pak,2005,639
pak,2006,628
pak,2007,630
pak,2008,629
pak,2009,629
pak,2010,625
pak,2011,621
pak,2012,555
pak,2013,550
pak,2014,557
pan,1993,57
pan,1994,77
pan,1995,97
pan,1996,18
pan,1997,21
pan,1998,27
pan,1999,140
pan,2000,151
pan,2001,30
pan,2002,30
pan,2003,28
pan,2004,26
pan,2005,27
pan,2006,26
pan,2007,28
pan,2008,21
pan,2009,32
pan,2010,34
pan,2011,37
pan,2012,20
pan,2013,20
pan,2014,29
pan,2015,30
pan,2016,30
pan,2017,30
pan,2018,30
pan,2019,32
pan,2020,34
per,1993,235
per,1994,220
per,1995,242
per,1996,236
per,1997,245
per,1998,246
per,1999,229
per,2000,209
per,2001,204
per,2002,198
per,2003,195
per,2004,192
per,2005,193
per,2006,189
per,2007,188
per,2008,201
per,2009,195
per,2010,199
per,2011,202
per,2012,214
per,2013,212
per,2014,211
per,2015,212
per,2016,217
per,2017,218
per,2018,211
per,2019,196
per,2020,199
phl,1987,140
phl,1988,142
phl,1989,144
phl,1990,153
phl,1991,161
phl,1992,169
phl,1993,178
phl,1994,189
phl,1995,205
phl,1996,216
phl,1997,221
phl,1998,221
phl,1999,226
phl,2000,228
phl,2001,230
phl,2002,233
phl,2003,234
phl,2004,233
phl,2005,235
phl,2006,238
phl,2007,242
phl,2008,244
phl,2009,246
phl,2010,251
phl,2011,251
phl,2012,252
phl,2013,254
phl,2014,260
phl,2015,262
phl,2016,262
phl,2017,264
phl,2018,264
phl,2019,265
phl,2020,268
png,2000,8
png,2001,9
png,2002,8
png,2003,9
png,2004,9
png,2005,9
png,2006,9
png,2007,9
png,2008,11
png,2009,11
png,2010,10
png,2011,12
png,2012,8
png,2013,11
png,2014,6
png,2015,6
png,2016,6
pol,1992,9
pol,1993,22
pol,1994,44
pol,1995,65
pol,1996,83
pol,1997,143
pol,1998,198
pol,1999,221
pol,2000,225
pol,2001,230
pol,2002,202
pol,2003,188
pol,2004,211
pol,2005,234
pol,2006,253
pol,2007,352
pol,2008,432
pol,2009,470
pol,2010,570
pol,2011,757
pol,2012,844
pol,2013,869
pol,2014,872
pol,2015,872
pol,2016,861
pol,2017,861
pol,2018,823
pol,2019,798
pol,2020,782
prt,1977,37
prt,1978,38
prt,1979,24
prt,1980,25
prt,1981,23
prt,1982,26
prt,1983,25
prt,1984,23
prt,1985,23
prt,1986,40
prt,1987,131
prt,1988,158
prt,1989,152
prt,1990,152
prt,1991,153
prt,1992,100
prt,1993,89
prt,1994,83
prt,1995,78
prt,1996,81
prt,1997,81
prt,1998,76
prt,1999,81
prt,2000,111
prt,2001,99
prt,2002,60
prt,2003,57
prt,2004,55
prt,2005,51
prt,2006,51
prt,2007,52
prt,2008,55
prt,2009,54
prt,2010,52
prt,2011,51
prt,2012,49
prt,2013,46
prt,2014,47
prt,2015,47
prt,2016,45
prt,2017,43
prt,2018,40
pry,1995,30
pry,1996,60
pry,1997,59
pry,1998,59
pry,1999,55
pse,1999,24
pse,2000,25
pse,2001,25
pse,2002,28
pse,2003,26
pse,2004,27
pse,2005,28
pse,2006,32
pse,2007,34
pse,2008,36
pse,2009,38
pse,2010,39
pse,2011,45
pse,2012,47
pse,2013,48
pse,2014,48
pse,2015,49
pse,2016,48
pse,2017,48
pse,2018,48
pse,2019,48
pse,2020,46
qat,2008,43
qat,2009,44
qat,2010,43
qat,2011,42
qat,2012,42
qat,2013,42
qat,2014,43
qat,2015,43
qat,2016,44
qat,2017,45
qat,2018,46
qat,2019,47
qat,2020,47
rou,1997,76
rou,1998,126
rou,1999,122
rou,2000,109
rou,2001,60
rou,2002,60
rou,2003,57
rou,2004,55
rou,2005,59
rou,2006,53
rou,2007,54
rou,2008,62
rou,2009,68
rou,2010,73
rou,2011,77
rou,2012,77
rou,2013,81
rou,2014,81
rou,2015,82
rou,2016,84
rou,2017,86
rou,2018,85
rou,2019,81
rou,2020,81
rus,1993,52
rus,1994,79
rus,1995,340
rus,1996,240
rus,1997,43
rus,1998,41
rus,2000,21
rus,2001,21
rus,2002,57
rus,2003,266
rus,2004,412
rus,2005,414
rus,2006,539
rus,2007,592
rus,2008,561
rus,2009,550
rus,2010,556
rus,2011,534
rus,2012,292
rus,2013,261
rus,2014,254
rus,2015,251
rus,2016,242
rus,2017,230
rus,2018,221
rus,2019,213
rus,2020,213
rwa,2019,4
sau,2002,68
sau,2003,70
sau,2004,73
sau,2005,77
sau,2006,86
sau,2007,111
sau,2008,127
sau,2009,135
sau,2010,146
sau,2011,150
sau,2012,158
sau,2013,163
sau,2014,169
sau,2015,171
sau,2016,176
sau,2017,188
sau,2018,200
sau,2019,204
sau,2020,207
sgp,1979,95
sgp,1980,97
sgp,1981,103
sgp,1982,112
sgp,1983,118
sgp,1984,121
sgp,1985,122
sgp,1986,122
sgp,1987,127
sgp,1988,132
sgp,1989,136
sgp,1990,150
sgp,1991,166
sgp,1992,181
sgp,1993,201
sgp,1994,313
sgp,1995,250
sgp,1996,266
sgp,1997,294
sgp,1998,257
sgp,1999,274
sgp,2000,328
sgp,2001,318
sgp,2002,321
sgp,2003,475
sgp,2004,536
sgp,2005,564
sgp,2006,461
sgp,2007,472
sgp,2008,455
sgp,2009,459
sgp,2010,461
sgp,2011,462
sgp,2012,472
sgp,2013,479
sgp,2014,484
sgp,2015,483
sgp,2016,479
sgp,2017,483
sgp,2018,482
sgp,2019,470
sgp,2020,459
svk,1993,9
svk,1994,13
svk,1995,15
svk,1996,14
svk,1997,10
svk,1998,10
svk,1999,8
svk,2000,7
svk,2001,9
svk,2002,11
svk,2003,9
svk,2004,8
svk,2005,7
svk,2006,187
svk,2007,160
svk,2008,125
svk,2009,107
svk,2010,90
svk,2011,147
svk,2012,69
svk,2013,67
svn,1993,16
svn,1994,17
svn,1995,22
svn,1996,45
svn,1997,78
svn,1998,90
svn,1999,130
svn,2000,149
svn,2001,151
svn,2002,135
svn,2003,134
svn,2004,140
svn,2005,116
svn,2006,100
svn,2007,87
svn,2008,84
svn,2009,76
svn,2010,72
svn,2011,66
svn,2012,61
svn,2013,55
svn,2014,51
svn,2015,46
svn,2016,38
svn,2017,35
svn,2018,31
svn,2019,29
svn,2020,27
swe,1975,101
swe,1976,98
swe,1977,96
swe,1978,94
swe,1979,96
swe,1980,103
swe,1981,130
swe,1982,138
swe,1983,145
swe,1984,159
swe,1985,164
swe,1986,154
swe,1987,150
swe,1988,142
swe,1989,135
swe,1990,121
swe,1991,117
swe,1992,108
swe,1993,197
swe,1994,216
swe,1995,212
swe,1996,217
swe,1997,245
swe,1998,258
swe,1999,277
swe,2000,292
swe,2001,285
swe,2002,278
swz,1993,4
swz,1994,4
swz,1995,4
swz,1996,5
swz,1997,4
swz,1998,6
swz,1999,7
swz,2000,6
swz,2001,5
swz,2002,5
swz,2003,5
swz,2004,6
swz,2005,6
swz,2006,6
swz,2007,6
syc,2013,1
syc,2014,2
syc,2015,3
syc,2016,8
syc,2017,22
syc,2018,26
syc,2019,33
syc,2020,40
tha,1980,72
tha,1981,76
tha,1982,78
tha,1983,85
tha,1984,93
tha,1985,95
tha,1986,92
tha,1987,102
tha,1988,122
tha,1989,145
tha,1990,159
tha,1991,270
tha,1992,315
tha,1993,347
tha,1994,389
tha,1995,416
tha,1996,454
tha,1997,431
tha,1998,418
tha,1999,392
tha,2000,381
tha,2001,382
tha,2002,398
tha,2003,419
tha,2004,463
tha,2005,504
tha,2006,518
tha,2007,523
tha,2008,525
tha,2009,535
tha,2010,541
tha,2011,545
tha,2012,558
tha,2013,584
tha,2014,613
tha,2015,639
tha,2016,656
tha,2017,688
tha,2018,704
tha,2019,725
tha,2020,743
tto,2001,26
tun,1994,20
tun,1995,24
tun,1996,28
tun,1997,32
tun,1998,36
tun,1999,44
tun,2000,44
tun,2001,45
tun,2002,46
tun,2003,45
tun,2004,44
tun,2005,45
tun,2006,48
tun,2007,51
tun,2008,50
tun,2009,52
tun,2010,56
tun,2011,57
tun,2012,59
tun,2013,71
tun,2014,77
tun,2015,78
tun,2016,79
tun,2017,81
tun,2018,82
tun,2019,81
tun,2020,80
tur,1986,80
tur,1987,82
tur,1988,79
tur,1989,76
tur,1990,110
tur,1991,134
tur,1992,145
tur,1993,160
tur,1994,176
tur,1995,205
tur,1996,228
tur,1997,258
tur,1998,262
tur,1999,286
tur,2000,315
tur,2001,310
tur,2002,288
tur,2003,244
tur,2004,253
tur,2005,257
tur,2006,259
tur,2007,259
tur,2008,250
tur,2009,248
tur,2010,263
tur,2011,263
tur,2012,242
tur,2013,235
tur,2014,226
tur,2015,392
tur,2016,380
tur,2017,374
tur,2018,377
tur,2019,378
tur,2020,371
tza,1999,3
tza,2000,4
tza,2001,4
tza,2020,22
ukr,2014,172
ukr,2015,158
ukr,2016,121
ukr,2017,94
ukr,2018,78
ury,1995,18
ury,1996,18
ury,1998,18
ury,1999,17
usa,1975,2670
usa,1976,2680
usa,1977,2582
usa,1978,2489
usa,1979,2401
usa,1980,5164
usa,1981,5590
usa,1982,5430
usa,1983,6175
usa,1984,6230
usa,1985,6260
usa,1986,6580
usa,1987,7001
usa,1988,6795
usa,1989,6627
usa,1990,6429
usa,1991,6513
usa,1992,6562
usa,1993,6912
usa,1994,7255
usa,1995,7487
usa,1996,8090
usa,1997,7905
usa,1998,7499
usa,1999,7229
usa,2000,6917
usa,2001,6177
usa,2002,5685
usa,2003,5295
usa,2004,5226
usa,2005,5145
usa,2006,5133
usa,2007,5109
usa,2008,4666
usa,2009,4401
usa,2010,4279
usa,2011,4171
usa,2012,4102
usa,2013,4180
usa,2014,4369
usa,2015,4381
usa,2016,4331
usa,2017,4336
usa,2018,4397
usa,2019,4266
ven,1990,118
ven,1991,150
ven,1992,139
ven,1993,157
ven,1994,155
ven,1995,86
ven,1996,154
ven,1997,158
ven,1998,73
ven,1999,70
ven,2000,66
ven,2001,63
ven,2002,57
ven,2003,54
ven,2004,52
ven,2005,51
ven,2006,55
ven,2007,59
ven,2008,62
ven,2009,62
ven,2010,55
ven,2011,41
ven,2012,41
ven,2013,39
ven,2014,37
vnm,2008,330
vnm,2009,445
vnm,2010,634
vnm,2011,687
vnm,2012,697
vnm,2013,678
vnm,2014,670
vnm,2015,684
vnm,2016,696
vnm,2017,728
vnm,2018,749
vnm,2019,745
vnm,2020,745
zaf,1975,577
zaf,1976,545
zaf,1977,547
zaf,1978,507
zaf,1979,491
zaf,1980,481
zaf,1981,475
zaf,1982,470
zaf,1983,464
zaf,1984,470
zaf,1985,462
zaf,1986,536
zaf,1987,734
zaf,1988,754
zaf,1989,736
zaf,1990,740
zaf,1991,698
zaf,1992,642
zaf,1993,615
zaf,1994,600
zaf,1995,612
zaf,1996,599
zaf,1997,615
zaf,1998,650
zaf,1999,652
zaf,2000,604
zaf,2001,510
zaf,2002,429
zaf,2003,390
zaf,2004,369
zaf,2005,348
zaf,2006,359
zaf,2007,374
zaf,2008,367
zaf,2009,353
zaf,2010,352
zaf,2011,347
zaf,2012,338
zaf,2013,322
zaf,2014,322
zaf,2015,316
zaf,2016,303
zaf,2017,294
zaf,2018,289
zaf,2019,274
zaf,2020,264
zmb,1995,2
zmb,1996,5
zmb,1997,6
zmb,1998,10
zmb,1999,14
zmb,2000,8
zmb,2001,9
zmb,2002,30
zmb,2003,10
zmb,2004,11
zmb,2005,12
zmb,2006,14
zmb,2011,20
zmb,2020,23
zwe,1993,62
zwe,1994,65
zwe,1995,65
zwe,1996,63
zwe,1997,64
zwe,1998,67
zwe,1999,69
