geo,time,ny_adj_svnx_cd
isr,2011,35501398830.7675
isr,2012,31907116178.6262
isr,2013,41942632857.634
isr,2014,50060691948.7334
isr,2015,50126609745.1504
isr,2016,51796895790.2462
isr,2017,57165555759.4489
isr,2018,58558972802.004
isr,2019,64709971708.9097
ita,1970,20961998000.4771
ita,1971,20665113419.9897
ita,1972,22881529577.2929
ita,1973,27924252290.1152
ita,1974,32528296414.8121
ita,1975,29984599003.6812
ita,1976,34130427690.2046
ita,1977,38816152030.2362
ita,1978,49800896367.58
ita,1979,65197215243.7948
ita,1980,67968563611.85049
ita,1981,47506097206.6668
ita,1982,45566934888.5194
ita,1983,50814567451.5046
ita,1984,51707241346.19209
ita,1985,50860304445.5991
ita,1986,72477474872.67651
ita,1987,93013096449.26659
ita,1988,104280850583.758
ita,1989,94911526830.47951
ita,1990,111261229337.63499
ita,1991,105356123768.782
ita,1992,109281754391.46201
ita,1993,97222490564.4265
ita,1994,99512963570.30388
ita,1995,131674791148.388
ita,1996,154502806471.478
ita,1997,146617609551.29901
ita,1998,134859344466.356
ita,1999,124953703017.244
ita,2000,104002031378.21201
ita,2001,114223380647.158
ita,2002,118208219086.716
ita,2003,137522300886.05499
ita,2004,160543476797.86301
ita,2005,146843428178.203
ita,2006,161265807601.01001
ita,2007,181553225055.88101
ita,2008,146540798765.677
ita,2009,86536240037.5394
ita,2010,68115388632.7291
ita,2011,73844487269.6926
ita,2012,51168458212.8283
ita,2013,62753645019.9743
ita,2014,83642117452.36598
ita,2015,64827670506.2307
ita,2016,101364157729.438
ita,2017,122546696756.597
ita,2018,140573687632.17401
ita,2019,133121049268.987
jam,1976,-83499828.31246
jam,1977,24134062.99899
jam,1978,119167158.82223
jam,1979,41355362.04783
jam,1980,-32524341.07253
jam,1981,-50491309.41982
jam,1982,-39252606.73714
jam,1983,9194705.98295
jam,1984,-4571756.3017
jam,1985,4713505.83385
jam,1986,130922382.40229
jam,1987,210437003.37602
jam,1988,594805021.28108
jam,1989,566432684.43282
jam,1990,498079231.04734
jam,1991,405442493.5621
jam,1992,578467181.2121
jam,1993,1435146762.67798
jam,1994,1034135360.20312
jam,1995,1069247221.12126
jam,1996,1210337587.43372
jam,1997,1361670893.87944
jam,1998,1318828022.78791
jam,1999,1236760166.72926
jam,2000,1073801523.19765
jam,2001,1127808349.56837
jam,2002,1061925132.73436
jam,2003,1115319462.81972
jam,2004,1463196171.15589
jam,2005,1051223763.55708
jam,2006,1338983412.61904
jam,2007,1213469474.72697
jam,2008,255467934.94429
jam,2009,1059035370.82373
jam,2010,1273138762.35188
jam,2011,738455777.41872
jam,2012,1143963923.88014
jam,2013,1170047490.57398
jam,2014,1444464090.1994
jam,2015,1951130553.78265
jam,2016,2305454218.13582
jam,2017,2519098843.55773
jam,2018,2794602446.90764
jam,2019,3007001363.00506
jor,1976,498184066.36397
jor,1977,702450272.5268
jor,1978,445519175.95395
jor,1979,893501966.99619
jor,1980,1622444599.56119
jor,1981,1729671754.53679
jor,1982,1166956958.2419
jor,1983,922409255.33058
jor,1984,863689146.20815
jor,1985,391800473.77809
jor,1986,663095570.49623
jor,1987,480207158.22178
jor,1988,659834042.98123
jor,1989,860741653.57457
jor,1990,585615362.45895
jor,1991,260248559.78888
jor,1992,505964759.66352
jor,1993,1009516715.43443
jor,1994,1224608159.44505
jor,1995,1536972405.20206
jor,1996,1394368127.429
jor,1997,1255066190.61406
jor,1998,1102763972.12708
jor,1999,1169828735.47822
jor,2000,1074660169.78271
jor,2001,985624926.37643
jor,2002,1481298040.96157
jor,2003,2331518561.97975
jor,2004,2084688577.67286
jor,2005,807749309.17651
jor,2006,1276178679.41085
jor,2007,762273327.79876
jor,2008,3467462063.7185
jor,2009,4312574085.22332
jor,2010,4692370288.07749
jor,2011,3301609706.91143
jor,2012,1460704706.95867
jor,2013,2515109386.4364
jor,2014,3513413462.79711
jor,2015,2553683326.7639
jor,2016,1649899914.49047
jor,2017,1252367689.30715
jor,2018,2585445338.3297
jor,2019,4390510901.57039
jpn,1996,671517166115.13098
jpn,1997,581321620002.41504
jpn,1998,462837530352.44
jpn,1999,440467167249.71997
jpn,2000,498448237040.50098
jpn,2001,372891095144.138
jpn,2002,296115566891.117
jpn,2003,339831635623.72302
jpn,2004,406715017724.40399
jpn,2005,402579270849.23102
jpn,2006,373788455743.17603
jpn,2007,388170080034.90698
jpn,2008,293153039394.65399
jpn,2009,89653362903.68211
jpn,2010,222313356456.26599
jpn,2011,187693888406.672
jpn,2012,184329669517.31799
jpn,2013,177025588630.08099
jpn,2014,186520206192.474
jpn,2015,285915372725.23297
jpn,2016,344259078163.30402
jpn,2017,381342335969.17902
jpn,2018,356265042595.367
kaz,1995,-2492906018.19178
kaz,1996,-1874338406.30413
kaz,1997,-1929183503.72962
kaz,1999,-2633797864.04817
kaz,2000,-3646510498.55909
kaz,2001,-2420162106.74773
kaz,2002,-1983830234.79963
kaz,2003,-1997061650.93267
kaz,2004,-4157116126.48208
kaz,2005,-5054759191.83055
kaz,2006,-3610949990.79449
kaz,2007,3472136170.59712
kaz,2008,4855785083.27493
kaz,2009,5948721817.39372
