geo,time,ag_lnd_crel_ha
egy,1973,1880046
egy,1974,2000390
egy,1975,2043762
egy,1976,2077889
egy,1977,1899889
egy,1978,2043952
egy,1979,2034056
egy,1980,1978165
egy,1981,2009210
egy,1982,2027218
egy,1983,2013325
egy,1984,1944845
egy,1985,1886100
egy,1986,1864080
egy,1987,1930870
egy,1988,1941599
egy,1989,2085271
egy,1990,2283426
egy,1991,2470059
egy,1992,2477121
egy,1993,2495725
egy,1994,2561268
egy,1995,2726636
egy,1996,2545317
egy,1997,2735816
egy,1998,2642833
egy,1999,2707099
egy,2000,2761724
egy,2001,2614460
egy,2002,2712234
egy,2003,2751930
egy,2004,2755787
egy,2005,2975160
egy,2006,3002359
egy,2007,2911543
egy,2008,3186032
egy,2009,3179076
egy,2010,2992580
egy,2011,3037991
egy,2012,3268112
egy,2013,3311233
egy,2014,3291950
egy,2015,3251487
egy,2016,3226518
egy,2017,3097260
egy,2018,3084783
eri,1993,338500
eri,1994,330365
eri,1995,298432
eri,1996,322179
eri,1997,374255
eri,1998,477043
eri,1999,427060
eri,2000,330175
eri,2001,343832
eri,2002,344627
eri,2003,405859
eri,2004,395213
eri,2005,442581
eri,2006,472402
eri,2007,492281
eri,2008,419412
eri,2009,453744
eri,2010,451578
eri,2011,481214
eri,2012,441076
eri,2013,444814
eri,2014,452762
eri,2015,476429
eri,2016,473714
eri,2017,473966
eri,2018,479205
esp,1961,6929785
esp,1962,7252920
esp,1963,7228312
esp,1964,7048402
esp,1965,7093770
esp,1966,6954614
esp,1967,7207501
esp,1968,7382517
esp,1969,7350702
esp,1970,7432455
esp,1971,7436300
esp,1972,7495900
esp,1973,7298300
esp,1974,7518800
esp,1975,7195800
esp,1976,7230878
esp,1977,7245747
esp,1978,7513302
esp,1979,7278067
esp,1980,7526907
esp,1981,7367284
esp,1982,7452404
esp,1983,7432467
esp,1984,7587089
esp,1985,7592592
esp,1986,7708338
esp,1987,7879247
esp,1988,7897362
esp,1989,7905859
esp,1990,7551418
esp,1991,7823778
esp,1992,7414530
esp,1993,6438388
esp,1994,6493765
esp,1995,6702545
esp,1996,6777458
esp,1997,6997814
esp,1998,6648975
esp,1999,6657872
esp,2000,6821909
esp,2001,6445908
esp,2002,6748051
esp,2003,6597060
esp,2004,6624481
esp,2005,6595493
esp,2006,6303597
esp,2007,6237884
esp,2008,6714826
esp,2009,6076837
esp,2010,6039751
esp,2011,5985488
esp,2012,6173208
esp,2013,6267941
esp,2014,6335536
esp,2015,6212892
esp,2016,6203674
esp,2017,6011747
esp,2018,5989227
est,1992,426051
est,1993,375100
est,1994,319568
est,1995,304298
est,1996,288799
est,1997,326586
est,1998,354100
est,1999,321000
est,2000,329423
est,2001,274162
est,2002,259214
est,2003,263166
est,2004,260979
est,2005,282094
est,2006,280235
est,2007,292271
est,2008,309300
est,2009,316413
est,2010,275294
est,2011,296941
est,2012,290500
est,2013,311100
est,2014,332900
est,2015,350400
est,2016,351354
est,2017,330677
est,2018,350433
eth,1961,5882000
eth,1962,6093000
eth,1963,6113700
eth,1964,6156100
eth,1965,6228600
eth,1966,6290300
eth,1967,6348600
eth,1968,6424300
eth,1969,6499800
eth,1970,6580200
eth,1971,6670300
eth,1972,6429500
eth,1973,5282000
eth,1974,5351000
eth,1975,4464500
eth,1976,4426300
eth,1977,4230000
eth,1978,4454800
eth,1979,4631000
eth,1980,5079000
eth,1981,4711820
eth,1982,4629430
eth,1983,5029230
eth,1984,4715860
eth,1985,4814680
eth,1986,4991450
eth,1987,4950900
eth,1988,5054810
eth,1989,4891260
eth,1990,4957410
eth,1991,4444010
eth,1992,4356060
eth,1993,4040330
eth,1994,5392277
