geo,time,nv_srv_totl_kd
irl,1998,86149427632.17299
irl,1999,92218579642.7453
irl,2000,97663290031.88361
irl,2001,101103840687.145
irl,2002,105339180915.989
irl,2003,106999808830.619
irl,2004,114788622608.19299
irl,2005,122461974926.80499
irl,2006,129785990454.72501
irl,2007,141943434682.746
irl,2008,142728943180.99899
irl,2009,135321971593.272
irl,2010,138432452149.18799
irl,2011,138940465925.93201
irl,2012,136006583208.278
irl,2013,140125787394.32101
irl,2014,148921002591.543
irl,2015,156164120206.07001
irl,2016,160831675619.509
irl,2017,174667227028.23901
irl,2018,192615801526.69901
irl,2019,205593763822.72296
irl,2020,198392924196.89401
irn,1960,14850656178.914
irn,1961,15031166509.3497
irn,1962,15703918538.1248
irn,1963,16653418536.45
irn,1964,18606613080.5976
irn,1965,22381683823.1738
irn,1966,24143542112.03049
irn,1967,26874559982.2994
irn,1968,30122455320.4618
irn,1969,33607366254.4828
irn,1970,36787108575.3422
irn,1971,42270017504.6379
irn,1972,51463359575.21809
irn,1973,52747555024.2083
irn,1974,73508210348.1799
irn,1975,86637473983.41499
irn,1976,98167960505.31569
irn,1977,102877389514.435
irn,1978,106158151367.79601
irn,1979,109693416763.61301
irn,1980,105786402443.989
irn,1981,94836440760.42867
irn,1982,92475611923.70901
irn,1983,99125148241.8856
irn,1984,97152217842.68941
irn,1985,99916566437.63062
irn,1986,85400752871.4252
irn,1987,78468437821.57289
irn,1988,70267305958.96851
irn,1989,74773615999.3109
irn,1990,82228462383.33009
irn,1991,90393413122.3237
irn,1992,93799247860.31161
irn,1993,94612739313.1806
irn,1994,96775151993.07471
irn,1995,99525388149.9825
irn,1996,104941995985.022
irn,1997,109931622075.127
irn,1998,113289105645.53799
irn,1999,116331018432.489
irn,2000,119395324273.40401
irn,2001,125095551582.25999
irn,2002,133070913662.127
irn,2003,142476573070.60699
irn,2004,152681774963.92099
irn,2005,163711415652.93301
irn,2006,175404475944.25601
irn,2007,191377624153.74301
irn,2008,188921889202.875
irn,2009,190968861799.836
irn,2010,201147314848.55801
irn,2011,209237818244.17801
irn,2012,212341609342.845
irn,2013,217171083712.69199
irn,2014,220268448002.98697
