geo,time,fi_res_xgld_cd
sle,2017,549121050.85139
sle,2018,501210759.59255
sle,2019,530137881.48208
sle,2020,707703898.12545
slv,1960,3100000
slv,1961,6600000
slv,1962,8510000
slv,1963,26600000
slv,1964,35600000
slv,1965,38400000
slv,1966,38900000
slv,1967,37000000
slv,1968,44200000
slv,1969,46500000
slv,1970,45410000
slv,1971,46166863.9079
slv,1972,63860583.03465
slv,1973,41259985.52936
slv,1974,77558685.54332
slv,1975,106977275.18037
slv,1976,185382180.99555
slv,1977,211245498.29411
slv,1978,268139795.2283
slv,1979,142586107.45292
slv,1980,77700000
slv,1981,71939674.55844
slv,1982,108542189.44971
slv,1983,160204695.59766
slv,1984,165819604.1914
slv,1985,179643936.73111
slv,1986,169700000
slv,1987,186142559.83203
slv,1988,161613456.95792
slv,1989,265913141.6406
slv,1990,414814226.57239
slv,1991,287200000
slv,1992,422113750.05156
slv,1993,536219229.81857
slv,1994,649401406.85515
slv,1995,758339824.7137
slv,1996,936928307.87194
slv,1997,1307910997.20435
slv,1998,1613079244.31334
slv,1999,1819802189.99411
slv,2000,1772563135.18711
slv,2001,1593711384.95644
slv,2002,1472816682.7743
slv,2003,1790678166.18496
slv,2004,1752409349.50117
slv,2005,1721406455.47838
slv,2006,1822789886.97128
slv,2007,2108523963.9261
slv,2008,2441647733.68893
slv,2009,2867385586.06699
slv,2010,2568208188.84522
slv,2011,2151456411.76904
slv,2012,2804923319.68549
slv,2013,2476175225.7377
slv,2014,2430270623.48455
slv,2015,2739835136.10091
slv,2016,3187788699.81609
slv,2017,3510079660.79971
slv,2018,3512277016.47393
slv,2019,4378651102.52269
slv,2020,2999443127.1397
smr,1993,119862147.40142
smr,1994,176306358.8176
smr,1995,198546105.58171
smr,1996,215015643.4019
smr,1997,182944575.93988
smr,1998,170672592.02948
smr,1999,144125713.19815
smr,2000,135161372.53396
smr,2001,133005013.09536
smr,2002,182564953.1928
smr,2003,251247772.87733
smr,2004,355512155.77887
smr,2005,347709671.69928
smr,2006,479069768.42795
smr,2007,647733471.51303
smr,2008,706793198.06461
smr,2009,790271922.06767
smr,2010,449159685.67253
smr,2011,341857697.19973
smr,2012,384949652.80134
smr,2013,539285341.23586
smr,2014,392044349.56783
smr,2015,378976113.95394
smr,2016,450983493.47062
smr,2017,359230311.90452
smr,2018,338957476.90709
smr,2019,473110899.77336
smr,2020,781804749.77734
som,1960,9300000
som,1961,16500000
som,1962,17900000
som,1963,18770000
som,1964,10200000
som,1965,8600000
som,1966,12300000
som,1967,10000000
som,1968,6750000
som,1969,13420000
som,1970,21140000
som,1971,26059448.46312
som,1972,31330883.24101
som,1973,34997110.815
som,1974,42323321.42884
som,1975,68367664.07959
som,1976,84875567.85662
som,1977,119977498.66998
som,1978,126341462.78608
som,1979,43791405.73618
som,1980,14563752.7829
