geo,time,sl_emp_mpyr_fe_zs
dom,1997,1.74
dom,1998,1.75
dom,1999,1.76
dom,2000,1.78
dom,2001,2.27
dom,2002,2.05
dom,2003,1.78
dom,2004,3.08
dom,2005,2.92
dom,2006,2.98
dom,2007,2.58
dom,2008,2.92
dom,2009,2.84
dom,2010,3.22
dom,2011,2.17
dom,2012,2.24
dom,2013,2.88
dom,2014,2.38
dom,2015,1.92
dom,2016,2.06
dom,2017,1.94
dom,2018,1.67
dom,2019,1.85
dza,1991,2.08
dza,1992,2.09
dza,1993,2.08
dza,1994,2.08
dza,1995,2.07
dza,1996,2.07
dza,1997,2.06
