geo,time,iq_sci_srce
pol,2011,80
pol,2012,80
pol,2013,80
pol,2014,80
pol,2015,80
pol,2016,80
pol,2017,80
pol,2018,80
pol,2019,80
pol,2020,80
pry,2004,40
pry,2005,50
pry,2006,60
pry,2007,60
pry,2008,60
pry,2009,80
pry,2010,80
pry,2011,80
pry,2012,80
pry,2013,80
pry,2014,80
pry,2015,80
pry,2016,80
pry,2017,80
pry,2018,60
pry,2019,60
pry,2020,60
pse,2009,50
pse,2010,60
pse,2011,80
pse,2012,80
pse,2013,100
pse,2014,90
pse,2015,80
pse,2016,70
pse,2017,80
pse,2018,70
pse,2019,70
pse,2020,80
rou,2004,100
rou,2005,100
rou,2006,100
rou,2007,100
rou,2008,100
rou,2009,100
rou,2010,100
rou,2011,100
rou,2012,90
rou,2013,80
rou,2014,80
rou,2015,80
rou,2016,80
rou,2017,80
rou,2018,80
rou,2019,80
rou,2020,80
rus,2004,100
rus,2005,100
rus,2006,80
rus,2007,100
rus,2008,100
rus,2009,100
rus,2010,100
rus,2011,100
rus,2012,100
rus,2013,100
rus,2014,100
rus,2015,90
rus,2016,80
rus,2017,80
rus,2018,80
rus,2019,80
rus,2020,80
rwa,2004,60
rwa,2005,60
rwa,2006,60
rwa,2007,60
rwa,2008,60
rwa,2009,80
rwa,2010,80
rwa,2011,80
rwa,2012,80
rwa,2013,80
rwa,2014,80
rwa,2015,70
rwa,2016,70
rwa,2017,80
rwa,2018,50
rwa,2019,50
rwa,2020,60
sdn,2004,20
sdn,2005,0
sdn,2006,0
sdn,2007,10
sdn,2008,10
sdn,2009,30
sdn,2010,30
sdn,2011,30
sdn,2012,30
sdn,2013,30
sdn,2014,30
sdn,2015,30
sdn,2016,60
sdn,2017,70
sdn,2018,70
sdn,2019,70
sdn,2020,40
sen,2004,80
sen,2005,80
sen,2006,70
sen,2007,70
sen,2008,70
sen,2009,70
sen,2010,70
sen,2011,50
sen,2012,50
sen,2013,70
sen,2014,80
sen,2015,80
sen,2016,80
sen,2017,80
sen,2018,70
sen,2019,70
sen,2020,60
slb,2005,20
slb,2006,20
slb,2007,20
slb,2008,20
slb,2009,20
slb,2010,20
slb,2011,20
slb,2012,20
slb,2013,40
slb,2014,40
slb,2015,40
slb,2016,50
slb,2017,50
slb,2018,40
slb,2019,40
slb,2020,40
sle,2004,20
sle,2005,40
sle,2006,40
sle,2007,40
sle,2008,50
sle,2009,50
sle,2010,50
sle,2011,50
sle,2012,60
sle,2013,60
sle,2014,60
sle,2015,50
sle,2016,50
sle,2017,50
sle,2018,50
sle,2019,50
sle,2020,50
slv,2004,60
slv,2005,60
slv,2006,60
slv,2007,60
slv,2008,80
slv,2009,100
slv,2010,100
slv,2011,100
slv,2012,100
slv,2013,100
slv,2014,100
slv,2015,100
slv,2016,100
slv,2017,100
slv,2018,80
slv,2019,80
slv,2020,60
som,2004,20
som,2005,20
som,2006,20
som,2007,20
som,2008,20
som,2009,20
som,2010,20
som,2011,10
som,2012,20
som,2013,20
som,2014,10
som,2015,10
som,2016,10
som,2017,10
som,2018,20
som,2019,20
som,2020,20
srb,2004,70
srb,2005,80
srb,2006,80
srb,2007,80
srb,2008,80
srb,2009,80
srb,2010,80
srb,2011,80
srb,2012,80
srb,2013,100
srb,2014,100
srb,2015,100
srb,2016,100
srb,2017,100
srb,2018,90
srb,2019,90
srb,2020,100
ssd,2013,40
ssd,2014,40
ssd,2015,30
ssd,2016,30
ssd,2017,30
ssd,2018,40
ssd,2019,40
ssd,2020,40
stp,2005,60
stp,2006,60
stp,2007,70
stp,2008,70
stp,2009,80
stp,2010,60
stp,2011,60
stp,2012,60
stp,2013,80
stp,2014,80
stp,2015,70
stp,2016,70
stp,2017,80
stp,2018,60
stp,2019,60
stp,2020,60
sur,2005,50
sur,2006,50
sur,2007,60
sur,2008,60
sur,2009,90
sur,2010,90
sur,2011,90
sur,2012,80
sur,2013,70
sur,2014,70
sur,2015,70
sur,2016,70
sur,2017,80
sur,2018,80
sur,2019,90
sur,2020,80
svk,2004,90
svk,2005,80
svk,2006,80
svk,2007,80
svk,2008,80
svk,2009,80
svk,2010,80
svk,2011,80
svk,2012,80
svk,2013,80
svk,2014,80
svk,2015,80
svk,2016,80
swz,2004,80
swz,2005,80
swz,2006,80
swz,2007,70
swz,2008,70
swz,2009,70
swz,2010,70
swz,2011,70
swz,2012,70
swz,2013,60
swz,2014,50
swz,2015,50
swz,2016,40
swz,2017,40
swz,2018,80
swz,2019,70
swz,2020,70
syc,2005,70
syc,2006,70
syc,2007,70
syc,2008,80
syc,2009,80
syc,2010,60
syc,2011,50
syc,2012,60
syc,2013,60
syc,2014,60
syc,2015,60
syc,2016,70
syc,2017,70
syc,2018,70
syc,2019,60
syc,2020,60
syr,2004,40
syr,2005,40
syr,2006,40
syr,2007,40
syr,2008,40
syr,2009,40
syr,2010,40
syr,2011,30
syr,2012,20
syr,2013,20
syr,2014,30
syr,2015,30
syr,2016,30
syr,2017,20
syr,2018,20
syr,2019,10
syr,2020,10
tcd,2004,50
tcd,2005,40
tcd,2006,40
tcd,2007,30
tcd,2008,30
tcd,2009,30
tcd,2010,50
tcd,2011,50
tcd,2012,80
tcd,2013,80
tcd,2014,60
tcd,2015,60
tcd,2016,50
tcd,2017,50
tcd,2018,50
tcd,2019,60
tcd,2020,50
tgo,2004,40
tgo,2005,40
tgo,2006,40
tgo,2007,40
tgo,2008,20
tgo,2009,20
tgo,2010,30
tgo,2011,30
tgo,2012,50
tgo,2013,70
tgo,2014,70
tgo,2015,70
tgo,2016,70
tgo,2017,70
tgo,2018,70
tgo,2019,80
tgo,2020,80
tha,2004,80
tha,2005,80
tha,2006,80
tha,2007,80
tha,2008,80
tha,2009,80
tha,2010,80
tha,2011,80
tha,2012,80
tha,2013,80
tha,2014,80
tha,2015,80
tha,2016,80
tha,2017,80
tha,2018,70
tha,2019,70
tha,2020,80
tjk,2004,100
tjk,2005,100
tjk,2006,80
tjk,2007,80
tjk,2008,80
tjk,2009,80
tjk,2010,60
tjk,2011,60
tjk,2012,60
tjk,2013,60
tjk,2014,60
tjk,2015,80
tjk,2016,80
tjk,2017,80
tjk,2018,70
tjk,2019,70
tjk,2020,70
tkm,2004,70
tkm,2005,60
tkm,2006,60
tkm,2007,40
tkm,2008,40
tkm,2009,40
tkm,2010,30
tkm,2011,30
tkm,2012,50
tkm,2013,50
tkm,2014,50
tkm,2015,30
tkm,2016,30
tkm,2017,30
tkm,2018,20
tkm,2019,20
tkm,2020,30
tls,2005,50
tls,2006,50
tls,2007,50
tls,2008,60
tls,2009,60
tls,2010,60
tls,2011,60
tls,2012,50
tls,2013,70
tls,2014,60
tls,2015,60
tls,2016,70
tls,2017,70
tls,2018,60
tls,2019,60
tls,2020,60
ton,2005,60
ton,2006,60
ton,2007,60
ton,2008,60
ton,2009,60
ton,2010,70
ton,2011,70
ton,2012,70
ton,2013,40
ton,2014,40
ton,2015,40
ton,2016,40
ton,2017,40
ton,2018,50
ton,2019,50
ton,2020,50
tto,2004,40
tto,2005,60
tto,2006,60
tto,2007,70
tto,2008,70
tto,2009,70
tto,2010,70
tto,2011,70
tto,2012,70
tto,2013,70
tto,2014,70
tto,2015,70
tto,2016,70
tto,2017,50
tto,2018,40
tto,2019,40
tto,2020,40
tun,2004,70
tun,2005,70
tun,2006,70
tun,2007,70
tun,2008,70
tun,2009,70
tun,2010,70
tun,2011,70
tun,2012,70
tun,2013,70
tun,2014,60
tun,2015,70
tun,2016,70
tun,2017,40
tun,2018,30
tun,2019,60
tun,2020,40
tur,2004,80
tur,2005,80
tur,2006,80
tur,2007,80
tur,2008,80
tur,2009,80
tur,2010,80
tur,2011,80
tur,2012,80
tur,2013,80
tur,2014,80
tur,2015,70
tur,2016,70
tur,2017,70
tur,2018,60
tur,2019,70
tur,2020,70
tuv,2013,20
tuv,2014,20
tuv,2015,20
tuv,2016,30
tuv,2017,30
tuv,2018,40
tuv,2019,40
tuv,2020,40
tza,2004,70
tza,2005,60
tza,2006,60
tza,2007,60
tza,2008,70
tza,2009,70
tza,2010,80
tza,2011,80
tza,2012,80
tza,2013,80
tza,2014,80
tza,2015,80
tza,2016,80
tza,2017,80
tza,2018,70
tza,2019,70
tza,2020,70
uga,2004,60
uga,2005,60
uga,2006,60
uga,2007,60
uga,2008,60
uga,2009,60
uga,2010,80
uga,2011,80
uga,2012,80
uga,2013,80
uga,2014,60
uga,2015,80
uga,2016,80
uga,2017,80
uga,2018,70
uga,2019,70
uga,2020,70
ukr,2004,80
ukr,2005,80
ukr,2006,80
ukr,2007,80
ukr,2008,80
ukr,2009,80
ukr,2010,80
ukr,2011,80
ukr,2012,80
ukr,2013,80
ukr,2014,80
ukr,2015,80
ukr,2016,60
ukr,2017,50
ukr,2018,50
ukr,2019,40
ukr,2020,40
ury,2004,100
ury,2005,100
ury,2006,100
ury,2007,100
ury,2008,100
ury,2009,100
ury,2010,100
ury,2011,100
ury,2012,100
ury,2013,100
ury,2014,100
ury,2015,100
ury,2016,100
ury,2017,100
ury,2018,80
ury,2019,80
ury,2020,80
uzb,2004,60
uzb,2005,60
uzb,2006,60
uzb,2007,60
uzb,2008,60
uzb,2009,60
uzb,2010,60
uzb,2011,60
uzb,2012,50
uzb,2013,50
uzb,2014,30
uzb,2015,30
uzb,2016,30
uzb,2017,30
uzb,2018,40
uzb,2019,40
uzb,2020,40
vct,2005,60
vct,2006,60
vct,2007,60
vct,2008,60
vct,2009,60
vct,2010,60
vct,2011,60
vct,2012,40
vct,2013,40
vct,2014,40
vct,2015,40
vct,2016,40
vct,2017,40
vct,2018,40
vct,2019,60
vct,2020,40
ven,2004,80
ven,2005,80
ven,2006,80
ven,2007,90
ven,2008,90
ven,2009,90
ven,2010,90
ven,2011,90
ven,2012,80
ven,2013,80
ven,2014,80
ven,2015,80
ven,2016,80
ven,2017,60
ven,2018,60
ven,2019,60
ven,2020,60
vnm,2004,80
vnm,2005,80
vnm,2006,80
vnm,2007,80
vnm,2008,80
vnm,2009,80
vnm,2010,80
vnm,2011,100
vnm,2012,100
vnm,2013,100
vnm,2014,100
vnm,2015,100
vnm,2016,100
vnm,2017,100
vnm,2018,90
vnm,2019,90
vnm,2020,90
vut,2005,20
vut,2006,20
vut,2007,30
vut,2008,50
vut,2009,50
vut,2010,40
vut,2011,40
vut,2012,40
vut,2013,40
vut,2014,40
vut,2015,50
vut,2016,70
vut,2017,70
vut,2018,40
vut,2019,50
vut,2020,30
wsm,2005,50
wsm,2006,50
wsm,2007,50
wsm,2008,50
wsm,2009,40
wsm,2010,40
wsm,2011,40
wsm,2012,40
wsm,2013,40
wsm,2014,40
wsm,2015,40
wsm,2016,50
wsm,2017,60
wsm,2018,50
wsm,2019,50
wsm,2020,50
yem,2004,50
yem,2005,50
yem,2006,60
yem,2007,60
yem,2008,60
yem,2009,50
yem,2010,40
yem,2011,40
yem,2012,40
yem,2013,40
yem,2014,40
yem,2015,30
yem,2016,30
yem,2017,10
yem,2018,0
yem,2019,0
yem,2020,0
zaf,2004,80
zaf,2005,80
zaf,2006,80
zaf,2007,80
zaf,2008,80
zaf,2009,80
zaf,2010,80
zaf,2011,80
zaf,2012,60
zaf,2013,80
zaf,2014,80
zaf,2015,80
zaf,2016,80
zaf,2017,70
zaf,2018,60
zaf,2019,60
zaf,2020,60
zmb,2004,60
zmb,2005,60
zmb,2006,60
zmb,2007,60
zmb,2008,60
zmb,2009,60
zmb,2010,60
zmb,2011,60
zmb,2012,60
zmb,2013,60
zmb,2014,60
zmb,2015,60
zmb,2016,50
zmb,2017,50
zmb,2018,40
zmb,2019,40
zmb,2020,40
zwe,2004,50
zwe,2005,50
zwe,2006,50
zwe,2007,40
zwe,2008,40
zwe,2009,50
zwe,2010,60
zwe,2011,60
zwe,2012,60
zwe,2013,60
zwe,2014,60
zwe,2015,60
zwe,2016,60
zwe,2017,60
zwe,2018,60
zwe,2019,60
zwe,2020,60
