geo,time,sp_pop_totl_fe_zs
lby,1970,48.42104
lby,1971,48.34993
lby,1972,48.26729
lby,1973,48.18065
lby,1974,48.09876
lby,1975,48.0257
lby,1976,47.96903
lby,1977,47.9239
lby,1978,47.86922
lby,1979,47.78036
lby,1980,47.6465
lby,1981,47.46272
lby,1982,47.24789
lby,1983,47.0419
lby,1984,46.89109
lby,1985,46.82131
lby,1986,46.83779
lby,1987,46.9218
lby,1988,47.04559
lby,1989,47.17354
lby,1990,47.28166
lby,1991,47.36481
lby,1992,47.43144
lby,1993,47.48987
lby,1994,47.5527
lby,1995,47.62734
lby,1996,47.71572
lby,1997,47.81313
lby,1998,47.9138
lby,1999,48.00961
lby,2000,48.09566
lby,2001,48.16943
lby,2002,48.23405
lby,2003,48.29574
lby,2004,48.36303
lby,2005,48.44148
lby,2006,48.53199
lby,2007,48.6313
lby,2008,48.73588
lby,2009,48.84145
lby,2010,48.94453
lby,2011,49.04586
lby,2012,49.14579
lby,2013,49.23958
lby,2014,49.3215
lby,2015,49.38718
lby,2016,49.43413
lby,2017,49.46452
lby,2018,49.48379
lby,2019,49.49992
lby,2020,49.51838
lca,1960,51.87741
lca,1961,52.03708
lca,1962,52.07744
lca,1963,52.02008
lca,1964,51.9522
lca,1965,51.90559
lca,1966,51.89161
lca,1967,51.89494
lca,1968,51.90145
lca,1969,51.89914
lca,1970,51.87183
lca,1971,51.83383
lca,1972,51.77276
lca,1973,51.70393
lca,1974,51.62424
lca,1975,51.53511
lca,1976,51.43238
lca,1977,51.32715
lca,1978,51.22642
lca,1979,51.13218
lca,1980,51.06172
lca,1981,51.01101
lca,1982,50.9782
lca,1983,50.96312
lca,1984,50.94693
lca,1985,50.93151
lca,1986,50.91632
lca,1987,50.89938
lca,1988,50.8818
lca,1989,50.87232
lca,1990,50.87705
lca,1991,50.88321
lca,1992,50.89801
lca,1993,50.9184
lca,1994,50.93397
lca,1995,50.94334
lca,1996,50.9497
lca,1997,50.95216
lca,1998,50.94855
lca,1999,50.94459
lca,2000,50.94968
lca,2001,50.95711
lca,2002,50.96554
lca,2003,50.9749
lca,2004,50.97052
lca,2005,50.95895
lca,2006,50.9312
lca,2007,50.89475
lca,2008,50.85671
lca,2009,50.81435
lca,2010,50.78579
lca,2011,50.76906
lca,2012,50.75968
lca,2013,50.75632
lca,2014,50.75572
lca,2015,50.75615
lca,2016,50.75488
lca,2017,50.75184
lca,2018,50.75045
lca,2019,50.75303
lca,2020,50.75832
lka,1960,47.50901
lka,1961,47.64879
lka,1962,47.78044
lka,1963,47.90321
lka,1964,48.01583
lka,1965,48.11779
lka,1966,48.20895
lka,1967,48.29058
lka,1968,48.3652
lka,1969,48.43618
lka,1970,48.50575
lka,1971,48.57517
lka,1972,48.64393
lka,1973,48.70988
lka,1974,48.77021
lka,1975,48.82316
lka,1976,48.8686
lka,1977,48.9082
lka,1978,48.94379
lka,1979,48.97798
lka,1980,49.01271
lka,1981,49.04815
lka,1982,49.08445
lka,1983,49.12323
lka,1984,49.16626
lka,1985,49.21447
lka,1986,49.26872
lka,1987,49.32818
lka,1988,49.39011
lka,1989,49.45097
lka,1990,49.5085
lka,1991,49.56259
lka,1992,49.61452
lka,1993,49.66561
lka,1994,49.71773
lka,1995,49.77264
lka,1996,49.83036
lka,1997,49.89146
lka,1998,49.95853
lka,1999,50.03473
lka,2000,50.12176
lka,2001,50.21979
lka,2002,50.32743
lka,2003,50.44258
lka,2004,50.56269
lka,2005,50.68568
lka,2006,50.81077
lka,2007,50.93724
lka,2008,51.06322
lka,2009,51.18664
lka,2010,51.30569
lka,2011,51.42003
lka,2012,51.5289
lka,2013,51.63009
lka,2014,51.72099
lka,2015,51.80003
lka,2016,51.86619
lka,2017,51.92067
lka,2018,51.96682
lka,2019,52.00927
lka,2020,52.05141
lso,1960,55.65509
lso,1961,55.67973
lso,1962,55.69718
lso,1963,55.70734
lso,1964,55.7059
lso,1965,55.69382
lso,1966,55.6665
lso,1967,55.6269
lso,1968,55.58529
lso,1969,55.557
lso,1970,55.54858
lso,1971,55.56673
lso,1972,55.60355
lso,1973,55.63481
lso,1974,55.63056
lso,1975,55.57338
lso,1976,55.45753
lso,1977,55.29883
lso,1978,55.12456
lso,1979,54.97102
lso,1980,54.85914
lso,1981,54.78332
lso,1982,54.73222
lso,1983,54.7034
lso,1984,54.69599
lso,1985,54.70287
lso,1986,54.74432
lso,1987,54.80743
lso,1988,54.81863
lso,1989,54.68647
lso,1990,54.3628
lso,1991,53.82122
lso,1992,53.11768
lso,1993,52.38204
lso,1994,51.77672
lso,1995,51.40388
lso,1996,51.29184
lso,1997,51.38711
lso,1998,51.60158
lso,1999,51.81762
lso,2000,51.95388
lso,2001,51.99171
lso,2002,51.95765
lso,2003,51.87323
lso,2004,51.77624
lso,2005,51.69597
lso,2006,51.63686
lso,2007,51.58702
lso,2008,51.5383
lso,2009,51.47786
lso,2010,51.39742
lso,2011,51.29482
lso,2012,51.17678
lso,2013,51.05456
lso,2014,50.94331
lso,2015,50.85364
lso,2016,50.78917
lso,2017,50.74606
lso,2018,50.7169
lso,2019,50.69118
lso,2020,50.66173
ltu,1960,53.90026
ltu,1961,53.80082
ltu,1962,53.69817
ltu,1963,53.59624
ltu,1964,53.49973
ltu,1965,53.41169
ltu,1966,53.33283
ltu,1967,53.26197
ltu,1968,53.19878
ltu,1969,53.14259
ltu,1970,53.09297
ltu,1971,53.04986
ltu,1972,53.0132
ltu,1973,52.98194
ltu,1974,52.95584
ltu,1975,52.93386
ltu,1976,52.91565
ltu,1977,52.90055
ltu,1978,52.88763
ltu,1979,52.87526
ltu,1980,52.8626
ltu,1981,52.84955
ltu,1982,52.83681
ltu,1983,52.8226
ltu,1984,52.80492
ltu,1985,52.78331
ltu,1986,52.75618
ltu,1987,52.72609
ltu,1988,52.6987
ltu,1989,52.68163
ltu,1990,52.68032
ltu,1991,52.69647
ltu,1992,52.72846
ltu,1993,52.77309
ltu,1994,52.82518
ltu,1995,52.88089
ltu,1996,52.93877
ltu,1997,53.0002
ltu,1998,53.06404
ltu,1999,53.12966
ltu,2000,53.19649
ltu,2001,53.2628
ltu,2002,53.32792
ltu,2003,53.39429
ltu,2004,53.46585
ltu,2005,53.54508
ltu,2006,53.63405
ltu,2007,53.73015
ltu,2008,53.82513
ltu,2009,53.9075
ltu,2010,53.96816
ltu,2011,54.00356
ltu,2012,54.0155
ltu,2013,54.00686
ltu,2014,53.98328
ltu,2015,53.94966
ltu,2016,53.9047
ltu,2017,53.84936
ltu,2018,53.79196
ltu,2019,53.74465
ltu,2020,53.71593
lux,1960,50.6108
lux,1961,50.6962
lux,1962,50.73823
lux,1963,50.75448
lux,1964,50.76705
lux,1965,50.79143
lux,1966,50.83583
lux,1967,50.8883
lux,1968,50.94319
lux,1969,50.98351
lux,1970,51.00067
lux,1971,50.99114
lux,1972,50.96058
lux,1973,50.92309
lux,1974,50.89837
lux,1975,50.89835
lux,1976,50.9269
lux,1977,50.9774
lux,1978,51.0452
lux,1979,51.11729
lux,1980,51.18583
lux,1981,51.25528
lux,1982,51.32142
lux,1983,51.37708
lux,1984,51.40911
lux,1985,51.41054
lux,1986,51.37443
lux,1987,51.30836
lux,1988,51.22341
lux,1989,51.14082
lux,1990,51.0713
lux,1991,51.02056
lux,1992,50.98302
lux,1993,50.95587
lux,1994,50.9317
lux,1995,50.90299
lux,1996,50.87162
lux,1997,50.83754
lux,1998,50.8015
lux,1999,50.77273
lux,2000,50.7489
lux,2001,50.7316
lux,2002,50.72038
lux,2003,50.70722
lux,2004,50.687
lux,2005,50.65284
lux,2006,50.60856
lux,2007,50.55347
lux,2008,50.48836
lux,2009,50.41165
lux,2010,50.32448
lux,2011,50.22896
lux,2012,50.12649
lux,2013,50.01991
lux,2014,49.9138
lux,2015,49.81111
lux,2016,49.7136
lux,2017,49.62157
lux,2018,49.53926
lux,2019,49.47298
lux,2020,49.42506
lva,1960,55.86697
lva,1961,55.70868
lva,1962,55.52097
lva,1963,55.31625
lva,1964,55.11277
lva,1965,54.92268
lva,1966,54.74872
lva,1967,54.58862
lva,1968,54.44507
lva,1969,54.31933
lva,1970,54.21291
lva,1971,54.12641
lva,1972,54.05991
lva,1973,54.01062
lva,1974,53.97497
lva,1975,53.94962
lva,1976,53.93347
lva,1977,53.92522
lva,1978,53.92165
lva,1979,53.91998
lva,1980,53.9168
lva,1981,53.91463
lva,1982,53.91207
lva,1983,53.90108
lva,1984,53.87057
lva,1985,53.81467
lva,1986,53.72695
lva,1987,53.6152
lva,1988,53.50495
lva,1989,53.42881
lva,1990,53.40752
lva,1991,53.45156
lva,1992,53.55225
lva,1993,53.68733
lva,1994,53.82146
lva,1995,53.92677
lva,1996,53.99269
lva,1997,54.02595
lva,1998,54.03547
lva,1999,54.03839
lva,2000,54.04777
lva,2001,54.06537
lva,2002,54.08634
lva,2003,54.10966
lva,2004,54.13239
lva,2005,54.15183
lva,2006,54.16826
lva,2007,54.18252
lva,2008,54.19413
lva,2009,54.20275
lva,2010,54.20805
lva,2011,54.21058
lva,2012,54.20963
lva,2013,54.20333
lva,2014,54.18732
lva,2015,54.16036
lva,2016,54.11994
lva,2017,54.06784
lva,2018,54.01017
lva,2019,53.95555
lva,2020,53.91077
mac,1960,50.8573
mac,1961,50.69222
mac,1962,50.50514
mac,1963,50.29607
mac,1964,50.06148
mac,1965,49.79825
mac,1966,49.50584
mac,1967,49.20149
mac,1968,48.92533
mac,1969,48.70556
mac,1970,48.56677
mac,1971,48.5063
mac,1972,48.5159
mac,1973,48.5683
mac,1974,48.62642
mac,1975,48.66884
mac,1976,48.67698
mac,1977,48.67051
mac,1978,48.66589
mac,1979,48.68756
mac,1980,48.75738
mac,1981,48.87313
mac,1982,49.0257
mac,1983,49.20033
mac,1984,49.39209
mac,1985,49.59011
mac,1986,49.79347
mac,1987,49.99757
mac,1988,50.20076
mac,1989,50.40342
mac,1990,50.60352
mac,1991,50.80156
mac,1992,50.99998
mac,1993,51.1914
mac,1994,51.37121
mac,1995,51.53314
mac,1996,51.67168
mac,1997,51.78708
mac,1998,51.89151
mac,1999,51.99337
mac,2000,52.10065
mac,2001,52.21612
mac,2002,52.33427
mac,2003,52.4345
mac,2004,52.49194
mac,2005,52.49129
mac,2006,52.43092
mac,2007,52.32347
mac,2008,52.19455
mac,2009,52.07931
mac,2010,52.00375
mac,2011,51.97183
mac,2012,51.97425
mac,2013,51.99699
mac,2014,52.01877
mac,2015,52.02718
mac,2016,52.01967
mac,2017,52.0012
mac,2018,51.97828
mac,2019,51.95442
mac,2020,51.93596
mar,1960,50.17301
mar,1961,50.25175
mar,1962,50.35997
mar,1963,50.47601
mar,1964,50.57303
mar,1965,50.6343
mar,1966,50.6564
mar,1967,50.64747
mar,1968,50.61777
mar,1969,50.58126
mar,1970,50.5475
mar,1971,50.51818
mar,1972,50.49037
mar,1973,50.4634
mar,1974,50.43567
mar,1975,50.40618
mar,1976,50.37547
mar,1977,50.3449
mar,1978,50.31535
mar,1979,50.28777
mar,1980,50.26282
mar,1981,50.2414
mar,1982,50.22342
mar,1983,50.20729
mar,1984,50.19099
mar,1985,50.17344
mar,1986,50.15391
mar,1987,50.13391
mar,1988,50.11727
mar,1989,50.10902
mar,1990,50.11223
mar,1991,50.12757
mar,1992,50.15309
mar,1993,50.18598
mar,1994,50.22236
mar,1995,50.25949
mar,1996,50.29673
mar,1997,50.33432
mar,1998,50.37182
mar,1999,50.4088
mar,2000,50.44491
mar,2001,50.47887
mar,2002,50.51012
mar,2003,50.53979
mar,2004,50.56949
mar,2005,50.59982
mar,2006,50.63226
