geo,time,en_atm_co2e_gf_kt
bel,1962,77.007
bel,1963,69.673
bel,1964,73.34
bel,1965,95.342
bel,1966,201.685
bel,1967,927.751
bel,1968,2394.551
bel,1969,4957.784
bel,1970,7843.713
bel,1971,10824.984
bel,1972,13608.237
bel,1973,16395.157
bel,1974,19167.409
bel,1975,18668.697
bel,1976,19930.145
bel,1977,19688.123
bel,1978,19519.441
bel,1979,21330.939
bel,1980,20406.855
bel,1981,18822.711
bel,1982,15537.079
bel,1983,16307.149
bel,1984,16827.863
bel,1985,16783.859
bel,1986,13494.56
bel,1987,15108.04
bel,1988,14913.689
bel,1989,16571.173
bel,1990,18709.034
bel,1991,20003.485
bel,1992,20725.884
bel,1993,21543.625
bel,1994,22152.347
bel,1995,24301.209
bel,1996,27062.46
bel,1997,25801.012
bel,1998,28569.597
bel,1999,30542.443
bel,2000,30619.45
bel,2001,30186.744
bel,2002,30641.452
bel,2003,32984.665
bel,2004,33369.7
bel,2005,33762.069
bel,2006,34491.802
bel,2007,34304.785
bel,2008,33985.756
bel,2009,34506.47
bel,2010,38353.153
bel,2011,32984.665
bel,2012,32929.66
bel,2013,33175.349
bel,2014,29046.307
bel,2015,31990.908
bel,2016,32749.977
ben,1960,0
ben,1961,0
ben,1962,0
ben,1963,0
ben,1964,0
ben,1965,0
ben,1966,0
ben,1967,0
ben,1968,0
ben,1969,0
ben,1970,0
ben,1971,0
ben,1972,0
ben,1973,0
ben,1974,0
ben,1975,0
ben,1976,0
ben,1977,0
ben,1978,0
ben,1979,0
ben,1980,0
ben,1981,0
ben,1982,0
ben,1983,0
ben,1984,0
ben,1985,0
ben,1986,0
ben,1987,0
ben,1988,0
ben,1989,0
ben,1990,0
ben,1991,0
ben,1992,0
ben,1993,0
ben,1994,0
ben,1995,0
ben,1996,0
ben,1997,0
ben,1998,0
ben,1999,0
ben,2000,0
ben,2001,0
ben,2002,0
ben,2003,0
ben,2004,0
ben,2005,0
ben,2006,0
ben,2007,0
ben,2008,0
ben,2009,0
ben,2010,0
ben,2011,0
ben,2012,0
ben,2013,0
ben,2014,0
ben,2015,0
ben,2016,0
bfa,1960,0
bfa,1961,0
bfa,1962,0
bfa,1963,0
bfa,1964,0
bfa,1965,0
bfa,1966,0
bfa,1967,0
bfa,1968,0
bfa,1969,0
bfa,1970,0
bfa,1971,0
bfa,1972,0
bfa,1973,0
bfa,1974,0
bfa,1975,0
bfa,1976,0
bfa,1977,0
bfa,1978,0
bfa,1979,0
bfa,1980,0
bfa,1981,0
bfa,1982,0
bfa,1983,0
bfa,1984,0
bfa,1985,0
bfa,1986,0
bfa,1987,0
bfa,1988,0
bfa,1989,0
bfa,1990,0
bfa,1991,0
bfa,1992,0
bfa,1993,0
bfa,1994,0
bfa,1995,0
bfa,1996,0
bfa,1997,0
bfa,1998,0
bfa,1999,0
bfa,2000,0
bfa,2001,0
bfa,2002,0
bfa,2003,0
bfa,2004,0
bfa,2005,0
bfa,2006,0
bfa,2007,0
bfa,2008,0
bfa,2009,0
bfa,2010,0
bfa,2011,0
bfa,2012,0
bfa,2013,0
bfa,2014,0
bfa,2015,0
bfa,2016,0
bgd,1960,1133.103
bgd,1961,1375.125
bgd,1962,1697.821
bgd,1963,2126.86
bgd,1964,2673.243
bgd,1965,3164.621
bgd,1966,3575.325
bgd,1967,4169.379
bgd,1968,4679.092
bgd,1969,5764.524
bgd,1970,4715.762
bgd,1971,4946.783
bgd,1972,715.065
bgd,1973,1144.104
bgd,1974,1382.459
bgd,1975,964.421
bgd,1976,1411.795
bgd,1977,1580.477
bgd,1978,1675.819
bgd,1979,1917.841
bgd,1980,2218.535
bgd,1981,2442.222
bgd,1982,3168.288
bgd,1983,3523.987
bgd,1984,4470.073
bgd,1985,5089.796
bgd,1986,5738.855
bgd,1987,5933.206
bgd,1988,7003.97
bgd,1989,7422.008
bgd,1990,7583.356
bgd,1991,9064.824
bgd,1992,9614.874
bgd,1993,10399.612
bgd,1994,11481.377
bgd,1995,13039.852
bgd,1996,13509.228
bgd,1997,13274.54
bgd,1998,14334.303
bgd,1999,15628.754
bgd,2000,16893.869
bgd,2001,18918.053
bgd,2002,19904.476
bgd,2003,21407.946
bgd,2004,23109.434
bgd,2005,24744.916
bgd,2006,28279.904
bgd,2007,29603.691
bgd,2008,32251.265
bgd,2009,35470.891
bgd,2010,39431.251
bgd,2011,39658.605
bgd,2012,41748.795
bgd,2013,43369.609
bgd,2014,45969.512
bgd,2015,48782.101
bgd,2016,53593.205
bgr,1960,0
bgr,1961,0
bgr,1962,0
bgr,1963,0
bgr,1964,0
bgr,1965,124.678
bgr,1966,187.017
bgr,1967,568.385
bgr,1968,876.413
bgr,1969,909.416
bgr,1970,825.075
bgr,1971,568.385
bgr,1972,381.368
bgr,1973,385.035
bgr,1974,839.743
bgr,1975,2225.869
bgr,1976,3894.354
bgr,1977,4968.785
bgr,1978,5298.815
bgr,1979,5669.182
bgr,1980,7253.326
bgr,1981,7898.718
bgr,1982,8756.796
bgr,1983,9207.837
bgr,1984,9299.512
bgr,1985,8958.481
bgr,1986,9442.525
bgr,1987,10791.981
bgr,1988,12273.449
bgr,1989,11030.336
bgr,1990,11122.011
bgr,1991,9515.865
bgr,1992,8379.095
bgr,1993,7832.712
bgr,1994,7715.368
bgr,1995,9446.192
bgr,1996,10711.307
bgr,1997,8474.437
bgr,1998,7165.318
bgr,1999,6153.226
bgr,2000,6714.277
bgr,2001,6274.237
bgr,2002,5507.834
bgr,2003,5727.854
bgr,2004,5709.519
bgr,2005,6420.917
bgr,2006,6644.604
bgr,2007,6893.96
bgr,2008,6673.94
bgr,2009,4950.45
bgr,2010,5269.479
bgr,2011,6024.881
bgr,2012,5614.177
bgr,2013,5493.166
bgr,2014,5412.492
bgr,2015,5944.207
bgr,2016,6153.226
bhr,1960,0
bhr,1961,0
bhr,1962,0
bhr,1963,95.342
bhr,1964,95.342
bhr,1965,95.342
bhr,1966,113.677
