geo,time,sl_uem_neet_ma_zs
svn,2009,7.91
svn,2010,8.08
svn,2011,7.77
svn,2012,9.69
svn,2013,9.85
svn,2014,9.66
svn,2015,9.95
svn,2016,9.08
svn,2017,6.75
svn,2018,6.08
svn,2019,6.05
svn,2020,6.93
swe,2003,6.6
swe,2004,8.17
swe,2005,14.74
swe,2006,9.63
swe,2007,7.51
swe,2008,7.49
swe,2009,9.75
swe,2010,7.79
swe,2011,7.57
swe,2012,7.88
swe,2013,7.72
swe,2014,7.5
swe,2015,6.92
swe,2016,6.87
swe,2017,6.08
swe,2018,6.14
swe,2019,5.59
swe,2020,6.57
swz,2016,29.85
syc,2019,20.66
syc,2020,29.43
tcd,2018,24.81
tgo,2006,6.32
tgo,2011,6.13
tgo,2015,6.03
tgo,2017,18.28
tha,2009,7.69
tha,2010,7.57
tha,2011,7.52
tha,2012,7.18
tha,2013,8.94
tha,2014,8.83
tha,2015,9.25
tha,2016,10.62
tha,2017,11.57
tha,2018,10.74
tha,2019,11.24
tha,2020,11.83
tjk,2003,23.09
tjk,2007,24.86
tjk,2009,30.42
tls,2010,15.61
tls,2013,22.07
tls,2016,16.23
ton,2018,29.01
tto,2013,45.87
tun,2010,19.41
tur,2000,21.77
tur,2001,23.59
tur,2002,25.84
tur,2003,26.33
tur,2004,26.65
tur,2005,26.78
tur,2006,22.74
tur,2007,23.74
tur,2008,22.4
tur,2009,22.03
tur,2010,19.59
tur,2011,17.11
tur,2012,17.55
tur,2013,15.04
tur,2014,14.62
tur,2015,14.11
tur,2016,14.5
tur,2017,14.61
tur,2018,15.61
tur,2019,18.26
tur,2020,21.21
tuv,2016,21.71
tza,2001,10.39
tza,2005,6.68
tza,2006,6.68
tza,2012,6.36
tza,2014,10.62
uga,2005,4.53
uga,2009,3.81
uga,2012,9.88
uga,2013,3.31
uga,2017,21.75
ukr,2014,16.24
ukr,2015,14.93
ukr,2016,15.36
ukr,2017,13.46
ury,1998,15.75
ury,1999,16.38
ury,2000,17.92
ury,2001,16.12
ury,2002,17.94
ury,2003,18.27
ury,2004,15.28
ury,2005,15.03
ury,2006,15.81
ury,2007,14.46
ury,2008,14.26
ury,2009,13.17
ury,2010,14.24
ury,2011,13.16
ury,2012,13.68
ury,2013,14.2
ury,2014,14.27
ury,2015,15.39
ury,2016,15.41
ury,2017,14.73
ury,2018,15.39
ury,2019,15.39
usa,1994,11.86
usa,1995,11.43
usa,1996,11.24
usa,1997,10.73
usa,1998,10.13
usa,1999,9.89
usa,2000,9.71
usa,2001,10.58
usa,2002,11.24
usa,2003,11.78
usa,2004,10.98
usa,2005,11.08
usa,2006,10.15
usa,2007,10.29
usa,2008,11.65
usa,2009,14.48
usa,2010,14.89
usa,2011,13.52
usa,2012,13.01
usa,2013,13.56
usa,2014,12.31
usa,2015,11.56
usa,2016,11.23
usa,2017,10.19
usa,2018,10.31
usa,2019,9.89
usa,2020,13.59
usa,2021,11.79
ven,2005,9.84
ven,2006,9.17
ven,2007,8.27
ven,2008,8.47
ven,2009,10.28
ven,2010,12.77
ven,2011,12.44
ven,2012,12.54
ven,2016,13.5
ven,2017,14.99
vnm,2007,8.92
vnm,2009,7.71
vnm,2010,5.86
vnm,2011,5.93
vnm,2012,7.4
vnm,2013,7.85
vnm,2014,7.45
vnm,2015,7.29
vnm,2016,7.21
vnm,2017,7.51
vnm,2018,6
vnm,2019,12.06
vnm,2020,12.92
vut,2006,21.14
vut,2009,20.1
vut,2010,26.35
vut,2019,40.24
wsm,2012,39.28
wsm,2017,34.58
yem,2014,22.05
zaf,2000,27.38
zaf,2001,29.68
zaf,2002,30.35
zaf,2003,31.05
zaf,2004,29.69
zaf,2005,29.26
zaf,2006,28.23
zaf,2007,27.65
zaf,2013,29.26
zaf,2014,28.76
zaf,2015,27.95
zaf,2016,28.59
zaf,2017,28.23
zaf,2018,28.99
zaf,2019,30.65
zaf,2020,30.98
zmb,2008,9.19
zmb,2017,37.29
zmb,2018,37.3
zmb,2019,36.45
zwe,2011,11.02
zwe,2014,11.15
zwe,2019,36.57
