geo,time,ic_tax_othr_cp_zs
hrv,2014,1.3
hrv,2015,1.2
hrv,2016,1.5
hrv,2017,1.2
hrv,2018,1.1
hrv,2019,1.1
hti,2005,4.3
hti,2006,4.3
hti,2007,4.3
hti,2008,4.3
hti,2009,4.3
hti,2010,4.3
hti,2011,4.3
hti,2012,4.3
hti,2013,4.1
hti,2014,4.1
hti,2015,4.1
hti,2016,4.1
hti,2017,7.6
hti,2018,7.5
hti,2019,7.5
hun,2005,7.4
hun,2006,7.6
hun,2007,7.7
hun,2008,7.7
hun,2009,7.7
hun,2010,1.8
hun,2011,3.2
hun,2012,3.3
hun,2013,3.2
hun,2014,1.7
hun,2015,2.1
hun,2016,2.1
hun,2017,2.1
hun,2018,2.1
hun,2019,2.1
idn,2013,0.2
idn,2014,0.4
idn,2015,0.4
idn,2016,0.4
idn,2017,0.4
idn,2018,0.4
idn,2019,0.4
ind,2013,11.2
ind,2014,11.3
ind,2015,11.3
ind,2016,12.1
ind,2017,12.2
ind,2018,10.1
ind,2019,7.9
irl,2005,1.2
irl,2006,1.2
irl,2007,1.2
irl,2008,1.3
irl,2009,1.3
irl,2010,1.8
irl,2011,1.8
irl,2012,1.8
irl,2013,1.4
irl,2014,1.4
irl,2015,1.4
irl,2016,1.4
irl,2017,1.4
irl,2018,1.4
irl,2019,1.4
irn,2005,0.4
irn,2006,0.4
irn,2007,0.4
irn,2008,0.4
irn,2009,0.4
irn,2010,0.4
irn,2011,0.4
irn,2012,0.4
irn,2013,0.4
irn,2014,0.4
irn,2015,0.4
irn,2016,0.4
irn,2017,0.4
irn,2018,0.4
irn,2019,0.4
irq,2005,1.4
irq,2006,1.4
irq,2007,1.4
irq,2008,1.4
irq,2009,1.4
irq,2010,1.4
irq,2011,1.4
irq,2012,1.4
irq,2013,3
irq,2014,3
irq,2015,3
irq,2016,3
irq,2017,2.3
irq,2018,2.3
irq,2019,2.3
isl,2005,4.8
isl,2006,4.7
isl,2007,4.3
isl,2008,4.3
isl,2009,4.2
isl,2010,4.2
isl,2011,2.9
isl,2012,3.1
isl,2013,2.8
isl,2014,2.8
isl,2015,2.9
isl,2016,2.9
isl,2017,2.9
isl,2018,2.9
isl,2019,2.9
isr,2005,1.5
isr,2006,1.5
isr,2007,2.4
isr,2008,1.5
isr,2009,1.7
isr,2010,1.8
isr,2011,1.8
isr,2012,1.8
isr,2013,1.3
isr,2014,1.4
isr,2015,1.4
isr,2016,1.4
isr,2017,1.5
isr,2018,1.5
isr,2019,1.5
ita,2005,0.9
ita,2006,0.9
ita,2007,0.9
ita,2008,0.9
ita,2009,0.9
ita,2010,0.9
ita,2011,0.9
ita,2012,0.9
ita,2013,1.8
ita,2014,1.8
ita,2015,1.9
ita,2016,1.6
ita,2017,1.6
ita,2018,1.6
ita,2019,1.6
jam,2005,7.7
jam,2006,7.7
jam,2007,7.7
jam,2008,7.7
jam,2009,7.7
jam,2010,6.5
jam,2011,5
jam,2012,5
jam,2013,4.8
jam,2014,6.4
jam,2015,6.9
jam,2016,5.7
jam,2017,5.7
jam,2018,8.1
jam,2019,8.1
jor,2005,3.6
jor,2006,3.6
jor,2007,3.6
jor,2008,3.6
jor,2009,3.6
jor,2010,3.6
jor,2011,2.3
jor,2012,2.3
jor,2013,2
jor,2014,2
jor,2015,2
jor,2016,2
jor,2017,2
jor,2018,2
jor,2019,2
jpn,2013,4.2
jpn,2014,4.2
jpn,2015,4.2
jpn,2016,4.2
jpn,2017,4.2
jpn,2018,4.2
jpn,2019,4.2
kaz,2005,2.6
kaz,2006,2.6
kaz,2007,2.5
kaz,2008,2.5
kaz,2009,2.5
kaz,2010,1.6
kaz,2011,1.6
kaz,2012,1.6
kaz,2013,1.5
kaz,2014,1.5
kaz,2015,1.8
kaz,2016,1.8
kaz,2017,1.9
kaz,2018,1.9
kaz,2019,1.9
ken,2005,10.1
ken,2006,10.1
ken,2007,9.4
ken,2008,9.4
ken,2009,9.4
ken,2010,9.4
ken,2011,9.7
ken,2012,9.5
ken,2013,5.4
ken,2014,5.4
ken,2015,5.4
ken,2016,5.4
ken,2017,5.4
ken,2018,5.2
ken,2019,5.2
kgz,2005,35
kgz,2006,35
kgz,2007,35
kgz,2008,35
kgz,2009,35
kgz,2010,0.4
kgz,2011,8
kgz,2012,8
kgz,2013,3.1
kgz,2014,3.1
kgz,2015,3.1
kgz,2016,3.1
kgz,2017,3.1
kgz,2018,3.1
kgz,2019,2.8
khm,2005,2.1
khm,2006,2.1
khm,2007,2.1
khm,2008,2.1
khm,2009,2.1
khm,2010,2.1
khm,2011,2.1
khm,2012,2.1
khm,2013,1
khm,2014,1
khm,2015,1
khm,2016,1
khm,2017,1.8
khm,2018,1.8
khm,2019,1.8
kir,2005,0
kir,2006,0
kir,2007,0
kir,2008,0
kir,2009,0
kir,2010,0
kir,2011,0
kir,2012,0
kir,2013,0
kir,2014,0
kir,2015,0
kir,2016,0
kir,2017,0
kir,2018,0
kir,2019,0
kna,2005,8.2
kna,2006,8.2
kna,2007,8.4
kna,2008,8.4
kna,2009,8.4
kna,2010,8.4
kna,2011,8.4
kna,2012,8.4
kna,2013,8
kna,2014,8
kna,2015,8
kna,2016,8
kna,2017,8
kna,2018,8
kna,2019,8
kor,2005,1.8
kor,2006,1.8
kor,2007,1.7
kor,2008,1.7
kor,2009,1.7
kor,2010,1.7
kor,2011,1.7
kor,2012,1.4
kor,2013,1.4
kor,2014,1.4
kor,2015,1.4
kor,2016,1.4
kor,2017,1.4
kor,2018,1.4
kor,2019,1.4
kos,2009,1.5
kos,2010,0.6
kos,2011,0.9
kos,2012,0.6
kos,2013,0.4
kos,2014,0.5
kos,2015,0.2
kos,2016,0.2
kos,2017,0.2
kos,2018,0.2
kos,2019,0.2
kwt,2005,0
kwt,2006,0
kwt,2007,0
kwt,2008,0
kwt,2009,0
kwt,2010,0
kwt,2011,0
kwt,2012,0
kwt,2013,0
kwt,2014,0
kwt,2015,0
kwt,2016,0
kwt,2017,0
kwt,2018,0
kwt,2019,0
lao,2005,2.5
lao,2006,2.5
lao,2007,2.5
lao,2008,2.5
lao,2009,0.6
lao,2010,0.7
lao,2011,0.7
lao,2012,0.7
lao,2013,0.6
lao,2014,3.7
lao,2015,3.7
lao,2016,3.7
lao,2017,3.7
lao,2018,0.9
lao,2019,0.9
lbn,2005,0
lbn,2006,0
lbn,2007,0
lbn,2008,0.4
lbn,2009,0.4
lbn,2010,0.4
lbn,2011,0.4
lbn,2012,0.4
lbn,2013,0.4
lbn,2014,0.4
lbn,2015,0.4
lbn,2016,0.4
lbn,2017,0.4
lbn,2018,0.4
lbn,2019,0.4
lbr,2006,37.1
lbr,2007,36.8
lbr,2008,37.1
lbr,2009,37.1
lbr,2010,37.1
lbr,2011,37.1
