geo,time,sh_hiv_incd_yg_p3
eth,2000,1.56
eth,2001,1.32
eth,2002,1.14
eth,2003,1
eth,2004,0.9
eth,2005,0.84
eth,2006,0.74
eth,2007,0.67
eth,2008,0.58
eth,2009,0.53
eth,2010,0.47
eth,2011,0.43
eth,2012,0.39
eth,2013,0.33
eth,2014,0.31
eth,2015,0.28
eth,2016,0.25
eth,2017,0.22
eth,2018,0.2
eth,2019,0.19
eth,2020,0.17
fji,1990,0.01
fji,1991,0.01
fji,1992,0.01
fji,1993,0.01
fji,1994,0.01
fji,1995,0.01
fji,1996,0.02
fji,1997,0.02
fji,1998,0.02
fji,1999,0.02
fji,2000,0.02
fji,2001,0.02
fji,2002,0.03
fji,2003,0.03
fji,2004,0.04
fji,2005,0.04
fji,2006,0.05
fji,2007,0.05
fji,2008,0.05
fji,2009,0.06
fji,2010,0.06
fji,2011,0.07
fji,2012,0.07
fji,2013,0.08
fji,2014,0.08
fji,2015,0.09
fji,2016,0.1
fji,2017,0.11
fji,2018,0.11
fji,2019,0.12
fji,2020,0.13
gab,1990,3.63
gab,1991,4.67
gab,1992,5.82
gab,1993,7
gab,1994,8.21
gab,1995,9.24
gab,1996,9.61
gab,1997,9.09
gab,1998,8.53
gab,1999,7.45
gab,2000,6.44
gab,2001,5.46
gab,2002,4.86
gab,2003,4.1
gab,2004,3.67
gab,2005,3.5
gab,2006,2.97
gab,2007,2.76
gab,2008,2.59
gab,2009,2.61
gab,2010,2.22
gab,2011,2.05
gab,2012,1.88
gab,2013,1.66
gab,2014,1.44
gab,2015,1.29
gab,2016,1.08
gab,2017,0.91
gab,2018,0.77
gab,2019,0.69
gab,2020,0.74
geo,1990,0.01
geo,1991,0.01
geo,1992,0.01
geo,1993,0.01
geo,1994,0.01
geo,1995,0.01
geo,1996,0.01
geo,1997,0.01
geo,1998,0.01
geo,1999,0.01
geo,2000,0.01
geo,2001,0.03
geo,2002,0.04
geo,2003,0.06
geo,2004,0.08
geo,2005,0.09
geo,2006,0.1
geo,2007,0.12
geo,2008,0.13
geo,2009,0.14
geo,2010,0.16
geo,2011,0.17
geo,2012,0.18
geo,2013,0.18
geo,2014,0.19
geo,2015,0.2
geo,2016,0.2
geo,2017,0.2
geo,2018,0.21
geo,2019,0.22
geo,2020,0.22
gha,1990,2.95
gha,1991,3.21
gha,1992,3.37
gha,1993,3.39
gha,1994,3.17
gha,1995,3.09
gha,1996,2.84
gha,1997,2.62
gha,1998,2.38
gha,1999,2.23
gha,2000,2.01
gha,2001,1.92
gha,2002,1.84
gha,2003,1.71
gha,2004,1.64
gha,2005,1.53
gha,2006,1.5
gha,2007,1.45
gha,2008,1.42
gha,2009,1.32
gha,2010,1.32
gha,2011,1.27
gha,2012,1.21
gha,2013,1.17
gha,2014,1.15
gha,2015,1.13
gha,2016,1.11
gha,2017,1.08
gha,2018,1.06
gha,2019,1.02
gha,2020,0.89
gin,1990,1.41
gin,1991,1.65
gin,1992,1.87
gin,1993,2.04
gin,1994,2.18
gin,1995,2.27
gin,1996,2.3
gin,1997,2.35
gin,1998,2.27
gin,1999,2.18
gin,2000,2.16
gin,2001,2.02
gin,2002,1.9
gin,2003,1.8
gin,2004,1.73
gin,2005,1.66
gin,2006,1.63
gin,2007,1.58
gin,2008,1.54
gin,2009,1.42
gin,2010,1.36
gin,2011,1.27
gin,2012,1.2
gin,2013,1.13
gin,2014,1.11
gin,2015,1.06
gin,2016,1.02
gin,2017,0.96
gin,2018,0.9
gin,2019,0.81
gin,2020,0.72
gmb,1990,0.23
gmb,1991,0.32
gmb,1992,0.43
gmb,1993,0.59
gmb,1994,0.74
gmb,1995,0.93
gmb,1996,1.08
gmb,1997,1.24
gmb,1998,1.38
gmb,1999,1.47
gmb,2000,1.43
gmb,2001,1.41
gmb,2002,1.34
gmb,2003,1.25
gmb,2004,1.17
gmb,2005,1.1
gmb,2006,1.05
gmb,2007,1.03
gmb,2008,1.04
gmb,2009,0.97
gmb,2010,0.98
gmb,2011,0.94
gmb,2012,0.89
gmb,2013,0.86
gmb,2014,0.85
gmb,2015,0.83
gmb,2016,0.8
gmb,2017,0.77
gmb,2018,0.74
gmb,2019,0.71
gmb,2020,0.69
gnb,1990,0.67
gnb,1991,0.97
gnb,1992,1.44
gnb,1993,1.99
gnb,1994,2.67
gnb,1995,3.52
gnb,1996,4.33
gnb,1997,5.09
gnb,1998,5.47
gnb,1999,5.55
gnb,2000,5.34
gnb,2001,5.13
gnb,2002,4.64
gnb,2003,4.19
gnb,2004,3.87
gnb,2005,3.62
gnb,2006,3.43
gnb,2007,3.31
gnb,2008,3.15
gnb,2009,2.9
gnb,2010,2.75
gnb,2011,2.53
gnb,2012,2.31
