geo,time,se_sec_cuat_up_zs
lva,2011,84.81156
lva,2012,86.08795
lva,2013,86.85991
lva,2014,87.79973
lva,2015,88.29034
lva,2016,88.73027
lva,2018,90.30303
lva,2019,90.92707
mac,1991,25.86111
mac,2001,28.33002
mac,2006,35.69893
mac,2011,44.87496
mac,2016,51.97764
mda,2007,72.91832
mda,2008,74.19954
mda,2009,75.19131
mda,2010,74.40273
mda,2011,74.43658
mda,2012,74.54645
mda,2013,74.10776
mda,2014,74.72079
mda,2015,74.7263
mda,2018,75.23852
mda,2019,74.54405
mdg,2018,9.71435
mdv,2006,5.23491
mex,1990,19.91122
mex,2000,18.57731
mex,2004,22.41144
mex,2005,25.87864
mex,2006,30.26075
mex,2007,30.20546
mex,2008,30.34551
mex,2009,31.35027
mex,2010,29.20441
mex,2012,33.79751
mex,2013,31.62993
mex,2014,31.79973
mex,2015,33.34622
mex,2016,33.29469
mex,2017,34.10905
mex,2018,35.65463
mex,2020,38.56058
mhl,2011,69.81484
mkd,2020,68.30282
mli,2006,5.49086
mli,2011,7.964
mli,2015,8.33048
mli,2016,5.64106
mli,2018,7.11877
mli,2020,5.40886
mlt,2000,20.39844
mlt,2005,22.76704
mlt,2007,23.0604
mlt,2010,25.86958
mlt,2011,27.3734
mlt,2012,32.4357
mlt,2013,34.4805
mlt,2014,35.77473
mlt,2015,36.9078
mlt,2016,38.07237
mlt,2018,45.21572
mlt,2020,48.27286
mmr,1973,2.3
mmr,2019,22.76492
mne,2003,64.55425
mne,2011,72.55584
mng,2000,53.37226
mng,2010,67.57306
mng,2020,44.95078
moz,2009,5.97774
moz,2011,4.72476
moz,2015,9.44805
moz,2017,8.68706
mrt,2013,9.47275
mus,1972,1.24243
mus,1990,25.8
mus,2000,20.39844
mus,2011,43.5839
mwi,1977,1.20414
mwi,1987,2.47438
mwi,1998,5.21244
mys,1980,3.18011
mys,1996,30.37132
mys,2000,36.40709
mys,2005,27.60152
mys,2009,49.41802
mys,2010,50.90241
mys,2016,58.33237
mys,2019,62.61336
nam,2001,17.55161
ner,2012,3.27811
nga,2006,44.85834
nic,1971,4.37442
nld,1971,16.3
nld,2004,64.72815
nld,2005,64.95449
nld,2007,67.44873
nld,2008,66.22115
nld,2009,66.34462
nld,2010,66.77232
nld,2011,66.4096
nld,2012,67.09863
nld,2013,69.52969
nld,2014,69.4222
