geo,time,sl_uem_intm_zs
nor,2009,2.42
nor,2010,2.89
nor,2011,2.62
nor,2012,2.71
nor,2013,2.73
nor,2014,3.07
nor,2015,3.91
nor,2016,4.13
nor,2017,3.73
nor,2018,3.5
nor,2019,3.52
nor,2020,4.36
npl,2008,1.82
npl,2017,15.06
nru,2013,12.71
nzl,1995,95.68
nzl,1997,27.21
nzl,1999,8.03
nzl,2000,6.85
nzl,2001,5.54
nzl,2002,5.31
nzl,2004,2.78
nzl,2005,2.68
nzl,2006,3.57
nzl,2007,3.47
nzl,2008,3.96
nzl,2009,6.13
nzl,2010,6.63
nzl,2011,6.9
nzl,2012,7.47
nzl,2013,6.27
nzl,2014,5.89
nzl,2015,5.84
nzl,2016,5.51
nzl,2017,5.19
nzl,2018,4.64
nzl,2019,4.5
nzl,2020,4.93
omn,1996,18.59
omn,2008,8.79
omn,2016,4.03
pak,2002,9.37
pak,2004,8.96
pak,2006,1.21
pak,2007,0.92
pak,2008,1.1
pak,2009,1.12
pak,2010,1.18
pak,2011,1.71
pak,2013,5.72
pak,2014,3.86
pak,2015,6.12
pak,2018,5.61
pak,2019,6.7
pan,1997,6.4
pan,2003,18.43
pan,2004,16.7
pan,2005,14.14
pan,2006,12.75
pan,2007,8.97
pan,2008,7.71
pan,2010,7.92
pan,2011,5.23
pan,2012,4.89
pan,2013,5.47
pan,2014,5.63
pan,2015,6.07
pan,2016,6.46
pan,2017,7.64
pan,2018,7.37
pan,2019,8.32
pan,2020,23.91
pan,2021,12.93
per,1996,10.71
per,2002,8.17
per,2003,7.06
per,2004,7.33
per,2005,6.95
per,2006,5.86
per,2007,5.61
per,2008,5.67
per,2009,5.68
per,2010,5.08
per,2011,4.74
per,2012,4.44
per,2013,4.86
per,2014,4.64
per,2015,4.28
per,2016,4.95
per,2017,4.81
per,2018,4.67
per,2019,4.37
per,2020,9.91
phl,2004,13.52
phl,2006,9.44
phl,2007,8.79
phl,2008,8.52
phl,2014,10.87
phl,2015,10.28
phl,2016,9.03
plw,2000,2.74
plw,2014,2.21
png,2010,4.95
pol,1994,16
pol,1995,14.85
pol,1996,13.59
pol,1998,10.31
pol,1999,12.68
pol,2000,17.03
pol,2001,19.43
pol,2002,21.15
pol,2003,20.79
pol,2004,20.3
pol,2005,19.11
pol,2006,14.9
pol,2007,10.29
pol,2008,7.53
pol,2009,8.72
pol,2010,10.5
pol,2011,10.42
pol,2012,10.97
pol,2013,11.39
pol,2014,10.09
pol,2015,8.37
pol,2016,6.91
pol,2017,5.6
pol,2018,4.39
pol,2019,3.62
pol,2020,3.48
prt,1998,5.78
prt,1999,5.99
prt,2000,4.75
prt,2001,4.39
prt,2002,5.31
prt,2003,6.67
prt,2004,6.38
prt,2005,7.97
prt,2006,8.4
prt,2007,8.11
prt,2008,7.76
prt,2009,9.63
prt,2010,11.36
prt,2011,13.4
prt,2012,17.64
prt,2013,17.39
prt,2014,15.27
prt,2015,13.94
prt,2016,12.25
prt,2017,9.92
prt,2018,8.23
prt,2019,7.22
prt,2020,8.36
pry,1998,5.38
pry,1999,6.97
pry,2001,9.64
pry,2002,13.45
pry,2003,10.15
pry,2004,10.94
pry,2005,7.12
pry,2006,8.11
pry,2007,7.34
pry,2008,6.17
pry,2009,8.95
pry,2010,7.06
pry,2011,7.8
pry,2012,7.32
pry,2013,6.05
pry,2014,7.27
pry,2015,6.13
pry,2016,7.51
pry,2017,5.93
pse,2000,9.15
pse,2001,17.85
pse,2002,22.38
pse,2003,20.54
pse,2004,20.09
pse,2005,18.76
pse,2006,16.22
pse,2007,16.21
pse,2008,20.63
pse,2009,17.84
pse,2010,19.28
pse,2011,16.72
pse,2012,18.72
pse,2013,18.18
pse,2014,18.95
pse,2015,20.95
pse,2016,22.16
pse,2017,24.75
pse,2018,24.8
pse,2019,25.41
pse,2020,25.09
qat,2013,0.45
qat,2014,0.23
qat,2015,0.24
qat,2016,0.19
qat,2017,0.18
qat,2019,0.12
qat,2020,0.2
rou,1995,11.37
rou,1996,8.95
rou,1998,7.64
rou,1999,8.46
rou,2000,9.42
rou,2001,8.57
rou,2002,9.98
rou,2003,8.17
rou,2004,8.32
rou,2005,8.05
rou,2006,7.87
rou,2007,6.89
rou,2008,5.97
rou,2009,7.24
rou,2010,7.99
rou,2011,7.87
rou,2012,7.33
rou,2013,7.75
rou,2014,7.17
rou,2015,7.22
rou,2016,6.22
rou,2017,5.15
rou,2018,4.34
rou,2019,3.98
rou,2020,5.1
rus,1998,16.57
rus,2002,5.55
rus,2003,6.21
rus,2004,9.73
rus,2006,9
rus,2007,8.04
rus,2008,8.26
rus,2009,10.96
rus,2010,6.62
rus,2011,5.71
rus,2012,4.74
rus,2013,4.8
rus,2014,4.6
rus,2015,5.09
rus,2016,5
rus,2017,4.68
rus,2018,4.22
rus,2019,3.97
rus,2020,4.97
rwa,2014,10.42
rwa,2017,25.74
rwa,2018,24.15
rwa,2019,23.06
rwa,2020,24
sau,2009,7.28
sau,2014,7.13
sau,2016,6.1
sau,2017,6.08
sau,2018,5.81
sau,2019,4.81
sau,2020,5.87
sdn,2011,23.55
sen,2015,11.2
sen,2016,9.6
sen,2017,10.65
sen,2018,13.23
sen,2019,5.93
sgp,1994,2.02
sgp,1995,2.77
sgp,1996,2.56
sgp,1997,3.13
sgp,1998,4.17
sgp,2001,4.81
sgp,2002,6.98
sgp,2003,7.78
sgp,2006,4.43
sgp,2007,3.85
sgp,2008,3.81
sgp,2009,4.84
sgp,2010,3.48
sgp,2011,3.35
sgp,2012,3.04
sgp,2013,3.05
sgp,2015,4.08
sgp,2017,4.63
sgp,2020,5.98
slb,2013,1
sle,2014,10.41
sle,2018,5.33
slv,1996,10.48
slv,2010,7.43
slv,2011,7.34
slv,2012,6.44
slv,2013,5.93
slv,2014,6.39
slv,2015,5.81
slv,2016,6.85
slv,2017,6.79
slv,2018,5.97
slv,2019,6.18
slv,2020,8.13
smr,2009,4.45
smr,2010,5.17
smr,2016,8.33
som,2019,15.78
srb,2008,16.11
srb,2009,17.58
srb,2010,20.39
srb,2011,23.89
srb,2012,25.5
srb,2013,23.37
srb,2014,21.19
srb,2015,19.42
srb,2016,16.69
srb,2017,14.74
srb,2018,13.71
srb,2019,11.23
srb,2020,9.58
sur,2016,5.38
svk,1994,24.48
svk,1995,23.48
svk,1997,22.13
svk,1998,10.93
svk,1999,15.09
svk,2000,18.38
svk,2001,18.74
svk,2002,17.82
svk,2003,15.89
svk,2004,16.94
svk,2005,14.4
svk,2006,11.81
svk,2007,9.38
svk,2008,8.13
svk,2009,11.45
svk,2010,14.06
svk,2011,13.38
svk,2012,13.45
svk,2013,13.93
svk,2014,12.62
svk,2015,10.93
svk,2016,9.18
svk,2017,7.55
svk,2018,5.77
svk,2019,4.8
svk,2020,6.3
svn,1998,7.74
svn,1999,7.53
svn,2000,6.95
svn,2001,5.5
svn,2002,6.02
svn,2003,6.22
svn,2004,6.08
svn,2005,6.85
svn,2006,6.52
svn,2007,4.95
svn,2008,4.35
svn,2009,6.31
svn,2010,7.5
svn,2011,8.65
svn,2012,9.08
svn,2013,10.71
svn,2014,10.39
svn,2015,9.9
svn,2016,8.05
svn,2017,6.69
svn,2018,5.48
svn,2019,4.64
svn,2020,5.53
swe,1998,9.74
swe,1999,7.97
swe,2000,5.72
swe,2001,4.41
swe,2002,4.73
swe,2003,5.28
swe,2004,6.66
swe,2005,6.81
swe,2006,6.4
swe,2007,5.37
swe,2008,5.38
swe,2009,8.02
swe,2010,8.1
swe,2011,7.05
swe,2012,7.12
swe,2013,7.13
swe,2014,7
swe,2015,6.22
swe,2016,5.66
swe,2017,5.12
swe,2018,4.62
swe,2019,5.01
swe,2020,6.32
swz,2016,28.95
syc,2014,4.27
syc,2015,4.77
syc,2016,5.14
syc,2017,4.38
syc,2018,4.75
syc,2019,4.28
syc,2020,4.57
tcd,2018,3.47
tgo,2006,5.14
tgo,2011,1.57
tgo,2015,1.88
tgo,2017,14.28
tha,2010,0.96
tha,2011,1.07
tha,2012,0.86
tha,2013,0.4
tha,2014,0.77
tha,2015,0.88
tha,2016,0.95
tha,2017,1.23
tha,2018,1.09
tha,2019,1
tha,2020,1.39
tjk,2003,4.18
tjk,2007,2.89
tjk,2009,7.4
tjk,2016,7.32
tls,2010,8.22
tls,2013,15.56
tls,2016,7.01
ton,2018,2.78
tto,2010,3.86
tto,2011,3.64
tto,2012,3.45
tto,2013,2.65
tto,2014,2.51
tto,2015,2.49
tto,2016,3.2
tun,2005,13.33
tun,2006,12.48
tun,2007,13.46
tun,2008,13.43
tun,2009,14.03
tun,2010,13.7
tun,2011,20.57
tun,2012,20.96
tun,2013,16.25
tun,2015,16.33
tun,2016,16.54
tun,2017,15.62
tur,2000,10.64
tur,2001,13.27
tur,2002,14.7
tur,2003,12.77
tur,2004,15.19
tur,2005,13.78
tur,2006,11.08
tur,2007,11.13
tur,2008,11.39
tur,2009,15.16
tur,2010,13.11
tur,2011,10.67
tur,2012,9.65
tur,2013,10.16
tur,2014,11.26
tur,2015,11.29
tur,2016,12.44
tur,2017,12.46
tur,2018,12.15
tur,2019,15.63
tur,2020,14.96
tuv,2016,11.63
tza,2001,4.3
tza,2006,7.5
tza,2011,2.82
tza,2012,1.07
tza,2013,8.69
tza,2014,3.56
uga,2012,10.15
uga,2017,12.64
ukr,2011,8.8
ukr,2012,8.35
ukr,2013,7.59
ukr,2014,10.42
ukr,2015,10.05
ukr,2016,10.74
ukr,2017,17.86
ukr,2018,9.87
ukr,2019,9.16
ukr,2020,10.73
ury,1998,7.73
ury,1999,9.66
ury,2000,10.52
ury,2001,13.44
ury,2002,14.58
ury,2003,14.69
ury,2004,11
ury,2005,10.18
ury,2006,10.52
ury,2007,9.27
ury,2008,7.63
ury,2009,6.72
ury,2010,6.2
ury,2011,5.03
ury,2012,4.71
ury,2013,4.77
ury,2014,4.24
ury,2015,5.42
ury,2016,5.22
ury,2017,5.79
ury,2018,6.18
ury,2019,6.3
usa,1994,7.14
usa,1995,6.56
usa,1996,6.42
usa,1997,6
usa,1998,5.46
usa,1999,5.01
usa,2000,4.79
usa,2001,5.63
usa,2002,6.94
usa,2003,7.23
usa,2004,6.74
usa,2005,6.35
usa,2006,5.83
usa,2007,5.9
usa,2008,7.42
usa,2009,11.73
usa,2010,12.32
usa,2011,11.57
usa,2012,10.42
usa,2013,9.68
usa,2014,8.09
usa,2015,7.09
usa,2016,6.47
usa,2017,5.77
usa,2018,5.17
usa,2019,4.84
usa,2020,10.46
usa,2021,7.08
uzb,2020,6.22
ven,2012,6.09
ven,2016,5.6
ven,2017,5.74
vnm,2010,2.01
vnm,2011,1.6
vnm,2012,1.71
vnm,2013,1.97
vnm,2014,1.87
vnm,2015,2.62
vnm,2016,2.66
vnm,2017,2.78
vnm,2018,1.76
vnm,2019,2.61
vnm,2020,2.66
vut,2006,12.04
vut,2010,1.88
vut,2019,5.71
wsm,2012,9.36
wsm,2017,18.57
yem,2010,19.26
yem,2014,17.3
zaf,2000,31.23
zaf,2001,31.9
zaf,2002,33.89
zaf,2003,32.8
zaf,2004,30.56
zaf,2005,29.77
zaf,2006,28.56
zaf,2007,26.96
zaf,2008,22.92
zaf,2009,24.64
zaf,2010,25.83
zaf,2011,26.02
zaf,2013,25.35
zaf,2014,25.07
zaf,2015,25.84
zaf,2016,27.25
zaf,2017,27.84
zaf,2018,28.48
zaf,2019,29.66
zaf,2020,30.2
zmb,2017,14.47
zmb,2018,15.74
zmb,2019,14.18
zwe,2011,13.59
zwe,2014,9.3
zwe,2019,18.66
