geo,time,sh_hiv_incd_zs
eth,2000,1.63
eth,2001,1.37
eth,2002,1.19
eth,2003,1.05
eth,2004,0.95
eth,2005,0.88
eth,2006,0.78
eth,2007,0.7
eth,2008,0.61
eth,2009,0.56
eth,2010,0.5
eth,2011,0.45
eth,2012,0.41
eth,2013,0.35
eth,2014,0.32
eth,2015,0.29
eth,2016,0.26
eth,2017,0.23
eth,2018,0.21
eth,2019,0.19
eth,2020,0.17
fji,1990,0.02
fji,1991,0.02
fji,1992,0.02
fji,1993,0.03
fji,1994,0.03
fji,1995,0.03
fji,1996,0.03
fji,1997,0.04
fji,1998,0.04
fji,1999,0.04
fji,2000,0.05
fji,2001,0.05
fji,2002,0.06
fji,2003,0.07
fji,2004,0.08
fji,2005,0.09
fji,2006,0.1
fji,2007,0.1
fji,2008,0.11
fji,2009,0.12
fji,2010,0.13
fji,2011,0.15
fji,2012,0.16
fji,2013,0.17
fji,2014,0.18
fji,2015,0.2
fji,2016,0.21
fji,2017,0.23
fji,2018,0.25
fji,2019,0.27
fji,2020,0.28
gab,1990,3.5
gab,1991,4.54
gab,1992,5.66
gab,1993,6.79
gab,1994,7.96
gab,1995,8.96
gab,1996,9.38
gab,1997,8.88
gab,1998,8.35
gab,1999,7.29
gab,2000,6.31
gab,2001,5.35
gab,2002,4.76
gab,2003,4.02
gab,2004,3.59
gab,2005,3.42
gab,2006,2.9
gab,2007,2.69
gab,2008,2.52
gab,2009,2.53
gab,2010,2.16
gab,2011,1.99
gab,2012,1.81
gab,2013,1.6
gab,2014,1.38
gab,2015,1.23
gab,2016,1.02
gab,2017,0.85
gab,2018,0.71
gab,2019,0.63
gab,2020,0.67
geo,1990,0.01
geo,1991,0.01
geo,1992,0.01
geo,1993,0.01
geo,1994,0.01
geo,1995,0.01
geo,1996,0.01
geo,1997,0.01
geo,1998,0.01
geo,1999,0.01
geo,2000,0.02
geo,2001,0.04
geo,2002,0.06
geo,2003,0.08
geo,2004,0.11
geo,2005,0.13
geo,2006,0.15
geo,2007,0.16
geo,2008,0.18
geo,2009,0.2
geo,2010,0.22
geo,2011,0.24
geo,2012,0.26
geo,2013,0.26
geo,2014,0.27
geo,2015,0.28
geo,2016,0.29
geo,2017,0.29
geo,2018,0.3
geo,2019,0.31
geo,2020,0.32
gha,1990,3.38
gha,1991,3.69
gha,1992,3.87
gha,1993,3.88
gha,1994,3.61
gha,1995,3.49
gha,1996,3.24
gha,1997,2.99
gha,1998,2.71
gha,1999,2.54
gha,2000,2.29
gha,2001,2.19
gha,2002,2.09
gha,2003,1.94
gha,2004,1.85
gha,2005,1.72
gha,2006,1.68
gha,2007,1.63
gha,2008,1.59
gha,2009,1.48
gha,2010,1.47
gha,2011,1.42
gha,2012,1.34
gha,2013,1.29
gha,2014,1.26
gha,2015,1.23
gha,2016,1.2
gha,2017,1.17
gha,2018,1.14
gha,2019,1.09
gha,2020,0.94
gin,1990,1.38
gin,1991,1.61
gin,1992,1.82
gin,1993,1.97
gin,1994,2.1
gin,1995,2.17
gin,1996,2.2
gin,1997,2.25
gin,1998,2.17
gin,1999,2.08
gin,2000,2.06
gin,2001,1.93
gin,2002,1.81
gin,2003,1.72
gin,2004,1.67
gin,2005,1.6
gin,2006,1.58
gin,2007,1.54
gin,2008,1.5
gin,2009,1.39
gin,2010,1.33
gin,2011,1.24
gin,2012,1.17
gin,2013,1.1
gin,2014,1.08
gin,2015,1.02
gin,2016,0.99
gin,2017,0.93
gin,2018,0.87
gin,2019,0.78
gin,2020,0.69
gmb,1990,0.46
gmb,1991,0.67
gmb,1992,0.92
gmb,1993,1.27
gmb,1994,1.62
gmb,1995,2.02
gmb,1996,2.33
gmb,1997,2.66
gmb,1998,2.94
gmb,1999,3.1
gmb,2000,3
gmb,2001,2.96
gmb,2002,2.82
gmb,2003,2.64
gmb,2004,2.49
gmb,2005,2.37
gmb,2006,2.27
gmb,2007,2.22
gmb,2008,2.22
gmb,2009,2.06
gmb,2010,2.05
gmb,2011,1.95
gmb,2012,1.84
gmb,2013,1.78
gmb,2014,1.76
gmb,2015,1.72
gmb,2016,1.68
gmb,2017,1.62
gmb,2018,1.56
gmb,2019,1.51
gmb,2020,1.47
gnb,1990,0.81
gnb,1991,1.17
gnb,1992,1.74
gnb,1993,2.38
gnb,1994,3.17
gnb,1995,4.14
gnb,1996,5.1
gnb,1997,5.99
gnb,1998,6.47
gnb,1999,6.58
gnb,2000,6.36
gnb,2001,6.12
gnb,2002,5.53
gnb,2003,4.98
gnb,2004,4.59
gnb,2005,4.3
gnb,2006,4.07
gnb,2007,3.94
gnb,2008,3.77
gnb,2009,3.48
gnb,2010,3.31
gnb,2011,3.05
gnb,2012,2.79
