geo,time,bx_gsr_gnfs_cd
pry,2010,11089285874.2953
pry,2011,13300043797.2781
pry,2012,12341874621.9145
pry,2013,14372652307.333
pry,2014,13859116571.3562
pry,2015,11798279739.0072
pry,2016,12695670925.2396
pry,2017,14097960313.2431
pry,2018,14357470532.2462
pry,2019,13272322354.3256
pry,2020,11799659495.8068
pse,1995,763600000
pse,1996,823000000
pse,1997,893200000
pse,1998,994878523.47911
pse,1999,1039422091.96064
pse,2000,884968255.18662
pse,2001,615900000
pse,2002,477800000
pse,2003,515095610.48492
pse,2004,596800000
pse,2005,723296000
pse,2006,736285000
pse,2007,1066286000
pse,2008,1165000000
pse,2009,1133300000
pse,2010,1367300000
pse,2011,1799409195.17103
pse,2012,1871092711.37725
pse,2013,2111052701.47403
pse,2014,2213676673.26214
pse,2015,2244334838.13038
pse,2016,2207025455.31287
pse,2017,2535998695.74785
pse,2018,2598000000
pse,2019,2659300000
pse,2020,2385203570
pyf,2002,924815534.80206
pyf,2003,1097832635.50811
pyf,2004,1200180119.7847
pyf,2005,1277881075.11566
pyf,2006,1226356124.24386
pyf,2007,1379502008.94587
pyf,2008,1526152139.30863
pyf,2009,1287883988.94729
pyf,2010,1123595126.11685
pyf,2011,1276574342.539
pyf,2012,1134519616.25415
pyf,2013,1167674715.56918
pyf,2014,1259379434.65386
pyf,2015,1120551433.57245
pyf,2016,1201644319.94176
qat,2011,121837912087.912
qat,2012,142876098901.099
qat,2013,144510439560.44
qat,2014,140228846153.84601
qat,2015,92291208791.2088
qat,2016,72484340659.3407
qat,2017,85204395604.3956
qat,2018,102560989010.989
qat,2019,92046153846.15379
qat,2020,70933241758.24181
rou,1971,2382000000
rou,1972,2864000000
rou,1973,4005000000
rou,1974,5277000000
rou,1975,5812000000
rou,1976,6642000000
rou,1977,7357000000
rou,1978,8728000000
rou,1979,10133000000
rou,1980,12087000000
rou,1981,13462000000
rou,1982,12384000000
rou,1983,12239000000
rou,1984,13486000000
rou,1985,10920000000
rou,1986,10444000000
rou,1987,11261000000
rou,1988,12242000000
rou,1989,11321000000
rou,1990,6380000000
rou,1991,4946000000
rou,1992,5023000000
rou,1993,5691000000
rou,1994,7195000000
rou,1995,9403000000
rou,1996,9640000000
rou,1997,9946000000
rou,1998,9521000000
rou,1999,9687000000
rou,2000,11905000000
rou,2001,13074000000
rou,2002,15703000000
rou,2003,19923000000
rou,2004,26220000000
rou,2005,24119963899.19749
rou,2006,30270958591.6087
rou,2007,43162426173.6123
rou,2008,56289848643.7502
rou,2009,45509461605.5338
rou,2010,53727832194.33
rou,2011,67878965578.9008
rou,2012,63959890289.2402
rou,2013,76414975419.63518
rou,2014,82857390777.35899
rou,2015,73553176022.54829
rou,2016,78600503406.92598
rou,2017,89179888822.4248
rou,2018,101105300287.34399
rou,2019,100901294663.89999
rou,2020,93038740041.99661
rus,1994,74551490000
rus,1995,91743150000
rus,1996,101781970000
rus,1997,100024930000
rus,1998,86247230000
rus,1999,80751910000
rus,2000,110520310000
rus,2001,109273010000
rus,2002,117185250000
rus,2003,147485450000
rus,2004,200829850000
rus,2005,268869480000
rus,2006,333199930000
rus,2007,390390560000
rus,2008,523433950000
rus,2009,342951140000
rus,2010,441833180000
rus,2011,573448160000
rus,2012,589773980000
rus,2013,591958000000
rus,2014,562550590000
rus,2015,393034910000
rus,2016,332352610000
rus,2017,410482810000
rus,2018,508560910000
rus,2019,481631440000
rus,2020,380410970000
rwa,2010,702728416.04775
rwa,2011,953287991.14999
rwa,2012,1120380851.49077
rwa,2013,1298831986.60463
rwa,2014,1328277648.99117
rwa,2015,1449025170.20564
rwa,2016,1516645918.83269
rwa,2017,1903903239.37624
rwa,2018,2043256454.25957
rwa,2019,2254674808.8851
rwa,2020,1928956843.71372
sau,1971,2859480229.60454
sau,1972,4275284708.1234
sau,1973,8058622004.44278
sau,1974,31515492966.6241
sau,1975,28729713698.9164
sau,1976,37388101993.5944
sau,1977,42458791552.059
sau,1978,39160931053.11929
sau,1979,62850421193.5868
sau,1980,106765128072.793
sau,1981,119443903835.541
sau,1982,78767953290.60188
sau,1983,50015063774.3481
sau,1984,41656606145.0666
sau,1985,31039697343.9032
sau,1986,22772344013.4907
sau,1987,25680000000
sau,1988,26634666666.66669
sau,1989,30853333333.3333
sau,1990,47381333333.3333
sau,1991,50629333333.3333
sau,1992,53681866666.6667
sau,1993,45617333333.3333
sau,1994,45899466666.6667
sau,1995,53449600000
sau,1996,63416266666.6667
sau,1997,64902400000
sau,1998,43493333333.3333
sau,1999,56061466666.6667
sau,2000,82259466666.6667
sau,2001,72980546133.3333
sau,2002,77641200000
sau,2003,98956906666.6667
sau,2004,131849333333.33299
sau,2005,191972800000
sau,2006,225206261742.82697
sau,2007,249567932447.51999
sau,2008,322853648266.66693
sau,2009,202056547066.66696
sau,2010,261831173341.60001
sau,2011,376224211200
sau,2012,399419454800
sau,2013,387745717200
sau,2014,354973163493.33301
sau,2015,218010394722.26697
sau,2016,200860075477.285
sau,2017,239993341453.867
sau,2018,314916582179.44
sau,2019,285859922577.59998
sau,2020,184162065098.43701
sdn,1977,779138279.69215
sdn,1978,725412173.73375
sdn,1979,716920001.67025
sdn,1980,981800001.9636
sdn,1981,1218270128.69689
sdn,1982,872601015.22528
sdn,1983,783461538.46154
sdn,1984,777461538.46154
sdn,1985,818414542.31961
sdn,1986,547280000
sdn,1987,449724444.44444
sdn,1988,588711111.11111
sdn,1989,817011111.11111
sdn,1990,499000000
sdn,1991,379500000
sdn,1992,368900000
sdn,1993,375700000
sdn,1994,600100000
sdn,1995,681000000
sdn,1996,671000000
sdn,1997,625700000
sdn,1998,611500000
sdn,1999,861700000
sdn,2000,1834100000
sdn,2001,1713300000
sdn,2002,2081280000
sdn,2003,2578650000
sdn,2004,3821880000
sdn,2005,4971303328.70825
sdn,2006,5930483790.11213
sdn,2007,9389652901.50133
sdn,2008,12087993690.433
sdn,2009,8581142972.82795
sdn,2010,11646421263.4664
sdn,2011,11026176541.4481
sdn,2012,5125300929.7532
sdn,2013,6047707928.55507
sdn,2014,6021777924.59669
sdn,2015,4896332965.50146
sdn,2016,4638209737.91508
sdn,2017,5880500847.62069
sdn,2018,4995707338.38466
sdn,2019,5101252297.39815
sdn,2020,5065438285.07997
sen,1974,599905275.69358
sen,1975,688152695.26561
sen,1976,696001908.30376
sen,1977,855259964.454
sen,1978,675143113.24353
sen,1979,816183988.24452
sen,1980,806893026.94422
sen,1981,983029375.11633
sen,1982,884249759.74565
sen,1983,948129630.6781
sen,1984,900913135.8371
sen,1985,824372429.37772
sen,1986,1029003538.03506
sen,1987,1071054374.97483
sen,1988,1111270704.62933
sen,1989,1201880956.12396
sen,1990,1452666732.89479
sen,1991,1297167806.1525
sen,1992,1342013613.54116
sen,1993,1150717021.20859
sen,1994,1231113507.05124
sen,1995,1505804608.40441
sen,1996,1362497681.08559
sen,1997,1271781654.40992
sen,1998,1392648069.58595
sen,1999,1442806582.90455
sen,2000,1309507961.15731
sen,2001,1401319268.81334
sen,2002,1527965677.33532
sen,2003,1824555620.44441
sen,2004,2182636050.34957
sen,2005,2355695211.27799
sen,2006,2402925775.80184
sen,2007,2877670224.28868
sen,2008,3508116266.02906
sen,2009,3127154085.10486
sen,2010,3215625405.29843
sen,2011,3792732354.97136
sen,2012,3967113827.50073
sen,2013,4209550705.43244
sen,2014,4305212887.74955
sen,2015,4016951809.48509
sen,2016,4093170632.11094
sen,2017,4593278924.06845
sen,2018,5287037761.42284
sgp,1972,3130311112.22411
sgp,1973,4976058383.9666
sgp,1974,7836702872.48541
sgp,1975,7896934174.18247
sgp,1976,9017574985.62089
sgp,1977,10839140775.6536
sgp,1978,13250074212.483
sgp,1979,17843163561.1228
sgp,1980,24285352905.0407
sgp,1981,28273884429.6648
sgp,1982,29143584782.5545
sgp,1983,29728591386.7294
sgp,1984,30244012974.9961
sgp,1985,27874463109.0114
sgp,1986,27544567341.0804
sgp,1987,34890636994.5948
sgp,1988,48265997490.5897
sgp,1989,55358255957.5442
sgp,1990,67489351919.9648
sgp,1991,75156145987.09158
sgp,1992,82765352268.30899
sgp,1993,96455182678.86391
sgp,1994,120962981189.16499
sgp,1995,159046900079.37201
sgp,1996,169132194162.22601
sgp,1997,169506473068.58899
sgp,1998,142984023478.306
sgp,1999,152507733727.70599
sgp,2000,180960983315.57697
sgp,2001,164227663603.04099
sgp,2002,170350266625.58801
sgp,2003,197818101807.12
sgp,2004,246116274231.194
sgp,2005,287771641089.34302
sgp,2006,338926051019.55298
sgp,2007,385006740310.59497
sgp,2008,443371662584.01294
sgp,2009,370526055886.95697
sgp,2010,474817193392.04694
sgp,2011,568009224023.60999
sgp,2012,580505492422.74304
sgp,2013,600013186286.26196
sgp,2014,604391776173
sgp,2015,549421999163.53003
sgp,2016,525328153367.01202
sgp,2017,588212538696.88794
sgp,2018,665728544862.56604
sgp,2019,658126610425.23291
sgp,2020,627441803719.29395
sgp,2021,733781786152.91296
slb,1975,17935067.20196
slb,1976,27374381.32676
slb,1977,36149254.28302
slb,1978,40290349.96518
slb,1979,74252481.74535
slb,1980,84957442.76906
slb,1981,79180268.11413
slb,1982,71979903.83806
slb,1983,77140184.4236
slb,1984,102613210.79044
slb,1985,80363775.53073
slb,1986,80505311.52077
slb,1987,84221385.63614
slb,1988,103912733.79165
slb,1989,101210440.82431
slb,1990,95460926.53252
slb,1991,115038217.14707
