geo,time,sh_mmr_risk
esp,2012,17800
esp,2013,18800
esp,2014,19300
esp,2015,20100
esp,2016,20500
esp,2017,21500
est,2000,2700
est,2001,2900
est,2002,3100
est,2003,3600
est,2004,3900
est,2005,3800
est,2006,4100
est,2007,3800
est,2008,4300
est,2009,4400
est,2010,5400
est,2011,4600
est,2012,5000
est,2013,5800
est,2014,5600
est,2015,5700
est,2016,5700
est,2017,6900
eth,2000,16
eth,2001,17
eth,2002,17
eth,2003,18
eth,2004,19
eth,2005,21
eth,2006,23
eth,2007,25
eth,2008,27
eth,2009,30
eth,2010,32
eth,2011,35
eth,2012,38
eth,2013,41
eth,2014,44
eth,2015,48
eth,2016,51
eth,2017,55
fin,2000,11100
fin,2001,11800
fin,2002,12000
fin,2003,12800
fin,2004,11600
fin,2005,12300
fin,2006,13300
fin,2007,12700
fin,2008,13200
fin,2009,12700
fin,2010,13400
fin,2011,14800
fin,2012,14500
fin,2013,15200
fin,2014,17900
fin,2015,18400
fin,2016,18100
fin,2017,20900
fji,2000,600
fji,2001,640
fji,2002,660
fji,2003,680
fji,2004,700
fji,2005,730
fji,2006,760
fji,2007,790
fji,2008,830
fji,2009,860
fji,2010,890
fji,2011,900
fji,2012,900
fji,2013,920
fji,2014,930
fji,2015,940
fji,2016,970
fji,2017,1000
fra,2000,5700
fra,2001,5700
fra,2002,5700
fra,2003,5700
fra,2004,5800
fra,2005,5800
fra,2006,5800
fra,2007,5800
fra,2008,5500
fra,2009,5500
fra,2010,5600
fra,2011,5600
fra,2012,5900
fra,2013,6100
fra,2014,6300
fra,2015,6500
fra,2016,6700
fra,2017,7200
fsm,2000,160
fsm,2001,170
fsm,2002,160
fsm,2003,180
fsm,2004,190
fsm,2005,200
fsm,2006,220
fsm,2007,230
fsm,2008,250
fsm,2009,260
fsm,2010,270
fsm,2011,290
fsm,2012,300
fsm,2013,320
fsm,2014,330
fsm,2015,340
fsm,2016,360
fsm,2017,370
gab,2000,56
gab,2001,59
gab,2002,62
gab,2003,63
gab,2004,65
gab,2005,66
gab,2006,68
gab,2007,68
gab,2008,70
gab,2009,71
gab,2010,73
gab,2011,76
gab,2012,80
gab,2013,83
gab,2014,87
gab,2015,90
gab,2016,91
gab,2017,93
gbr,2000,5600
gbr,2001,5600
gbr,2002,5500
gbr,2003,5300
gbr,2004,5300
gbr,2005,5200
gbr,2006,5200
gbr,2007,5200
gbr,2008,5100
gbr,2009,5400
gbr,2010,5600
gbr,2011,5900
gbr,2012,6500
gbr,2013,6800
gbr,2014,6900
gbr,2015,7200
gbr,2016,7600
gbr,2017,8400
geo,2000,2000
geo,2001,1900
geo,2002,1500
geo,2003,1700
geo,2004,1700
geo,2005,1600
geo,2006,1800
