geo,time,se_prm_nint_fe_zs
tjk,2016,92.6784
tjk,2017,93.7914
tls,2005,42.36068
tls,2008,46.28744
tls,2009,46.93435
tls,2010,52.69929
tls,2011,42.19845
tls,2012,33.98559
tls,2013,37.98116
tls,2014,38.9247
tls,2015,36.93305
tls,2016,35.3582
tls,2018,52.18492
ton,1998,58.01887
ton,1999,44.77273
ton,2001,86.79818
ton,2012,61.52215
ton,2013,59.71878
tto,1999,69.7869
tto,2000,63.60097
tto,2001,65.07051
tto,2003,63.83316
tto,2004,62.27928
tto,2008,68.46039
tto,2009,72.525
tto,2010,73.41327
tun,2001,87.15002
tun,2002,86.94825
tun,2004,90.68538
tun,2006,89.15126
tun,2007,90.42426
tun,2008,91.37219
tun,2009,91.94107
tun,2010,91.39935
tun,2011,91.7537
tun,2012,92.49962
tun,2017,93.46823
tun,2018,93.88588
tuv,2016,14.28571
tuv,2018,82.8125
tza,1998,13.02819
tza,1999,15.15787
tza,2001,32.15951
tza,2002,91.59698
tza,2004,77.5355
tza,2005,79.76317
tza,2006,87.47866
tza,2007,89.90429
tza,2013,64.79463
tza,2014,73.43509
tza,2017,51.55946
uga,2002,71.82161
uga,2004,67.45227
uga,2005,71.94739
uga,2006,67.03554
uga,2007,73.75728
uga,2008,74.85434
uga,2009,73.31246
uga,2010,71.69606
uga,2011,70.84699
uga,2015,61.42631
uga,2016,60.63993
uga,2017,59.98604
ukr,2003,74.592
ukr,2006,72.59109
ukr,2007,75.59928
ukr,2008,76.42684
ukr,2009,77.88726
ukr,2010,83.70424
ukr,2011,84.7012
ukr,2012,79.21113
ukr,2013,71.70919
ukr,2014,67.142
ury,2011,89.5994
ury,2012,87.76196
ury,2013,94.95516
ury,2014,95.13228
ury,2015,96.88339
ury,2016,97.27072
usa,2005,76.53075
usa,2010,75.61275
usa,2013,72.81169
usa,2014,74.45857
usa,2015,75.42676
uzb,2009,76.01821
uzb,2012,78.47746
uzb,2013,78.9144
uzb,2014,79.20467
uzb,2017,87.1044
vct,2003,64.25926
vct,2010,59.59772
ven,1999,60.44705
ven,2000,64.1993
ven,2001,67.08492
ven,2002,65.63056
ven,2003,62.38376
ven,2004,62.92624
ven,2005,59.62663
ven,2006,64.57763
ven,2007,68.86126
ven,2008,63.89213
ven,2009,75.04447
ven,2010,75.00298
ven,2011,74.75385
ven,2012,74.33071
ven,2013,74.48279
ven,2014,73.33658
ven,2015,73.3022
ven,2016,71.72635
ven,2017,70.51841
vgb,1999,75.95628
vgb,2002,70.35176
vgb,2003,75.40984
vgb,2004,63.38798
vgb,2012,79.80296
vut,2004,55.48624
vut,2008,41.16372
vut,2009,38.40606
vut,2010,45.02674
wsm,1998,76.24894
wsm,2018,71.90116
yem,1999,20.27331
yem,2008,44.40316
yem,2013,52.00623
yem,2016,64.29603
zaf,1998,46.1029
zaf,1999,41.69719
zaf,2001,37.57013
zaf,2002,43.32287
zaf,2003,43.91283
zaf,2004,54.77552
zaf,2005,53.60486
zaf,2017,37.7964
zmb,1998,37.91828
zmb,1999,37.65013
zmb,2000,37.91238
zmb,2002,36.09392
zmb,2004,39.65696
zmb,2005,43.52217
zmb,2006,44.91336
zmb,2007,45.5959
zmb,2008,51.19988
zmb,2010,47.73059
zmb,2011,50.11175
zmb,2012,53.17449
zmb,2013,52.14488
zwe,2000,48.0682
zwe,2001,51.64682
zwe,2002,49.18706
zwe,2003,49.21248
zwe,2012,45.1484
zwe,2013,41.34825
