geo,time,eg_elc_hyro_zs
brn,2002,0
brn,2003,0
brn,2004,0
brn,2005,0
brn,2006,0
brn,2007,0
brn,2008,0
brn,2009,0
brn,2010,0
brn,2011,0
brn,2012,0
brn,2013,0
brn,2014,0
brn,2015,0
bwa,1981,0
bwa,1982,0
bwa,1983,0
bwa,1984,0
bwa,1985,0
bwa,1986,0
bwa,1987,0
bwa,1988,0
bwa,1989,0
bwa,1990,0
bwa,1991,0
bwa,1992,0
bwa,1993,0
bwa,1994,0
bwa,1995,0
bwa,1996,0
bwa,1997,0
bwa,1998,0
bwa,1999,0
bwa,2000,0
bwa,2001,0
bwa,2002,0
bwa,2003,0
bwa,2004,0
bwa,2005,0
bwa,2006,0
bwa,2007,0
bwa,2008,0
bwa,2009,0
bwa,2010,0
bwa,2011,0
bwa,2012,0
bwa,2013,0
bwa,2014,0
bwa,2015,0
can,1960,92.08906
can,1961,90.91027
can,1962,87.96846
can,1963,84.1786
can,1964,83.15782
can,1965,80.22119
can,1966,81.22419
can,1967,79.1967
can,1968,75.45581
can,1969,77.08265
can,1970,75.47873
can,1971,73.23572
can,1972,73.79889
can,1973,72.07245
can,1974,74.30542
can,1975,73.07276
can,1976,71.3195
can,1977,68.36311
can,1978,68.60577
can,1979,67.97945
can,1980,67.28176
can,1981,68.12862
can,1982,66.55368
can,1983,65.21149
can,1984,65.47287
can,1985,66.16686
can,1986,66.30728
can,1987,63.71935
can,1988,60.77736
can,1989,58.33183
can,1990,61.55846
can,1991,60.62687
can,1992,60.8093
can,1993,60.80542
can,1994,59.35757
can,1995,59.98571
can,1996,62.07523
can,1997,61.13982
can,1998,59.09207
can,1999,59.72294
can,2000,59.19937
can,2001,56.51582
can,2002,58.31312
can,2003,57.2385
can,2004,56.81862
can,2005,58.3249
can,2006,57.7416
can,2007,58.47559
can,2008,59.73577
can,2009,60.46978
can,2010,58.1844
can,2011,59.04023
can,2012,59.7233
can,2013,58.88808
can,2014,57.25462
can,2015,56.74419
che,1960,99.13043
che,1961,99.1464
che,1962,98.84666
che,1963,98.80676
che,1964,98.54749
che,1965,97.91898
che,1966,97.53887
che,1967,96.87825
che,1968,95.47541
che,1969,92.42347
che,1970,88.88314
che,1971,86.19031
che,1972,76.75586
che,1973,75.78836
che,1974,74.84772
che,1975,77.88687
che,1976,71.89925
che,1977,77.92329
che,1978,75.46036
che,1979,69.41383
che,1980,68.09549
che,1981,68.45121
che,1982,69.19517
che,1983,67.86091
che,1984,60.87983
che,1985,57.70747
che,1986,58.1914
che,1987,58.9693
che,1988,59.97352
che,1989,55.3908
che,1990,54.18061
che,1991,56.3902
che,1992,56.07765
che,1993,58.78081
che,1994,59.72027
che,1995,56.4982
che,1996,51.10131
che,1997,54.91515
che,1998,53.72207
che,1999,58.25288
che,2000,55.70443
che,2001,58.13279
che,2002,53.79058
che,2003,53.24006
che,2004,52.84272
che,2005,54.0345
che,2006,49.82458
che,2007,53.05619
che,2008,53.75619
che,2009,53.57941
che,2010,54.59486
che,2011,51.50426
che,2012,56.64808
che,2013,55.96769
che,2014,54.25808
che,2015,57.8816
chl,1971,56.41718
chl,1972,64.137
chl,1973,63.82615
chl,1974,68.45219
chl,1975,73.15621
chl,1976,71.13291
