geo,time,sl_tlf_cact_zs
cri,2017,58.21
cri,2018,60.23
cri,2019,62.31
cri,2020,58.72
cri,2021,59.248
cub,1990,53.3
cub,1991,52.835
cub,1992,52.335
cub,1993,51.692
cub,1994,51.702
cub,1995,51.778
cub,1996,52.053
cub,1997,52.141
cub,1998,52.13
cub,1999,52.347
cub,2000,52.555
cub,2001,52.663
cub,2002,52.706
cub,2003,52.84
cub,2004,53.05
cub,2005,53.456
cub,2006,53.896
cub,2007,54.17
cub,2008,54.33
cub,2009,55.6
cub,2010,55
cub,2011,55.58
cub,2012,55.689
cub,2013,55.786
cub,2014,55.819
cub,2015,55.982
cub,2016,55.999
cub,2017,56.068
cub,2018,56.155
cub,2019,56.176
cub,2020,53.549
cub,2021,54.176
cyp,1990,59.242
cyp,1991,59.781
cyp,1992,59.28
cyp,1993,59.405
cyp,1994,59.531
cyp,1995,59.656
cyp,1996,59.781
cyp,1997,59.906
cyp,1998,60.031
cyp,1999,60.155
cyp,2000,60.28
cyp,2001,61.69
cyp,2002,61.86
cyp,2003,63.17
cyp,2004,63.04
cyp,2005,63.2
cyp,2006,63.54
cyp,2007,64.39
cyp,2008,64.21
cyp,2009,63.73
cyp,2010,64.27
cyp,2011,63.74
cyp,2012,63.43
cyp,2013,63.3
cyp,2014,63.75
cyp,2015,62.29
cyp,2016,61.26
cyp,2017,61.63
cyp,2018,62.4
cyp,2019,62.96
cyp,2020,62.7
cyp,2021,62.67
cze,1990,61.34
cze,1991,61.414
cze,1992,61.42
cze,1993,61.42
cze,1994,61.62
cze,1995,61.51
cze,1996,61.24
cze,1997,60.69
cze,1998,60.6
cze,1999,60.61
cze,2000,60.06
cze,2001,59.64
cze,2002,59.46
cze,2003,59.23
cze,2004,58.97
cze,2005,59.38
cze,2006,59.27
cze,2007,58.77
cze,2008,58.5
cze,2009,58.68
cze,2010,58.44
cze,2011,58.26
cze,2012,58.64
cze,2013,59.28
cze,2014,59.31
cze,2015,59.42
cze,2016,59.92
