geo,time,ny_adj_dngy_cd
mwi,2015,789411.15472
mwi,2016,652947.59355
mwi,2017,1209735.01558
mwi,2018,1181900.17406
mwi,2019,865389.26805
mys,1970,38145.98582
mys,1971,1774754.27668
mys,1972,7104101.79567
mys,1973,14679862.72236
mys,1974,68677812.37923
mys,1975,109721391.53229
mys,1976,287730023.22481
mys,1977,384912264.18649
mys,1978,501027327.08492
mys,1979,1746172573.49026
mys,1980,1902612835.66032
mys,1981,1376108939.79323
mys,1982,1157880648.12319
mys,1983,1632676026.30043
mys,1984,2184703215.81159
mys,1985,2157592193.87586
mys,1986,1314000939.52312
mys,1987,1858925085.33023
mys,1988,1696099050.38922
mys,1989,2434860256.24185
mys,1990,3549902315.50839
mys,1991,2172188772.12861
mys,1992,2336822959.88402
mys,1993,2166197477.28124
mys,1994,1949322661.22868
mys,1995,2327190018.03325
mys,1996,3161107853.24271
mys,1997,2981427121.90008
mys,1998,1646119406.6036
mys,1999,2501615553.00886
mys,2000,5070420539.65912
mys,2001,3655998055.27723
mys,2002,4107864654.61626
mys,2003,5225084576.76336
mys,2004,7900375104.02836
mys,2005,10949159977.1484
mys,2006,12267888342.9435
mys,2007,12783871310.5033
mys,2008,16659271785.5264
mys,2009,9995002540.10945
mys,2010,11991739607.7854
mys,2011,15909814585.789
mys,2012,16322051715.0603
mys,2013,15082492284.1122
mys,2014,15009234988.4523
mys,2015,11183955696.0276
mys,2016,8150238473.5371
mys,2017,10464662473.9234
mys,2018,17138200750.6575
mys,2019,13457987927.7208
nam,1980,0
nam,1981,0
nam,1982,0
nam,1983,0
nam,1984,0
nam,1985,0
nam,1986,0
nam,1987,0
nam,1988,0
nam,1989,0
nam,1990,0
nam,1991,0
nam,1992,0
nam,1993,0
nam,1994,0
nam,1995,0
nam,1996,0
nam,1997,0
nam,1998,0
nam,1999,0
nam,2000,0
nam,2001,0
nam,2002,0
nam,2003,0
nam,2004,0
nam,2005,0
nam,2006,0
nam,2007,0
nam,2008,0
nam,2009,0
nam,2010,0
nam,2011,0
nam,2012,0
nam,2013,0
nam,2014,0
nam,2015,0
nam,2016,0
nam,2017,0
nam,2018,0
nam,2019,0
ncl,1980,0
ncl,1981,0
ncl,1982,0
ncl,1983,0
ncl,1984,0
ncl,1985,0
ncl,1986,0
ncl,1987,0
ncl,1988,0
ncl,1989,0
ncl,1990,0
ncl,1991,0
ncl,1992,0
ncl,1993,0
ncl,1994,0
ncl,1995,0
ncl,1996,0
ncl,1997,0
ncl,1998,0
ncl,1999,0
ncl,2000,0
ncl,2001,0
ncl,2002,0
ncl,2003,0
ncl,2004,0
ncl,2005,0
ncl,2006,0
ncl,2007,0
ncl,2008,0
ncl,2009,0
ncl,2010,0
ncl,2011,0
ncl,2012,0
ncl,2013,0
ncl,2014,0
ncl,2015,0
ncl,2016,0
ncl,2017,0
ncl,2018,0
ncl,2019,0
ner,1980,42786.09845
ner,1981,94878.07833
ner,1982,147317.43493
ner,1983,262824.1358
ner,1984,242672.69298
ner,1985,273986.67777
ner,1986,174228.61346
ner,1987,166401.65433
ner,1988,199849.93271
ner,1989,261387.63206
ner,1990,279074.81156
ner,1991,271484.26954
ner,1992,239664.3713
ner,1993,174579.9876
ner,1994,183602.70178
ner,1995,265888.7897
ner,1996,232223.55363
ner,1997,187625.52005
ner,1998,135954.89361
ner,1999,93614.4865
ner,2000,465118.41071
ner,2001,829192.18143
ner,2002,609289.42699
ner,2003,723678.51999
ner,2004,2756385.22723
ner,2005,1687867.76443
ner,2006,1775255.14935
ner,2007,2441222.01602
ner,2008,5655466.96133
ner,2009,2036652.93248
ner,2010,5135262.4214
ner,2011,115685994.20967
ner,2012,236431851.5123
ner,2013,337872252.29259
ner,2014,281529025.04808
ner,2015,58214201.68797
ner,2016,47159641.32308
ner,2017,90360978.16075
ner,2018,120632324.57436
ner,2019,94619688.06633
nga,1970,85.45109
nga,1971,22684711.31724
nga,1972,6660.93273
nga,1973,181207973.8458
nga,1974,4597980237.45402
nga,1975,3405928078.10108
nga,1976,4190877134.14794
nga,1977,4896470089.2328
nga,1978,3986771959.01283
nga,1979,13027241915.0908
nga,1980,10514082709.5737
nga,1981,3036393679.2788
nga,1982,1134536184.11274
nga,1983,2124194999.79485
nga,1984,3801821672.05621
nga,1985,4203110565.19699
nga,1986,1412304745.85818
nga,1987,2914833105.05113
nga,1988,2357670890.75377
nga,1989,5775810179.84308
nga,1990,7524359568.39091
nga,1991,4222143814.94529
nga,1992,5045694780.20104
nga,1993,4504869055.74376
nga,1994,3389170070.71412
nga,1995,4070441892.5296
nga,1996,5543013549.49876
nga,1997,4653858869.10576
nga,1998,1725928697.7024
nga,1999,2965106680.64612
nga,2000,7804571323.76524
nga,2001,4974153928.8126
nga,2002,4051400352.88322
nga,2003,5458165202.48609
nga,2004,10920902581.83
nga,2005,16956933700.4287
nga,2006,19031808061.7834
nga,2007,19117046928.6049
nga,2008,26975150698.821
nga,2009,12881416042.443
nga,2010,24242304879.6378
nga,2011,35814805757.9467
nga,2012,33483790024.8778
nga,2013,27488702310.253
nga,2014,23304408156.3914
nga,2015,7894202319.42811
nga,2016,5250414002.2563
nga,2017,10597765186.0747
nga,2018,16838463141.8618
nga,2019,16154575241.009
nic,1971,0
nic,1972,0
nic,1973,0
nic,1974,0
nic,1975,0
nic,1976,0
nic,1977,0
nic,1978,0
nic,1979,0
nic,1980,0
nic,1981,0
nic,1982,0
nic,1983,0
nic,1984,0
nic,1985,0
nic,1986,0
nic,1987,0
nic,1988,0
nic,1989,0
nic,1990,0
nic,1991,0
nic,1992,0
nic,1993,0
nic,1994,0
nic,1995,0
nic,1996,0
nic,1997,0
nic,1998,0
nic,1999,0
nic,2000,0
nic,2001,0
nic,2002,0
nic,2003,0
nic,2004,0
nic,2005,0
nic,2006,0
nic,2007,0
nic,2008,0
nic,2009,0
nic,2010,0
nic,2011,0
nic,2012,0
nic,2013,0
nic,2014,0
nic,2015,0
nic,2016,0
nic,2017,0
nic,2018,0
nic,2019,0
nld,1970,5518614.74342
nld,1971,13557045.20382
nld,1972,29045093.94028
nld,1973,54509296.03207
nld,1974,345148543.89152
nld,1975,620765021.71494
nld,1976,696204613.62608
nld,1977,741921678.84383
nld,1978,796809836.77542
nld,1979,1766979497.16111
nld,1980,2347882983.03733
nld,1981,1353233649.82346
nld,1982,416125336.37266
nld,1983,1372451410.82961
nld,1984,1446891729.35366
nld,1985,1598230820.13862
nld,1986,1150353341.82031
nld,1987,831193629.24784
nld,1988,659088120.42513
nld,1989,812807131.16785
nld,1990,1206280837.58499
nld,1991,1047211788.28826
nld,1992,746243620.84081
nld,1993,844397231.12089
nld,1994,735984870.24619
nld,1995,748696070.12251
nld,1996,1075801550.43306
nld,1997,892977644.61943
nld,1998,326753559.6554
nld,1999,274443056.55244
nld,2000,1221768834.52574
nld,2001,2295334863.57974
nld,2002,1879516021.71147
nld,2003,1988424107.43703
nld,2004,2247386102.66053
nld,2005,2114407360.11856
nld,2006,3777559131.16408
nld,2007,4137019705.94151
nld,2008,7301400924.13283
nld,2009,5395226583.65555
nld,2010,5188491907.39028
nld,2011,7209860649.77792
nld,2012,7876804161.64118
nld,2013,8224155348.42221
nld,2014,5148720349.46228
nld,2015,2453856120.86788
nld,2016,1483400706.68616
nld,2017,1973185006.7877
nld,2018,3041806137.99022
nld,2019,1952666928.02703
nld_curacao,1971,0
nld_curacao,1972,0
nld_curacao,1973,0
nld_curacao,1974,0
nld_curacao,1975,0
nld_curacao,1976,0
nld_curacao,1977,0
nld_curacao,1978,0
nld_curacao,1979,0
nld_curacao,1980,0
nld_curacao,1981,0
nld_curacao,1982,0
nld_curacao,1983,0
nld_curacao,1984,0
nld_curacao,1985,0
nld_curacao,1986,0
nld_curacao,1987,0
nld_curacao,1988,0
nld_curacao,1989,0
nld_curacao,1990,0
nld_curacao,1991,0
nld_curacao,1992,0
nld_curacao,1993,0
nld_curacao,1994,0
nld_curacao,1995,0
nld_curacao,1996,0
nld_curacao,1997,0
nld_curacao,1998,0
nld_curacao,1999,0
nld_curacao,2000,0
nld_curacao,2001,0
nld_curacao,2002,0
nld_curacao,2003,0
nld_curacao,2004,0
nld_curacao,2005,0
nld_curacao,2006,0
nld_curacao,2007,0
nld_curacao,2008,0
nld_curacao,2009,0
nld_curacao,2010,0
nld_curacao,2011,0
nld_curacao,2012,0
nld_curacao,2013,0
nld_curacao,2014,0
nld_curacao,2015,0
nld_curacao,2016,0
nld_curacao,2017,0
nld_curacao,2018,0
nld_curacao,2019,0
nor,1970,1097093.40578
nor,1971,1269413.83324
nor,1972,1443868.12604
nor,1973,1718055.96238
nor,1974,6574098.11548
nor,1975,103256617.40715
nor,1976,230998846.88098
nor,1977,260263846.67053
nor,1978,471217861.45604
nor,1979,1411348621.81272
nor,1980,2643927401.89552
nor,1981,1789443473.2076
nor,1982,811948082.73419
nor,1983,1844148071.4598
nor,1984,2217380887.28692
nor,1985,2338089248.44917
nor,1986,1037513443.74953
nor,1987,1949979071.50158
nor,1988,1502961501.85325
nor,1989,4080192275.90561
nor,1990,6147578270.23457
nor,1991,3890034120.8304
nor,1992,4767263829.81291
nor,1993,4842856812.59855
nor,1994,5062935228.44307
nor,1995,6121339238.27851
nor,1996,10099590308.8179
nor,1997,7920120976.36007
nor,1998,2013141548.95865
nor,1999,6673871608.81538
nor,2000,17113644362.5921
nor,2001,14143623591.8209
nor,2002,14508617262.6619
nor,2003,16194725406.8903
nor,2004,20656037443.9429
nor,2005,27332196256.36589
nor,2006,32205749800.6097
nor,2007,32152466998.7677
nor,2008,46477313617.8686
nor,2009,26772967396.9353
nor,2010,30383829808.7293
nor,2011,44505672854.1848
nor,2012,42865701921.3565
nor,2013,36908036736.04929
nor,2014,31434087730.544
nor,2015,16438574370.8599
nor,2016,12433235743.6964
nor,2017,18794589778.8008
nor,2018,27337570829.2102
nor,2019,21434209507.10609
npl,1971,0
npl,1972,0
npl,1973,0
npl,1974,0
npl,1975,0
npl,1976,0
npl,1977,0
npl,1978,0
npl,1979,0
npl,1980,0
npl,1981,0
npl,1982,0
npl,1983,0
npl,1984,0
npl,1985,0
npl,1986,0
npl,1987,0
npl,1988,0
npl,1989,0
npl,1990,0
npl,1991,0
npl,1992,0
npl,1993,0
npl,1994,0
npl,1995,0
npl,1996,0
npl,1997,0
npl,1998,0
npl,1999,0
npl,2000,81783.91009
npl,2001,76287.42163
npl,2002,64326.44309
npl,2003,61273.59633
npl,2004,147092.81559
npl,2005,160941.1657
npl,2006,293439.42328
npl,2007,284024.59743
npl,2008,645048.061
npl,2009,309426.25744
npl,2010,460811.53137
npl,2011,575161.56777
npl,2012,437651.92852
npl,2013,388277.14453
npl,2014,349977.57636
npl,2015,286185.68004
npl,2016,355772.71499
npl,2017,525754.54527
npl,2018,426206.58947
npl,2019,312069.17183
nru,1980,0
nru,1981,0
nru,1982,0
nru,1983,0
nru,1984,0
nru,1985,0
nru,1986,0
nru,1987,0
nru,1988,0
nru,1989,0
nru,1990,0
nru,1991,0
nru,1992,0
nru,1993,0
nru,1994,0
nru,1995,0
nru,1996,0
nru,1997,0
nru,1998,0
nru,1999,0
nru,2000,0
nru,2001,0
nru,2002,0
nru,2003,0
nru,2004,0
nru,2005,0
nru,2006,0
nru,2007,0
nru,2008,0
nru,2009,0
nru,2010,0
nru,2011,0
nru,2012,0
nru,2013,0
nru,2014,0
nru,2015,0
nru,2016,0
nru,2017,0
nru,2018,0
nru,2019,0
nzl,1970,16677.1446
nzl,1971,44656.37373
nzl,1972,164324.41729
nzl,1973,454144.60079
nzl,1974,3178917.74933
nzl,1975,4390280.56079
nzl,1976,23275280.4675
nzl,1977,45505051.26499
nzl,1978,36941262.30323
nzl,1979,45089711.87161
nzl,1980,45299319.40627
nzl,1981,45863209.54973
nzl,1982,53958219.83267
nzl,1983,69596581.49394
nzl,1984,87765217.87918
nzl,1985,114745810.36876
nzl,1986,126065549.14675
nzl,1987,134059058.7711
nzl,1988,126382069.5673
nzl,1989,194966166.03036
nzl,1990,298369830.25367
nzl,1991,183539338.07935
nzl,1992,180069411.30688
nzl,1993,189628628.76517
nzl,1994,186506499.64727
nzl,1995,172576090.60697
nzl,1996,263983141.90475
nzl,1997,342390352.58726
nzl,1998,152855387.48942
nzl,1999,229514771.35963
nzl,2000,403524464.82404
nzl,2001,320449811.7174
nzl,2002,297784240.94791
nzl,2003,233513220.46126
nzl,2004,331018154.7667
nzl,2005,428375973.92616
nzl,2006,463475508.42772
nzl,2007,944044770.28587
nzl,2008,1742164640.10895
nzl,2009,1004972936.69328
nzl,2010,1248711949.80683
nzl,2011,1534678477.49716
nzl,2012,1413966137.68559
nzl,2013,1180910288.08161
nzl,2014,1285799392.56261
nzl,2015,852003612.88085
nzl,2016,571730004.30879
nzl,2017,701405757.63997
nzl,2018,967096860.28136
nzl,2019,823445361.36093
omn,1970,94168794.76479
omn,1971,105684367.20697
omn,1972,121657924.24952
omn,1973,186055897.24914
omn,1974,746941717.64013
omn,1975,907627479.20346
omn,1976,1092917425.59149
omn,1977,1059291463.17188
omn,1978,963996189.08704
omn,1979,2038372193.85908
omn,1980,2244045831.7518
omn,1981,2272613210.81052
omn,1982,1760748622.83615
omn,1983,2190677310.07595
omn,1984,2269299537.45234
omn,1985,2770184824.02814
omn,1986,1631789398.50865
omn,1987,2367833163.29333
omn,1988,2121129874.09422
omn,1989,3099365390.1946
omn,1990,4484107403.81874
omn,1991,2843063522.54562
omn,1992,3072498554.6551
omn,1993,3037110579.56134
omn,1994,2904257834.91845
omn,1995,3372083016.17831
omn,1996,4370269628.83364
omn,1997,3994267833.66651
omn,1998,2482521994.61814
omn,1999,3698621346.42406
omn,2000,6711977140.20675
omn,2001,5574263149.99478
omn,2002,5277264364.7887
omn,2003,5541958783.02455
omn,2004,6863796073.48937
omn,2005,10121939970.1172
omn,2006,11526509631.1051
omn,2007,11843898219.2458
omn,2008,17191291398.1507
omn,2009,11567540295.0067
omn,2010,16621929681.6145
omn,2011,25071397397.3195
omn,2012,26676299481.0796
omn,2013,27152082842.47129
omn,2014,24260533744.9781
omn,2015,12498523530.1766
omn,2016,9951911043.60216
omn,2017,12595162066.0733
omn,2018,17714811607.8169
omn,2019,15580459361.4133
pak,1970,0
pak,1971,1801764.11304
pak,1972,1685855.73684
pak,1973,2503783.18753
pak,1974,7079529.00663
pak,1975,14735643.19636
pak,1976,17660324.32109
pak,1977,30909045.5172
pak,1978,23797531.28605
pak,1979,55420573.4697
pak,1980,78118829.21691
pak,1981,57035247.0288
pak,1982,45815247.0918
pak,1983,68298226.29808
pak,1984,110171102.08013
pak,1985,255779731.39969
pak,1986,161218285.9591
pak,1987,208111472.41366
pak,1988,175591095.32798
pak,1989,266161656.1987
pak,1990,526336064.37562
pak,1991,311251208.22534
pak,1992,297357740.58348
pak,1993,236341148.46928
pak,1994,237593208.95661
pak,1995,286997008.36147
pak,1996,375609500.13433
pak,1997,362945686.90811
pak,1998,235600339.16495
pak,1999,373953709.31164
pak,2000,630195567.93973
