geo,time,st_int_xpnd_mp_zs
fsm,2010,11.65286
fsm,2011,10.66252
fsm,2012,11.36048
fsm,2013,11.18426
fsm,2014,12.53979
gab,1995,10.57484
gab,1996,8.94795
gab,1997,7.87007
gab,1998,7.33748
gab,1999,10.99807
gab,2000,11.08995
gab,2001,16.47645
gab,2002,13.88573
gab,2003,12.74091
gab,2004,12.78861
gab,2005,14.46001
gab,2007,11.37454
gab,2008,12.95534
gab,2009,11.26139
gab,2010,11.37422
gab,2011,10.58803
gab,2012,7.29257
gab,2013,5.98467
gab,2014,8.16843
gab,2015,6.85249
gbr,1995,9.40335
gbr,1996,9.0854
gbr,1997,9.45459
gbr,1998,10.46524
geo,1997,12.10534
geo,1998,17.83981
geo,1999,12.41493
geo,2000,9.85209
geo,2001,10.36792
geo,2002,13.16234
geo,2003,9.31363
geo,2004,7.92958
geo,2005,7.25393
geo,2006,5.87258
geo,2007,4.71163
geo,2008,4.51099
geo,2009,5.92597
geo,2010,5.38122
geo,2011,4.80735
geo,2012,5.15371
geo,2013,5.79811
geo,2014,5.61968
geo,2015,7.03561
geo,2016,8.31717
geo,2017,9.12796
geo,2018,8.91481
geo,2019,10.12124
geo,2020,3.25623
gha,1995,3.49139
gha,1996,2.48374
gha,1997,2.335
gha,1998,3.97148
gha,1999,3.84625
gha,2000,4.83551
gha,2001,4.61599
gha,2002,5.52896
gha,2003,5.1988
gha,2004,5.01946
gha,2005,7.12948
gha,2006,6.939
gha,2007,8.10754
gha,2008,6.92313
gha,2009,8.62651
