geo,time,sl_fam_work_zs
blz,2006,3.89
blz,2007,3.88
blz,2008,3.86
blz,2009,3.86
blz,2010,3.86
blz,2011,3.86
blz,2012,3.87
blz,2013,3.89
blz,2014,2.75
blz,2015,3.32
blz,2016,4.01
blz,2017,3.29
blz,2018,3.27
blz,2019,3.32
bol,1991,26.83
bol,1992,26.83
bol,1993,26.77
bol,1994,26.68
bol,1995,26.62
bol,1996,26.44
bol,1997,26.23
bol,1998,26.2
bol,1999,25.74
bol,2000,24.42
bol,2001,28.85
bol,2002,26.96
bol,2003,25.14
bol,2004,23.33
bol,2005,25.16
bol,2006,26.37
bol,2007,23.38
bol,2008,19.29
bol,2009,17.73
bol,2010,18.06
bol,2011,18.35
bol,2012,14.42
bol,2013,15.68
bol,2014,17.72
bol,2015,14.45
bol,2016,15.43
bol,2017,17.38
bol,2018,18.66
bol,2019,17.9
bra,1991,8.27
bra,1992,8.31
bra,1993,8.11
bra,1994,7.95
bra,1995,7.71
bra,1996,6.9
bra,1997,6.97
bra,1998,6.73
bra,1999,7.22
bra,2000,6.47
bra,2001,5.86
bra,2002,5.83
bra,2003,5.74
bra,2004,5.74
bra,2005,5.56
bra,2006,4.94
bra,2007,4.76
bra,2008,3.96
bra,2009,3.76
bra,2010,3.16
bra,2011,2.7
bra,2012,3.01
bra,2013,2.97
bra,2014,2.75
bra,2015,2.73
bra,2016,2.29
bra,2017,2.38
bra,2018,2.33
bra,2019,2.23
brb,1991,0.59
brb,1992,0.1
brb,1993,0.53
brb,1994,0.1
brb,1995,0.16
brb,1996,0.26
brb,1997,0.18
brb,1998,0.12
brb,1999,0.08
brb,2000,0.16
brb,2001,0.08
brb,2002,0.08
brb,2003,0.08
brb,2004,0.08
brb,2005,0.07
brb,2006,0.07
brb,2007,0.07
brb,2008,0.06
brb,2009,0.06
brb,2010,0.05
brb,2011,0.05
brb,2012,0.05
brb,2013,0.04
brb,2014,0.04
brb,2015,0.04
brb,2016,0.04
brb,2017,0.04
brb,2018,0.03
brb,2019,0.03
brn,1991,0.46
brn,1992,0.45
brn,1993,0.44
brn,1994,0.42
brn,1995,0.41
brn,1996,0.42
brn,1997,0.44
brn,1998,0.43
brn,1999,0.45
brn,2000,0.49
brn,2001,0.47
brn,2002,0.46
brn,2003,0.48
brn,2004,0.5
brn,2005,0.52
brn,2006,0.52
brn,2007,0.52
brn,2008,0.55
brn,2009,0.51
brn,2010,0.51
brn,2011,0.53
brn,2012,0.53
brn,2013,0.52
brn,2014,0.53
brn,2015,0.45
brn,2016,0.4
brn,2017,0.35
brn,2018,0.47
brn,2019,0.79
btn,1991,49.05
btn,1992,49.02
btn,1993,49
btn,1994,48.9
btn,1995,48.79
btn,1996,48.65
btn,1997,48.49
btn,1998,48.27
btn,1999,48
btn,2000,47.67
btn,2001,47.24
btn,2002,46.68
btn,2003,46.18
btn,2004,45.63
btn,2005,45.02
btn,2006,44.4
btn,2007,43.7
btn,2008,43.17
btn,2009,42.43
btn,2010,41.63
btn,2011,41.77
btn,2012,41.13
btn,2013,40.39
btn,2014,39.32
btn,2015,36.28
btn,2016,34.43
btn,2017,32.87
btn,2018,31.06
btn,2019,29.5
bwa,1991,3.4
bwa,1992,3.44
bwa,1993,3.66
bwa,1994,3.82
bwa,1995,1.86
bwa,1996,0.85
bwa,1997,0.93
bwa,1998,1.16
