geo,time,eg_fec_rnew_zs
civ,2009,73.5681
civ,2010,75.3378
civ,2011,78.9539
civ,2012,74.7775
civ,2013,72.4468
civ,2014,72.1635
civ,2015,64.8336
civ,2016,64.2784
civ,2017,62.6885
civ,2018,63.5326
cmr,1990,81.59314
cmr,1991,83.18955
cmr,1992,84.43451
cmr,1993,83.93664
cmr,1994,83.60942
cmr,1995,84.4774
cmr,1996,84.93785
cmr,1997,84.57695
cmr,1998,84.37657
cmr,1999,86.12992
cmr,2000,84.4849
cmr,2001,85.1978
cmr,2002,85.1666
cmr,2003,85.2116
cmr,2004,85.4424
cmr,2005,86.2232
cmr,2006,85.4272
cmr,2007,80.7164
cmr,2008,80.717
cmr,2009,79.0969
cmr,2010,78.6076
cmr,2011,78.4581
cmr,2012,78.4306
cmr,2013,77.4391
cmr,2014,76.4285
cmr,2015,78.0356
cmr,2016,78.9022
cmr,2017,80.3404
cmr,2018,80.6303
cod,1990,92.04773
cod,1991,95.13881
cod,1992,95.87523
cod,1993,96.11327
cod,1994,96.60913
cod,1995,96.89568
cod,1996,96.96158
cod,1997,97.05856
cod,1998,96.84997
cod,1999,96.99703
cod,2000,97.9403
cod,2001,98.3429
cod,2002,98.2703
cod,2003,97.972
cod,2004,97.8825
cod,2005,97.4222
cod,2006,97.3332
cod,2007,97.1721
cod,2008,96.9658
cod,2009,97.0193
cod,2010,96.8025
cod,2011,96.2096
cod,2012,95.4748
cod,2013,93.9176
cod,2014,92.8723
cod,2015,95.8183
cod,2016,97.0311
cod,2017,96.6998
cod,2018,96.3837
cog,1990,65.41379
cog,1991,64.56268
cog,1992,67.60287
cog,1993,68.41275
cog,1994,76.47094
cog,1995,69.79578
cog,1996,75.40967
cog,1997,80.15296
cog,1998,79.73476
cog,1999,76.95473
cog,2000,64.8557
cog,2001,61.1775
cog,2002,68.5295
cog,2003,61.9907
cog,2004,62.9308
cog,2005,63.1057
cog,2006,69.4228
cog,2007,60.3414
cog,2008,56.8642
cog,2009,56.0295
cog,2010,54.7986
cog,2011,64.6173
cog,2012,65.3044
cog,2013,62.4817
cog,2014,62.1607
cog,2015,64.1508
cog,2016,67.6127
cog,2017,69.3344
cog,2018,69.8546
col,1990,38.2512
col,1991,37.00123
col,1992,33.22754
col,1993,33.20479
col,1994,33.97224
col,1995,33.6999
col,1996,33.7754
col,1997,25.80035
col,1998,25.93868
col,1999,29.13547
col,2000,28.034
col,2001,27.2403
col,2002,28.798
col,2003,30.6994
col,2004,29.177
col,2005,29.0807
col,2006,29.6889
col,2007,30.4219
col,2008,29.9663
col,2009,30.9105
col,2010,29.745
col,2011,28.9064
col,2012,28.9036
col,2013,32.2917
col,2014,32.3832
col,2015,31.5995
col,2016,30.7358
