geo,time,gc_xpn_othr_cn
chl,2019,14509531888448.19922
civ,2001,3755000000
civ,2002,7222000000
civ,2003,0
civ,2004,0
civ,2005,76500000000
civ,2006,83800000000
civ,2007,100900000000
civ,2008,134000000000
civ,2009,261084000000
civ,2010,275738000000
civ,2011,177460000000
civ,2012,225714000000
civ,2013,218689000000
civ,2014,204035600000
civ,2015,118638156712
civ,2016,196735935796
civ,2017,474449301991
civ,2018,399453424164
civ,2019,361819301713.19507
cmr,1990,0
cmr,1991,0
cmr,1992,0
cmr,1993,0
cmr,1994,0
cmr,1995,0
cmr,1996,0
cmr,1998,0
cmr,1999,0
cmr,2012,149348700000
cmr,2013,21784000000.0001
cmr,2014,24900000000
cmr,2015,31800000000
cmr,2016,32000000000
cmr,2017,1400000000
cmr,2018,5328724083
cog,2001,0
cog,2002,0
cog,2003,0
cog,2004,0
cog,2005,0
cog,2006,11300000000
cog,2007,48743000000
cog,2008,15463000000
cog,2009,78919240357
cog,2010,88715220256
cog,2011,16656320800
cog,2012,57695756081
cog,2013,55028145466
cog,2014,28696741109
cog,2015,20137100000
cog,2016,16068417521
cog,2017,117367443126
cog,2018,177176633010
col,1998,316653661975.05298
col,1999,1323218484285.5
col,2000,-761799721781.07483
col,2003,9295256591820
col,2008,20904420000000
col,2009,20170961000000
col,2010,25277679000000
col,2011,31924843000000
col,2012,16506010000000
col,2013,35350456000000
col,2014,24641008496234.69531
col,2015,12570591069085.09961
col,2016,49757823255519.69531
col,2017,24217183958252.30078
col,2018,24392928518778.89453
col,2019,31424151945064.30078
cpv,2005,1455310791.63825
cpv,2006,1126589560.15401
cpv,2007,1926596558.44
cpv,2008,2133197180.88
cpv,2009,867876569.3564
cpv,2010,1584450332
cpv,2011,2639796809
cpv,2012,1917717344
cpv,2013,1415292475
cpv,2014,1623060835.27199
cpv,2015,1619045561.13
cpv,2016,1756509772.78
cpv,2017,1646612287.05
cri,1990,8210000000
cri,1991,7870000000
cri,1992,12770000000
cri,1993,16350000000
cri,1994,23940000000
cri,1995,15850000000
cri,1996,27730000000
cri,1997,25760000000
cri,1998,35440000000
cri,1999,34500000000
cri,2000,40400000000
cri,2001,33800000000
cri,2002,40261000000
cri,2003,31000000000
cri,2004,38982000000
cri,2005,48772000000
cri,2006,99700000000
cri,2007,122100000000
cri,2008,316487230657.76001
cri,2009,545331913825.78998
cri,2010,630852799588.646
cri,2011,504203012878.95294
cri,2012,723740609616.13403
cri,2013,713569000000
cri,2014,695292685247.18005
cri,2015,1009385220743.09998
cri,2016,927728885002.18701
cri,2017,544649725862.81
cri,2018,1315955743457.34009
cri,2019,1277301661189.79004
cyp,1990,33572167.18294
cyp,1991,45424601.85796
cyp,1992,13604026.0063
cyp,1993,31003166.56372
cyp,1994,0
cyp,1995,188458738.98379
cyp,1996,198539487.48791
cyp,1997,213404320.02788
cyp,1998,222118187.3789
cyp,1999,215625501.90167
cyp,2000,231857215.59475
cyp,2001,229123453.28855
cyp,2002,255777635.77401
cyp,2003,289437084.16912
cyp,2004,375721456.95862
cyp,2005,399129296.70547
cyp,2006,442186053.02815
cyp,2007,487634851.36876
cyp,2008,585025133.5272
cyp,2009,280300000
cyp,2010,387400000
cyp,2011,442400000
cyp,2012,455400000
cyp,2013,420100000
cyp,2014,405100000
cyp,2015,996727665.56768
cyp,2016,759037738.5406
cyp,2017,833052977.37308
cyp,2018,1614964635.0167
cyp,2019,1181679580.18213
cze,1993,17416000000
cze,1994,20678000000
cze,1995,37743000000
cze,1996,42213000000
cze,1997,46831000000
cze,1998,50580000000
cze,1999,52953000000
cze,2000,56236000000
cze,2001,59825000000
cze,2002,52344000000
cze,2003,62151000000
cze,2004,65312000000
cze,2005,68539000000
cze,2006,71849000000
cze,2007,76531000000
cze,2008,81637000000
cze,2009,85937000000
cze,2010,87225000000
cze,2011,87411000000
cze,2012,88714000000
cze,2013,89425000000
cze,2014,91260000000
cze,2015,94646000000
cze,2016,95916000000
cze,2017,97483000000
cze,2018,101088000000
cze,2019,106975000000
deu,1990,4565836499.08223
deu,1991,33083000000
deu,1992,29128000000
deu,1993,28998000000
deu,1994,23662000000
deu,1995,146176283343.254
deu,1996,23131909261.6852
deu,1997,21539503997.0934
deu,1998,25980219988.017
deu,1999,25224434108.0804
deu,2000,29253245096.6749
deu,2001,29380941927.3025
deu,2002,30036426963.1684
deu,2003,30573600528.3504
deu,2004,29292087050.4761
deu,2005,29436918378.5051
deu,2006,29095362463.9213
deu,2007,30528115900.1128
deu,2008,35961495271.9863
deu,2009,35791590593.3018
deu,2010,64673549219.4333
deu,2011,31801099868.7527
deu,2012,31923741595.71009
deu,2013,33692414814.6315
deu,2014,34203942837.2836
deu,2015,34836472501.9947
deu,2016,36930746069.507
deu,2017,47306278094.5482
deu,2018,42014511020.4414
deu,2019,43587155811.26009
dnk,1990,5029000000
dnk,1991,4163000000
dnk,1992,5291000000
dnk,1993,7853000000
dnk,1994,7677000000
dnk,1995,18527000000
dnk,1996,20544000000
dnk,1997,22852000000
dnk,1998,23216000000
dnk,1999,23941000000
dnk,2000,24716000000
dnk,2001,24695000000
dnk,2002,24363000000
dnk,2003,22907000000
dnk,2004,22763000000
dnk,2005,22269000000
dnk,2006,21810000000
dnk,2007,29053000000
dnk,2008,29870000000
dnk,2009,28860000000
dnk,2010,28896000000
dnk,2011,26314000000
dnk,2012,26863000000
dnk,2013,26873000000
dnk,2014,27786000000
dnk,2015,28967000000
dnk,2016,30225000000
dnk,2017,30630000000
dnk,2018,30772000000
dnk,2019,31099000000
dom,1998,1891100000
dom,1999,2219500000
dom,2001,5470915028.45
dom,2002,7573529966.65
dom,2003,7797972278.41
dom,2004,12481207731.5
dom,2005,10367209052.4156
dom,2006,13265897499.3602
dom,2007,15731009526.9807
dom,2008,13542946842.9861
dom,2009,17512532860.6736
dom,2010,13802181430.7707
dom,2011,15911390660.1534
dom,2012,28718808494.33
dom,2013,16411303676.4349
dom,2014,21853448805.8506
dom,2015,50570846286.98569
dom,2016,64722495022.7827
dom,2017,77726986700.66969
dom,2018,75930252556.3284
dom,2019,68405838034.6517
egy,1990,0
egy,1991,0
egy,1992,0
egy,1993,0
egy,1994,0
egy,1995,0
egy,1996,0
egy,1997,0
egy,2002,18885000000
egy,2003,20534000000
egy,2004,22631000000
egy,2005,23583000000
egy,2006,19762000000
egy,2007,24131600000
egy,2008,23972700000
egy,2009,27276200000
egy,2010,26647300000
egy,2011,33233300000
egy,2012,36715800000
egy,2013,35141000000
egy,2014,41067000000
egy,2015,51500000000
esp,1970,12532000000
esp,1971,12636000000
esp,1990,2055461396.99254
esp,1991,2357169473.39319
esp,1992,2161840539.46846
esp,1993,2317502674.50386
esp,1994,1982738932.3621
esp,2017,16091000000
esp,2018,19261000000
esp,2019,18589000000
est,1991,40030.04842
est,1995,100123287.10412
est,1996,125758319.9572
est,1997,137390097.79951
est,1998,171429899.42919
est,1999,155776796.16195
est,2000,151482453.18982
est,2001,158179910.81906
est,2002,178363808.49234
est,2003,209630254.93025
est,2004,240474142.62384
est,2005,266787477.71113
est,2006,343741406.9938
est,2007,395823437.22278
est,2008,484435358.50013
est,2009,586167746.69687
est,2010,540299306.82063
est,2011,566154846.23688
est,2012,598483078.99643
est,2013,655578768.06607
est,2014,667956032.986
est,2015,774818399.94631
est,2016,789050598.50663
est,2017,802547641.42859
est,2018,837484286.42601
est,2019,857256334.94579
eth,1990,9700000
eth,1991,5400000
eth,1992,3200000
eth,1993,3600000
eth,1994,18100000
eth,1995,21800000
eth,1996,25000000
eth,1997,52500000
eth,1998,47700000
eth,1999,24400000
eth,2001,0
eth,2002,143000000
eth,2003,1237400000
eth,2004,2274400000
eth,2005,3199600000
eth,2006,6200000
eth,2007,1389500000
eth,2008,1100600000
eth,2009,1229500000
eth,2010,138700000
eth,2011,0
eth,2012,50800000
eth,2013,8631209869.34
eth,2014,8487202157.63
eth,2015,12182095521.37
eth,2016,18763935107
eth,2017,27587393435.53
eth,2018,28667992327.73989
eth,2019,27482349936.73
fin,1991,343776121.68733
fin,1992,369845250.28886
fin,1993,344953437.17256
fin,1995,1889048728.23061
fin,1996,1950373649.35279
fin,1997,2048258276.60597
fin,1998,2204335324.17808
fin,1999,2195573948.82602
fin,2000,2360328351.7135
fin,2001,2436008824.68615
fin,2002,2462057030.71809
fin,2003,2504496302.0394
fin,2004,2554075435.91105
fin,2005,2698145935.63766
fin,2006,2823328412.06656
fin,2007,2946790902.92626
fin,2008,3138403849.67055
fin,2009,3186354481.47365
fin,2010,3257376365.05542
fin,2011,3524023603.74417
