geo,time,dt_nfl_mida_cd
dma,1992,362000
dma,1993,21000
dma,1994,234000
dma,1995,27000
dma,1996,-62000
dma,1997,1286000
dma,1998,1477000
dma,1999,511000
dma,2000,-166000
dma,2001,789000
dma,2002,1656000
dma,2003,33000
dma,2004,4041000
dma,2005,220000
dma,2006,-268000
dma,2007,1930000
dma,2008,1241000
dma,2009,867000
dma,2010,-59000
dma,2011,262000
dma,2012,-142000
dma,2013,782000
dma,2014,66000
dma,2015,356000
dma,2016,-725000
dma,2017,7262000
dma,2018,2083000
dma,2019,1722000
dma,2020,14027000
dom,1972,284000
dom,1973,1820000
dom,1974,2899000
dom,1975,2562000
dom,1976,2972000
dom,1977,611000
dom,1978,5803000
dom,1979,367000
dom,1980,307000
dom,1981,4284000
dom,1982,-91000
dom,1983,-221000
dom,1984,-201000
dom,1985,-176000
dom,1986,-285000
dom,1987,-130000
dom,1988,-221000
dom,1989,-221000
dom,1990,-201000
dom,1991,-513000
dom,1992,-402000
dom,1993,-662000
dom,1994,-662000
dom,1995,-662000
dom,1996,-662000
dom,1997,-662000
dom,1998,-662000
dom,1999,-662000
dom,2000,-662000
dom,2001,-662000
dom,2002,-662000
dom,2003,-662000
dom,2004,-662000
dom,2005,-662000
dom,2006,-662000
dom,2007,-662000
dom,2008,-662000
dom,2009,-662000
dom,2010,-662000
dom,2011,-662000
dom,2012,-662000
dom,2013,-662000
dom,2014,-662000
dom,2015,-662000
dom,2016,-662000
dom,2017,-662000
dom,2018,-662000
dom,2019,-662000
dom,2020,-662000
ecu,1970,2143000
ecu,1971,2024000
ecu,1972,3215000
ecu,1973,4413000
ecu,1974,3687000
ecu,1975,7088000
ecu,1976,2584000
ecu,1977,4741000
ecu,1978,699000
ecu,1979,60000
ecu,1980,-161000
ecu,1981,203000
ecu,1982,-332000
ecu,1983,-355000
ecu,1984,-466000
ecu,1985,-557000
ecu,1986,-556000
ecu,1987,-557000
ecu,1988,-609000
ecu,1989,-661000
ecu,1990,-696000
ecu,1991,-898000
ecu,1992,-1039000
ecu,1993,-1083000
ecu,1994,-1126000
ecu,1995,-1126000
ecu,1996,-1126000
ecu,1997,-1126000
ecu,1998,-1126000
ecu,1999,-1126000
ecu,2000,-1126000
ecu,2001,-1126000
ecu,2002,-1126000
ecu,2003,-1126000
ecu,2004,-1126000
ecu,2005,-1126000
ecu,2006,-1126000
ecu,2007,-1126000
ecu,2008,-1126000
ecu,2009,-1126000
ecu,2010,-1126000
ecu,2011,-1126000
ecu,2012,-1126000
ecu,2013,-1126000
ecu,2014,-990000
ecu,2015,-854000
ecu,2016,-854000
ecu,2017,-854000
ecu,2018,-776000
ecu,2019,-698000
ecu,2020,-645000
egy,1971,171000
egy,1972,986000
egy,1973,23413000
egy,1974,11458000
egy,1975,48282000
egy,1976,41763000
egy,1977,42050000
egy,1978,44552000
egy,1979,53796000
egy,1980,41054000
egy,1981,85218000
egy,1982,116117000
egy,1983,141671000
egy,1984,97490000
egy,1985,50063000
egy,1986,33278000
egy,1987,24197000
egy,1988,16906000
egy,1989,8171000
egy,1990,930000
egy,1991,-7167000
egy,1992,-2940000
egy,1993,7817000
egy,1994,37368000
egy,1995,68824000
egy,1996,67690000
egy,1997,142095000
egy,1998,39223000
egy,1999,13705000
egy,2000,26306000
egy,2001,2516000
egy,2002,20502000
egy,2003,-3903000
egy,2004,36175000
egy,2005,27791000
egy,2006,14359000
egy,2007,-33298000
egy,2008,-39180000
egy,2009,-50474000
egy,2010,-44131000
egy,2011,-54048000
egy,2012,-53685000
egy,2013,-60550000
egy,2014,-77321000
egy,2015,-87545000
egy,2016,-103038000
egy,2017,-110052000
egy,2018,-117841000
egy,2019,-122403000
egy,2020,-98765000
eri,1994,16014000
eri,1995,5379000
eri,1996,1497000
eri,1997,3759000
eri,1998,6280000
eri,1999,19507000
eri,2000,31620000
eri,2001,78150000
eri,2002,46216000
eri,2003,58463000
eri,2004,35098000
eri,2005,56746000
eri,2006,19471000
eri,2007,19554000
eri,2008,19494000
eri,2009,764000
eri,2010,-513000
eri,2011,12427000
eri,2013,0
eri,2014,0
eri,2015,0
eri,2016,0
eri,2017,0
eri,2018,0
eri,2020,0
est,1970,0
est,1971,0
est,1972,0
est,1973,0
est,1974,0
est,1975,0
est,1976,0
est,1977,0
est,1978,0
est,1979,0
est,1980,0
est,1981,0
est,1982,0
est,1983,0
est,1984,0
est,1985,0
est,1986,0
est,1987,0
est,1988,0
est,1989,0
est,1990,0
est,1991,0
est,1992,0
est,1993,0
est,1994,0
est,1995,0
est,1996,0
est,1997,0
est,1998,0
est,1999,0
est,2000,0
est,2001,0
est,2002,0
est,2003,0
est,2004,0
est,2005,0
est,2006,0
est,2007,0
est,2008,0
est,2009,0
eth,1970,2821000
