geo,time,sh_sta_smss_ru_zs
kgz,2014,95.3339
kgz,2015,95.79147
kgz,2016,96.16086
kgz,2017,96.23974
kgz,2018,96.31486
kgz,2019,96.38623
kgz,2020,96.45763
kir,2000,11.96892
kir,2001,12.861
kir,2002,13.75307
kir,2003,14.64515
kir,2004,15.53723
kir,2005,16.33586
kir,2006,17.1345
kir,2007,17.93313
kir,2008,18.68512
kir,2009,19.43313
kir,2010,20.17717
kir,2011,20.91722
kir,2012,21.6533
kir,2013,22.38541
kir,2014,23.11353
kir,2015,23.83768
kir,2016,24.55785
kir,2017,25.27405
kir,2018,25.98626
kir,2019,26.6945
kir,2020,27.39876
lao,2000,14.97394
lao,2001,17.62245
lao,2002,20.07097
lao,2003,22.51949
lao,2004,24.968
lao,2005,27.353
lao,2006,29.72664
lao,2007,32.08894
lao,2008,34.4399
lao,2009,36.77951
lao,2010,39.10777
lao,2011,41.42468
lao,2012,43.73025
lao,2013,46.02448
lao,2014,48.30735
lao,2015,50.69914
lao,2016,53.09092
lao,2017,55.48271
lao,2018,57.87449
lao,2019,60.26628
lao,2020,60.26628
lso,2000,4.59079
lso,2001,7.07221
lso,2002,9.55363
lso,2003,11.99549
lso,2004,14.42102
lso,2005,16.82737
lso,2006,19.21742
lso,2007,21.59117
lso,2008,23.94863
lso,2009,26.28978
lso,2010,28.61464
lso,2011,30.9232
lso,2012,33.21546
lso,2013,35.49142
lso,2014,37.75108
lso,2015,39.99445
lso,2016,42.22152
lso,2017,44.43229
lso,2018,46.62676
lso,2019,48.80493
lso,2020,50.9668
ltu,2000,63.07817
ltu,2001,64.06821
ltu,2002,65.05824
ltu,2003,66.04828
ltu,2004,67.03832
ltu,2005,68.02835
ltu,2006,69.01839
ltu,2007,70.00842
ltu,2008,70.99846
ltu,2009,71.98849
ltu,2010,72.97853
ltu,2011,74.66043
ltu,2012,76.37461
ltu,2013,78.12106
ltu,2014,79.92897
ltu,2015,81.74685
ltu,2016,83.57471
ltu,2017,85.12649
ltu,2018,86.2233
ltu,2019,86.2233
ltu,2020,86.2233
lux,2000,84.69568
lux,2001,84.69056
lux,2002,84.68544
lux,2003,84.68032
lux,2004,84.67521
lux,2005,84.67009
lux,2006,84.66497
lux,2007,84.65985
lux,2008,84.65473
lux,2009,85.19214
lux,2010,85.72952
lux,2011,86.26686
lux,2012,86.80417
lux,2013,87.34145
lux,2014,87.87869
lux,2015,88.4159
lux,2016,88.95308
lux,2017,89.34415
lux,2018,89.34415
lux,2019,89.34415
lux,2020,89.34415
mdg,2000,1.9866
mdg,2001,2.3308
mdg,2002,2.675
mdg,2003,3.00189
mdg,2004,3.32484
mdg,2005,3.64385
mdg,2006,3.95891
mdg,2007,4.27003
mdg,2008,4.5772
mdg,2009,4.88042
mdg,2010,5.17971
mdg,2011,5.47504
mdg,2012,5.76643
mdg,2013,6.05388
mdg,2014,6.33738
mdg,2015,6.61694
mdg,2016,6.89255
mdg,2017,7.16421
mdg,2018,7.43193
mdg,2019,7.69571
mdg,2020,7.95554
mkd,2000,16.80961
mkd,2001,16.80961
mkd,2002,16.80961
mkd,2003,16.80961
mkd,2004,16.80961
mkd,2005,16.87716
mkd,2006,16.94472
mkd,2007,17.01227
mkd,2008,17.07984
mkd,2009,17.14741
mkd,2010,17.21498
mkd,2011,17.28256
mkd,2012,17.35014
mkd,2013,17.41772
mkd,2014,17.48532
mkd,2015,17.55291
mkd,2016,17.62051
mkd,2017,17.68812
mkd,2018,17.75573
mkd,2019,17.82334
mkd,2020,17.89096
mli,2000,5.78497
mli,2001,6.61139
mli,2002,7.46807
mli,2003,8.35502
mli,2004,9.27223
mli,2005,10.2197
mli,2006,11.19743
mli,2007,12.20543
mli,2008,13.24369
mli,2009,14.31221
mli,2010,15.411
mli,2011,16.54004
mli,2012,17.69935
mli,2013,18.88893
mli,2014,20.10876
mli,2015,21.35886
mli,2016,22.63923
mli,2017,23.94985
mli,2018,25.27624
mli,2019,26.61896
mli,2020,27.99108
mmr,2000,55.41661
mmr,2001,56.05644
mmr,2002,56.69627
mmr,2003,57.33609
mmr,2004,57.97592
mmr,2005,58.61574
mmr,2006,59.25557
mmr,2007,59.8954
mmr,2008,60.53522
mmr,2009,60.82422
mmr,2010,61.11339
mmr,2011,61.40273
mmr,2012,61.69226
mmr,2013,61.98196
mmr,2014,62.27183
mmr,2015,62.56189
mmr,2016,62.85212
mmr,2017,63.14252
mmr,2018,63.43311
mmr,2019,63.72387
mmr,2020,64.01481
mne,2006,33.29902
mne,2007,33.93168
mne,2008,34.53414
mne,2009,35.10621
mne,2010,35.64767
mne,2011,36.15833
mne,2012,36.63797
mne,2013,37.0864
mne,2014,37.5034
mne,2015,37.88878
mne,2016,38.24232
mne,2017,38.56383
mne,2018,38.85311
mne,2019,39.10993
mne,2020,38.90353
mng,2000,24.32269
mng,2001,24.83402
mng,2002,25.34535
mng,2003,25.85668
mng,2004,26.968
mng,2005,28.10259
mng,2006,29.26045
mng,2007,30.44158
mng,2008,31.64598
mng,2009,32.87366
mng,2010,34.1246
mng,2011,35.44656
mng,2012,36.80011
mng,2013,38.18564
mng,2014,39.60349
mng,2015,41.05405
mng,2016,42.53768
mng,2017,44.05475
mng,2018,45.60562
mng,2019,47.18536
mng,2020,48.70861
moz,2000,0.65791
moz,2001,1.51924
moz,2002,2.40434
moz,2003,3.30664
moz,2004,4.22614
moz,2005,5.16284
moz,2006,6.11674
moz,2007,7.08784
moz,2008,8.07614
moz,2009,9.08164
moz,2010,10.10434
moz,2011,11.14424
moz,2012,12.20134
moz,2013,13.27564
moz,2014,14.36714
moz,2015,15.47584
moz,2016,16.60174
moz,2017,17.74484
moz,2018,18.90514
moz,2019,20.08264
moz,2020,21.27734
mwi,2000,17.96702
mwi,2001,18.24207
mwi,2002,18.52127
mwi,2003,18.8009
mwi,2004,19.08097
mwi,2005,19.36146
mwi,2006,19.64238
mwi,2007,19.92374
mwi,2008,20.20552
mwi,2009,20.48774
mwi,2010,20.77039
mwi,2011,21.05346
mwi,2012,21.33697
mwi,2013,21.62091
mwi,2014,21.90527
mwi,2015,22.19007
mwi,2016,22.4753
mwi,2017,22.76096
mwi,2018,23.04705
mwi,2019,23.33357
mwi,2020,23.62052
ner,2000,2.46117
ner,2001,3.0779
ner,2002,3.69463
ner,2003,4.31137
ner,2004,4.92169
ner,2005,5.44174
ner,2006,5.94186
ner,2007,6.42207
ner,2008,6.88236
ner,2009,7.32273
ner,2010,7.74318
ner,2011,8.14371
ner,2012,8.52432
ner,2013,8.88501
ner,2014,9.22579
ner,2015,9.54664
ner,2016,9.84757
ner,2017,10.12859
ner,2018,10.38968
ner,2019,10.63086
ner,2020,10.84799
nga,2000,21.93001
nga,2001,21.85681
nga,2002,22.04568
nga,2003,22.25333
nga,2004,22.45971
nga,2005,22.66481
nga,2006,22.86863
nga,2007,23.07117
nga,2008,23.27244
nga,2009,23.47242
nga,2010,23.67113
nga,2011,23.86856
nga,2012,24.06471
nga,2013,24.25958
nga,2014,24.45317
nga,2015,24.64549
nga,2016,24.83652
nga,2017,25.02628
nga,2018,25.21476
nga,2019,25.40196
nga,2020,25.58789
nld,2000,97.42165
nld,2001,97.42128
nld,2002,97.4209
nld,2003,97.42052
nld,2004,97.4234
nld,2005,97.42628
nld,2006,97.42916
nld,2007,97.43203
nld,2008,97.43491
nld,2009,97.43779
nld,2010,97.44067
nld,2011,97.44354
nld,2012,97.44642
nld,2013,97.4493
nld,2014,97.45217
nld,2015,97.45505
nld,2016,97.45793
nld,2017,97.46081
nld,2018,97.46406
nld,2019,97.46731
nld,2020,97.46731
npl,2000,7.96708
npl,2001,10.30005
npl,2002,11.91742
npl,2003,13.58254
npl,2004,15.29541
npl,2005,17.05602
npl,2006,18.86438
npl,2007,20.72049
npl,2008,22.62435
npl,2009,24.57596
npl,2010,26.57531
npl,2011,28.62241
npl,2012,30.71726
npl,2013,32.85986
npl,2014,35.0502
npl,2015,37.28829
npl,2016,39.57413
npl,2017,41.90772
npl,2018,44.28905
npl,2019,46.71814
npl,2020,50.23702
phl,2000,41.10957
phl,2001,41.68424
phl,2002,42.25891
phl,2003,42.83358
phl,2004,43.40825
phl,2005,43.98292
phl,2006,44.55759
phl,2007,45.9458
phl,2008,47.35435
phl,2009,48.78323
phl,2010,50.23245
phl,2011,51.70199
phl,2012,53.19188
phl,2013,54.70209
phl,2014,56.23264
phl,2015,57.78353
phl,2016,59.35474
phl,2017,60.9463
phl,2018,62.55818
phl,2019,64.1904
phl,2020,65.84295
prk,2002,23.75136
prk,2003,23.75136
prk,2004,23.75136
