geo,time,se_prm_oenr_zs
com,2018,17.86864
cpv,1981,18.99213
cpv,1982,19.91408
cpv,1983,18.36739
cpv,1984,17.25709
cpv,1985,15.41311
cpv,1986,15.23597
cpv,1987,15.99807
cpv,1988,12.666
cpv,1990,12.15744
cpv,1994,9.41629
cpv,1998,16.4867
cpv,2000,16.82308
cpv,2001,17.094
cpv,2002,17.86347
cpv,2003,17.02355
cpv,2004,17.04174
cpv,2005,16.54516
cpv,2006,16.90694
cpv,2007,15.79929
cpv,2008,15.69483
cpv,2009,14.79306
cpv,2010,13.83867
cpv,2011,13.3777
cpv,2012,12.13496
cpv,2013,11.36025
cpv,2014,10.58144
cpv,2015,9.2147
cpv,2016,8.63414
cpv,2018,10.19539
cri,1970,18.82202
cri,1972,16.52738
cri,1973,16.52737
cri,1975,13.82496
cri,1976,13.46606
cri,1978,14.5332
cri,1979,15.32069
cri,1980,14.80323
cri,1981,14.52659
cri,1982,13.91114
cri,1985,13.6735
cri,1986,13.81709
cri,1987,13.60166
cri,1989,14.04921
cri,1990,14.31257
cri,1991,14.94252
cri,1992,14.14014
cri,1993,14.02513
cri,1994,14.75541
cri,1995,13.79584
cri,1996,12.21358
cri,2011,12.00132
cri,2012,12.49818
cri,2013,12.62532
cri,2014,13.17825
cri,2015,12.25544
cri,2016,12.10663
cri,2017,9.17487
cri,2018,13.67632
cub,1972,19.45111
cub,1973,19.45531
cub,1974,19.24374
cub,1979,13.33558
cub,1980,10.72222
cub,1981,9.10218
cub,1982,8.16207
cub,1983,8.59797
cub,1984,9.60998
cub,1985,9.96804
cub,1986,9.23541
cub,1987,8.2429
cub,1988,7.74233
cub,1989,6.68703
cub,1990,5.85811
cub,1991,4.61173
cub,1992,3.53202
cub,1993,3.19949
cub,1994,2.36848
cub,1995,2.3296
cub,1996,4.29445
cub,1997,4.45003
cub,1998,4.76864
cub,1999,4.36637
cub,2000,4.45189
cub,2001,4.44012
cub,2002,4.35967
cub,2003,4.18843
cub,2004,4.02795
cub,2005,4.37352
cub,2006,4.4088
cub,2007,3.13113
cub,2008,3.0197
cub,2009,2.81965
cub,2010,2.75698
cub,2011,2.73925
cub,2012,2.8744
cub,2013,1.30437
cub,2014,2.96569
cub,2015,3.2163
cub,2016,3.1622
cub,2017,2.8573
cub,2018,2.60661
cym,1999,1.94986
cym,2000,2.44541
cym,2001,1.18343
cym,2002,5.67198
cym,2004,1.9637
cym,2005,3.42593
cym,2006,2.31147
cym,2007,5.18079
cym,2008,5.51392
cym,2011,2.63488
cym,2012,1.71089
cym,2013,1.8481
cym,2018,1.76785
cyp,1971,5.30364
cyp,1972,5.27814
cyp,1973,4.61627
cyp,1974,3.5479
cyp,1975,2.95504
cyp,1976,1.94163
cyp,1977,1.9344
cyp,1978,1.49367
cyp,1979,1.16371
cyp,1980,0.81852
cyp,1981,0.75974
cyp,1982,0.59009
cyp,1983,0.41777
cyp,1999,1.63429
cyp,2000,0.80529
cyp,2001,1.18327
cyp,2002,1.49568
cyp,2003,1.24388
cyp,2004,1.15501
cyp,2005,1.38946
