geo,time,sl_tlf_basc_fe_zs
per,2007,66.61
per,2008,67.25
per,2009,67.23
per,2010,68.86
per,2011,67.44
per,2012,68.05
per,2013,66.61
per,2014,65.85
per,2015,64.66
per,2016,66.35
per,2017,66.72
per,2018,66.17
per,2019,66.1
per,2020,54.58
phl,2009,46.44
phl,2010,46.56
phl,2011,47.39
phl,2012,47.49
phl,2014,47.48
phl,2015,46.41
phl,2016,45.53
plw,2000,28.53
plw,2014,18.33
png,2010,45.51
pol,1997,28.97
pol,1998,23.66
pol,1999,21.83
pol,2000,21.5
pol,2001,22.03
pol,2002,20.12
pol,2003,19.81
pol,2004,19.14
pol,2005,18.08
pol,2006,16.14
pol,2007,15.4
pol,2008,14.7
pol,2009,14.3
pol,2010,14.12
pol,2011,14.1
pol,2012,13.59
pol,2013,12.65
pol,2014,12.17
pol,2015,11.87
pol,2016,10.94
pol,2017,10.94
pol,2018,10.53
pol,2019,10.21
pol,2020,10.31
pri,2015,4.95
prt,1992,49.05
prt,1993,48.75
prt,1994,48.52
prt,1995,49.1
prt,1996,49.03
prt,1997,49.69
prt,1998,48.23
prt,1999,48.06
prt,2000,48.41
prt,2001,58.63
prt,2002,58.36
prt,2003,58.7
prt,2004,57.39
prt,2005,58.01
prt,2006,57.9
prt,2007,57.63
prt,2008,56.73
prt,2009,55.32
prt,2010,54.47
prt,2011,52.28
prt,2012,50.59
prt,2013,48.42
prt,2014,46.21
prt,2015,45.21
prt,2016,43.85
prt,2017,43.49
prt,2018,42.58
prt,2019,41.48
prt,2020,38.74
pry,1998,49.92
pry,1999,45.79
pry,2001,49.48
pry,2002,49.38
pry,2003,48.86
pry,2004,54.93
pry,2005,50.43
pry,2006,47.18
pry,2007,48.4
pry,2008,48.41
pry,2009,49.54
pry,2010,47.34
pry,2011,47.28
pry,2012,52.73
pry,2013,50.04
pry,2014,46.68
pry,2015,46.81
pry,2016,49.08
pry,2017,49.17
pse,2000,6.81
pse,2001,4.81
pse,2002,5.17
pse,2003,6.99
pse,2004,7.07
pse,2005,6.81
pse,2006,7.91
pse,2007,9.2
pse,2008,7.38
pse,2009,6.42
pse,2010,6.19
pse,2011,7.04
pse,2012,7.79
pse,2013,7.1
pse,2014,8.01
pse,2015,7.66
pse,2016,6.55
pse,2017,6.04
pse,2018,5.83
pse,2019,5.7
pse,2020,4.47
qat,2013,61.73
qat,2014,100
qat,2015,68.34
qat,2017,64.2
qat,2019,62.39
qat,2020,60.21
rou,1997,52.59
rou,1998,48.49
rou,1999,49.48
rou,2000,48.74
rou,2001,47.53
rou,2002,38.31
rou,2003,35.97
rou,2004,32.12
rou,2005,30.5
rou,2006,29.87
rou,2007,30.33
rou,2008,30.24
rou,2009,30.36
rou,2010,29.55
rou,2011,28.6
rou,2012,28.55
rou,2013,27.9
rou,2014,28.69
rou,2015,25.04
rou,2016,22.93
rou,2017,22.94
rou,2018,22.28
rou,2019,22.39
rou,2020,21.83
rus,2010,20.41
rus,2011,21.69
rus,2012,22.31
rus,2013,21.43
rus,2014,21.25
rus,2015,22.13
rus,2016,21.64
rus,2017,13.71
rus,2018,14.29
rus,2019,14.35
rus,2020,14.65
rwa,2014,73.94
rwa,2017,45.04
rwa,2018,44.63
rwa,2019,44.12
rwa,2020,47.1
sau,2014,13.19
sau,2016,15.33
sau,2017,9.67
sau,2018,11.08
sau,2019,14.12
sau,2020,19.28
sdn,2011,19.02
sen,2011,36.34
sen,2015,33.78
sen,2016,35.53
sen,2017,31.47
sen,2018,25.25
sen,2019,36.07
sgp,2009,90.99
sgp,2010,76.2
sgp,2014,80.14
slb,2013,88.55
sle,2014,46.94
sle,2018,42.48
slv,2010,44.19
slv,2011,44.83
slv,2012,44.83
slv,2013,45.3
slv,2014,44.6
slv,2015,42.68
slv,2016,44.4
slv,2017,42.57
slv,2018,41.92
slv,2019,43.69
slv,2020,41.72
smr,2016,78.16
smr,2019,72.77
som,2019,23.66
srb,2008,38.16
srb,2009,35.66
srb,2010,31.9
srb,2011,30.95
srb,2012,32.11
srb,2013,33.17
srb,2014,25.24
srb,2015,22.19
srb,2016,25.33
srb,2017,25.28
srb,2018,24.68
srb,2019,25.9
srb,2020,24.5
sur,2014,43.34
sur,2016,48.98
svk,1998,18.69
svk,1999,17.89
svk,2000,17.12
svk,2001,17.37
svk,2002,16.99
svk,2003,16.38
svk,2004,17.23
svk,2005,16.55
svk,2006,16.37
svk,2007,15.46
svk,2008,15
svk,2009,13.2
svk,2010,13.57
svk,2011,13.87
svk,2012,14.36
svk,2013,14.86
svk,2014,15.78
svk,2015,16.47
svk,2016,16.05
svk,2017,17.14
svk,2018,15.98
svk,2019,15.49
svk,2020,13.6
svn,1996,32.43
svn,1997,35
svn,1998,32.13
svn,1999,29.87
svn,2000,29.66
svn,2001,30.24
svn,2002,29.96
svn,2003,26.45
svn,2004,28.3
svn,2005,28.23
svn,2006,27.46
svn,2007,28.15
svn,2008,27.11
svn,2009,26.88
svn,2010,25.9
svn,2011,22.96
svn,2012,21.72
svn,2013,20.87
svn,2014,24.6
svn,2015,21.85
svn,2016,19.96
svn,2017,20.21
svn,2018,19.44
svn,2019,18.12
svn,2020,16.48
swe,1995,44.63
swe,1996,59.72
swe,1997,41.56
swe,1998,41.37
swe,1999,42.81
swe,2000,43.74
swe,2001,45.46
swe,2002,44.85
swe,2003,44.88
swe,2004,42.83
swe,2005,44.15
swe,2006,44.26
swe,2007,44.45
swe,2008,43.41
swe,2009,41.9
swe,2010,41.34
swe,2011,41.62
swe,2012,41.79
swe,2013,40.88
swe,2014,41.29
swe,2015,41.64
swe,2016,41.59
swe,2017,43.2
swe,2018,43.63
swe,2019,43.41
swe,2020,41.5
swz,2016,45.22
syc,2014,32.53
syc,2015,25.01
syc,2016,24.56
syc,2017,22.04
syc,2018,20.06
syc,2019,14.15
syc,2020,19.21
tcd,2018,47.11
tgo,2006,84.29
tgo,2011,84.75
tgo,2015,84.06
tgo,2017,44.65
tha,2010,63.35
tha,2011,65.94
tha,2012,65.89
tha,2013,62.25
tha,2014,61.59
tha,2015,61.33
tha,2016,60.89
tha,2017,60.06
tha,2018,60.4
tha,2019,60.04
tha,2020,60.1
tjk,2003,34.93
tjk,2007,23.27
tjk,2009,22.02
tls,2010,16.82
tls,2013,17.8
tls,2016,56.84
ton,2018,30.85
tto,2010,33.47
tto,2011,30.37
tto,2012,33.73
tto,2013,31.52
tto,2014,31.47
tto,2015,30.15
tto,2016,29.77
tun,2005,24.63
tun,2006,24.78
tun,2007,24.82
tun,2008,24.09
tun,2009,23.57
tun,2010,21.18
tun,2011,20.5
tun,2012,21.66
tun,2013,20.29
tun,2015,20.9
tun,2016,20.82
tun,2017,20.79
tur,2000,23.06
tur,2001,24.24
tur,2002,25.1
tur,2003,23.59
tur,2004,20.42
tur,2005,20.18
tur,2006,20.08
tur,2007,19.73
tur,2008,20.14
tur,2009,21.87
tur,2010,24
tur,2011,25.51
tur,2012,26.09
tur,2013,26.95
tur,2014,26.52
tur,2015,27.27
tur,2016,28.08
tur,2017,28.61
tur,2018,29.4
tur,2019,29.04
tur,2020,24.99
tuv,2016,29.58
tza,2001,66.65
tza,2006,71.04
tza,2011,81.01
tza,2012,82.62
tza,2013,74.34
tza,2014,64.14
uga,2012,59.6
uga,2013,82.21
uga,2017,10.64
ukr,2014,17.87
ukr,2015,17.11
ukr,2016,15.9
ukr,2017,16.71
ukr,2018,35.57
ukr,2019,26.65
ukr,2020,26.25
ury,1998,44.75
ury,1999,44.07
ury,2000,44.62
ury,2001,49.06
ury,2002,46.26
ury,2003,45.95
ury,2004,45.96
ury,2005,46.5
ury,2006,49.41
ury,2007,53.19
ury,2008,50.1
ury,2009,51.14
ury,2010,51.21
ury,2011,55.38
ury,2012,54.87
ury,2013,53.47
ury,2014,54.75
ury,2015,54
ury,2016,54
ury,2017,53.45
ury,2018,53.27
ury,2019,53.28
usa,1994,24.36
usa,1995,25.12
usa,1996,25.25
usa,1997,25.96
usa,1998,26.59
usa,1999,27.17
usa,2000,28.3
usa,2001,28.47
usa,2002,28.43
usa,2003,28.71
usa,2004,28.49
usa,2005,28.2
usa,2006,28.58
usa,2007,29.08
usa,2008,28.8
usa,2009,29.71
usa,2010,29.3
usa,2011,28.91
usa,2012,29.17
usa,2013,28.26
usa,2014,28.6
usa,2015,28.75
usa,2016,29.3
usa,2017,29.85
usa,2018,29.88
usa,2019,30.1
usa,2020,28.86
usa,2021,29.84
uzb,2020,18.83
ven,2005,46.43
ven,2006,46.32
ven,2007,45.65
ven,2008,45.38
ven,2009,45.25
ven,2010,44.37
ven,2011,44.05
ven,2012,42.29
ven,2016,34.51
ven,2017,42.84
vnm,2010,75.4
vnm,2011,76.02
vnm,2012,75.58
vnm,2013,76.63
vnm,2014,76.66
vnm,2015,76.06
vnm,2016,75.05
vnm,2017,73.79
vnm,2018,73.43
vnm,2019,64.26
vnm,2020,62.55
vut,2006,73.71
vut,2010,56.3
vut,2019,45.95
wsm,2012,15.11
wsm,2017,17
yem,2010,9.75
yem,2014,3.5
zaf,2000,34.28
zaf,2001,32.69
zaf,2002,30.28
zaf,2003,29.14
zaf,2004,26.78
zaf,2005,29.09
zaf,2006,28.7
zaf,2007,27.93
zaf,2008,40.19
zaf,2009,38.36
zaf,2010,36.77
zaf,2011,37
zaf,2013,38.23
zaf,2014,38.58
zaf,2015,39.84
zaf,2016,39.99
zaf,2017,40.58
zaf,2018,40.75
zaf,2019,40.58
zaf,2020,35.88
zmb,2017,24.01
zmb,2018,22.57
zmb,2019,23.97
zwe,2011,77.17
zwe,2014,80.64
zwe,2019,35.15
