geo,time,si_pov_umic_gp
pol,2013,0.9
pol,2014,0.9
pol,2015,0.8
pol,2016,0.6
pol,2017,0.5
pol,2018,0.4
prt,2003,1.4
prt,2004,0.9
prt,2005,1
prt,2006,0.5
prt,2007,0.6
prt,2008,0.7
prt,2009,0.5
prt,2010,0.5
prt,2011,0.9
prt,2012,1.5
prt,2013,1.6
prt,2014,1.3
prt,2015,1.1
prt,2016,0.8
prt,2017,0.7
prt,2018,0.6
prt,2019,0.3
pry,1990,5
pry,1995,19
pry,1997,16.4
pry,1999,16.3
pry,2001,15.4
pry,2002,21.4
pry,2003,16.3
pry,2004,14.1
pry,2005,13
pry,2006,15.9
pry,2007,14
pry,2008,11.6
pry,2009,12.1
pry,2010,11.3
pry,2011,10.7
pry,2012,8.4
pry,2013,6.2
pry,2014,6.6
pry,2015,6.4
pry,2016,6.3
pry,2017,5.1
pry,2018,5.1
pry,2019,4.7
pry,2020,5.1
pse,2004,6.4
pse,2005,6.1
pse,2006,5
pse,2007,8.1
pse,2009,4.4
pse,2010,4.7
pse,2011,4.4
pse,2016,5.6
rou,2006,14.4
rou,2007,11.2
rou,2008,8.6
rou,2009,7.9
rou,2010,9
rou,2011,10.5
rou,2012,10.9
rou,2013,11.7
rou,2014,11.1
rou,2015,9.6
rou,2016,7
rou,2017,5.6
rou,2018,4.5
rou,2019,3.8
rus,1997,7.9
rus,1998,10.2
rus,1999,15.5
rus,2000,12.7
rus,2001,9.5
rus,2002,7.5
rus,2003,7.2
rus,2004,6.3
rus,2005,5.2
rus,2006,4
rus,2007,2.7
rus,2008,1.6
rus,2009,1.5
rus,2010,1.2
rus,2011,1
rus,2012,0.9
rus,2013,0.8
rus,2014,0.7
rus,2015,0.8
rus,2016,0.8
rus,2017,0.8
rus,2018,0.7
rus,2019,0.6
rus,2020,0.5
rwa,2000,72.9
rwa,2005,67.6
rwa,2010,64.3
rwa,2013,61.5
rwa,2016,60.4
sdn,2009,33.5
sdn,2014,34.3
sen,1991,68.7
sen,1994,62.5
sen,2001,57.2
sen,2005,51
sen,2011,51
sen,2018,27.3
slb,2005,55.6
slb,2012,43.1
sle,1989,75.4
sle,2003,69.8
sle,2011,60.7
sle,2018,54.8
slv,1989,27.2
slv,1991,31.3
slv,1995,23.4
slv,1996,24.6
slv,1998,28.2
slv,1999,25.2
slv,2000,20.8
slv,2001,22.1
slv,2002,22.4
slv,2003,23.4
slv,2004,20
slv,2005,19.7
slv,2006,16.8
slv,2007,14.2
slv,2008,17.2
slv,2009,16.9
slv,2010,16
slv,2011,15.2
slv,2012,13.8
slv,2013,12.2
slv,2014,11.9
slv,2015,10.3
slv,2016,10.4
slv,2017,9
slv,2018,8.1
slv,2019,6.5
som,2017,68.8
srb,2012,9.3
srb,2013,10.6
srb,2014,11.5
srb,2015,10.8
srb,2016,10.2
srb,2017,8.6
srb,2018,5.7
srb,2019,4
ssd,2009,53.1
ssd,2016,74.3
stp,2000,48.6
stp,2010,51.9
stp,2017,42.6
sur,1999,29.2
svk,2004,1.1
svk,2005,0.8
svk,2006,0.7
svk,2007,0.8
svk,2008,0.8
svk,2009,0.9
svk,2010,0.9
svk,2011,0.7
svk,2012,0.9
svk,2013,1
svk,2014,1.4
svk,2015,1
svk,2016,1.8
svk,2017,0.8
svk,2018,0.9
svk,2019,0.4
svn,2004,0.1
svn,2005,0.2
svn,2006,0.1
svn,2007,0.1
svn,2008,0
svn,2009,0
svn,2010,0
svn,2011,0
svn,2012,0.1
svn,2013,0.1
svn,2014,0
svn,2015,0
svn,2016,0
svn,2017,0
svn,2018,0
svn,2019,0
swe,1967,8.4
swe,1975,0.5
swe,1981,0.4
swe,1987,0.2
swe,1992,0.3
swe,1995,0.5
swe,2000,0.1
swe,2003,0.5
swe,2004,0.5
swe,2005,1.1
swe,2006,0.4
swe,2007,0.5
swe,2008,0.7
swe,2009,0.6
swe,2010,0.7
swe,2011,0.7
swe,2012,0.5
swe,2013,0.7
swe,2014,0.6
swe,2015,0.6
swe,2016,0.4
swe,2017,0.3
swe,2018,0.8
swe,2019,0.4
swz,1994,78.5
swz,2000,54.2
swz,2009,50.2
swz,2016,39.9
syc,2013,2.6
syc,2018,1.5
syr,1996,17
syr,2003,11.5
tcd,2003,64
tcd,2011,50.5
tcd,2018,48.7
tgo,2006,60
tgo,2011,59.3
tgo,2015,57.1
tgo,2018,39.3
tha,1981,33
tha,1988,30.4
tha,1990,27.6
tha,1992,23.3
tha,1994,17.7
tha,1996,14.6
tha,1998,14.1
tha,1999,16.5
tha,2000,16.8
tha,2002,12.4
tha,2004,9.8
tha,2006,7.4
tha,2007,6.2
tha,2008,5.4
tha,2009,4.6
tha,2010,4
tha,2011,2.7
tha,2012,2.8
tha,2013,2.2
tha,2014,2
tha,2015,1.2
tha,2016,1.4
tha,2017,1.3
tha,2018,1.5
tha,2019,1
tha,2020,1.1
tjk,1999,61.2
tjk,2003,46.5
tjk,2004,35
tjk,2007,27.7
tjk,2009,20.4
tjk,2015,17.1
tkm,1998,57.1
tls,2001,51.9
tls,2007,54.8
tls,2014,46.6
ton,2000,8.9
ton,2009,9.2
ton,2015,8
tto,1988,7.1
tto,1992,11.3
tun,1985,30.1
tun,1990,25
tun,1995,25.8
tun,2000,19.3
tun,2005,14.1
tun,2010,9.3
tun,2015,4.2
tur,1987,12.8
tur,1994,13.1
tur,2002,11.3
tur,2003,13.1
tur,2004,9.1
tur,2005,8.5
tur,2006,7.2
tur,2007,6.1
tur,2008,5.1
tur,2009,4.7
tur,2010,4.6
tur,2011,3.8
tur,2012,3.4
tur,2013,3
tur,2014,2.7
tur,2015,2.9
tur,2016,2.3
tur,2017,2.1
tur,2018,1.9
tur,2019,2.7
tuv,2010,16.1
tza,1991,70.4
tza,2000,78.9
tza,2007,63.6
tza,2011,58
tza,2018,57
uga,1989,62.9
uga,1992,66.4
uga,1996,65.4
uga,1999,67.3
uga,2002,65.6
uga,2005,61
uga,2009,54.8
uga,2012,49.6
uga,2016,51.8
uga,2019,52.2
ukr,1992,11.9
ukr,1993,10.7
ukr,1995,16.9
ukr,1996,19.3
ukr,2002,12.4
ukr,2003,8.7
ukr,2004,6.5
ukr,2005,3.7
ukr,2006,2.8
ukr,2007,2.4
ukr,2008,1.2
ukr,2009,1.4
ukr,2010,0.8
ukr,2011,0.7
ukr,2012,0.5
ukr,2013,0.4
ukr,2014,0.4
ukr,2015,1.1
ukr,2016,1
ukr,2017,0.7
ukr,2018,0.6
ukr,2019,0.4
ukr,2020,0.4
ury,2006,4.6
ury,2007,3.8
ury,2008,2.6
ury,2009,2.5
ury,2010,2
ury,2011,1.5
ury,2012,1.4
ury,2013,1.2
ury,2014,1
ury,2015,0.9
ury,2016,0.9
ury,2017,0.7
ury,2018,0.6
ury,2019,0.7
ury,2020,1.1
usa,1974,0.9
usa,1979,0.7
usa,1986,0.7
usa,1991,0.7
usa,1992,0.7
usa,1993,0.7
usa,1994,0.8
usa,1995,0.7
usa,1996,0.7
usa,1997,0.8
usa,1998,0.9
usa,1999,0.8
usa,2000,0.8
usa,2001,1
usa,2002,0.9
usa,2003,1.1
usa,2004,1.1
usa,2005,1.1
usa,2006,1.1
usa,2007,1.1
usa,2008,1.2
usa,2009,1
usa,2010,1.2
usa,2011,1.2
usa,2012,1.2
usa,2013,1.1
usa,2014,1.4
usa,2015,1.3
usa,2016,1.2
usa,2017,1.3
usa,2018,1.2
usa,2019,1
uzb,1998,51.6
uzb,2000,64.9
uzb,2002,62.5
uzb,2003,64.4
ven,1981,14
ven,1987,15.2
ven,1989,10.8
ven,1992,10.5
ven,1995,19.2
ven,1998,19
ven,1999,21
ven,2001,19.3
ven,2002,26.2
ven,2003,30.4
ven,2004,26.5
ven,2005,22
ven,2006,13.5
vnm,1992,58.9
vnm,1997,49
vnm,2002,50.8
vnm,2004,43.7
vnm,2006,38.2
vnm,2008,35.1
vnm,2010,16.1
vnm,2012,13.1
vnm,2014,11.1
vnm,2016,8.4
vnm,2018,6.9
vut,2010,31.7
vut,2019,26.8
wsm,2002,11.6
wsm,2008,10.7
wsm,2013,9.8
yem,1998,23.4
yem,2005,30.8
yem,2014,38.6
zaf,1993,38.4
zaf,2000,41.3
zaf,2005,36.9
zaf,2008,28.3
zaf,2010,27.5
zaf,2014,29
zmb,1991,60.1
zmb,1993,60.6
zmb,1996,51.4
zmb,1998,52.1
zmb,2002,58.9
zmb,2004,61.2
zmb,2006,63.7
zmb,2010,65.3
zmb,2015,61.1
zwe,2011,36.1
zwe,2017,45.2
zwe,2019,48.4
