geo,time,ne_con_prvt_kd_zg
btn,2019,7.48579
btn,2020,-7.94734
bwa,1976,10.6004
bwa,1977,8.78119
bwa,1978,12.72384
bwa,1979,12.46479
bwa,1980,1.96961
bwa,1981,-1.89845
bwa,1982,-4.79579
bwa,1983,-6.66824
bwa,1984,7.28395
bwa,1985,17.24352
bwa,1986,6.92588
bwa,1987,0.193
bwa,1988,8.97602
bwa,1989,25.15844
bwa,1990,22.39777
bwa,1991,9.96414
bwa,1992,-1.28217
bwa,1993,-2.35012
bwa,1994,2.35174
bwa,1995,16.94075
bwa,1996,5.42657
bwa,1997,13.4508
bwa,1998,2.08671
bwa,1999,0.03931
bwa,2000,-1.29962
bwa,2001,-4.46238
bwa,2002,4.95317
bwa,2003,1.33197
bwa,2004,3.07582
bwa,2005,10.77548
bwa,2006,17.24807
bwa,2007,14.99356
bwa,2008,17.25854
bwa,2009,5.53288
bwa,2010,8.61899
bwa,2011,7.87683
bwa,2012,-1.35467
bwa,2013,10.09545
bwa,2014,0.84961
bwa,2015,1.08715
bwa,2016,1.53141
bwa,2017,1.08629
bwa,2018,4.36219
bwa,2019,3.49466
bwa,2020,-2.69298
caf,2010,-3.05897
caf,2011,0.04328
caf,2012,8.63611
caf,2013,-45.928
caf,2014,2.49273
caf,2015,1.86211
caf,2016,8.893
caf,2017,0.67886
caf,2018,13.33233
caf,2019,0.40642
caf,2020,30.88369
can,1971,5.77185
can,1972,6.85848
can,1973,6.73217
can,1974,4.99685
can,1975,3.81893
can,1976,5.12793
can,1977,2.77915
can,1978,2.98336
can,1979,2.28869
can,1980,1.70736
can,1981,1.19727
can,1982,-2.56481
can,1983,2.49641
can,1984,3.83837
can,1985,4.90032
can,1986,3.42227
can,1987,3.87551
can,1988,4.12426
can,1989,3.41089
can,1990,1.37108
can,1991,-1.11398
can,1992,1.54281
can,1993,1.85802
can,1994,2.89089
can,1995,2.24428
can,1996,2.96921
can,1997,4.88898
can,1998,2.73717
