geo,time,en_atm_noxe_eg_kt_ce
eth,2016,6590
eth,2017,6680
eth,2018,6760
fin,1990,540
fin,1991,530
fin,1992,530
fin,1993,560
fin,1994,580
fin,1995,580
fin,1996,610
fin,1997,620
fin,1998,620
fin,1999,610
fin,2000,590
fin,2001,640
fin,2002,660
fin,2003,690
fin,2004,670
fin,2005,590
fin,2006,650
fin,2007,640
fin,2008,600
fin,2009,560
fin,2010,650
fin,2011,600
fin,2012,580
fin,2013,580
fin,2014,550
fin,2015,540
fin,2016,570
fin,2017,570
fin,2018,570
fji,1990,10
fji,1991,10
fji,1992,10
fji,1993,10
fji,1994,10
fji,1995,10
fji,1996,10
fji,1997,10
fji,1998,10
fji,1999,10
fji,2000,10
fji,2001,10
fji,2002,10
fji,2003,10
fji,2004,20
fji,2005,20
fji,2006,20
fji,2007,10
fji,2008,10
fji,2009,10
fji,2010,10
fji,2011,10
fji,2012,10
fji,2013,10
fji,2014,10
fji,2015,10
fji,2016,10
fji,2017,20
fji,2018,20
fra,1990,3360
fra,1991,3520
fra,1992,3500
fra,1993,3540
fra,1994,3550
fra,1995,3860
fra,1996,4290
fra,1997,4460
fra,1998,4800
fra,1999,3870
fra,2000,3770
fra,2001,3890
fra,2002,4010
fra,2003,4070
fra,2004,4130
fra,2005,4050
fra,2006,3950
fra,2007,3880
fra,2008,3850
fra,2009,3600
fra,2010,3670
fra,2011,3590
fra,2012,3680
fra,2013,3810
fra,2014,3710
fra,2015,3770
fra,2016,3930
fra,2017,3920
fra,2018,3910
fsm,1990,0
fsm,1991,0
fsm,1992,0
fsm,1993,0
fsm,1994,0
fsm,1995,0
fsm,1996,0
fsm,1997,0
fsm,1998,0
fsm,1999,0
fsm,2000,0
fsm,2001,0
fsm,2002,0
fsm,2003,0
fsm,2004,0
fsm,2005,0
fsm,2006,0
fsm,2007,0
fsm,2008,0
fsm,2009,0
fsm,2010,0
fsm,2011,0
fsm,2012,0
fsm,2013,0
fsm,2014,0
fsm,2015,0
fsm,2016,0
fsm,2017,0
fsm,2018,0
gab,1990,930
gab,1991,920
gab,1992,910
gab,1993,910
gab,1994,900
gab,1995,750
gab,1996,610
gab,1997,460
gab,1998,310
gab,1999,160
gab,2000,30
gab,2001,40
gab,2002,40
gab,2003,40
gab,2004,40
gab,2005,40
gab,2006,40
gab,2007,50
gab,2008,50
gab,2009,50
gab,2010,50
gab,2011,50
gab,2012,50
gab,2013,50
gab,2014,50
gab,2015,50
gab,2016,50
gab,2017,60
gab,2018,60
gbr,1990,4980
gbr,1991,4930
gbr,1992,4880
gbr,1993,4880
gbr,1994,5080
gbr,1995,5240
gbr,1996,5080
gbr,1997,4920
gbr,1998,4920
gbr,1999,4780
gbr,2000,4760
gbr,2001,4710
gbr,2002,4650
gbr,2003,4540
gbr,2004,4470
gbr,2005,4410
gbr,2006,4360
gbr,2007,4210
gbr,2008,3890
gbr,2009,3540
gbr,2010,3590
gbr,2011,3510
gbr,2012,3840
gbr,2013,3660
gbr,2014,3660
gbr,2015,3820
gbr,2016,3610
gbr,2017,3610
gbr,2018,3610
geo,1990,90
geo,1991,80
geo,1992,40
geo,1993,20
geo,1994,10
geo,1995,10
geo,1996,30
geo,1997,30
geo,1998,20
geo,1999,20
geo,2000,10
geo,2001,10
geo,2002,10
geo,2003,10
geo,2004,10
geo,2005,10
geo,2006,10
geo,2007,10
geo,2008,20
geo,2009,20
geo,2010,20
geo,2011,20
geo,2012,20
geo,2013,20
geo,2014,20
geo,2015,20
geo,2016,20
geo,2017,20
geo,2018,20
gha,1990,250
gha,1991,280
gha,1992,310
gha,1993,340
gha,1994,370
gha,1995,400
gha,1996,410
gha,1997,430
gha,1998,350
gha,1999,460
gha,2000,470
gha,2001,540
gha,2002,560
gha,2003,580
gha,2004,590
gha,2005,610
gha,2006,640
gha,2007,660
gha,2008,680
gha,2009,700
gha,2010,720
gha,2011,770
gha,2012,820
gha,2013,860
gha,2014,910
gha,2015,950
gha,2016,970
gha,2017,980
gha,2018,990
gin,1990,250
gin,1991,250
gin,1992,250
gin,1993,250
gin,1994,250
gin,1995,250
gin,1996,240
gin,1997,240
gin,1998,240
gin,1999,240
gin,2000,240
gin,2001,250
gin,2002,250
gin,2003,250
gin,2004,250
gin,2005,250
gin,2006,250
gin,2007,260
gin,2008,260
gin,2009,260
gin,2010,260
gin,2011,310
gin,2012,350
gin,2013,390
gin,2014,430
gin,2015,480
gin,2016,480
gin,2017,490
gin,2018,490
gmb,1990,20
gmb,1991,20
gmb,1992,20
gmb,1993,20
gmb,1994,20
gmb,1995,20
gmb,1996,20
gmb,1997,20
gmb,1998,20
gmb,1999,30
gmb,2000,30
gmb,2001,30
gmb,2002,30
gmb,2003,30
gmb,2004,30
gmb,2005,30
gmb,2006,30
gmb,2007,40
gmb,2008,40
gmb,2009,40
gmb,2010,40
gmb,2011,40
gmb,2012,50
gmb,2013,50
