geo,time,sp_pop_65up_fe_in
dnk,1984,446596
dnk,1985,451478
dnk,1986,456746
dnk,1987,461582
dnk,1988,465476
dnk,1989,468552
dnk,1990,471072
dnk,1991,471555
dnk,1992,471393
dnk,1993,470402
dnk,1994,468825
dnk,1995,467764
dnk,1996,467532
dnk,1997,466388
dnk,1998,464854
dnk,1999,463111
dnk,2000,461506
dnk,2001,462266
dnk,2002,462690
dnk,2003,463346
dnk,2004,465095
dnk,2005,468498
dnk,2006,474457
dnk,2007,481992
dnk,2008,491354
dnk,2009,501660
dnk,2010,512733
dnk,2011,523604
dnk,2012,536861
dnk,2013,552549
dnk,2014,569149
dnk,2015,585517
dnk,2016,600186
dnk,2017,610720
dnk,2018,618373
dnk,2019,625332
dnk,2020,633332
dom,1960,40562
dom,1961,41906
dom,1962,43226
dom,1963,44536
dom,1964,45852
dom,1965,47209
dom,1966,48937
dom,1967,50679
dom,1968,52439
dom,1969,54232
dom,1970,56072
dom,1971,58307
dom,1972,60569
dom,1973,62872
dom,1974,65236
dom,1975,67699
dom,1976,70623
dom,1977,73620
dom,1978,76686
dom,1979,79842
dom,1980,83106
dom,1981,86914
dom,1982,90786
dom,1983,94763
dom,1984,98913
dom,1985,103310
dom,1986,108262
dom,1987,113402
dom,1988,118746
dom,1989,124309
dom,1990,130106
dom,1991,136449
dom,1992,142922
dom,1993,149587
dom,1994,156541
dom,1995,163860
dom,1996,171652
dom,1997,179715
dom,1998,188011
dom,1999,196477
dom,2000,205072
dom,2001,214340
dom,2002,223651
dom,2003,232918
dom,2004,242033
dom,2005,250983
dom,2006,259627
dom,2007,268102
dom,2008,276679
dom,2009,285672
dom,2010,295337
dom,2011,305584
dom,2012,316363
dom,2013,327819
dom,2014,340146
dom,2015,353487
dom,2016,367995
dom,2017,383447
dom,2018,399882
dom,2019,417323
dom,2020,435838
dza,1960,175909
dza,1961,186287
dza,1962,198304
dza,1963,210749
dza,1964,222114
dza,1965,231654
dza,1966,239611
dza,1967,246025
dza,1968,251905
dza,1969,258512
dza,1970,266528
dza,1971,277543
dza,1972,289450
dza,1973,301504
dza,1974,312704
dza,1975,322591
dza,1976,331583
dza,1977,339385
dza,1978,346687
dza,1979,354412
dza,1980,363062
dza,1981,374040
dza,1982,386060
dza,1983,398365
dza,1984,409867
dza,1985,420079
dza,1986,430297
dza,1987,439367
dza,1988,448253
dza,1989,458327
dza,1990,470423
dza,1991,484328
dza,1992,499559
dza,1993,515947
dza,1994,533249
dza,1995,551400
dza,1996,576200
dza,1997,603015
dza,1998,631844
dza,1999,662387
dza,2000,694477
dza,2001,725258
dza,2002,756622
dza,2003,788878
dza,2004,822016
dza,2005,855906
dza,2006,887577
dza,2007,919604
dza,2008,952694
dza,2009,987540
dza,2010,1024786
dza,2011,1053401
dza,2012,1083805
dza,2013,1117396
dza,2014,1156485
dza,2015,1202806
dza,2016,1253587
dza,2017,1310940
dza,2018,1373215
dza,2019,1438045
dza,2020,1504101
ecu,1960,117920
ecu,1961,120310
ecu,1962,122303
ecu,1963,124076
ecu,1964,125857
ecu,1965,127750
ecu,1966,130112
ecu,1967,132527
ecu,1968,134956
ecu,1969,137336
ecu,1970,139633
ecu,1971,142531
ecu,1972,145333
ecu,1973,148150
ecu,1974,151142
ecu,1975,154397
ecu,1976,158650
ecu,1977,163111
ecu,1978,167661
ecu,1979,172092
ecu,1980,176311
ecu,1981,181088
ecu,1982,185620
ecu,1983,190073
ecu,1984,194648
ecu,1985,199479
ecu,1986,205197
ecu,1987,211101
ecu,1988,217271
ecu,1989,223786
ecu,1990,230717
ecu,1991,238736
ecu,1992,247139
ecu,1993,255931
ecu,1994,265096
ecu,1995,274633
ecu,1996,285506
ecu,1997,296631
ecu,1998,308056
ecu,1999,319836
ecu,2000,332046
ecu,2001,344558
ecu,2002,357443
ecu,2003,370898
ecu,2004,385167
ecu,2005,400454
ecu,2006,415812
ecu,2007,432151
ecu,2008,449216
ecu,2009,466579
ecu,2010,484081
ecu,2011,500130
ecu,2012,516018
ecu,2013,532916
ecu,2014,552418
ecu,2015,575525
ecu,2016,599547
ecu,2017,626982
ecu,2018,656958
ecu,2019,688090
ecu,2020,719516
egy,1960,572312
egy,1961,593850
egy,1962,617083
egy,1963,641857
egy,1964,667580
egy,1965,694078
egy,1966,720046
egy,1967,746250
egy,1968,772928
egy,1969,800698
egy,1970,829955
egy,1971,857137
egy,1972,885591
egy,1973,915087
egy,1974,944924
egy,1975,974756
egy,1976,1003969
egy,1977,1032465
egy,1978,1061026
egy,1979,1090695
egy,1980,1122033
egy,1981,1153374
egy,1982,1186165
egy,1983,1220659
egy,1984,1257009
egy,1985,1295351
egy,1986,1332520
egy,1987,1370672
egy,1988,1409488
egy,1989,1448827
egy,1990,1488758
egy,1991,1531350
egy,1992,1574263
egy,1993,1617690
egy,1994,1661519
egy,1995,1705898
egy,1996,1753850
egy,1997,1799082
egy,1998,1842239
egy,1999,1884036
egy,2000,1924633
egy,2001,1962126
egy,2002,1999299
egy,2003,2034892
egy,2004,2066368
egy,2005,2093215
egy,2006,2122220
egy,2007,2144900
egy,2008,2168079
egy,2009,2201054
egy,2010,2248818
egy,2011,2315498
egy,2012,2392288
egy,2013,2474388
egy,2014,2554949
egy,2015,2630503
egy,2016,2701896
egy,2017,2772842
egy,2018,2845255
egy,2019,2921923
egy,2020,3005600
eri,1960,15881
eri,1961,16166
eri,1962,16463
eri,1963,16758
eri,1964,17027
eri,1965,17262
eri,1966,17686
eri,1967,18079
eri,1968,18449
eri,1969,18813
eri,1970,19182
eri,1971,19688
eri,1972,20184
eri,1973,20681
eri,1974,21180
eri,1975,21684
eri,1976,22376
eri,1977,23058
eri,1978,23732
eri,1979,24414
eri,1980,25111
eri,1981,25986
eri,1982,26835
eri,1983,27676
eri,1984,28528
eri,1985,29399
eri,1986,30545
eri,1987,31672
eri,1988,32712
eri,1989,33574
eri,1990,34199
eri,1991,35570
eri,1992,36747
eri,1993,37816
eri,1994,38905
eri,1995,40142
eri,1996,41177
eri,1997,42329
eri,1998,43703
eri,1999,45403
eri,2000,47485
eri,2001,49375
eri,2002,51552
eri,2003,53887
eri,2004,56214
eri,2005,58382
eri,2006,61033
eri,2007,63390
eri,2008,65455
eri,2009,67284
eri,2010,68966
eri,2011,71536
esp,1960,1481133
esp,1961,1511608
esp,1962,1541756
esp,1963,1572394
esp,1964,1607950
esp,1965,1649679
esp,1966,1697593
esp,1967,1753298
esp,1968,1813203
esp,1969,1867229
esp,1970,1921708
esp,1971,1973775
esp,1972,2019603
esp,1973,2063922
esp,1974,2110012
esp,1975,2159823
esp,1976,2218614
esp,1977,2281088
esp,1978,2344346
esp,1979,2404671
esp,1980,2460646
esp,1981,2512690
esp,1982,2560212
esp,1983,2606199
esp,1984,2656195
esp,1985,2713573
esp,1986,2779192
esp,1987,2849164
esp,1988,2923048
esp,1989,2999519
esp,1990,3077389
esp,1991,3150828
esp,1992,3232907
esp,1993,3318864
esp,1994,3408480
esp,1995,3503153
esp,1996,3586705
esp,1997,3676644
esp,1998,3766983
esp,1999,3849192
esp,2000,3920501
esp,2001,3957355
esp,2002,4010414
esp,2003,4073617
esp,2004,4136727
esp,2005,4207570
esp,2006,4277392
esp,2007,4360201
esp,2008,4442029
esp,2009,4504317
esp,2010,4559324
esp,2011,4638330
esp,2012,4717173
esp,2013,4785656
esp,2014,4855681
esp,2015,4932645
esp,2016,4998675
esp,2017,5064028
esp,2018,5138814
esp,2019,5238742
esp,2020,5344646
est,1960,88775
est,1961,90691
est,1962,92800
est,1963,94980
est,1964,97314
est,1965,99709
est,1966,101955
est,1967,103947
est,1968,106139
est,1969,108502
est,1970,110958
est,1971,113699
est,1972,116128
est,1973,118264
est,1974,120299
est,1975,122298
est,1976,123939
est,1977,125731
est,1978,127273
est,1979,127949
est,1980,127751
est,1981,127388
est,1982,126006
est,1983,124119
est,1984,122561
est,1985,121871
est,1986,122301
est,1987,123405
est,1988,124848
est,1989,126377
est,1990,127791
est,1991,130504
est,1992,131847
est,1993,132292
est,1994,133008
est,1995,133614
est,1996,134616
est,1997,135303
est,1998,135802
est,1999,138108
est,2000,141125
est,2001,143287
est,2002,145717
est,2003,148163
est,2004,150201
est,2005,151524
est,2006,152736
est,2007,153512
est,2008,154176
est,2009,154984
est,2010,156057
est,2011,157142
est,2012,158478
est,2013,160058
est,2014,161842
est,2015,164077
est,2016,165673
est,2017,167572
est,2018,170367
est,2019,173693
est,2020,176919
eth,1960,344533
eth,1961,351548
eth,1962,357857
eth,1963,363881
eth,1964,370219
eth,1965,377196
eth,1966,388585
eth,1967,400448
eth,1968,412524
eth,1969,424462
eth,1970,436044
eth,1971,451553
eth,1972,466578
eth,1973,480501
eth,1974,492647
eth,1975,502770
eth,1976,522140
eth,1977,540391
eth,1978,559248
eth,1979,579609
eth,1980,601264
eth,1981,610192
eth,1982,619404
eth,1983,629538
eth,1984,641286
eth,1985,654714
eth,1986,676452
eth,1987,699629
eth,1988,723165
eth,1989,745656
eth,1990,766558
eth,1991,788863
eth,1992,809751
eth,1993,830606
eth,1994,853111
eth,1995,878011
eth,1996,912420
eth,1997,947764
eth,1998,982954
eth,1999,1016608
eth,2000,1048260
eth,2001,1084982
eth,2002,1121152
eth,2003,1157704
eth,2004,1195916
eth,2005,1236783
eth,2006,1287035
eth,2007,1339176
eth,2008,1394179
eth,2009,1453354
eth,2010,1517482
eth,2011,1582833
eth,2012,1651975
eth,2013,1723385
eth,2014,1794484
eth,2015,1863958
eth,2016,1928966
eth,2017,1991737
eth,2018,2054876
eth,2019,2122078
eth,2020,2195691
fin,1960,203691
fin,1961,208373
fin,1962,213605
fin,1963,219405
fin,1964,225112
fin,1965,230458
fin,1966,237287
fin,1967,244718
fin,1968,252270
fin,1969,259120
fin,1970,265786
fin,1971,274689
fin,1972,285322
fin,1973,296153
fin,1974,306777
fin,1975,316850
fin,1976,328318
fin,1977,339091
fin,1978,349245
fin,1979,358559
fin,1980,367287
fin,1981,373561
fin,1982,379627
fin,1983,385532
fin,1984,391529
fin,1985,397858
fin,1986,404233
fin,1987,410935
fin,1988,417933
fin,1989,425062
fin,1990,432098
fin,1991,439106
fin,1992,445481
fin,1993,450924
fin,1994,455698
fin,1995,459964
fin,1996,463908
fin,1997,467610
fin,1998,471134
fin,1999,474505
fin,2000,477898
fin,2001,483019
fin,2002,488170
fin,2003,493325
fin,2004,498763
fin,2005,504539
fin,2006,509421
fin,2007,514253
fin,2008,520188
fin,2009,528782
fin,2010,540894
fin,2011,555289
fin,2012,573032
fin,2013,592691
fin,2014,612024
fin,2015,629554
fin,2016,645669
fin,2017,660098
fin,2018,672812
fin,2019,684961
fin,2020,697411
fji,1960,3216
fji,1961,3344
fji,1962,3529
fji,1963,3760
fji,1964,4012
fji,1965,4291
fji,1966,4519
fji,1967,4753
fji,1968,4997
fji,1969,5252
fji,1970,5514
fji,1971,5792
fji,1972,6063
fji,1973,6332
fji,1974,6605
fji,1975,6898
fji,1976,7161
fji,1977,7395
fji,1978,7597
fji,1979,7796
fji,1980,7992
fji,1981,8393
fji,1982,8820
fji,1983,9231
fji,1984,9556
fji,1985,9761
fji,1986,10115
fji,1987,10367
fji,1988,10548
fji,1989,10697
fji,1990,10844
fji,1991,11081
fji,1992,11329
fji,1993,11594
fji,1994,11881
fji,1995,12167
fji,1996,12683
fji,1997,13245
fji,1998,13820
fji,1999,14379
fji,2000,14926
fji,2001,15457
fji,2002,15946
fji,2003,16438
fji,2004,17008
fji,2005,17686
fji,2006,18471
fji,2007,19348
fji,2008,20290
fji,2009,21225
fji,2010,22114
fji,2011,22669
fji,2012,23089
fji,2013,23372
fji,2014,23537
fji,2015,23620
fji,2016,24552
fji,2017,25498
fji,2018,26514
fji,2019,27649
fji,2020,28913
fra,1960,3420314
fra,1961,3485134
fra,1962,3555708
fra,1963,3630550
fra,1964,3705522
fra,1965,3778305
fra,1966,3854029
fra,1967,3925665
fra,1968,3993553
fra,1969,4058692
fra,1970,4122115
fra,1971,4193945
fra,1972,4259109
fra,1973,4319617
fra,1974,4378730
fra,1975,4437654
fra,1976,4505795
fra,1977,4577983
fra,1978,4643288
fra,1979,4683678
fra,1980,4690388
fra,1981,4674611
fra,1982,4619937
fra,1983,4551534
fra,1984,4506850
fra,1985,4507185
fra,1986,4550163
fra,1987,4636724
fra,1988,4750692
fra,1989,4865748
fra,1990,4966887
fra,1991,5076787
fra,1992,5172536
fra,1993,5257378
fra,1994,5338854
fra,1995,5423661
fra,1996,5504613
fra,1997,5583003
fra,1998,5659623
fra,1999,5740775
fra,2000,5827800
fra,2001,5899741
fra,2002,5970479
fra,2003,6037668
fra,2004,6101582
fra,2005,6162098
fra,2006,6207765
fra,2007,6238572
fra,2008,6269452
fra,2009,6323567
fra,2010,6417430
fra,2011,6526752
fra,2012,6673633
fra,2013,6852919
fra,2014,7041234
fra,2015,7219012
fra,2016,7368939
fra,2017,7518419
fra,2018,7662353
fra,2019,7800798
fra,2020,7942144
fsm,1960,802
fsm,1961,825
fsm,1962,850
fsm,1963,863
fsm,1964,887
fsm,1965,909
fsm,1966,938
fsm,1967,969
fsm,1968,997
fsm,1969,1023
fsm,1970,1039
fsm,1971,1076
fsm,1972,1104
fsm,1973,1139
fsm,1974,1177
fsm,1975,1230
fsm,1976,1235
fsm,1977,1241
fsm,1978,1254
fsm,1979,1260
fsm,1980,1266
fsm,1981,1318
fsm,1982,1370
fsm,1983,1419
fsm,1984,1468
fsm,1985,1518
fsm,1986,1574
fsm,1987,1628
fsm,1988,1686
fsm,1989,1741
fsm,1990,1789
fsm,1991,1862
fsm,1992,1918
fsm,1993,1953
fsm,1994,1983
fsm,1995,2024
fsm,1996,2060
fsm,1997,2097
fsm,1998,2127
fsm,1999,2136
fsm,2000,2127
fsm,2001,2175
fsm,2002,2211
fsm,2003,2241
fsm,2004,2264
fsm,2005,2279
fsm,2006,2216
fsm,2007,2145
fsm,2008,2066
fsm,2009,1989
fsm,2010,1925
fsm,2011,1924
fsm,2012,1950
fsm,2013,1996
fsm,2014,2051
fsm,2015,2116
fsm,2016,2227
fsm,2017,2343
fsm,2018,2464
fsm,2019,2599
fsm,2020,2749
gab,1960,20755
gab,1961,20928
gab,1962,21056
gab,1963,21158
gab,1964,21247
gab,1965,21323
gab,1966,21534
gab,1967,21728
gab,1968,21887
gab,1969,21981
gab,1970,21989
gab,1971,22297
gab,1972,22528
gab,1973,22694
gab,1974,22808
gab,1975,22883
gab,1976,23168
gab,1977,23399
gab,1978,23612
gab,1979,23851
gab,1980,24137
gab,1981,24681
gab,1982,25255
gab,1983,25839
gab,1984,26414
gab,1985,26963
gab,1986,27675
gab,1987,28351
gab,1988,29013
gab,1989,29698
gab,1990,30419
gab,1991,31232
gab,1992,32031
gab,1993,32814
gab,1994,33561
gab,1995,34270
gab,1996,34983
gab,1997,35621
gab,1998,36183
gab,1999,36654
gab,2000,37031
gab,2001,37414
gab,2002,37665
gab,2003,37822
gab,2004,37919
gab,2005,37973
gab,2006,38169
gab,2007,38292
gab,2008,38366
gab,2009,38417
gab,2010,38458
gab,2011,38806
gab,2012,39150
gab,2013,39464
gab,2014,39722
gab,2015,39918
gab,2016,40739
gab,2017,41503
gab,2018,42242
gab,2019,42972
gab,2020,43733
gbr,1960,3791739
gbr,1961,3856658
gbr,1962,3924861
gbr,1963,3990278
gbr,1964,4053062
gbr,1965,4118057
gbr,1966,4189374
gbr,1967,4264304
gbr,1968,4339125
gbr,1969,4411111
gbr,1970,4482359
gbr,1971,4569362
gbr,1972,4648143
gbr,1973,4717500
gbr,1974,4780333
gbr,1975,4840294
gbr,1976,4907685
gbr,1977,4971110
gbr,1978,5030318
gbr,1979,5082086
gbr,1980,5120527
gbr,1981,5151430
gbr,1982,5159327
gbr,1983,5160548
gbr,1984,5171328
gbr,1985,5196623
gbr,1986,5236107
gbr,1987,5284359
gbr,1988,5335362
gbr,1989,5379768
gbr,1990,5412370
gbr,1991,5444800
gbr,1992,5461296
gbr,1993,5465514
gbr,1994,5464978
gbr,1995,5462947
gbr,1996,5460902
gbr,1997,5454989
gbr,1998,5449287
gbr,1999,5445948
gbr,2000,5445382
gbr,2001,5455021
gbr,2002,5466018
gbr,2003,5479814
gbr,2004,5500461
gbr,2005,5529868
gbr,2006,5565673
gbr,2007,5601747
gbr,2008,5643951
gbr,2009,5701220
gbr,2010,5783238
gbr,2011,5886392
gbr,2012,6006763
gbr,2013,6137462
gbr,2014,6267608
gbr,2015,6387805
gbr,2016,6484504
gbr,2017,6561399
gbr,2018,6626046
gbr,2019,6692715
gbr,2020,6772854
geo,1960,181820
geo,1961,180743
geo,1962,179489
geo,1963,178390
geo,1964,177813
geo,1965,177972
geo,1966,180710
geo,1967,183948
geo,1968,187648
geo,1969,191651
geo,1970,195799
geo,1971,202758
geo,1972,209118
geo,1973,215059
geo,1974,221514
geo,1975,228617
geo,1976,236849
geo,1977,245907
geo,1978,254782
geo,1979,262809
geo,1980,269276
geo,1981,272903
geo,1982,274681
geo,1983,275406
geo,1984,276072
geo,1985,277596
geo,1986,280471
geo,1987,283592
geo,1988,288146
geo,1989,292425
geo,1990,298312
geo,1991,309439
geo,1992,322048
geo,1993,335538
geo,1994,340757
geo,1995,337018
geo,1996,334501
geo,1997,330949
geo,1998,327471
geo,1999,324120
geo,2000,321847
geo,2001,324279
geo,2002,330187
geo,2003,336724
geo,2004,341196
geo,2005,342424
geo,2006,344475
geo,2007,343501
geo,2008,341207
geo,2009,336731
geo,2010,333817
geo,2011,330234
geo,2012,327841
geo,2013,327791
geo,2014,329653
geo,2015,332648
geo,2016,336565
geo,2017,341205
geo,2018,346296
geo,2019,351173
geo,2020,356947
gha,1960,82516
gha,1961,85577
gha,1962,88776
gha,1963,91999
gha,1964,95053
gha,1965,97886
gha,1966,101574
gha,1967,104920
gha,1968,108040
gha,1969,111115
gha,1970,114288
gha,1971,118687
gha,1972,123159
gha,1973,127613
gha,1974,131917
gha,1975,136017
gha,1976,140955
gha,1977,145533
gha,1978,149947
gha,1979,154435
gha,1980,159174
gha,1981,164730
gha,1982,170491
gha,1983,176425
gha,1984,182455
gha,1985,188524
gha,1986,195560
gha,1987,202483
gha,1988,209339
gha,1989,216184
gha,1990,223101
gha,1991,231021
gha,1992,238943
gha,1993,246882
gha,1994,254851
gha,1995,262868
gha,1996,270677
gha,1997,277953
gha,1998,284838
gha,1999,291464
gha,2000,297957
gha,2001,305359
gha,2002,312510
gha,2003,319491
gha,2004,326286
gha,2005,332990
gha,2006,342777
gha,2007,352202
gha,2008,361695
gha,2009,371806
gha,2010,382849
gha,2011,396758
gha,2012,411320
gha,2013,426034
gha,2014,440094
gha,2015,453231
gha,2016,467220
gha,2017,480437
gha,2018,493999
gha,2019,509370
gha,2020,527516
gin,1960,60198
gin,1961,61011
gin,1962,61502
gin,1963,61736
gin,1964,61819
gin,1965,61812
gin,1966,63246
gin,1967,64542
gin,1968,65681
gin,1969,66620
gin,1970,67362
gin,1971,69430
gin,1972,71265
gin,1973,72909
gin,1974,74433
gin,1975,75872
gin,1976,78599
gin,1977,81206
gin,1978,83690
gin,1979,86048
gin,1980,88300
gin,1981,91638
gin,1982,94894
gin,1983,98099
gin,1984,101269
gin,1985,104420
gin,1986,108737
gin,1987,113076
gin,1988,117419
gin,1989,121726
gin,1990,125988
gin,1991,130581
gin,1992,135061
gin,1993,139446
gin,1994,143758
gin,1995,148014
gin,1996,151572
gin,1997,154846
gin,1998,157811
gin,1999,160437
gin,2000,162718
gin,2001,165216
gin,2002,167071
gin,2003,168425
gin,2004,169434
gin,2005,170218
gin,2006,173767
gin,2007,177278
gin,2008,180576
gin,2009,183395
gin,2010,185629
gin,2011,188874
gin,2012,191479
gin,2013,194042
gin,2014,197342
gin,2015,201843
gin,2016,208691
gin,2017,216442
gin,2018,224770
gin,2019,233165
gin,2020,241372
gmb,1960,4458
gmb,1961,4574
gmb,1962,4674
gmb,1963,4759
gmb,1964,4836
gmb,1965,4895
gmb,1966,5047
gmb,1967,5191
gmb,1968,5314
gmb,1969,5429
gmb,1970,5527
gmb,1971,5753
gmb,1972,5970
gmb,1973,6178
gmb,1974,6382
gmb,1975,6570
gmb,1976,6867
gmb,1977,7156
gmb,1978,7437
gmb,1979,7705
gmb,1980,7957
gmb,1981,8245
gmb,1982,8521
gmb,1983,8817
gmb,1984,9173
gmb,1985,9626
gmb,1986,10100
gmb,1987,10643
gmb,1988,11220
gmb,1989,11759
gmb,1990,12237
gmb,1991,12827
gmb,1992,13347
gmb,1993,13819
gmb,1994,14275
gmb,1995,14739
gmb,1996,15251
gmb,1997,15764
gmb,1998,16272
gmb,1999,16792
gmb,2000,17322
gmb,2001,17917
gmb,2002,18498
gmb,2003,19080
gmb,2004,19666
gmb,2005,20266
gmb,2006,20985
gmb,2007,21692
gmb,2008,22398
gmb,2009,23129
gmb,2010,23890
gmb,2011,24733
gmb,2012,25598
gmb,2013,26445
gmb,2014,27252
gmb,2015,27997
gmb,2016,28761
gmb,2017,29486
gmb,2018,30169
gmb,2019,30821
gmb,2020,31457
gnb,1960,12007
gnb,1961,12277
gnb,1962,12525
gnb,1963,12742
gnb,1964,12915
gnb,1965,13058
gnb,1966,13273
gnb,1967,13470
gnb,1968,13664
gnb,1969,13902
gnb,1970,14205
gnb,1971,14693
gnb,1972,15218
gnb,1973,15745
gnb,1974,16229
gnb,1975,16641
gnb,1976,17017
gnb,1977,17214
gnb,1978,17255
gnb,1979,17141
gnb,1980,16874
gnb,1981,17128
gnb,1982,17363
gnb,1983,17565
gnb,1984,17714
gnb,1985,17799
gnb,1986,17993
gnb,1987,18139
gnb,1988,18249
gnb,1989,18322
gnb,1990,18388
gnb,1991,18662
gnb,1992,18905
gnb,1993,19107
gnb,1994,19266
gnb,1995,19373
gnb,1996,19674
gnb,1997,19943
gnb,1998,20178
gnb,1999,20391
gnb,2000,20587
gnb,2001,20924
gnb,2002,21237
gnb,2003,21545
gnb,2004,21884
gnb,2005,22254
gnb,2006,22823
gnb,2007,23423
gnb,2008,24020
gnb,2009,24585
gnb,2010,25112
gnb,2011,25755
gnb,2012,26346
gnb,2013,26951
gnb,2014,27679
gnb,2015,28587
gnb,2016,29828
gnb,2017,31185
gnb,2018,32571
gnb,2019,33847
gnb,2020,34961
gnq,1960,7681
gnq,1961,7769
gnq,1962,7823
gnq,1963,7852
gnq,1964,7885
gnq,1965,7927
gnq,1966,8059
gnq,1967,8186
gnq,1968,8279
gnq,1969,8283
gnq,1970,8187
gnq,1971,8126
gnq,1972,7932
gnq,1973,7630
gnq,1974,7268
gnq,1975,6869
gnq,1976,6708
gnq,1977,6544
gnq,1978,6417
gnq,1979,6373
gnq,1980,6413
gnq,1981,6616
gnq,1982,6978
gnq,1983,7434
gnq,1984,7915
gnq,1985,8379
gnq,1986,8688
gnq,1987,8951
gnq,1988,9176
gnq,1989,9382
gnq,1990,9590
gnq,1991,9825
gnq,1992,10019
gnq,1993,10194
gnq,1994,10374
gnq,1995,10568
gnq,1996,10789
gnq,1997,11018
gnq,1998,11249
gnq,1999,11471
gnq,2000,11685
gnq,2001,11916
gnq,2002,12138
gnq,2003,12351
gnq,2004,12569
gnq,2005,12801
gnq,2006,13052
gnq,2007,13304
gnq,2008,13556
gnq,2009,13781
gnq,2010,13984
gnq,2011,14207
gnq,2012,14393
gnq,2013,14570
gnq,2014,14789
gnq,2015,15074
gnq,2016,15539
gnq,2017,16041
gnq,2018,16544
gnq,2019,17017
gnq,2020,17429
grc,1960,343249
grc,1961,352033
grc,1962,361204
grc,1963,370417
grc,1964,379853
grc,1965,389687
grc,1966,410985
grc,1967,433511
grc,1968,456635
grc,1969,480488
grc,1970,506108
grc,1971,520638
grc,1972,537208
grc,1973,553290
grc,1974,568732
grc,1975,586948
grc,1976,607560
grc,1977,626159
grc,1978,644188
grc,1979,661328
grc,1980,676023
grc,1981,687149
grc,1982,695729
grc,1983,703699
grc,1984,710906
grc,1985,717331
grc,1986,723825
grc,1987,732349
grc,1988,744097
grc,1989,760460
grc,1990,784094
grc,1991,801778
grc,1992,816782
grc,1993,832002
grc,1994,849199
grc,1995,869291
grc,1996,889990
grc,1997,913393
grc,1998,939011
grc,1999,963500
grc,2000,987901
grc,2001,1014714
grc,2002,1038895
grc,2003,1059615
grc,2004,1076958
grc,2005,1090820
grc,2006,1113179
grc,2007,1130635
grc,2008,1146191
grc,2009,1163597
grc,2010,1183710
grc,2011,1196666
grc,2012,1209699
grc,2013,1223570
grc,2014,1238327
grc,2015,1251796
grc,2016,1264737
grc,2017,1278800
grc,2018,1292516
grc,2019,1309500
grc,2020,1328672
grd,1960,2912
grd,1961,2953
grd,1962,2996
grd,1963,3036
grd,1964,3061
grd,1965,3071
grd,1966,3112
grd,1967,3147
grd,1968,3185
grd,1969,3222
grd,1970,3246
grd,1971,3353
grd,1972,3435
grd,1973,3490
grd,1974,3539
grd,1975,3582
grd,1976,3610
grd,1977,3641
grd,1978,3679
grd,1979,3734
grd,1980,3809
grd,1981,3815
grd,1982,3838
grd,1983,3851
grd,1984,3825
grd,1985,3754
grd,1986,3872
grd,1987,4001
grd,1988,4162
grd,1989,4382
grd,1990,4684
grd,1991,4634
grd,1992,4610
grd,1993,4600
grd,1994,4577
grd,1995,4533
grd,1996,4608
grd,1997,4679
grd,1998,4765
grd,1999,4883
grd,2000,5021
grd,2001,5074
grd,2002,5133
grd,2003,5180
grd,2004,5211
grd,2005,5229
grd,2006,5301
grd,2007,5378
grd,2008,5481
grd,2009,5611
grd,2010,5780
grd,2011,5767
grd,2012,5776
grd,2013,5789
grd,2014,5796
grd,2015,5801
grd,2016,5824
grd,2017,5837
grd,2018,5857
grd,2019,5910
grd,2020,5999
gtm,1960,56219
gtm,1961,58612
gtm,1962,60985
gtm,1963,63358
gtm,1964,65797
gtm,1965,68319
gtm,1966,71192
gtm,1967,74104
gtm,1968,76941
gtm,1969,79556
gtm,1970,81883
gtm,1971,84341
gtm,1972,86540
gtm,1973,88577
gtm,1974,90622
gtm,1975,92778
gtm,1976,95476
gtm,1977,98274
gtm,1978,101127
gtm,1979,103994
gtm,1980,106919
gtm,1981,110452
gtm,1982,114084
gtm,1983,117877
gtm,1984,121962
gtm,1985,126481
gtm,1986,132136
gtm,1987,138206
gtm,1988,144645
gtm,1989,151395
gtm,1990,158416
gtm,1991,166670
gtm,1992,174920
gtm,1993,183115
gtm,1994,191308
gtm,1995,199555
gtm,1996,208558
gtm,1997,217734
gtm,1998,227005
gtm,1999,236116
gtm,2000,245100
gtm,2001,254411
gtm,2002,263181
gtm,2003,271487
gtm,2004,279756
gtm,2005,288198
gtm,2006,296215
gtm,2007,304668
gtm,2008,313443
gtm,2009,322298
gtm,2010,331201
gtm,2011,340932
gtm,2012,350496
gtm,2013,360659
gtm,2014,372381
gtm,2015,386177
gtm,2016,400725
gtm,2017,417232
gtm,2018,435167
gtm,2019,453655
gtm,2020,472264
gum,1960,600
gum,1961,617
gum,1962,635
gum,1963,654
gum,1964,681
gum,1965,705
gum,1966,721
gum,1967,744
gum,1968,767
gum,1969,794
gum,1970,819
gum,1971,877
gum,1972,935
gum,1973,1002
gum,1974,1078
gum,1975,1165
gum,1976,1235
gum,1977,1310
gum,1978,1398
gum,1979,1489
gum,1980,1591
gum,1981,1682
gum,1982,1768
gum,1983,1865
gum,1984,1967
gum,1985,2083
gum,1986,2187
gum,1987,2294
gum,1988,2406
gum,1989,2531
gum,1990,2679
gum,1991,2799
gum,1992,2930
gum,1993,3073
gum,1994,3227
gum,1995,3381
gum,1996,3563
gum,1997,3742
gum,1998,3930
gum,1999,4124
gum,2000,4320
gum,2001,4575
gum,2002,4824
gum,2003,5058
gum,2004,5266
gum,2005,5446
gum,2006,5612
gum,2007,5755
