geo,time,sl_tlf_cact_ma_zs
can,2018,69.637
can,2019,70.093
can,2020,68.645
can,2021,69.741
chanisl,1990,70.628
chanisl,1991,70.863
chanisl,1992,70.601
chanisl,1993,70.662
chanisl,1994,70.716
chanisl,1995,70.771
chanisl,1996,70.427
chanisl,1997,70.149
chanisl,1998,70.096
chanisl,1999,69.833
chanisl,2000,69.613
chanisl,2001,69.773
chanisl,2002,68.572
chanisl,2003,68.369
chanisl,2004,67.984
chanisl,2005,68.296
chanisl,2006,68.29
chanisl,2007,68.669
chanisl,2008,68.917
chanisl,2009,68.374
chanisl,2010,67.667
chanisl,2011,68.5
chanisl,2012,68.386
chanisl,2013,68.273
chanisl,2014,68.245
chanisl,2015,68.217
chanisl,2016,68.106
chanisl,2017,67.968
chanisl,2018,67.925
chanisl,2019,67.794
chanisl,2020,67.289
chanisl,2021,67.238
che,1990,80.358
che,1991,80.857
che,1992,80.224
che,1993,80.282
che,1994,79.251
che,1995,79.034
che,1996,79.019
che,1997,78.629
che,1998,78.493
che,1999,78.217
che,2000,77.779
che,2001,77.39
che,2002,76.708
che,2003,76.793
che,2004,75.963
che,2005,75.099
che,2006,75.407
che,2007,75.769
che,2008,75.461
che,2009,75.244
che,2010,74.347
che,2011,74.678
che,2012,74.488
che,2013,74.188
che,2014,74.138
che,2015,74.219
che,2016,74.491
che,2017,74.459
che,2018,74.226
che,2019,73.639
che,2020,73.384
che,2021,72.705
chl,1990,74.819
chl,1991,75.321
chl,1992,76.061
chl,1993,76.419
chl,1994,76.647
chl,1995,77.168
chl,1996,77.519
chl,1997,76.713
chl,1998,76.591
chl,1999,76.121
chl,2000,75.012
chl,2001,74.183
chl,2002,73.443
chl,2003,73.076
chl,2004,72.332
chl,2005,72.058
chl,2006,73.169
chl,2007,73.13
chl,2008,73.539
chl,2009,72.664
chl,2010,72.424
chl,2011,73.006
chl,2012,72.199
chl,2013,72.119
chl,2014,71.908
chl,2015,71.806
chl,2016,71.56
chl,2017,71.566
chl,2018,70.847
chl,2019,70.125
chl,2020,66.495
chl,2021,65.547
chn,1990,85.033
chn,1991,84.827
chn,1992,84.62
chn,1993,84.411
chn,1994,84.199
chn,1995,83.986
chn,1996,83.77
chn,1997,83.553
chn,1998,83.332
chn,1999,83.109
chn,2000,82.883
chn,2001,82.441
chn,2002,81.989
chn,2003,81.528
chn,2004,81.057
chn,2005,80.577
chn,2006,80.087
chn,2007,79.588
chn,2008,79.079
chn,2009,78.56
chn,2010,78.033
chn,2011,78.068
chn,2012,77.71
chn,2013,77.351
chn,2014,77.116
chn,2015,76.866
chn,2016,76.489
chn,2017,75.992
chn,2018,75.477
chn,2019,75.063
chn,2020,74.47
chn,2021,74.29
civ,1990,81.371
civ,1991,81.327
civ,1992,81.206
civ,1993,81.03
civ,1994,80.827
civ,1995,80.614
civ,1996,80.651
civ,1997,80.662
civ,1998,80.648
civ,1999,79.968
civ,2000,79.278
civ,2001,78.579
civ,2002,77.87
civ,2003,77.149
civ,2004,76.415
civ,2005,75.666
civ,2006,74.905
civ,2007,74.128
civ,2008,73.337
civ,2009,72.533
civ,2010,71.715
civ,2011,70.887
civ,2012,70.046
civ,2013,69.192
civ,2014,68.326
civ,2015,67.449
civ,2016,66.561
civ,2017,65.663
civ,2018,65.492
civ,2019,65.325
civ,2020,64.717
civ,2021,64.893
cmr,1990,87.719
cmr,1991,87.772
cmr,1992,87.785
cmr,1993,87.76
cmr,1994,87.692
cmr,1995,87.58
cmr,1996,87.506
cmr,1997,87.388
cmr,1998,87.233
cmr,1999,87.057
cmr,2000,86.874
cmr,2001,86.764
cmr,2002,86.65
cmr,2003,86.534
cmr,2004,86.414
cmr,2005,86.292
cmr,2006,86.25
cmr,2007,86.185
cmr,2008,84.922
