geo,time,se_ter_enrr_ma
pak,1980,3.12858
pak,1986,4.30359
pak,1987,4.26882
pak,1988,4.76938
pak,1990,4.33021
pak,1992,3.3129
pak,2003,2.98606
pak,2004,3.77907
pak,2005,5.25631
pak,2006,5.38487
pak,2007,6.06515
pak,2008,6.00125
pak,2009,7.34529
pak,2011,8.61006
pak,2012,9.59332
pak,2013,9.82275
pak,2014,9.36887
pak,2015,9.82605
pak,2016,9.6313
pak,2017,9.97807
pak,2018,9.55403
pak,2019,12.31617
pan,1970,7.21262
pan,1971,11.74559
pan,1972,13.57306
pan,1973,13.64933
pan,1974,14.47684
pan,1975,15.49488
pan,1976,16.86426
pan,1977,18.43612
pan,1978,16.9926
pan,1979,17.4308
pan,1980,18.09298
pan,1981,18.79596
pan,1982,19.0026
pan,1983,16.7867
pan,1984,20.38177
pan,1985,20.29411
pan,1987,18.41312
pan,1988,17.76549
pan,1994,20.47812
pan,1998,28.54825
pan,1999,29.48804
pan,2000,30.71879
pan,2001,30.09909
pan,2002,29.98074
pan,2003,34.17807
pan,2004,32.59982
pan,2005,32.07015
pan,2006,33.07972
pan,2007,33.50378
pan,2008,34.38173
pan,2009,34.43049
pan,2010,35.0939
pan,2011,33.20412
pan,2012,34.5859
pan,2014,34.5389
pan,2015,36.84539
pan,2016,37.30718
per,1970,12.79309
per,1971,12.6182
per,1972,13.31426
per,1973,14.91406
per,1974,16.16442
per,1975,17.11151
per,1976,17.58285
per,1980,21.77224
per,2001,30.22753
per,2002,29.29397
per,2003,29.39392
per,2004,31.94149
per,2005,32.18387
per,2006,32.90978
per,2016,68.72606
per,2017,68.7343
phl,1971,15.259
phl,1973,15.08167
phl,1979,21.65635
phl,1980,22.10507
phl,1981,23.02685
phl,1982,23.47173
phl,1992,20.81643
phl,1995,23.08041
phl,1996,24.47936
phl,1998,23.70643
phl,1999,25.43332
phl,2001,28.9236
phl,2002,26.32093
phl,2003,25.53368
phl,2004,24.95807
phl,2005,24.73092
phl,2006,24.84767
phl,2008,26.06224
phl,2009,25.54789
phl,2010,26.33301
phl,2011,27.56902
phl,2012,28.06717
phl,2013,29.72992
phl,2014,31.3263
phl,2017,30.77703
plw,2000,26.01969
plw,2001,25.6975
plw,2002,25.76419
plw,2013,43.91727
png,1980,2.30418
png,1983,2.02071
png,1984,2.47961
png,1985,2.00592
png,1986,2.42447
