geo,time,dt_nfl_unfp_cd
pry,2002,620000.00477
pry,2003,670000.01669
pry,2004,1039999.96185
pry,2005,779999.97139
pry,2006,920000.01669
pry,2007,899999.97616
pry,2008,1129999.99523
pry,2009,1129999.99523
pry,2010,1039999.96185
pry,2011,930000.00715
pry,2012,802914.0234
pry,2013,757547.02091
pry,2014,979048.78855
pry,2015,791314.42308
pry,2016,861502.40898
pry,2017,644242.4655
pry,2018,818300.00877
pry,2019,1006669.28291
pse,1994,0
pse,1995,59999.99866
pse,1996,740000.00954
pse,1997,1799999.95232
pse,1998,759999.99046
pse,1999,1179999.94755
pse,2000,1100000.02384
pse,2001,1220000.02861
pse,2002,1279999.97139
pse,2003,1570000.05245
pse,2004,1250000
pse,2005,1059999.94278
pse,2006,1320000.05245
pse,2007,2369999.88556
pse,2008,1700000.04768
pse,2009,2200000.04768
pse,2010,2019999.98093
pse,2011,2099999.90463
pse,2012,2364512.92038
pse,2013,2072321.89178
pse,2014,2084825.75417
pse,2015,1360609.41219
pse,2016,1180667.04273
pse,2017,1210429.43001
pse,2018,1183539.98661
pse,2019,2021844.14864
qat,1989,9999.99978
qat,1990,9999.99978
qat,1992,0
rou,1990,319999.99285
rou,1991,419999.98689
rou,1992,209999.99344
rou,1993,200000.00298
rou,1994,100000.00149
rou,1995,189999.99762
rou,1996,370000.00477
rou,1997,500000
rou,1998,430000.00715
rou,1999,540000.02146
rou,2000,280000.00119
rou,2001,479999.98927
rou,2002,409999.99642
rou,2003,479999.98927
rus,1993,0
rus,1995,29999.99933
rus,1996,430000.00715
rus,1997,300000.01192
rus,1998,230000.00417
rus,1999,400000.00596
rus,2000,150000.00596
rus,2001,620000.00477
rus,2002,639999.98569
rus,2003,730000.01907
rwa,1977,230000.00417
rwa,1980,259999.99046
rwa,1981,439999.99762
rwa,1982,379999.99523
rwa,1983,460000.00834
rwa,1984,509999.99046
rwa,1985,639999.98569
rwa,1986,579999.98331
rwa,1987,460000.00834
rwa,1988,660000.02623
rwa,1989,779999.97139
rwa,1990,720000.02861
rwa,1991,1639999.98569
rwa,1992,610000.01431
rwa,1993,720000.02861
rwa,1994,560000.00238
rwa,1995,660000.02623
rwa,1996,730000.01907
rwa,1997,1490000.00954
rwa,1998,860000.01431
rwa,1999,1740000.00954
rwa,2000,720000.02861
rwa,2001,1559999.94278
rwa,2002,1720000.02861
rwa,2003,1950000.04768
rwa,2004,810000.00238
rwa,2005,839999.97377
rwa,2006,779999.97139
