geo,time,ny_adj_dco2_cd
ben,2006,94780010.29453
ben,2007,115536723.43397
ben,2008,118174050.60901
ben,2009,128636795.67153
ben,2010,145313117.65668
ben,2011,150811874.0369
ben,2012,149191108.30188
ben,2013,162926151.17852
ben,2014,180903455.56076
ben,2015,210868821.35566
ben,2016,232596873.28615
ben,2017,255271629.98415
ben,2018,284410725.17304
ben,2019,315842369.02191
bfa,1970,378164.71973
bfa,1971,427110.37001
bfa,1972,488935.82617
bfa,1973,551303.44695
bfa,1974,748003.66496
bfa,1975,895286.86764
bfa,1976,917604.95159
bfa,1977,1187168.78543
bfa,1978,1815834.54412
bfa,1979,2351629.59157
bfa,1980,2789233.01824
bfa,1981,4015860.50914
bfa,1982,4508640.27914
bfa,1983,4940358.16308
bfa,1984,4105941.18634
bfa,1985,4433337.05672
bfa,1986,4653460.61922
bfa,1987,5251658.01625
bfa,1988,5957090.3996
bfa,1989,9380615.16901
bfa,1990,7066100.53711
bfa,1991,8033155.16215
bfa,1992,8454686.47118
bfa,1993,8793637.17913
bfa,1994,9447147.30204
bfa,1995,9586989.23237
bfa,1996,11271782.18332
bfa,1997,13363537.75795
bfa,1998,14759721.129
bfa,1999,16535261.70753
bfa,2000,19308842.68094
bfa,2001,19342168.64913
bfa,2002,20150658.76327
bfa,2003,22665658.53839
bfa,2004,24240245.50694
bfa,2005,26254798.79831
bfa,2006,33287473.34967
bfa,2007,41118631.25027
bfa,2008,47951104.55616
bfa,2009,52439960.24163
bfa,2010,59954769.71553
bfa,2011,65564419.61426
bfa,2012,83854137.98227
bfa,2013,94677070.27356
bfa,2014,99607879.21546
bfa,2015,115773773.52543
bfa,2016,122836764.65508
bfa,2017,140823748.4797
bfa,2018,162750174.32359
bfa,2019,185322017.3191
bgd,1970,64355878.07343
bgd,1971,65556233.13388
bgd,1972,10634354.21926
bgd,1973,14885193.06754
bgd,1974,16977011.75304
bgd,1975,19817484.09603
bgd,1976,24453367.04319
bgd,1977,27711070.19604
bgd,1978,31399050.90075
bgd,1979,38413441.80929
bgd,1980,49203622.87856
bgd,1981,57186149.25203
bgd,1982,67309576.8298
bgd,1983,68500328.18261
bgd,1984,80387420.57898
bgd,1985,95122469.89654
bgd,1986,111130863.5906
bgd,1987,120501121.61302
