geo,time,se_sec_tcaq_fe_zs
lva,2010,100
lva,2011,100
lva,2012,100
lva,2013,100
lva,2014,100
lva,2015,100
lva,2016,100
lva,2017,100
lva,2018,100
lva,2019,100
mac,1999,66.01816
mac,2000,66.74584
mac,2001,66.95747
mac,2002,70.04008
mac,2003,72.69193
mac,2004,73.4676
mac,2005,76.47548
mac,2006,77.05047
mac,2007,77.92998
mac,2008,79.55247
mac,2009,79.77941
mac,2010,78.87527
mac,2011,78.4605
mac,2012,79.52055
mac,2013,81.6645
mac,2014,84.79948
mac,2015,88.48369
mac,2016,90.29004
mac,2017,91.72457
mac,2018,92.44694
mac,2019,93.72226
mac,2020,94.29825
mar,2017,100
mar,2018,100
mar,2019,100
mar,2020,100
mco,2020,76.6537
mda,2016,95.25993
mda,2017,98.81644
mda,2018,99.04773
mda,2019,100
mda,2020,100
mdg,2014,22.32855
mdg,2017,23.289
mdg,2018,23.59275
mdv,1998,78.94737
mdv,2002,85.81818
mdv,2010,94.74063
mdv,2011,97.7662
mdv,2012,89.66837
mdv,2013,98.42474
mdv,2014,93.65179
mdv,2015,94.72656
mdv,2016,95.82518
mdv,2017,96.14014
mdv,2018,97.89303
mdv,2019,90.06565
mex,2013,93.37225
mex,2014,94.55519
mex,2015,95.14926
mex,2016,95.55944
mex,2017,95.86181
mex,2018,96.12833
mhl,2020,54.76773
mli,2008,86.08072
mmr,1999,68.53137
mmr,2000,69.00423
mmr,2001,64.76952
mmr,2002,65.85013
mmr,2004,87.90905
mmr,2006,95.32186
mmr,2007,96.68719
mmr,2008,97.74694
mmr,2009,96.99882
mmr,2010,98.80434
mmr,2017,94.15092
mmr,2018,89.16684
mng,1999,100
mng,2000,100
mng,2001,100
mng,2002,100
mng,2003,100
mng,2004,100
mng,2005,100
mng,2006,100
mng,2010,98.36914
mng,2014,100
mng,2016,100
mng,2017,98.36709
mng,2018,90.05219
mng,2019,87.96348
moz,2006,73.58491
moz,2007,74.34476
moz,2008,72.35319
moz,2009,80.00718
moz,2010,79.71138
moz,2011,84.52005
moz,2012,87.46425
moz,2013,89.09019
moz,2014,90.23707
moz,2015,85.90499
moz,2020,97.4926
mrt,2004,100
mrt,2006,100
mrt,2014,90.625
mrt,2017,85.81633
mrt,2019,75.56874
mus,2013,45.69012
mus,2014,32.66643
mus,2015,33.40259
mus,2017,51.68872
