geo,time,sh_xpd_ghed_pc_cd
cub,2000,151.33336
cub,2001,160.91837
cub,2002,171.79107
cub,2003,180.60976
cub,2004,185.69175
cub,2005,281.35503
cub,2006,331.61944
cub,2007,514.74869
cub,2008,556.95465
cub,2009,623.90906
cub,2010,555.98751
cub,2011,622.76239
cub,2012,523.87388
cub,2013,624.85508
cub,2014,781.64092
cub,2015,891.32182
cub,2016,882.49759
cub,2017,894.68031
cub,2018,877.43903
cub,2019,921.34756
cyp,2000,308.27649
cyp,2001,327.18671
cyp,2002,395.19348
cyp,2003,503.29117
cyp,2004,531.3534
cyp,2005,566.5052
cyp,2006,631.33857
cyp,2007,731.29557
cyp,2008,896.84199
cyp,2009,895.44402
cyp,2010,935.62803
cyp,2011,1002.41883
cyp,2012,872.10745
cyp,2013,873.00247
cyp,2014,796.74239
cyp,2015,668.16619
cyp,2016,689.99027
cyp,2017,732.06991
cyp,2018,845.70649
cyp,2019,1118.14242
cze,2000,304.18499
cze,2001,339.77448
cze,2002,438.38212
cze,2003,560.46039
cze,2004,653.80276
cze,2005,726.68377
cze,2006,805.53872
cze,2007,930.2439
cze,2008,1173.89026
cze,2009,1195.37962
cze,2010,1142.11878
cze,2011,1269.2713
cze,2012,1159.09999
cze,2013,1296.55383
cze,2014,1249.22523
cze,2015,1055.90973
cze,2016,1082.12039
cze,2017,1206.80656
cze,2018,1460.20851
cze,2019,1503.00833
deu,2000,1833.38793
deu,2001,1834.49398
deu,2002,1998.13064
deu,2003,2440.64435
deu,2004,2625.87125
deu,2005,2692.74224
deu,2006,2782.41219
deu,2007,3144.23806
deu,2008,3515.62929
deu,2009,3536.84401
deu,2010,3490.59018
deu,2011,3798.76654
deu,2012,3595.32766
deu,2013,3897.62803
deu,2014,4087.85582
deu,2015,3559.33681
deu,2016,3666.12057
deu,2017,3929.4354
deu,2018,4252.241
deu,2019,4228.47802
dji,2000,15.34188
dji,2001,13.84297
dji,2002,14.41397
dji,2003,17.44151
dji,2004,17.4389
dji,2005,17.7528
dji,2006,23.44997
dji,2007,25.63847
dji,2008,30.97424
dji,2009,32.78678
dji,2010,34.10254
dji,2011,43.66953
dji,2012,41.3671
dji,2013,41.79916
dji,2014,43.49583
dji,2015,45.29741
dji,2016,37.26696
dji,2017,33.54147
dji,2018,35.12189
dji,2019,33.17048
dma,2000,160.81541
dma,2001,125.62176
dma,2002,116.2903
dma,2003,132.34598
dma,2004,134.19193
dma,2005,144.12877
dma,2006,148.76762
dma,2007,150.05964
dma,2008,169.14762
dma,2009,184.55461
dma,2010,206.14493
dma,2011,222.66269
dma,2012,238.32805
dma,2013,230.17782
dma,2014,235.06996
dma,2015,247.09
dma,2016,269.16919
dma,2017,275.0941
dma,2018,318.10813
dma,2019,283.73754
dnk,2000,2074.39913
dnk,2001,2170.75219
dnk,2002,2426.85393
dnk,2003,3026.66445
dnk,2004,3504.778
dnk,2005,3720.54368
dnk,2006,4008.06871
dnk,2007,4577.48692
dnk,2008,5156.95134
dnk,2009,5254.76144
dnk,2010,5042.46168
dnk,2011,5251.77488
dnk,2012,5042.00476
dnk,2013,5254.99366
dnk,2014,5371.95225
dnk,2015,4604.2609
dnk,2016,4681.91165
dnk,2017,4873.52175
dnk,2018,5214.66022
dnk,2019,5000.14855
dom,2000,49.07778
dom,2001,50.71805
dom,2002,52.23947
dom,2003,28.0506
dom,2004,28.54639
dom,2005,54.78721
dom,2006,57.59704
dom,2007,79.31658
dom,2008,107.90779
dom,2009,117.42609
dom,2010,139.79504
dom,2011,161.15357
dom,2012,168.873
dom,2013,173.30583
dom,2014,162.6359
dom,2015,163.8998
dom,2016,194.01098
dom,2017,204.09862
dom,2018,204.48868
