geo,time,sh_sta_orth
nga,1989,35
nga,1990,11.7
nga,1999,34.3
nga,2003,18.2
nga,2008,25.5
nga,2011,26
nga,2013,33.7
nga,2017,36.8
nga,2018,40
nic,1986,23
nic,1987,23
nic,1989,38
nic,1998,55.7
nic,2001,50
nic,2007,58.6
nic,2012,65.4
npl,1986,25
npl,1987,23
npl,1989,14
npl,1996,25.9
npl,2001,32.2
npl,2006,29.3
npl,2011,39
npl,2014,44
npl,2016,37
npl,2017,37
nru,2007,23.3
omn,1986,19
omn,1987,19
omn,1989,19
omn,1996,82
omn,2014,58.7
pak,1986,34
pak,1987,42
pak,1989,42
pak,1991,38.5
pak,1995,46
pak,2007,41.1
pak,2013,38
pak,2018,37.4
pan,1986,34
pan,1987,34
pan,1989,29
pan,1996,34.8
pan,2013,52.4
per,1986,6
per,1987,18
per,1989,25
per,1992,19.8
per,1996,26
per,2000,21.9
per,2006,25
per,2008,29.7
per,2009,32
per,2010,32.2
per,2011,29.8
per,2012,30.9
per,2013,29.5
per,2014,28.2
per,2015,32
phl,1986,25
phl,1987,24
phl,1989,25
phl,1993,27.1
phl,1998,43.4
phl,2003,42.2
phl,2008,46.5
phl,2011,55.3
phl,2013,49.1
phl,2017,44.8
png,1986,5
png,1987,20
png,1989,46
png,1996,16.7
png,2018,30
prk,1986,0
prk,1987,0
prk,1989,52
prk,1998,81.2
prk,2009,74
prk,2017,74.1
pry,1986,17
pry,1987,36
pry,1989,52
pry,1990,24
pry,1996,21.1
pry,2016,28.2
pse,2010,31.4
pse,2014,31.5
qat,1986,15
qat,1987,15
qat,1989,15
qat,1998,21.1
rwa,1986,8
rwa,1987,24
rwa,1989,24
rwa,1992,27.6
rwa,2000,13.6
rwa,2005,11.6
rwa,2008,21.3
rwa,2010,29.1
rwa,2011,29.1
rwa,2015,27.5
sau,1986,28
sau,1987,43
sau,1989,45
sau,1996,52.1
sdn,1986,8
sdn,1987,25
sdn,1989,36
sdn,1995,17.17
sdn,2000,27.4
sdn,2006,31.3
sdn,2010,22
sdn,2014,19.6
sen,1986,3
sen,1987,9
sen,1989,27
sen,1993,6.6
sen,1996,11
sen,1997,15.1
sen,2000,13
sen,2005,15
sen,2011,22.4
sen,2013,17.2
sen,2014,22.6
sen,2015,31.6
sen,2016,20.5
sen,2017,27.9
sen,2018,30.3
sen,2019,26
slb,1986,15
slb,1987,75
slb,1989,77
slb,2007,37.7
slb,2015,36.6
sle,1986,31
sle,1987,31
sle,1989,55
sle,2000,41.5
sle,2005,54
sle,2008,68
sle,2010,72.6
sle,2013,85.1
sle,2017,77.7
sle,2019,85.3
slv,1986,15
slv,1987,26
slv,1989,45
slv,1998,46.6
slv,2003,51.4
slv,2008,57.6
slv,2014,69.8
som,1986,5
som,1987,12
som,1989,7
som,1999,29.8
som,2000,29.8
som,2006,13.2
srb,2006,17
srb,2010,36
ssd,2010,38.6
stp,1986,26
stp,1987,46
stp,1989,46
stp,2000,31.1
stp,2006,31.4
stp,2009,49
stp,2014,49.1
sur,1986,34
sur,1987,34
sur,1989,47
sur,2000,35.5
sur,2006,43.6
sur,2010,42.4
sur,2018,45.6
swz,1989,85
swz,1996,63
swz,2000,66.3
swz,2007,85.5
swz,2010,57
swz,2014,84
syc,1989,88
syr,1986,9
syr,1987,31
syr,1989,67
syr,1993,29
syr,2006,49.8
tcd,1985,7
tcd,1986,2
tcd,1987,2
tcd,1989,10
tcd,1997,23.4
tcd,2000,15.6
tcd,2004,15.1
tcd,2010,13.3
tcd,2015,20.4
tgo,1986,9
tgo,1987,19
tgo,1989,33
tgo,1998,17.1
tgo,2000,12.9
tgo,2006,10.2
tgo,2010,11.3
tgo,2014,18.5
tgo,2017,13.6
tha,1986,31
tha,1987,30
tha,1989,40
tha,1995,73.3
tha,2006,56.6
tha,2013,57.8
tha,2016,72.5
tjk,2000,35.3
tjk,2005,48.4
tjk,2009,72.6
tjk,2012,60.3
tjk,2017,61.7
tkm,1995,57.7
tkm,2000,46.7
tkm,2006,40.1
tkm,2016,47.1
tls,2003,59.6
tls,2010,71
tls,2016,69.9
ton,1986,13
ton,1987,13
ton,1989,30
tto,1986,56
tto,1987,53.1
tto,1989,60
tto,2011,45.4
tun,1986,27
tun,1987,50
tun,1989,63
tun,2000,31.5
tun,2006,54.6
tun,2012,65.1
tun,2018,39.6
tur,1987,26
tur,1993,11.3
tur,1998,14.3
tuv,2007,43.5
tza,1986,14
tza,1987,14
tza,1989,37
tza,1992,57.2
tza,1996,48.3
tza,1999,54.9
tza,2005,53.9
tza,2010,44
tza,2016,44.8
uga,1986,5
uga,1987,5
uga,1989,15
uga,1995,48.2
uga,2001,33.5
uga,2006,39.6
uga,2011,43.5
uga,2016,46.7
ukr,2012,59.2
ury,1986,21
ury,1987,56
ury,1989,86
uzb,1996,31.3
uzb,2000,32
uzb,2006,27.8
vct,1989,98
ven,1986,18
ven,1987,28
ven,1989,49
ven,2000,37.7
vnm,1986,46
vnm,1987,50
vnm,1989,65
vnm,1997,39.7
vnm,2000,11.1
vnm,2002,40.4
vnm,2006,26.3
vnm,2011,46.5
vnm,2014,50.9
vut,1986,6
vut,1987,31
vut,1989,42
vut,2007,23.2
vut,2013,47.6
wsm,1986,6
wsm,1987,7
wsm,2009,68
wsm,2014,63
yem,1986,11
yem,1987,7
yem,1989,6
yem,1992,30.7
yem,1997,32.4
yem,2006,32.7
yem,2013,25.3
zaf,1998,51.2
zaf,2004,40
zaf,2016,51.4
zmb,1986,51
zmb,1987,59
zmb,1989,87
zmb,1992,52.9
zmb,1996,53.9
zmb,1997,53.9
zmb,2002,53.2
zmb,2007,59.9
zmb,2014,64.1
zmb,2018,66.8
zwe,1986,26
zwe,1987,26
zwe,1989,77
zwe,1994,79.2
zwe,2006,5.6
zwe,2009,31.7
zwe,2011,20.9
zwe,2014,43.4
zwe,2015,40.5
zwe,2019,32.8
