geo,time,ic_tax_durs
hkg,2011,50.5
hkg,2012,48.5
hkg,2013,48.5
hkg,2014,48.5
hkg,2015,44.5
hkg,2016,44.5
hkg,2017,44.5
hkg,2018,34.5
hkg,2019,34.5
hnd,2005,424
hnd,2006,424
hnd,2007,424
hnd,2008,224
hnd,2009,224
hnd,2010,224
hnd,2011,224
hnd,2012,224
hnd,2013,224
hnd,2014,224
hnd,2015,224
hnd,2016,203
hnd,2017,203
hnd,2018,203
hnd,2019,203
hrv,2005,232
hrv,2006,196
hrv,2007,196
hrv,2008,196
hrv,2009,196
hrv,2010,196
hrv,2011,196
hrv,2012,196
hrv,2013,196
hrv,2014,208
hrv,2015,206
hrv,2016,206
hrv,2017,206
hrv,2018,206
hrv,2019,206
hti,2005,184
hti,2006,184
hti,2007,184
hti,2008,184
hti,2009,184
hti,2010,184
hti,2011,184
hti,2012,184
hti,2013,184
hti,2014,184
hti,2015,184
hti,2016,184
hti,2017,184
hti,2018,184
hti,2019,184
hun,2005,340
hun,2006,340
hun,2007,340
hun,2008,330
hun,2009,330
hun,2010,277
hun,2011,277
hun,2012,277
hun,2013,277
hun,2014,277
hun,2015,277
hun,2016,277
hun,2017,277
hun,2018,277
hun,2019,277
idn,2013,259
idn,2014,253
idn,2015,234
idn,2016,221
idn,2017,207.5
idn,2018,207.5
idn,2019,191
ind,2013,252.88
ind,2014,252.88
ind,2015,252.88
ind,2016,250.88
ind,2017,215.88
ind,2018,275.38
ind,2019,251.88
irl,2005,75
irl,2006,75
irl,2007,75
irl,2008,75
irl,2009,75
irl,2010,75
irl,2011,75
irl,2012,79
irl,2013,79
irl,2014,79
irl,2015,81
irl,2016,81
irl,2017,81
irl,2018,81
irl,2019,81.5
irn,2005,344
irn,2006,344
irn,2007,344
irn,2008,344
irn,2009,344
irn,2010,344
irn,2011,344
irn,2012,344
irn,2013,324
irn,2014,324
irn,2015,324
irn,2016,324
irn,2017,324
irn,2018,216
irn,2019,216
irq,2005,312
irq,2006,312
irq,2007,312
irq,2008,312
irq,2009,312
irq,2010,312
irq,2011,312
irq,2012,312
irq,2013,312
irq,2014,312
irq,2015,312
irq,2016,312
irq,2017,312
irq,2018,312
irq,2019,312
isl,2005,140
isl,2006,140
isl,2007,140
isl,2008,140
isl,2009,140
isl,2010,140
isl,2011,140
isl,2012,140
isl,2013,140
isl,2014,140
isl,2015,140
isl,2016,140
isl,2017,140
isl,2018,140
isl,2019,140
isr,2005,234
isr,2006,234
isr,2007,234
isr,2008,234
isr,2009,234
isr,2010,239
isr,2011,239
isr,2012,239
isr,2013,239
isr,2014,239
isr,2015,239
isr,2016,239
isr,2017,239
isr,2018,239
isr,2019,234
ita,2005,340
ita,2006,340
ita,2007,340
ita,2008,314
ita,2009,314
ita,2010,285
ita,2011,285
ita,2012,269
ita,2013,269
ita,2014,269
ita,2015,269
ita,2016,240
ita,2017,238
ita,2018,238
ita,2019,238
jam,2005,324
jam,2006,324
jam,2007,324
jam,2008,324
jam,2009,324
jam,2010,324
jam,2011,324
jam,2012,278
jam,2013,278
jam,2014,278
jam,2015,280
jam,2016,272
jam,2017,272
jam,2018,272
jam,2019,268
jor,2005,136
jor,2006,136
jor,2007,136
jor,2008,136
jor,2009,136
jor,2010,136
jor,2011,145
jor,2012,145
jor,2013,145
jor,2014,145
jor,2015,145
jor,2016,145
jor,2017,128.5
jor,2018,126.75
jor,2019,96.5
jpn,2013,198.5
jpn,2014,198.5
jpn,2015,181.5
jpn,2016,128.5
jpn,2017,128.5
jpn,2018,128.5
jpn,2019,128.5
kaz,2005,261
kaz,2006,261
kaz,2007,261
kaz,2008,261
kaz,2009,261
kaz,2010,261
kaz,2011,178
kaz,2012,178
kaz,2013,178
kaz,2014,178
kaz,2015,178
kaz,2016,178
kaz,2017,178
kaz,2018,182
kaz,2019,186
ken,2005,384
ken,2006,444
ken,2007,444
ken,2008,429
ken,2009,429
ken,2010,405
ken,2011,405
ken,2012,352
ken,2013,319.5
ken,2014,213.5
ken,2015,213.5
ken,2016,195.5
ken,2017,185.5
ken,2018,179.5
ken,2019,179.5
kgz,2005,222
kgz,2006,222
kgz,2007,222
kgz,2008,222
kgz,2009,222
kgz,2010,222
kgz,2011,230
kgz,2012,226
kgz,2013,226
kgz,2014,225
kgz,2015,225
kgz,2016,225
kgz,2017,225
kgz,2018,225
kgz,2019,220
khm,2005,137
khm,2006,137
khm,2007,137
khm,2008,137
khm,2009,125
khm,2010,173
khm,2011,173
khm,2012,173
khm,2013,173
khm,2014,173
khm,2015,173
khm,2016,173
khm,2017,173
khm,2018,173
khm,2019,173
kir,2005,120
kir,2006,120
kir,2007,120
kir,2008,120
kir,2009,120
kir,2010,120
kir,2011,120
kir,2012,120
kir,2013,120
kir,2014,120
kir,2015,156
kir,2016,168
kir,2017,168
kir,2018,168
kir,2019,168
kna,2005,172
kna,2006,172
kna,2007,172
kna,2008,172
kna,2009,154.5
kna,2010,155
kna,2011,203
kna,2012,203
kna,2013,203
kna,2014,203
kna,2015,203
kna,2016,203
kna,2017,203
kna,2018,203
kna,2019,203
kor,2005,290
kor,2006,290
kor,2007,290
kor,2008,250
kor,2009,250
kor,2010,250
kor,2011,225
kor,2012,207
kor,2013,187
kor,2014,187
kor,2015,188
kor,2016,188
kor,2017,188
kor,2018,188
kor,2019,174
kos,2009,163
kos,2010,163
kos,2011,164
kos,2012,164
kos,2013,161.5
kos,2014,155
kos,2015,155
